query_id,query,language,supplied_entities,missing_structure,apparent_intent_cue,likely_retrieval_difficulty,ambiguous_or_underspecified
Q001,is Diazepam safe in Febrile Seizure with immunocompromised,EN,disease: Febrile Seizure | molecule: Diazepam | drug_class: Benzodiazepines,none obvious,Pharmacotherapy - safety/precaution,medium,False
Q026,kontraindikasi Labetalol pada Hypertension in Pregnancy dengan atrial fibrillation,MIXED,disease: Hypertension in Pregnancy | molecule: Labetalol | drug_class: Beta blockers non-selective,pregnancy_related=true,Pharmacotherapy - safety/precaution,high,False
Q029,Empagliflozin efficacy pada Type 2 Diabetes Mellitus clinical outcome data,MIXED,disease: Type 2 Diabetes Mellitus | molecule: Empagliflozin | drug_class: SGLT2 inhibitors,none obvious,Evidence / outcomes,high,False
Q035,algoritma terapi HIV/AIDS step up,ID,disease: HIV/AIDS | molecule: Levofloxacin | drug_class: Fluoroquinolones,none obvious,Management / treatment,low,False
Q037,SSRIs in pregnancy and ADHD,EN,disease: ADHD | molecule: Sertraline | drug_class: SSRIs,pregnancy_related=true,Other / ambiguous,medium,True
Q039,algoritma terapi Chronic Kidney Disease step up,ID,disease: Chronic Kidney Disease | molecule: Dapagliflozin | drug_class: SGLT2 inhibitors,renal_function_constraint=true,Management / treatment,medium,False
Q040,resistensi Desmopressin pada Diabetes Insipidus alternatif Desmopressin,ID,disease: Diabetes Insipidus | molecule: Desmopressin | drug_class: Vasopressin analogues,none obvious,Other / ambiguous,low,True
Q043,Thyroid hormones kontraindikasi pada Hyperthyroidism dengan hepatic impairment,ID,disease: Hyperthyroidism | molecule: Levothyroxine | drug_class: Thyroid hormones,hepatic_function_constraint=true,Pharmacotherapy - safety/precaution,medium,False
Q046,kapan mulai terapi Adalimumab pada Gout,ID,disease: Gout | molecule: Adalimumab | drug_class: TNF inhibitors,none obvious,Management / treatment,low,False
Q049,Calcium channel blockers mechanism untuk Atrial Fibrillation bagaimana cara kerjanya,MIXED,disease: Atrial Fibrillation | molecule: Amlodipine | drug_class: Calcium channel blockers,none obvious,Other / ambiguous,high,True
Q053,Atypical antipsychotics mechanism of action in Schizophrenia,EN,disease: Schizophrenia | molecule: Clozapine | drug_class: Atypical antipsychotics,none obvious,Other / ambiguous,low,True
Q054,is Empagliflozin safe in Chronic Kidney Disease with renal impairment,EN,disease: Chronic Kidney Disease | molecule: Empagliflozin | drug_class: SGLT2 inhibitors,renal_function_constraint=true,Pharmacotherapy - safety/precaution,medium,False
Q058,Thrombolytics role in Ischaemic Stroke pathophysiology,EN,disease: Ischaemic Stroke | molecule: Alteplase | drug_class: Thrombolytics,none obvious,Disease description / mechanism,low,False
Q059,switch dari Dupilumab ke Cyclosporine Psoriasis progresif,MIXED,"disease: Psoriasis | molecule: Cyclosporine, Dupilumab | drug_class: Calcineurin inhibitors, IL-4/IL-13 inhibitors",none obvious,Other / ambiguous,high,True
Q060,Migraine with liver disease first line drug,EN,disease: Migraine | molecule: Topiramate | drug_class: Antiepileptics other,hepatic_function_constraint=true,Other / ambiguous,medium,True
Q064,monitoring parameters Methyldopa in Hypertension in Pregnancy,EN,disease: Hypertension in Pregnancy | molecule: Methyldopa | drug_class: Centrally acting antihypertensives,pregnancy_related=true,Other / ambiguous,medium,True
Q071,Vancomycin vs Piperacillin-tazobactam in Sepsis patients,EN,"disease: Sepsis | molecule: Piperacillin-tazobactam, Vancomycin | drug_class: Beta-lactam combinations, Glycopeptides",comparison_flag=true,Pharmacotherapy - comparison,high,False
Q075,Psoriasis guideline update terbaru summary,EN,disease: Psoriasis | molecule: Tacrolimus topical | drug_class: Topical calcineurin inhibitors,none obvious,Evidence / guideline lookup,low,True
Q077,algoritma terapi Iron Deficiency Anaemia step up,ID,disease: Iron Deficiency Anaemia | molecule: Erythropoietin | drug_class: Erythropoiesis stimulating agents,none obvious,Management / treatment,low,False
Q078,apakah Risperidone aman untuk Schizophrenia dengan anaemia,ID,disease: Schizophrenia | molecule: Risperidone | drug_class: Atypical antipsychotics,none obvious,Pharmacotherapy - safety/precaution,medium,False
Q080,Urinary Tract Infection dengan obesity pilihan drug terbaik,MIXED,disease: Urinary Tract Infection | molecule: Tenofovir+Lamivudine | drug_class: NRTIs combination,none obvious,Other / ambiguous,high,True
Q084,algoritma terapi COPD step up,ID,disease: COPD | molecule: Salmeterol | drug_class: Long-acting beta2-agonists,none obvious,Management / treatment,low,False
Q085,Methylphenidate vs Methylphenidate efficacy in Breast Cancer HER2-positive,EN,disease: Breast Cancer HER2-positive | molecule: Methylphenidate | drug_class: CNS stimulants,comparison_flag=true,Pharmacotherapy - comparison,high,False
Q086,add on Norepinephrine setelah Piperacillin-tazobactam gagal Sepsis,MIXED,"disease: Sepsis | molecule: Norepinephrine, Piperacillin-tazobactam | drug_class: Adrenergic agonists, Beta-lactam combinations",prior_treatment_failure=true,Management / treatment,high,False
Q088,renal dose adjustment Diazepam in Febrile Seizure,EN,disease: Febrile Seizure | molecule: Diazepam | drug_class: Benzodiazepines,dose_context=true,Pharmacotherapy - dosing/administration,medium,True
Q090,algoritma terapi Community-acquired Pneumonia step up,ID,disease: Community-acquired Pneumonia | molecule: Rivaroxaban | drug_class: Factor Xa inhibitors,none obvious,Management / treatment,low,False
Q093,penggantian Ezetimibe ke Amlodipine pada Acute Coronary Syndrome,ID,"disease: Acute Coronary Syndrome | molecule: Amlodipine, Ezetimibe | drug_class: Calcium channel blockers, Cholesterol absorption inhibitors",none obvious,Other / ambiguous,low,True
Q100,prophylaxis Ischaemic Stroke Alteplase kapan bisa dihentikan,MIXED,disease: Ischaemic Stroke | molecule: Alteplase | drug_class: Thrombolytics,none obvious,Pharmacotherapy - indication/prophylaxis,high,False
Q101,Dolutegravir drug interaction with Tenofovir disoproxil in Malaria,EN,"disease: Malaria | molecule: Dolutegravir, Tenofovir disoproxil | drug_class: Integrase inhibitors, NRTIs",none obvious,Pharmacotherapy - interaction,high,False
Q105,tatalaksana Breast Cancer HER2-positive panduan terbaru 2025,ID,disease: Breast Cancer HER2-positive | molecule: Methylphenidate | drug_class: CNS stimulants,year=2025,Evidence / guideline lookup,medium,False
Q111,Erythropoietin contraindication in Iron Deficiency Anaemia with anaemia,EN,disease: Iron Deficiency Anaemia | molecule: Erythropoietin | drug_class: Erythropoiesis stimulating agents,none obvious,Pharmacotherapy - safety/precaution,medium,False
Q112,Alteplase vs Aspirin in Ischaemic Stroke patients,EN,"disease: Ischaemic Stroke | molecule: Alteplase, Aspirin | drug_class: Platelet aggregation inhibitors, Thrombolytics",comparison_flag=true,Pharmacotherapy - comparison,high,False
Q113,latest Obesity management guidelines 2025,EN,disease: Obesity | molecule: Liraglutide | drug_class: GLP-1 receptor agonists,year=2025,Evidence / guideline lookup,medium,False
Q118,Chronic Lymphocytic Leukaemia emergency Ibrutinib loading dose berapa,MIXED,disease: Chronic Lymphocytic Leukaemia | molecule: Ibrutinib | drug_class: BTK inhibitors,dose_context=true,Pharmacotherapy - dosing/administration,high,True
Q120,latest Hypertension management guidelines terbaru,EN,disease: Hypertension | molecule: Amlodipine | drug_class: Calcium channel blockers,none obvious,Evidence / guideline lookup,low,True
Q126,add on therapy HIV/AIDS after Levofloxacin failure,EN,disease: HIV/AIDS | molecule: Levofloxacin | drug_class: Fluoroquinolones,prior_treatment_failure=true,Management / treatment,medium,False
Q128,kapan start Alendronate di Osteoporosis evidence terbaru 2022,MIXED,disease: Osteoporosis | molecule: Alendronate | drug_class: Bisphosphonates,year=2022,Evidence / guideline lookup,high,False
Q130,Bisoprolol dosing in Heart Failure with hypertension,EN,disease: Heart Failure | molecule: Bisoprolol | drug_class: Beta blockers selective,dose_context=true,Pharmacotherapy - dosing/administration,medium,False
Q133,Omeprazole contraindication in Peptic Ulcer Disease with hypertension,EN,disease: Peptic Ulcer Disease | molecule: Omeprazole | drug_class: Proton pump inhibitors,none obvious,Pharmacotherapy - safety/precaution,medium,False
Q144,Colchicine loading dose Psoriatic Arthritis emergency,EN,disease: Psoriatic Arthritis | molecule: Colchicine | drug_class: Gout preparations,dose_context=true,Pharmacotherapy - dosing/administration,medium,True
Q145,titration protocol Rivaroxaban in Community-acquired Pneumonia,EN,disease: Community-acquired Pneumonia | molecule: Rivaroxaban | drug_class: Factor Xa inhibitors,none obvious,Other / ambiguous,low,True
Q147,Chronic Kidney Disease first line ARBs evidence based,MIXED,disease: Chronic Kidney Disease | molecule: Losartan | drug_class: ARBs,renal_function_constraint=true,Other / ambiguous,high,True
Q149,Factor Xa inhibitors mechanism of action in Community-acquired Pneumonia,EN,disease: Community-acquired Pneumonia | molecule: Rivaroxaban | drug_class: Factor Xa inhibitors,none obvious,Other / ambiguous,low,True
Q150,Magnesium sulphate vs Magnesium sulphate untuk Preeclampsia,ID,disease: Preeclampsia | molecule: Magnesium sulphate | drug_class: Magnesium,pregnancy_related=true; comparison_flag=true,Pharmacotherapy - comparison,high,False
Q167,penggantian Omeprazole ke Lansoprazole pada Peptic Ulcer Disease,ID,"disease: Peptic Ulcer Disease | molecule: Lansoprazole, Omeprazole | drug_class: Proton pump inhibitors",none obvious,Other / ambiguous,low,True
Q176,latest guideline Major Depressive Disorder management terbaru,MIXED,disease: Major Depressive Disorder | molecule: Sertraline | drug_class: SSRIs,none obvious,Evidence / guideline lookup,high,True
Q188,interaksi obat Zinc dan Vitamin A pada Stunting / Malnutrition,ID,"disease: Stunting / Malnutrition | molecule: Vitamin A, Zinc | drug_class: Vitamin A, Zinc supplements",none obvious,Pharmacotherapy - interaction,high,False
Q191,Heart Failure dengan renal impairment penyesuaian dosis Bisoprolol,MIXED,disease: Heart Failure | molecule: Bisoprolol | drug_class: Beta blockers selective,renal_function_constraint=true; dose_context=true,Pharmacotherapy - dosing/administration,high,True
Q192,Diabetes Insipidus emergency Desmopressin loading dose berapa,MIXED,disease: Diabetes Insipidus | molecule: Desmopressin | drug_class: Vasopressin analogues,dose_context=true,Pharmacotherapy - dosing/administration,high,True
Q199,Rivaroxaban loading dose Community-acquired Pneumonia emergency,EN,disease: Community-acquired Pneumonia | molecule: Rivaroxaban | drug_class: Factor Xa inhibitors,dose_context=true,Pharmacotherapy - dosing/administration,medium,True
Q201,interaksi obat Semaglutide dan Liraglutide pada Obesity,ID,"disease: Obesity | molecule: Liraglutide, Semaglutide | drug_class: GLP-1 receptor agonists",none obvious,Pharmacotherapy - interaction,high,False
Q206,Ischaemic Stroke pada anak dosis Aspirin,ID,disease: Ischaemic Stroke | molecule: Aspirin | drug_class: Platelet aggregation inhibitors,age_group=pediatric; dose_context=true,Pharmacotherapy - dosing/administration,medium,True
Q207,Ramipril combination therapy Hypertension,EN,disease: Hypertension | molecule: Ramipril | drug_class: ACE inhibitors,none obvious,Other / ambiguous,low,True
Q211,Tuberculosis dengan atrial fibrillation pilihan terapi,ID,disease: Tuberculosis | molecule: Bedaquiline | drug_class: Antituberculotics,none obvious,Management / treatment,low,False
Q212,is Salmeterol safe in COPD with anaemia,EN,disease: COPD | molecule: Salmeterol | drug_class: Long-acting beta2-agonists,none obvious,Pharmacotherapy - safety/precaution,medium,False
Q227,Spironolactone contraindication in Heart Failure with hypertension,EN,disease: Heart Failure | molecule: Spironolactone | drug_class: Aldosterone antagonists,none obvious,Pharmacotherapy - safety/precaution,medium,False
Q229,Hyperthyroidism treatment algorithm Antithyroid agents first line,EN,disease: Hyperthyroidism | molecule: Methimazole | drug_class: Antithyroid agents,none obvious,Management / treatment,low,False
Q241,dosis Dupilumab untuk pasien Psoriasis,ID,disease: Psoriasis | molecule: Dupilumab | drug_class: IL-4/IL-13 inhibitors,dose_context=true,Pharmacotherapy - dosing/administration,medium,True
Q250,efek samping Vitamin K antagonists pada Atrial Fibrillation,ID,disease: Atrial Fibrillation | molecule: Warfarin | drug_class: Vitamin K antagonists,none obvious,Pharmacotherapy - safety/precaution,medium,False
Q251,Bipolar Disorder risk stratification approach,EN,disease: Bipolar Disorder | molecule: Lithium | drug_class: Mood stabilisers,none obvious,Epidemiology / prognosis,low,False
Q255,kontraindikasi Salmeterol pada Asthma dengan immunocompromised,MIXED,disease: Asthma | molecule: Salmeterol | drug_class: Long-acting beta2-agonists,none obvious,Pharmacotherapy - safety/precaution,high,False
Q270,Bedaquiline pada pasien elderly MDR Tuberculosis apa perlu adjustment,MIXED,disease: MDR Tuberculosis | molecule: Bedaquiline | drug_class: Antituberculotics,age_group=elderly,Other / ambiguous,high,True
Q277,Amoxicillin hepatic impairment dose in HIV/AIDS,EN,disease: HIV/AIDS | molecule: Amoxicillin | drug_class: Penicillins,hepatic_function_constraint=true; dose_context=true,Pharmacotherapy - dosing/administration,medium,True
Q288,apakah Trastuzumab aman untuk Non-Small Cell Lung Cancer dengan hypertension,ID,disease: Non-Small Cell Lung Cancer | molecule: Trastuzumab | drug_class: HER2-targeted agents,none obvious,Pharmacotherapy - safety/precaution,medium,False
Q292,Amoxicillin vs Amoxicillin efficacy in HIV/AIDS,EN,disease: HIV/AIDS | molecule: Amoxicillin | drug_class: Penicillins,comparison_flag=true,Pharmacotherapy - comparison,high,False
Q300,dosis Apixaban pada Community-acquired Pneumonia pasien CKD aman tidak,MIXED,disease: Community-acquired Pneumonia | molecule: Apixaban | drug_class: Factor Xa inhibitors,renal_function_constraint=true; dose_context=true; negation_flag=true,Pharmacotherapy - dosing/administration,high,True
Q305,when to start Diazepam in Febrile Seizure,EN,disease: Febrile Seizure | molecule: Diazepam | drug_class: Benzodiazepines,none obvious,Other / ambiguous,low,True
Q319,dosis titrasi Adalimumab Gout toleransi pasien,MIXED,disease: Gout | molecule: Adalimumab | drug_class: TNF inhibitors,dose_context=true,Pharmacotherapy - dosing/administration,high,True
Q324,monitoring parameters Aspirin in Stable Angina,EN,disease: Stable Angina | molecule: Aspirin | drug_class: Platelet aggregation inhibitors,none obvious,Other / ambiguous,low,True
Q331,Osteoporosis dengan renal impairment penyesuaian dosis Alendronate,MIXED,disease: Osteoporosis | molecule: Alendronate | drug_class: Bisphosphonates,renal_function_constraint=true; dose_context=true,Pharmacotherapy - dosing/administration,high,True
Q333,kontraindikasi Diazepam pada Febrile Seizure dengan hypertension,MIXED,disease: Febrile Seizure | molecule: Diazepam | drug_class: Benzodiazepines,none obvious,Pharmacotherapy - safety/precaution,high,False
Q334,Community-acquired Pneumonia prophylaxis Apixaban indication,EN,disease: Community-acquired Pneumonia | molecule: Apixaban | drug_class: Factor Xa inhibitors,none obvious,Pharmacotherapy - indication/prophylaxis,low,False
Q337,Chronic Kidney Disease with immunocompromised first line drug,EN,disease: Chronic Kidney Disease | molecule: Ramipril | drug_class: ACE inhibitors,renal_function_constraint=true,Other / ambiguous,medium,True
Q340,latest guideline Peptic Ulcer Disease management 2023,MIXED,disease: Peptic Ulcer Disease | molecule: Lansoprazole | drug_class: Proton pump inhibitors,year=2023,Evidence / guideline lookup,high,False
Q342,dosis titrasi Vancomycin Sepsis toleransi pasien,MIXED,disease: Sepsis | molecule: Vancomycin | drug_class: Glycopeptides,dose_context=true,Pharmacotherapy - dosing/administration,high,True
Q352,panduan klinis ADHD terbaru,ID,disease: ADHD | molecule: Sertraline | drug_class: SSRIs,none obvious,Evidence / guideline lookup,low,True
Q353,Nivolumab efficacy pada Non-Small Cell Lung Cancer clinical outcome data,MIXED,disease: Non-Small Cell Lung Cancer | molecule: Nivolumab | drug_class: PD-1 inhibitors,none obvious,Evidence / outcomes,high,False
Q367,ARBs in pregnancy and Hypertension,EN,disease: Hypertension | molecule: Losartan | drug_class: ARBs,pregnancy_related=true,Other / ambiguous,medium,True
Q368,Community-acquired Pneumonia dengan hepatic impairment pilihan drug terbaik,MIXED,disease: Community-acquired Pneumonia | molecule: Rivaroxaban | drug_class: Factor Xa inhibitors,hepatic_function_constraint=true,Pharmacotherapy - safety/precaution,high,False
Q372,indikasi Semaglutide pada Type 2 Diabetes Mellitus guideline terbaru,MIXED,disease: Type 2 Diabetes Mellitus | molecule: Semaglutide | drug_class: GLP-1 receptor agonists,none obvious,Pharmacotherapy - indication/prophylaxis,high,True
Q376,Antimalarials role in Typhoid Fever pathophysiology,EN,disease: Typhoid Fever | molecule: Artemether-lumefantrine | drug_class: Antimalarials,none obvious,Disease description / mechanism,low,False
Q377,latest Preeclampsia management guidelines 2024,EN,disease: Preeclampsia | molecule: Magnesium sulphate | drug_class: Magnesium,pregnancy_related=true; year=2024,Evidence / guideline lookup,medium,False
Q382,when to start Methylphenidate in Breast Cancer HER2-positive,EN,disease: Breast Cancer HER2-positive | molecule: Methylphenidate | drug_class: CNS stimulants,none obvious,Other / ambiguous,low,True
Q387,monitoring parameters Escitalopram in ADHD,EN,disease: ADHD | molecule: Escitalopram | drug_class: SSRIs,none obvious,Other / ambiguous,low,True
Q390,panduan klinis Ischaemic Stroke terbaru,ID,disease: Ischaemic Stroke | molecule: Aspirin | drug_class: Platelet aggregation inhibitors,none obvious,Evidence / guideline lookup,low,True
Q393,monitoring SSRIs pada ADHD parameter apa,MIXED,disease: ADHD | molecule: Escitalopram | drug_class: SSRIs,none obvious,Other / ambiguous,high,True
Q399,Beta blockers selective mechanism untuk Atrial Fibrillation bagaimana cara kerjanya,MIXED,disease: Atrial Fibrillation | molecule: Bisoprolol | drug_class: Beta blockers selective,none obvious,Other / ambiguous,high,True
Q400,COPD pada anak dosis Salmeterol,ID,disease: COPD | molecule: Salmeterol | drug_class: Long-acting beta2-agonists,age_group=pediatric; dose_context=true,Pharmacotherapy - dosing/administration,medium,True
Q402,target Obesity sudah tercapai kapan maintenance Semaglutide,MIXED,disease: Obesity | molecule: Semaglutide | drug_class: GLP-1 receptor agonists,none obvious,Other / ambiguous,high,True
Q403,interaksi obat Artemether-lumefantrine dan Artemether-lumefantrine pada Typhoid Fever,ID,disease: Typhoid Fever | molecule: Artemether-lumefantrine | drug_class: Antimalarials,none obvious,Pharmacotherapy - interaction,high,False
Q416,Urinary Tract Infection risk stratification approach,EN,disease: Urinary Tract Infection | molecule: Tenofovir+Lamivudine | drug_class: NRTIs combination,none obvious,Epidemiology / prognosis,low,False
Q429,dosis Dupilumab untuk pasien Disseminated Intravascular Coagulation,ID,disease: Disseminated Intravascular Coagulation | molecule: Dupilumab | drug_class: IL-4/IL-13 inhibitors,dose_context=true,Pharmacotherapy - dosing/administration,medium,True
Q430,Major Depressive Disorder dengan renal impairment penyesuaian dosis Venlafaxine,MIXED,disease: Major Depressive Disorder | molecule: Venlafaxine | drug_class: SNRIs,renal_function_constraint=true; dose_context=true,Pharmacotherapy - dosing/administration,high,True
Q432,Semaglutide combination therapy Obesity,EN,disease: Obesity | molecule: Semaglutide | drug_class: GLP-1 receptor agonists,none obvious,Other / ambiguous,low,True
Q434,Rosuvastatin contraindication in Acute Coronary Syndrome with anaemia,EN,disease: Acute Coronary Syndrome | molecule: Rosuvastatin | drug_class: Statins,none obvious,Pharmacotherapy - safety/precaution,medium,False
Q435,Artemether-lumefantrine hepatic impairment dose in Typhoid Fever,EN,disease: Typhoid Fever | molecule: Artemether-lumefantrine | drug_class: Antimalarials,hepatic_function_constraint=true; dose_context=true,Pharmacotherapy - dosing/administration,medium,True
Q445,indikasi Losartan pada Heart Failure guideline terbaru,MIXED,disease: Heart Failure | molecule: Losartan | drug_class: ARBs,none obvious,Pharmacotherapy - indication/prophylaxis,high,True
Q446,Type 1 Diabetes Mellitus dengan pregnancy pilihan terapi,ID,disease: Type 1 Diabetes Mellitus | molecule: Insulin degludec | drug_class: Basal insulins,pregnancy_related=true,Management / treatment,medium,False
Q449,Beta-lactam combinations mechanism of action in Sepsis,EN,disease: Sepsis | molecule: Piperacillin-tazobactam | drug_class: Beta-lactam combinations,none obvious,Other / ambiguous,low,True
Q451,Colorectal Cancer prophylaxis Pembrolizumab indication,EN,disease: Colorectal Cancer | molecule: Pembrolizumab | drug_class: PD-1 inhibitors,none obvious,Pharmacotherapy - indication/prophylaxis,low,False
Q462,Aspirin combination therapy Ischaemic Stroke,EN,disease: Ischaemic Stroke | molecule: Aspirin | drug_class: Platelet aggregation inhibitors,none obvious,Other / ambiguous,low,True
Q463,Tuberculosis with renal impairment first line drug,EN,disease: Tuberculosis | molecule: Rifampicin | drug_class: Antituberculotics,renal_function_constraint=true,Other / ambiguous,medium,True
Q466,panduan klinis Major Depressive Disorder terbaru,ID,disease: Major Depressive Disorder | molecule: Sertraline | drug_class: SSRIs,none obvious,Evidence / guideline lookup,low,True
Q467,Artemether-lumefantrine side effect pada pasien Typhoid Fever apa saja,MIXED,disease: Typhoid Fever | molecule: Artemether-lumefantrine | drug_class: Antimalarials,none obvious,Pharmacotherapy - safety/precaution,high,False
Q470,HIV/AIDS pada anak dosis Amoxicillin,ID,disease: HIV/AIDS | molecule: Amoxicillin | drug_class: Penicillins,age_group=pediatric; dose_context=true,Pharmacotherapy - dosing/administration,medium,True
Q481,Metoprolol long term outcomes Stable Angina,EN,disease: Stable Angina | molecule: Metoprolol | drug_class: Beta blockers selective,none obvious,Other / ambiguous,low,True
Q482,Lansoprazole long term outcomes Peptic Ulcer Disease,EN,disease: Peptic Ulcer Disease | molecule: Lansoprazole | drug_class: Proton pump inhibitors,none obvious,Other / ambiguous,low,True
Q489,switch from Bedaquiline to Bedaquiline in MDR Tuberculosis,EN,disease: MDR Tuberculosis | molecule: Bedaquiline | drug_class: Antituberculotics,none obvious,Other / ambiguous,low,True
Q492,titration protocol Alendronate in Osteoporosis,EN,disease: Osteoporosis | molecule: Alendronate | drug_class: Bisphosphonates,none obvious,Other / ambiguous,low,True
Q494,Corticosteroids terbaru untuk COPD terbaru,MIXED,disease: COPD | molecule: Prednisolone | drug_class: Corticosteroids,none obvious,Evidence / guideline lookup,high,True
