protocol,split,candidate,reference,delta_ndcg,lower,upper,improved,worsened,unchanged,positive_queries
temporal,test,joint_minus_context,joint_gated,0.0,0.0,0.0,0,0,110,110
temporal,test,joint_remove_gate,joint_gated,0.0,0.0,0.0,0,0,110,110
temporal,test,fixed_joint_gated_010,fixed_joint_ungated_010,0.0,0.0,0.0,0,0,110,110
query,validation,entity_only,hybrid,-0.0001135104621217266,-0.006813157260682683,0.009258162712318717,2,5,63,70
query,validation,gated_context_only,hybrid,0.0,0.0,0.0,0,0,70,70
query,validation,ungated_context_only,hybrid,0.0,0.0,0.0,0,0,70,70
query,validation,joint_gated,hybrid,-0.0001135104621217266,-0.006813157260682683,0.009258162712318717,2,5,63,70
query,validation,joint_ungated,hybrid,-3.4179279107632296e-05,-0.006774467474499751,0.00932894625573907,2,5,63,70
query,validation,joint_minus_entities,hybrid,0.0,0.0,0.0,0,0,70,70
query,validation,joint_minus_context,hybrid,-0.0001135104621217266,-0.006813157260682683,0.009258162712318717,2,5,63,70
query,validation,joint_remove_gate,hybrid,-0.0001135104621217266,-0.006813157260682683,0.009258162712318717,2,5,63,70
query,validation,fixed_entity_010,hybrid,0.0012191164870357987,-0.004851601388975057,0.009780735021659213,3,2,65,70
query,validation,fixed_joint_gated_010,hybrid,0.0010218818014176361,-0.004855232206900282,0.00963619415147645,3,3,64,70
query,validation,fixed_joint_ungated_010,hybrid,0.0012717336487816056,-0.00479898422722925,0.009808884272892308,3,1,66,70
query,validation,joint_minus_entities,joint_gated,0.0001135104621217266,-0.00925816271231872,0.006813157260682678,5,2,63,70
query,validation,joint_minus_context,joint_gated,0.0,0.0,0.0,0,0,70,70
query,validation,joint_remove_gate,joint_gated,0.0,0.0,0.0,0,0,70,70
query,validation,fixed_joint_gated_010,fixed_joint_ungated_010,-0.0002498518473639696,-0.0006969383803461021,0.0,0,2,68,70
query,test,entity_only,hybrid,-0.004667751328854921,-0.011480487565003396,-8.727411075076273e-05,2,6,60,68
query,test,gated_context_only,hybrid,0.0,0.0,0.0,0,0,68,68
query,test,ungated_context_only,hybrid,1.702916465771358e-05,0.0,5.108749397314074e-05,1,0,67,68
query,test,joint_gated,hybrid,-0.004667751328854921,-0.011480487565003396,-8.727411075076273e-05,2,6,60,68
query,test,joint_ungated,hybrid,-0.004092547965786466,-0.010270792761882194,-4.8862928106958705e-05,2,6,60,68
query,test,joint_minus_entities,hybrid,0.0,0.0,0.0,0,0,68,68
query,test,joint_minus_context,hybrid,-0.004667751328854921,-0.011480487565003396,-8.727411075076273e-05,2,6,60,68
query,test,joint_remove_gate,hybrid,-0.004667751328854921,-0.011480487565003396,-8.727411075076273e-05,2,6,60,68
query,test,fixed_entity_010,hybrid,-0.004200195490092127,-0.010786907844886342,2.629474720111747e-05,1,5,62,68
query,test,fixed_joint_gated_010,hybrid,-0.0025953925353612963,-0.007705890326529672,0.00010407705046843778,1,4,63,68
query,test,fixed_joint_ungated_010,hybrid,-0.0025846460310836143,-0.007695143822251991,0.00011809070518857533,1,4,63,68
query,test,joint_minus_entities,joint_gated,0.004667751328854921,8.727411075076014e-05,0.011480487565003396,6,2,60,68
query,test,joint_minus_context,joint_gated,0.0,0.0,0.0,0,0,68,68
query,test,joint_remove_gate,joint_gated,0.0,0.0,0.0,0,0,68,68
query,test,fixed_joint_gated_010,fixed_joint_ungated_010,-1.0746504277681727e-05,-3.223951283304518e-05,0.0,0,1,67,68
query_dedup,validation,entity_only,hybrid,-0.0016756754585680806,-0.008579717879892281,0.005088327399350461,1,3,65,69
query_dedup,validation,gated_context_only,hybrid,0.0,0.0,0.0,0,0,69,69
query_dedup,validation,ungated_context_only,hybrid,0.0,0.0,0.0,0,0,69,69
query_dedup,validation,joint_gated,hybrid,-0.0016756754585680806,-0.008579717879892281,0.005088327399350461,1,3,65,69
query_dedup,validation,joint_ungated,hybrid,-0.0010893958225061174,-0.007563909274435796,0.005674607035412424,1,3,65,69
query_dedup,validation,joint_minus_entities,hybrid,0.0,0.0,0.0,0,0,69,69
query_dedup,validation,joint_minus_context,hybrid,-0.0016756754585680806,-0.008579717879892281,0.005088327399350461,1,3,65,69
query_dedup,validation,joint_remove_gate,hybrid,-0.0016756754585680806,-0.008579717879892281,0.005088327399350461,1,3,65,69
query_dedup,validation,fixed_entity_010,hybrid,-0.0014368002378997206,-0.00805605839282383,0.005327202620018821,1,2,66,69
query_dedup,validation,fixed_joint_gated_010,hybrid,-5.534845632834252e-05,-0.00647451345192968,0.006708654401590199,1,2,66,69
query_dedup,validation,fixed_joint_ungated_010,hybrid,0.00014474470299443137,-0.00647451345192968,0.006908747560912973,1,1,67,69
query_dedup,validation,joint_minus_entities,joint_gated,0.0016756754585680806,-0.005088327399350461,0.008579717879892274,3,1,65,69
query_dedup,validation,joint_minus_context,joint_gated,0.0,0.0,0.0,0,0,69,69
query_dedup,validation,joint_remove_gate,joint_gated,0.0,0.0,0.0,0,0,69,69
query_dedup,validation,fixed_joint_gated_010,fixed_joint_ungated_010,-0.0002000931593227739,-0.0006002794779683217,0.0,0,1,68,69
query_dedup,test,entity_only,hybrid,0.0031458750117720727,-0.0014466200759529464,0.010710657707575996,5,4,59,68
query_dedup,test,gated_context_only,hybrid,0.0,0.0,0.0,0,0,68,68
query_dedup,test,ungated_context_only,hybrid,1.702916465771358e-05,0.0,5.108749397314074e-05,1,0,67,68
query_dedup,test,joint_gated,hybrid,0.0031458750117720727,-0.0014466200759529464,0.010710657707575996,5,4,59,68
query_dedup,test,joint_ungated,hybrid,0.0031655293652018517,-0.0014407672932341222,0.010740719029009872,5,4,59,68
query_dedup,test,joint_minus_entities,hybrid,0.0,0.0,0.0,0,0,68,68
query_dedup,test,joint_minus_context,hybrid,0.0031458750117720727,-0.0014466200759529464,0.010710657707575996,5,4,59,68
query_dedup,test,joint_remove_gate,hybrid,0.0031458750117720727,-0.0014466200759529464,0.010710657707575996,5,4,59,68
query_dedup,test,fixed_entity_010,hybrid,0.0033714822783049605,-0.00019082293578148767,0.010110435259335627,4,2,62,68
query_dedup,test,fixed_joint_gated_010,hybrid,0.0033714822783049605,-0.00019082293578148767,0.010110435259335627,4,2,62,68
query_dedup,test,fixed_joint_ungated_010,hybrid,0.003382228782582642,-0.00017119848548080937,0.010112943014803765,4,2,62,68
query_dedup,test,joint_minus_entities,joint_gated,-0.0031458750117720727,-0.010710657707575998,0.0014466200759529464,4,5,59,68
query_dedup,test,joint_minus_context,joint_gated,0.0,0.0,0.0,0,0,68,68
query_dedup,test,joint_remove_gate,joint_gated,0.0,0.0,0.0,0,0,68,68
query_dedup,test,fixed_joint_gated_010,fixed_joint_ungated_010,-1.0746504277681727e-05,-3.223951283304518e-05,0.0,0,1,67,68
