query_id,query_text,language,disease_entity,icd10_code,molecule_entity,atc_code,drug_class_entity,atc_class,therapeutic_area,age_group,pregnancy_status,year,recency_flag,dose_context_flag,route,renal_function_group,hepatic_impairment_flag,comparison_flag,negation_flag,prior_treatment_failure_flag,intent,intent_top_level,intent_subtype,rule_intent_signal,prototype_intent_signal,cluster_intent_signal,signal_plurality_intent,signal_agreement,label_confidence,label_source,review_flag,gold_set_membership,annotation_notes
Q011,Psoriasis dengan renal impairment penyesuaian dosis Tacrolimus topical,MIXED,Psoriasis,L40,Tacrolimus topical,D11AH01,Topical calcineurin inhibitors,D11AH,Dermatology,,,,False,True,topical,renal_impairment,False,False,False,False,Dosing / Administration,Pharmacotherapy,Dosing / Administration,Dosing / Administration,Dosing / Administration,Dosing / Administration,Dosing / Administration,unanimous,high,three_signal_consensus,False,not_reviewed,requested regimen or adjustment determines the primary information need Three-signal status: unanimous (rule=Dosing / Administration; prototype=Dosing / Administration; cluster=Dosing / Administration).
Q012,Artemether-lumefantrine pada pasien elderly Typhoid Fever apa perlu adjustment,MIXED,Typhoid Fever,A01.0,Artemether-lumefantrine,P01BF01,Antimalarials,P01BF,Infectious Disease,elderly,,,False,True,,,False,False,False,False,Dosing / Administration,Pharmacotherapy,Dosing / Administration,Dosing / Administration,Efficacy / Outcomes,Efficacy / Outcomes,Efficacy / Outcomes,prototype_cluster_against_rule,low,rule_with_model_disagreement,True,not_reviewed,requested regimen or adjustment determines the primary information need Three-signal status: prototype_cluster_against_rule (rule=Dosing / Administration; prototype=Efficacy / Outcomes; cluster=Efficacy / Outcomes).
Q013,kontraindikasi Bedaquiline pada Tuberculosis dengan anaemia,MIXED,Tuberculosis,A15,Bedaquiline,J04AK05,Antituberculotics,J04AK,Pulmonology,,,,False,False,,,False,False,False,False,Safety / Contraindication,Pharmacotherapy,Safety / Contraindication,Safety / Contraindication,Comparative Treatment Choice,Safety / Contraindication,Safety / Contraindication,two_signal_including_rule,medium,rule_model_consensus,True,not_reviewed,"harm, suitability, contraindication, or pregnancy-safety wording overrides dose when safety is explicit Three-signal status: two_signal_including_rule (rule=Safety / Contraindication; prototype=Comparative Treatment Choice; cluster=Safety / Contraindication)."
Q014,Malaria pediatric dosing Tenofovir disoproxil,EN,Malaria,B50,Tenofovir disoproxil,J05AF07,NRTIs,J05AF,Infectious Disease,pediatric,,,False,True,,,False,False,False,False,Dosing / Administration,Pharmacotherapy,Dosing / Administration,Dosing / Administration,Dosing / Administration,Dosing / Administration,Dosing / Administration,unanimous,high,three_signal_consensus,False,not_reviewed,requested regimen or adjustment determines the primary information need Three-signal status: unanimous (rule=Dosing / Administration; prototype=Dosing / Administration; cluster=Dosing / Administration).
Q015,Peptic Ulcer Disease prophylaxis Lansoprazole indication,EN,Peptic Ulcer Disease,K27,Lansoprazole,A02BC03,Proton pump inhibitors,A02BC,Gastroenterology,,,,False,False,,,False,False,False,False,Prophylaxis / Maintenance,Management / Treatment,Prophylaxis / Maintenance,Prophylaxis / Maintenance,Prophylaxis / Maintenance,Comparative Treatment Choice,Prophylaxis / Maintenance,two_signal_including_rule,medium,model_assisted_schema_review,True,gold_reviewed,prevention or maintenance framing overrides generic indication Three-signal status: two_signal_including_rule (rule=Prophylaxis / Maintenance; prototype=Prophylaxis / Maintenance; cluster=Comparative Treatment Choice). Multiple cues were resolved with the frozen primary-information-need hierarchy.
Q016,is Bortezomib safe in Rheumatoid Arthritis with renal impairment,EN,Rheumatoid Arthritis,M05,Bortezomib,L01XG01,Proteasome inhibitors,L01XG,Rheumatology,,,,False,False,,renal_impairment,False,False,False,False,Safety / Contraindication,Pharmacotherapy,Safety / Contraindication,Safety / Contraindication,Comparative Treatment Choice,Dosing / Administration,,three_way_disagreement,low,rule_with_model_disagreement,True,not_reviewed,"harm, suitability, contraindication, or pregnancy-safety wording overrides dose when safety is explicit Three-signal status: three_way_disagreement (rule=Safety / Contraindication; prototype=Comparative Treatment Choice; cluster=Dosing / Administration)."
Q017,PD-1 inhibitors mechanism untuk Colorectal Cancer bagaimana cara kerjanya,MIXED,Colorectal Cancer,C18,Pembrolizumab,L01FF02,PD-1 inhibitors,L01FF,Oncology,,,,False,False,,,False,False,False,False,Mechanism / Background Knowledge,New dataset-specific class,Mechanism / Background Knowledge,Mechanism / Background Knowledge,Mechanism / Background Knowledge,Mechanism / Background Knowledge,Mechanism / Background Knowledge,unanimous,high,three_signal_consensus,False,not_reviewed,mechanism or pathophysiology is explanatory rather than management-oriented Three-signal status: unanimous (rule=Mechanism / Background Knowledge; prototype=Mechanism / Background Knowledge; cluster=Mechanism / Background Knowledge).
Q018,interaksi obat Losartan dan Empagliflozin pada Chronic Kidney Disease,ID,Chronic Kidney Disease,N18,Losartan; Empagliflozin,C09CA01; A10BK03,ARBs; SGLT2 inhibitors,C09CA; A10BK,Nephrology,,,,False,False,,,False,False,False,False,Interaction / Combination,Pharmacotherapy,Interaction / Combination,Interaction / Combination,Comparative Treatment Choice,Comparative Treatment Choice,Comparative Treatment Choice,prototype_cluster_against_rule,low,model_assisted_schema_review,True,gold_reviewed,co-administration or interaction overrides general safety Three-signal status: prototype_cluster_against_rule (rule=Interaction / Combination; prototype=Comparative Treatment Choice; cluster=Comparative Treatment Choice).
Q019,Rheumatoid Arthritis dengan renal impairment penyesuaian dosis Bortezomib,MIXED,Rheumatoid Arthritis,M05,Bortezomib,L01XG01,Proteasome inhibitors,L01XG,Rheumatology,,,,False,True,,renal_impairment,False,False,False,False,Dosing / Administration,Pharmacotherapy,Dosing / Administration,Dosing / Administration,Dosing / Administration,Dosing / Administration,Dosing / Administration,unanimous,high,three_signal_consensus,False,not_reviewed,requested regimen or adjustment determines the primary information need Three-signal status: unanimous (rule=Dosing / Administration; prototype=Dosing / Administration; cluster=Dosing / Administration).
Q020,latest Malaria management guidelines 2025,EN,Malaria,B50,Dolutegravir,J05AJ03,Integrase inhibitors,J05AJ,Infectious Disease,,,2025.0,True,False,,,False,False,False,False,Guideline / Evidence Lookup,Evidence / Guideline Lookup,Guideline / Evidence Lookup,Guideline / Evidence Lookup,Management / Treatment Selection,Comparative Treatment Choice,,three_way_disagreement,low,rule_with_model_disagreement,True,not_reviewed,"explicit evidence, guideline, recency, or year constraint overrides treatment choice Three-signal status: three_way_disagreement (rule=Guideline / Evidence Lookup; prototype=Management / Treatment Selection; cluster=Comparative Treatment Choice)."
Q021,dosis titrasi Tenofovir disoproxil Malaria toleransi pasien,MIXED,Malaria,B50,Tenofovir disoproxil,J05AF07,NRTIs,J05AF,Infectious Disease,,,,False,True,,,False,False,False,False,Dosing / Administration,Pharmacotherapy,Dosing / Administration,Dosing / Administration,Efficacy / Outcomes,Efficacy / Outcomes,Efficacy / Outcomes,prototype_cluster_against_rule,low,rule_with_model_disagreement,True,not_reviewed,requested regimen or adjustment determines the primary information need Three-signal status: prototype_cluster_against_rule (rule=Dosing / Administration; prototype=Efficacy / Outcomes; cluster=Efficacy / Outcomes).
Q022,resistensi Methyldopa pada Hypertension in Pregnancy alternatif Methyldopa,ID,Hypertension in Pregnancy,O10,Methyldopa; Methyldopa,C02AB01; C02AB01,Centrally acting antihypertensives; Centrally acting antihypertensives,C02AB; C02AB,Obstetrics,,pregnant,,False,False,,,False,False,False,True,Treatment Change / Escalation,Management / Treatment,Treatment Change / Escalation,Treatment Change / Escalation,Comparative Treatment Choice,Comparative Treatment Choice,Comparative Treatment Choice,prototype_cluster_against_rule,low,rule_with_model_disagreement,True,not_reviewed,"failure, resistance, progression, switch, or add-on framing overrides initial selection Three-signal status: prototype_cluster_against_rule (rule=Treatment Change / Escalation; prototype=Comparative Treatment Choice; cluster=Comparative Treatment Choice)."
Q023,indikasi Sitagliptin pada Type 2 Diabetes Mellitus guideline terbaru,MIXED,Type 2 Diabetes Mellitus,E11,Sitagliptin,A10BH01,DPP-4 inhibitors,A10BH,Endocrinology,,,,True,False,,,False,False,False,False,Guideline / Evidence Lookup,Evidence / Guideline Lookup,Guideline / Evidence Lookup,Guideline / Evidence Lookup,Management / Treatment Selection,Comparative Treatment Choice,,three_way_disagreement,low,model_assisted_schema_review,True,pilot_reviewed,"explicit evidence, guideline, recency, or year constraint overrides treatment choice Three-signal status: three_way_disagreement (rule=Guideline / Evidence Lookup; prototype=Management / Treatment Selection; cluster=Comparative Treatment Choice). Multiple cues were resolved with the frozen primary-information-need hierarchy."
Q024,Gout dengan renal impairment penyesuaian dosis Adalimumab,MIXED,Gout,M10,Adalimumab,L04AB04,TNF inhibitors,L04AB,Rheumatology,,,,False,True,,renal_impairment,False,False,False,False,Dosing / Administration,Pharmacotherapy,Dosing / Administration,Dosing / Administration,Dosing / Administration,Dosing / Administration,Dosing / Administration,unanimous,high,three_signal_consensus,False,not_reviewed,requested regimen or adjustment determines the primary information need Three-signal status: unanimous (rule=Dosing / Administration; prototype=Dosing / Administration; cluster=Dosing / Administration).
Q025,Acute Coronary Syndrome guideline update 2023 summary,EN,Acute Coronary Syndrome,I24,Atorvastatin,C10AA05,Statins,C10AA,Cardiology,,,2023.0,True,False,,,False,False,False,False,Guideline / Evidence Lookup,Evidence / Guideline Lookup,Guideline / Evidence Lookup,Guideline / Evidence Lookup,Guideline / Evidence Lookup,Comparative Treatment Choice,Guideline / Evidence Lookup,two_signal_including_rule,medium,rule_model_consensus,True,not_reviewed,"explicit evidence, guideline, recency, or year constraint overrides treatment choice Three-signal status: two_signal_including_rule (rule=Guideline / Evidence Lookup; prototype=Guideline / Evidence Lookup; cluster=Comparative Treatment Choice)."
Q026,kontraindikasi Labetalol pada Hypertension in Pregnancy dengan atrial fibrillation,MIXED,Hypertension in Pregnancy,O10,Labetalol,C07AG01,Beta blockers non-selective,C07AG,Obstetrics,,pregnant,,False,False,,,False,False,False,False,Safety / Contraindication,Pharmacotherapy,Safety / Contraindication,Safety / Contraindication,Prophylaxis / Maintenance,Prophylaxis / Maintenance,Prophylaxis / Maintenance,prototype_cluster_against_rule,low,model_assisted_schema_review,True,pilot_reviewed,"harm, suitability, contraindication, or pregnancy-safety wording overrides dose when safety is explicit Three-signal status: prototype_cluster_against_rule (rule=Safety / Contraindication; prototype=Prophylaxis / Maintenance; cluster=Prophylaxis / Maintenance)."
Q027,Vitamin A adverse effects monitoring in Stunting / Malnutrition,EN,Stunting / Malnutrition,E43,Vitamin A,A11CA01,Vitamin A,A11CA,Pediatrics,,,,False,False,,,False,False,False,False,Safety / Contraindication,Pharmacotherapy,Safety / Contraindication,Safety / Contraindication,Monitoring / Response / Risk Assessment,Mechanism / Background Knowledge,,three_way_disagreement,low,model_assisted_schema_review,True,pilot_reviewed,"harm, suitability, contraindication, or pregnancy-safety wording overrides dose when safety is explicit Three-signal status: three_way_disagreement (rule=Safety / Contraindication; prototype=Monitoring / Response / Risk Assessment; cluster=Mechanism / Background Knowledge). Phase 2 suggestion 'Monitoring / Response / Risk Assessment' was not retained because the explicit request maps to 'Safety / Contraindication'. Multiple cues were resolved with the frozen primary-information-need hierarchy."
Q028,ACE inhibitors adverse effects monitoring in Hypertension,EN,Hypertension,I10,Ramipril,C09AA05,ACE inhibitors,C09AA,Cardiology,,,,False,False,,,False,False,False,False,Safety / Contraindication,Pharmacotherapy,Safety / Contraindication,Safety / Contraindication,Monitoring / Response / Risk Assessment,Mechanism / Background Knowledge,,three_way_disagreement,low,model_assisted_schema_review,True,pilot_reviewed,"harm, suitability, contraindication, or pregnancy-safety wording overrides dose when safety is explicit Three-signal status: three_way_disagreement (rule=Safety / Contraindication; prototype=Monitoring / Response / Risk Assessment; cluster=Mechanism / Background Knowledge). Phase 2 suggestion 'Monitoring / Response / Risk Assessment' was not retained because the explicit request maps to 'Safety / Contraindication'. Multiple cues were resolved with the frozen primary-information-need hierarchy."
Q029,Empagliflozin efficacy pada Type 2 Diabetes Mellitus clinical outcome data,MIXED,Type 2 Diabetes Mellitus,E11,Empagliflozin,A10BK03,SGLT2 inhibitors,A10BK,Endocrinology,,,,False,False,,,False,False,False,False,Efficacy / Outcomes,Pharmacotherapy; Epidemiology / Prognosis,Efficacy / Outcomes,Efficacy / Outcomes,Efficacy / Outcomes,Comparative Treatment Choice,Efficacy / Outcomes,two_signal_including_rule,medium,model_assisted_schema_review,True,pilot_reviewed,single-treatment efficacy or outcome evidence is the requested output Three-signal status: two_signal_including_rule (rule=Efficacy / Outcomes; prototype=Efficacy / Outcomes; cluster=Comparative Treatment Choice).
Q030,is Losartan safe in Hypertension with liver disease,EN,Hypertension,I10,Losartan,C09CA01,ARBs,C09CA,Cardiology,,,,False,False,,,True,False,False,False,Safety / Contraindication,Pharmacotherapy,Safety / Contraindication,Safety / Contraindication,Comparative Treatment Choice,Dosing / Administration,,three_way_disagreement,low,model_assisted_schema_review,True,gold_reviewed,"harm, suitability, contraindication, or pregnancy-safety wording overrides dose when safety is explicit Three-signal status: three_way_disagreement (rule=Safety / Contraindication; prototype=Comparative Treatment Choice; cluster=Dosing / Administration)."
Q031,Ibuprofen side effect pada pasien Psoriatic Arthritis apa saja,MIXED,Psoriatic Arthritis,M07,Ibuprofen,M01AE01,NSAIDs,M01AE,Rheumatology,,,,False,False,,,False,False,False,False,Safety / Contraindication,Pharmacotherapy,Safety / Contraindication,Safety / Contraindication,Comparative Treatment Choice,Comparative Treatment Choice,Comparative Treatment Choice,prototype_cluster_against_rule,low,model_assisted_schema_review,True,gold_reviewed,"harm, suitability, contraindication, or pregnancy-safety wording overrides dose when safety is explicit Three-signal status: prototype_cluster_against_rule (rule=Safety / Contraindication; prototype=Comparative Treatment Choice; cluster=Comparative Treatment Choice)."
Q032,interaksi obat Ramipril dan Spironolactone pada Heart Failure,ID,Heart Failure,I50,Ramipril; Spironolactone,C09AA05; C03DA01,ACE inhibitors; Aldosterone antagonists,C09AA; C03DA,Cardiology,,,,False,False,,,False,False,False,False,Interaction / Combination,Pharmacotherapy,Interaction / Combination,Interaction / Combination,Comparative Treatment Choice,Comparative Treatment Choice,Comparative Treatment Choice,prototype_cluster_against_rule,low,model_assisted_schema_review,True,gold_reviewed,co-administration or interaction overrides general safety Three-signal status: prototype_cluster_against_rule (rule=Interaction / Combination; prototype=Comparative Treatment Choice; cluster=Comparative Treatment Choice).
Q033,dosis Semaglutide pada Obesity pasien hypertension aman tidak,MIXED,Obesity,E66,Semaglutide,A10BJ06,GLP-1 receptor agonists,A10BJ,Endocrinology,,,,False,True,,,False,False,True,False,Safety / Contraindication,Pharmacotherapy,Safety / Contraindication,Safety / Contraindication,Dosing / Administration,Dosing / Administration,Dosing / Administration,prototype_cluster_against_rule,low,rule_with_model_disagreement,True,not_reviewed,"harm, suitability, contraindication, or pregnancy-safety wording overrides dose when safety is explicit Three-signal status: prototype_cluster_against_rule (rule=Safety / Contraindication; prototype=Dosing / Administration; cluster=Dosing / Administration). Multiple cues were resolved with the frozen primary-information-need hierarchy."
Q034,Typhoid Fever treatment algorithm Antimalarials first line,EN,Typhoid Fever,A01.0,Artemether-lumefantrine,P01BF01,Antimalarials,P01BF,Infectious Disease,,,,False,False,,,False,False,False,False,Management / Treatment Selection,Management / Treatment,Management / Treatment Selection,Management / Treatment Selection,Management / Treatment Selection,Mechanism / Background Knowledge,Management / Treatment Selection,two_signal_including_rule,medium,rule_model_consensus,True,not_reviewed,initial treatment choice overrides demographic safety context unless safety is asked Three-signal status: two_signal_including_rule (rule=Management / Treatment Selection; prototype=Management / Treatment Selection; cluster=Mechanism / Background Knowledge).
Q035,algoritma terapi HIV/AIDS step up,ID,HIV/AIDS,B20,Levofloxacin,J01MA12,Fluoroquinolones,J01MA,Infectious Disease,,,,False,False,,,False,False,False,False,Management / Treatment Selection,Management / Treatment,Management / Treatment Selection,Management / Treatment Selection,Management / Treatment Selection,Management / Treatment Selection,Management / Treatment Selection,unanimous,high,three_signal_consensus,False,not_reviewed,initial treatment choice overrides demographic safety context unless safety is asked Three-signal status: unanimous (rule=Management / Treatment Selection; prototype=Management / Treatment Selection; cluster=Management / Treatment Selection).
Q036,Atrial Fibrillation pediatric dosing Empagliflozin,EN,Atrial Fibrillation,I48,Empagliflozin,A10BK03,SGLT2 inhibitors,A10BK,Cardiology,pediatric,,,False,True,,,False,False,False,False,Dosing / Administration,Pharmacotherapy,Dosing / Administration,Dosing / Administration,Dosing / Administration,Dosing / Administration,Dosing / Administration,unanimous,high,three_signal_consensus,False,not_reviewed,requested regimen or adjustment determines the primary information need Three-signal status: unanimous (rule=Dosing / Administration; prototype=Dosing / Administration; cluster=Dosing / Administration).
Q037,SSRIs in pregnancy and ADHD,EN,ADHD,F90,Sertraline,N06AB06,SSRIs,N06AB,Psychiatry,,pregnant,,False,False,,,False,False,False,False,Safety / Contraindication,Pharmacotherapy,Safety / Contraindication,Safety / Contraindication,Safety / Contraindication,Safety / Contraindication,Safety / Contraindication,unanimous,high,three_signal_consensus,False,not_reviewed,"harm, suitability, contraindication, or pregnancy-safety wording overrides dose when safety is explicit Three-signal status: unanimous (rule=Safety / Contraindication; prototype=Safety / Contraindication; cluster=Safety / Contraindication)."
Q038,Integrase inhibitors terbaru untuk Malaria terbaru,MIXED,Malaria,B50,Dolutegravir,J05AJ03,Integrase inhibitors,J05AJ,Infectious Disease,,,,True,False,,,False,False,False,False,Guideline / Evidence Lookup,Evidence / Guideline Lookup,Guideline / Evidence Lookup,Guideline / Evidence Lookup,Comparative Treatment Choice,Mechanism / Background Knowledge,,three_way_disagreement,low,rule_with_model_disagreement,True,not_reviewed,"explicit evidence, guideline, recency, or year constraint overrides treatment choice Three-signal status: three_way_disagreement (rule=Guideline / Evidence Lookup; prototype=Comparative Treatment Choice; cluster=Mechanism / Background Knowledge)."
Q039,algoritma terapi Chronic Kidney Disease step up,ID,Chronic Kidney Disease,N18,Dapagliflozin,A10BK01,SGLT2 inhibitors,A10BK,Nephrology,,,,False,False,,,False,False,False,False,Management / Treatment Selection,Management / Treatment,Management / Treatment Selection,Management / Treatment Selection,Management / Treatment Selection,Management / Treatment Selection,Management / Treatment Selection,unanimous,high,three_signal_consensus,False,not_reviewed,initial treatment choice overrides demographic safety context unless safety is asked Three-signal status: unanimous (rule=Management / Treatment Selection; prototype=Management / Treatment Selection; cluster=Management / Treatment Selection).
Q040,resistensi Desmopressin pada Diabetes Insipidus alternatif Desmopressin,ID,Diabetes Insipidus,E23.2,Desmopressin; Desmopressin,H01BA02; H01BA02,Vasopressin analogues; Vasopressin analogues,H01BA; H01BA,Endocrinology,,,,False,False,,,False,False,False,True,Treatment Change / Escalation,Management / Treatment,Treatment Change / Escalation,Treatment Change / Escalation,Comparative Treatment Choice,Comparative Treatment Choice,Comparative Treatment Choice,prototype_cluster_against_rule,low,rule_with_model_disagreement,True,not_reviewed,"failure, resistance, progression, switch, or add-on framing overrides initial selection Three-signal status: prototype_cluster_against_rule (rule=Treatment Change / Escalation; prototype=Comparative Treatment Choice; cluster=Comparative Treatment Choice)."
Q041,SGLT2 inhibitors mechanism of action in Chronic Kidney Disease,EN,Chronic Kidney Disease,N18,Empagliflozin,A10BK03,SGLT2 inhibitors,A10BK,Nephrology,,,,False,False,,,False,False,False,False,Mechanism / Background Knowledge,New dataset-specific class,Mechanism / Background Knowledge,Mechanism / Background Knowledge,Mechanism / Background Knowledge,Mechanism / Background Knowledge,Mechanism / Background Knowledge,unanimous,high,three_signal_consensus,False,not_reviewed,mechanism or pathophysiology is explanatory rather than management-oriented Three-signal status: unanimous (rule=Mechanism / Background Knowledge; prototype=Mechanism / Background Knowledge; cluster=Mechanism / Background Knowledge).
Q042,switch from Piperacillin-tazobactam to Norepinephrine in Sepsis,EN,Sepsis,A41,Piperacillin-tazobactam; Norepinephrine,J01CR05; C01CA03,Beta-lactam combinations; Adrenergic agonists,J01CR; C01CA,Critical Care,,,,False,False,,,False,False,False,False,Treatment Change / Escalation,Management / Treatment,Treatment Change / Escalation,Treatment Change / Escalation,Management / Treatment Selection,Comparative Treatment Choice,,three_way_disagreement,low,rule_with_model_disagreement,True,not_reviewed,"failure, resistance, progression, switch, or add-on framing overrides initial selection Three-signal status: three_way_disagreement (rule=Treatment Change / Escalation; prototype=Management / Treatment Selection; cluster=Comparative Treatment Choice)."
Q043,Thyroid hormones kontraindikasi pada Hyperthyroidism dengan hepatic impairment,ID,Hyperthyroidism,E05,Levothyroxine,H03AA01,Thyroid hormones,H03AA,Endocrinology,,,,False,False,,,True,False,False,False,Safety / Contraindication,Pharmacotherapy,Safety / Contraindication,Safety / Contraindication,Dosing / Administration,Dosing / Administration,Dosing / Administration,prototype_cluster_against_rule,low,rule_with_model_disagreement,True,not_reviewed,"harm, suitability, contraindication, or pregnancy-safety wording overrides dose when safety is explicit Three-signal status: prototype_cluster_against_rule (rule=Safety / Contraindication; prototype=Dosing / Administration; cluster=Dosing / Administration)."
