protocol,experiment,query_id,query_text,language,signal_agreement,fold,true_intent,predicted_intent,predicted_probability,second_intent,probability_margin,correct,manual_review_note
template_grouped,T1-E4,Q172,kapan mulai terapi Aspirin pada Stable Angina,ID,two_signal_including_rule,2,Management / Treatment Selection,Prophylaxis / Maintenance,0.14381822924437596,Treatment Change / Escalation,0.002063255625556426,False,Treatment initiation is incorrectly interpreted as longitudinal maintenance despite the absence of a prophylaxis or achieved-target cue.
template_grouped,T1-E4,Q044,Malaria with pregnancy first line drug,EN,prototype_cluster_against_rule,1,Management / Treatment Selection,Safety / Contraindication,0.36019941066563665,Management / Treatment Selection,0.10354551350680086,False,Pregnancy or comorbidity context overwhelms the explicit first-line/treatment-choice request.
template_grouped,T1-E4,Q211,Tuberculosis dengan atrial fibrillation pilihan terapi,ID,prototype_cluster_against_rule,2,Management / Treatment Selection,Safety / Contraindication,0.2030914944865554,Dosing / Administration,0.058177340101057046,False,Pregnancy or comorbidity context overwhelms the explicit first-line/treatment-choice request.
template_grouped,T1-E4,Q219,Diabetes Insipidus dengan diabetes pilihan drug terbaik,MIXED,two_signal_including_rule,2,Management / Treatment Selection,Safety / Contraindication,0.24127892177087293,Management / Treatment Selection,0.09585552779473722,False,Pregnancy or comorbidity context overwhelms the explicit first-line/treatment-choice request.
template_grouped,T1-E4,Q205,terapi profilaksis Typhoid Fever dengan Artemether-lumefantrine,ID,two_signal_including_rule,1,Prophylaxis / Maintenance,Management / Treatment Selection,0.1559764062338399,Treatment Change / Escalation,0.00186916231136669,False,"Maintenance after target attainment is longitudinal management, but the explicit maintenance cue should determine the subtype."
template_grouped,T1-E4,Q208,terapi profilaksis Hypertension dengan Ramipril,ID,two_signal_including_rule,1,Prophylaxis / Maintenance,Management / Treatment Selection,0.1559764062338399,Treatment Change / Escalation,0.00186916231136669,False,"Maintenance after target attainment is longitudinal management, but the explicit maintenance cue should determine the subtype."
template_grouped,T1-E4,Q226,target Gout sudah tercapai kapan maintenance Secukinumab,MIXED,two_signal_including_rule,2,Prophylaxis / Maintenance,Management / Treatment Selection,0.13747479612073674,Prophylaxis / Maintenance,0.0059910990256479,False,"Maintenance after target attainment is longitudinal management, but the explicit maintenance cue should determine the subtype."
template_grouped,T1-E4,Q031,Ibuprofen side effect pada pasien Psoriatic Arthritis apa saja,MIXED,prototype_cluster_against_rule,1,Safety / Contraindication,Dosing / Administration,0.15622813392393503,Interaction / Combination,0.0024228958576023307,False,The fused model overweights dose/adjustment semantics or the frequent Dosing class; the explicit safety or adverse-effect request should determine the label.
template_grouped,T1-E4,Q033,dosis Semaglutide pada Obesity pasien hypertension aman tidak,MIXED,prototype_cluster_against_rule,2,Safety / Contraindication,Dosing / Administration,0.47811952041417727,Safety / Contraindication,0.3450650824533629,False,The fused model overweights dose/adjustment semantics or the frequent Dosing class; the explicit safety or adverse-effect request should determine the label.
template_grouped,T1-E4,Q055,Methimazole side effect pada pasien Hyperthyroidism apa saja,MIXED,prototype_cluster_against_rule,1,Safety / Contraindication,Dosing / Administration,0.15622813392393503,Interaction / Combination,0.0024228958576023307,False,The fused model overweights dose/adjustment semantics or the frequent Dosing class; the explicit safety or adverse-effect request should determine the label.
template_grouped,T1-E4,Q250,efek samping Vitamin K antagonists pada Atrial Fibrillation,ID,prototype_cluster_against_rule,2,Safety / Contraindication,Mechanism / Background Knowledge,0.239629164180197,Safety / Contraindication,0.03744746014590564,False,Bahasa adverse-effect wording is embedded as general drug information instead of a safety request.
template_grouped,T1-E4,Q323,efek samping Inhaled corticosteroids pada Asthma,ID,prototype_cluster_against_rule,2,Safety / Contraindication,Mechanism / Background Knowledge,0.23908677803346598,Safety / Contraindication,0.039654303718146405,False,Bahasa adverse-effect wording is embedded as general drug information instead of a safety request.
