protocol,experiment,query_id,query_text,language,signal_agreement,fold,true_intent,predicted_intent,predicted_probability,second_intent,probability_margin,correct,embedding_prediction,embedding_correct,change_outcome
template_grouped,T1-E4,Q386,Zinc side effect pada pasien Stunting / Malnutrition apa saja,MIXED,prototype_cluster_against_rule,1,Safety / Contraindication,Dosing / Administration,0.15622813392393503,Interaction / Combination,0.0024228958576023307,False,Interaction / Combination,False,changed_but_both_wrong
template_grouped,T1-E4,Q410,kapan mulai terapi Alteplase pada Ischaemic Stroke,ID,two_signal_including_rule,2,Management / Treatment Selection,Prophylaxis / Maintenance,0.14381822924437596,Treatment Change / Escalation,0.002063255625556426,False,Treatment Change / Escalation,False,changed_but_both_wrong
template_grouped,T1-E4,Q467,Artemether-lumefantrine side effect pada pasien Typhoid Fever apa saja,MIXED,prototype_cluster_against_rule,1,Safety / Contraindication,Dosing / Administration,0.15622813392393503,Interaction / Combination,0.0024228958576023307,False,Interaction / Combination,False,changed_but_both_wrong
template_grouped,T1-E4,Q496,Insulin degludec side effect pada pasien Type 1 Diabetes Mellitus apa saja,MIXED,prototype_cluster_against_rule,1,Safety / Contraindication,Dosing / Administration,0.15622813392393503,Interaction / Combination,0.0024228958576023307,False,Interaction / Combination,False,changed_but_both_wrong
template_grouped,T1-E4,Q012,Artemether-lumefantrine pada pasien elderly Typhoid Fever apa perlu adjustment,MIXED,prototype_cluster_against_rule,2,Dosing / Administration,Dosing / Administration,0.17478855839787674,Safety / Contraindication,0.022167285661886166,True,Treatment Change / Escalation,False,fixed_embedding_error
template_grouped,T1-E4,Q063,Malaria pada anak dosis Tenofovir disoproxil,ID,unanimous,1,Dosing / Administration,Dosing / Administration,0.1976720260109128,Safety / Contraindication,0.048369113665117536,True,Safety / Contraindication,False,fixed_embedding_error
template_grouped,T1-E4,Q091,Liraglutide pada pasien elderly Obesity apa perlu adjustment,MIXED,prototype_cluster_against_rule,2,Dosing / Administration,Dosing / Administration,0.17478855839787674,Safety / Contraindication,0.022167285661886166,True,Treatment Change / Escalation,False,fixed_embedding_error
template_grouped,T1-E4,Q097,Iron Deficiency Anaemia pada anak dosis Ferrous sulphate,ID,unanimous,1,Dosing / Administration,Dosing / Administration,0.1976720260109128,Safety / Contraindication,0.048369113665117536,True,Safety / Contraindication,False,fixed_embedding_error
template_grouped,T1-E4,Q121,when to start Venlafaxine in Major Depressive Disorder,EN,two_signal_including_rule,2,Management / Treatment Selection,Management / Treatment Selection,0.15842945537860223,Comparative Treatment Choice,0.022999998757695622,True,Comparative Treatment Choice,False,fixed_embedding_error
template_grouped,T1-E4,Q122,Tenofovir+Lamivudine pada pasien elderly Urinary Tract Infection apa perlu adjustment,MIXED,prototype_cluster_against_rule,2,Dosing / Administration,Dosing / Administration,0.17478855839787674,Safety / Contraindication,0.022167285661886166,True,Treatment Change / Escalation,False,fixed_embedding_error
template_grouped,T1-E4,Q158,when to start Sertraline in ADHD,EN,two_signal_including_rule,2,Management / Treatment Selection,Management / Treatment Selection,0.15842945537860223,Comparative Treatment Choice,0.022999998757695622,True,Comparative Treatment Choice,False,fixed_embedding_error
template_grouped,T1-E4,Q160,Obesity pada anak dosis Liraglutide,ID,unanimous,1,Dosing / Administration,Dosing / Administration,0.1976720260109128,Safety / Contraindication,0.048369113665117536,True,Safety / Contraindication,False,fixed_embedding_error
template_grouped,T1-E4,Q161,Magnesium sulphate pada pasien elderly Preeclampsia apa perlu adjustment,MIXED,prototype_cluster_against_rule,2,Dosing / Administration,Dosing / Administration,0.16368934830480725,Safety / Contraindication,0.00487739541886853,True,Treatment Change / Escalation,False,fixed_embedding_error
template_grouped,T1-E4,Q206,Ischaemic Stroke pada anak dosis Aspirin,ID,unanimous,1,Dosing / Administration,Dosing / Administration,0.1976720260109128,Safety / Contraindication,0.048369113665117536,True,Safety / Contraindication,False,fixed_embedding_error
template_grouped,T1-E4,Q239,Ramipril pada pasien elderly Hypertension apa perlu adjustment,MIXED,prototype_cluster_against_rule,2,Dosing / Administration,Dosing / Administration,0.17478855839787674,Safety / Contraindication,0.022167285661886166,True,Treatment Change / Escalation,False,fixed_embedding_error
template_grouped,T1-E4,Q249,Sitagliptin pada pasien elderly Type 2 Diabetes Mellitus apa perlu adjustment,MIXED,prototype_cluster_against_rule,2,Dosing / Administration,Dosing / Administration,0.17478855839787674,Safety / Contraindication,0.022167285661886166,True,Treatment Change / Escalation,False,fixed_embedding_error
template_grouped,T1-E4,Q258,when to start Alteplase in Ischaemic Stroke,EN,two_signal_including_rule,2,Management / Treatment Selection,Management / Treatment Selection,0.15842945537860223,Comparative Treatment Choice,0.022999998757695622,True,Comparative Treatment Choice,False,fixed_embedding_error
template_grouped,T1-E4,Q270,Bedaquiline pada pasien elderly MDR Tuberculosis apa perlu adjustment,MIXED,prototype_cluster_against_rule,2,Dosing / Administration,Dosing / Administration,0.17478855839787674,Safety / Contraindication,0.022167285661886166,True,Treatment Change / Escalation,False,fixed_embedding_error
template_grouped,T1-E4,Q291,Peptic Ulcer Disease dengan hypertension pilihan terapi,ID,two_signal_including_rule,2,Management / Treatment Selection,Management / Treatment Selection,0.15997439360994709,Dosing / Administration,0.0029406162197027352,True,Dosing / Administration,False,fixed_embedding_error
template_grouped,T1-E4,Q305,when to start Diazepam in Febrile Seizure,EN,two_signal_including_rule,2,Management / Treatment Selection,Management / Treatment Selection,0.15842945537860223,Comparative Treatment Choice,0.022999998757695622,True,Comparative Treatment Choice,False,fixed_embedding_error
template_grouped,T1-E4,Q375,Tuberculosis pada anak dosis Bedaquiline,ID,unanimous,1,Dosing / Administration,Dosing / Administration,0.1976720260109128,Safety / Contraindication,0.048369113665117536,True,Safety / Contraindication,False,fixed_embedding_error
template_grouped,T1-E4,Q382,when to start Methylphenidate in Breast Cancer HER2-positive,EN,two_signal_including_rule,2,Management / Treatment Selection,Management / Treatment Selection,0.15842945537860223,Comparative Treatment Choice,0.022999998757695622,True,Comparative Treatment Choice,False,fixed_embedding_error
template_grouped,T1-E4,Q391,when to start Secukinumab in Disseminated Intravascular Coagulation,EN,two_signal_including_rule,2,Management / Treatment Selection,Management / Treatment Selection,0.15842945537860223,Comparative Treatment Choice,0.022999998757695622,True,Comparative Treatment Choice,False,fixed_embedding_error
template_grouped,T1-E4,Q400,COPD pada anak dosis Salmeterol,ID,unanimous,1,Dosing / Administration,Dosing / Administration,0.1976720260109128,Safety / Contraindication,0.048369113665117536,True,Safety / Contraindication,False,fixed_embedding_error
template_grouped,T1-E4,Q401,when to start Bisoprolol in Heart Failure,EN,two_signal_including_rule,2,Management / Treatment Selection,Management / Treatment Selection,0.15842945537860223,Comparative Treatment Choice,0.022999998757695622,True,Comparative Treatment Choice,False,fixed_embedding_error
template_grouped,T1-E4,Q407,Breast Cancer HER2-positive pada anak dosis Methylphenidate,ID,unanimous,1,Dosing / Administration,Dosing / Administration,0.1976720260109128,Safety / Contraindication,0.048369113665117536,True,Safety / Contraindication,False,fixed_embedding_error
template_grouped,T1-E4,Q411,Alendronate pada pasien elderly Osteoporosis apa perlu adjustment,MIXED,prototype_cluster_against_rule,2,Dosing / Administration,Dosing / Administration,0.17478855839787674,Safety / Contraindication,0.022167285661886166,True,Treatment Change / Escalation,False,fixed_embedding_error
template_grouped,T1-E4,Q420,Atrial Fibrillation pada anak dosis Metoprolol,ID,unanimous,1,Dosing / Administration,Dosing / Administration,0.1976720260109128,Safety / Contraindication,0.048369113665117536,True,Safety / Contraindication,False,fixed_embedding_error
template_grouped,T1-E4,Q453,Topiramate pada pasien elderly Migraine apa perlu adjustment,MIXED,prototype_cluster_against_rule,2,Dosing / Administration,Dosing / Administration,0.17478855839787674,Safety / Contraindication,0.022167285661886166,True,Treatment Change / Escalation,False,fixed_embedding_error
template_grouped,T1-E4,Q461,is Semaglutide safe in Type 2 Diabetes Mellitus with COPD,EN,two_signal_including_rule,1,Safety / Contraindication,Safety / Contraindication,0.17187758845467438,Interaction / Combination,0.011481720369273113,True,Interaction / Combination,False,fixed_embedding_error
template_grouped,T1-E4,Q470,HIV/AIDS pada anak dosis Amoxicillin,ID,unanimous,1,Dosing / Administration,Dosing / Administration,0.1976720260109128,Safety / Contraindication,0.048369113665117536,True,Safety / Contraindication,False,fixed_embedding_error
template_grouped,T1-E4,Q207,Ramipril combination therapy Hypertension,EN,two_signal_including_rule,1,Interaction / Combination,Management / Treatment Selection,0.15165477094078822,Interaction / Combination,0.027586759897106836,False,Interaction / Combination,True,introduced_error
template_grouped,T1-E4,Q306,Tenofovir+Lamivudine combination therapy Urinary Tract Infection,EN,two_signal_including_rule,1,Interaction / Combination,Management / Treatment Selection,0.15165477094078822,Interaction / Combination,0.027586759897106836,False,Interaction / Combination,True,introduced_error
template_grouped,T1-E4,Q432,Semaglutide combination therapy Obesity,EN,two_signal_including_rule,1,Interaction / Combination,Management / Treatment Selection,0.15165477094078822,Interaction / Combination,0.027586759897106836,False,Interaction / Combination,True,introduced_error
template_grouped,T1-E4,Q452,Prednisolone combination therapy Rheumatoid Arthritis,EN,two_signal_including_rule,1,Interaction / Combination,Management / Treatment Selection,0.15165477094078822,Interaction / Combination,0.027586759897106836,False,Interaction / Combination,True,introduced_error
template_grouped,T1-E4,Q462,Aspirin combination therapy Ischaemic Stroke,EN,two_signal_including_rule,1,Interaction / Combination,Management / Treatment Selection,0.15165477094078822,Interaction / Combination,0.027586759897106836,False,Interaction / Combination,True,introduced_error
