query_id,positive_pairs,judged_pairs,eligible,judged_fraction@1,recall@1,hit_rate@1,mrr@1,ndcg@1,judged_fraction@3,recall@3,hit_rate@3,mrr@3,ndcg@3,judged_fraction@5,recall@5,hit_rate@5,mrr@5,ndcg@5,judged_fraction@10,recall@10,hit_rate@10,mrr@10,ndcg@10,judged_fraction@20,recall@20,hit_rate@20,mrr@20,ndcg@20,protocol,split,scheme,threshold
Q017,0,5,False,0.0,,,,,0.0,,,,,0.0,,,,,0.0,,,,,0.0,,,,,temporal,train,relevance_grade,1
Q019,5,7,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,temporal,train,relevance_grade,1
Q020,1,12,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.0,0.0,0.0,0.0,temporal,train,relevance_grade,1
Q021,5,29,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,temporal,train,relevance_grade,1
Q022,6,10,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,temporal,train,relevance_grade,1
Q026,2,10,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.2,0.5,1.0,0.14285714285714285,0.30577313757098573,0.1,0.5,1.0,0.14285714285714285,0.30577313757098573,temporal,train,relevance_grade,1
Q027,6,22,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.0,0.0,0.0,0.0,temporal,train,relevance_grade,1
Q028,1,6,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,temporal,train,relevance_grade,1
Q031,2,8,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,temporal,train,relevance_grade,1
Q032,2,19,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.5,1.0,0.08333333333333333,0.03541352930170034,temporal,train,relevance_grade,1
Q033,2,8,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,temporal,train,relevance_grade,1
Q034,0,6,False,0.0,,,,,0.0,,,,,0.0,,,,,0.0,,,,,0.0,,,,,temporal,train,relevance_grade,1
Q035,1,7,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.0,0.0,0.0,0.0,temporal,train,relevance_grade,1
Q037,0,8,False,0.0,,,,,0.0,,,,,0.0,,,,,0.0,,,,,0.0,,,,,temporal,train,relevance_grade,1
Q038,6,19,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,temporal,train,relevance_grade,1
Q039,4,6,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,temporal,train,relevance_grade,1
Q040,7,41,True,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.0,0.0,0.0,0.0,0.4,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.15,0.0,0.0,0.0,0.0,temporal,train,relevance_grade,1
Q041,0,6,False,0.0,,,,,0.0,,,,,0.0,,,,,0.0,,,,,0.0,,,,,temporal,train,relevance_grade,1
Q043,7,22,True,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.0,0.0,0.0,0.0,0.4,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,temporal,train,relevance_grade,1
Q045,0,7,False,0.0,,,,,0.0,,,,,0.2,,,,,0.1,,,,,0.05,,,,,temporal,train,relevance_grade,1
Q046,7,11,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,temporal,train,relevance_grade,1
Q047,0,7,False,1.0,,,,,0.3333333333333333,,,,,0.2,,,,,0.1,,,,,0.05,,,,,temporal,train,relevance_grade,1
Q051,2,22,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.0,0.0,0.0,0.0,temporal,train,relevance_grade,1
Q052,0,7,False,0.0,,,,,0.0,,,,,0.0,,,,,0.0,,,,,0.05,,,,,temporal,train,relevance_grade,1
Q053,0,8,False,0.0,,,,,0.0,,,,,0.0,,,,,0.0,,,,,0.0,,,,,temporal,train,relevance_grade,1
Q054,9,9,True,1.0,0.1111111111111111,1.0,1.0,1.0,0.3333333333333333,0.1111111111111111,1.0,1.0,0.541942129480027,0.2,0.1111111111111111,1.0,1.0,0.4554594382818066,0.1,0.1111111111111111,1.0,1.0,0.4197867878435572,0.05,0.1111111111111111,1.0,1.0,0.4197867878435572,temporal,train,relevance_grade,1
Q056,6,29,True,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.16666666666666666,1.0,0.3333333333333333,0.23463936301137825,0.2,0.16666666666666666,1.0,0.3333333333333333,0.18332475318020194,0.2,0.16666666666666666,1.0,0.3333333333333333,0.1799670011345363,0.15,0.16666666666666666,1.0,0.3333333333333333,0.1799670011345363,temporal,train,relevance_grade,1
Q058,0,10,False,0.0,,,,,0.0,,,,,0.0,,,,,0.0,,,,,0.0,,,,,temporal,train,relevance_grade,1
Q062,1,6,True,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.05,0.0,0.0,0.0,0.0,temporal,train,relevance_grade,1
Q067,6,36,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.05,0.0,0.0,0.0,0.0,temporal,train,relevance_grade,1
Q068,1,9,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,temporal,train,relevance_grade,1
Q070,1,6,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.0,0.0,0.0,0.0,temporal,train,relevance_grade,1
Q071,0,9,False,0.0,,,,,0.0,,,,,0.0,,,,,0.0,,,,,0.05,,,,,temporal,train,relevance_grade,1
Q072,0,5,False,0.0,,,,,0.0,,,,,0.0,,,,,0.1,,,,,0.05,,,,,temporal,train,relevance_grade,1
Q074,0,6,False,0.0,,,,,0.0,,,,,0.0,,,,,0.0,,,,,0.0,,,,,temporal,train,relevance_grade,1
Q076,5,28,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,temporal,train,relevance_grade,1
Q077,6,17,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.0,0.0,0.0,0.0,temporal,train,relevance_grade,1
Q078,1,9,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,temporal,train,relevance_grade,1
Q079,2,12,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.15,0.0,0.0,0.0,0.0,temporal,train,relevance_grade,1
Q080,0,9,False,0.0,,,,,0.0,,,,,0.0,,,,,0.0,,,,,0.0,,,,,temporal,train,relevance_grade,1
Q082,0,5,False,0.0,,,,,0.0,,,,,0.0,,,,,0.1,,,,,0.05,,,,,temporal,train,relevance_grade,1
Q083,1,8,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,temporal,train,relevance_grade,1
Q085,1,7,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,temporal,train,relevance_grade,1
Q086,5,19,True,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,temporal,train,relevance_grade,1
Q087,1,7,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,temporal,train,relevance_grade,1
Q089,4,19,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.05,0.0,0.0,0.0,0.0,temporal,train,relevance_grade,1
Q090,4,17,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,temporal,train,relevance_grade,1
Q094,1,11,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,1.0,1.0,0.25,0.43067655807339306,0.1,1.0,1.0,0.25,0.43067655807339306,0.05,1.0,1.0,0.25,0.43067655807339306,temporal,train,relevance_grade,1
Q095,6,17,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,temporal,train,relevance_grade,1
Q096,5,8,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,temporal,train,relevance_grade,1
Q097,6,23,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,temporal,train,relevance_grade,1
Q098,3,6,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,temporal,train,relevance_grade,1
Q100,6,29,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.0,0.0,0.0,0.0,temporal,train,relevance_grade,1
Q101,4,11,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.05,0.0,0.0,0.0,0.0,temporal,train,relevance_grade,1
Q102,0,6,False,0.0,,,,,0.3333333333333333,,,,,0.2,,,,,0.1,,,,,0.05,,,,,temporal,train,relevance_grade,1
Q105,2,10,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.0,0.0,0.0,0.0,temporal,train,relevance_grade,1
Q107,2,14,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.0,0.0,0.0,0.0,temporal,train,relevance_grade,1
Q108,0,9,False,0.0,,,,,0.0,,,,,0.0,,,,,0.0,,,,,0.0,,,,,temporal,train,relevance_grade,1
Q109,0,10,False,0.0,,,,,0.0,,,,,0.0,,,,,0.0,,,,,0.0,,,,,temporal,train,relevance_grade,1
Q111,0,9,False,0.0,,,,,0.0,,,,,0.0,,,,,0.0,,,,,0.0,,,,,temporal,train,relevance_grade,1
Q112,0,9,False,0.0,,,,,0.0,,,,,0.0,,,,,0.0,,,,,0.0,,,,,temporal,train,relevance_grade,1
Q113,0,5,False,0.0,,,,,0.0,,,,,0.0,,,,,0.0,,,,,0.05,,,,,temporal,train,relevance_grade,1
Q114,1,7,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,temporal,train,relevance_grade,1
Q115,0,9,False,0.0,,,,,0.0,,,,,0.0,,,,,0.0,,,,,0.0,,,,,temporal,train,relevance_grade,1
Q117,0,6,False,0.0,,,,,0.0,,,,,0.0,,,,,0.0,,,,,0.0,,,,,temporal,train,relevance_grade,1
Q118,0,8,False,0.0,,,,,0.0,,,,,0.2,,,,,0.1,,,,,0.05,,,,,temporal,train,relevance_grade,1
Q119,1,9,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.0,0.0,0.0,0.0,temporal,train,relevance_grade,1
Q121,1,6,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,temporal,train,relevance_grade,1
Q124,1,10,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,temporal,train,relevance_grade,1
Q128,6,28,True,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.05,0.0,0.0,0.0,0.0,temporal,train,relevance_grade,1
Q130,7,12,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.14285714285714285,1.0,0.14285714285714285,0.12004152655503995,0.1,0.14285714285714285,1.0,0.14285714285714285,0.12004152655503995,temporal,train,relevance_grade,1
Q131,1,12,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,temporal,train,relevance_grade,1
Q132,2,12,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,temporal,train,relevance_grade,1
Q133,5,27,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.0,0.0,0.0,0.0,temporal,train,relevance_grade,1
Q134,5,25,True,1.0,0.0,0.0,0.0,0.0,0.6666666666666666,0.0,0.0,0.0,0.0,0.4,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,temporal,train,relevance_grade,1
Q137,0,8,False,0.0,,,,,0.0,,,,,0.0,,,,,0.1,,,,,0.05,,,,,temporal,train,relevance_grade,1
Q138,0,8,False,0.0,,,,,0.0,,,,,0.0,,,,,0.1,,,,,0.1,,,,,temporal,train,relevance_grade,1
Q140,9,12,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1111111111111111,1.0,0.14285714285714285,0.04592017807024724,0.05,0.1111111111111111,1.0,0.14285714285714285,0.04592017807024724,temporal,train,relevance_grade,1
Q142,6,9,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,temporal,train,relevance_grade,1
Q144,4,9,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,temporal,train,relevance_grade,1
Q145,6,21,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,temporal,train,relevance_grade,1
Q146,5,23,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,temporal,train,relevance_grade,1
Q147,1,8,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.0,0.0,0.0,0.0,temporal,train,relevance_grade,1
Q148,2,7,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,temporal,train,relevance_grade,1
Q149,0,6,False,0.0,,,,,0.0,,,,,0.0,,,,,0.0,,,,,0.0,,,,,temporal,train,relevance_grade,1
Q150,6,16,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.16666666666666666,1.0,0.16666666666666666,0.07680190056249983,0.05,0.16666666666666666,1.0,0.16666666666666666,0.07680190056249983,temporal,train,relevance_grade,1
Q152,7,12,True,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.0,0.0,0.0,0.0,0.4,0.14285714285714285,1.0,0.25,0.05335655014603674,0.2,0.14285714285714285,1.0,0.25,0.04915718797401568,0.1,0.14285714285714285,1.0,0.25,0.04915718797401568,temporal,train,relevance_grade,1
Q154,7,35,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,temporal,train,relevance_grade,1
Q155,8,9,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.125,1.0,0.058823529411764705,0.01464583950703088,temporal,train,relevance_grade,1
Q157,9,12,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,temporal,train,relevance_grade,1
Q158,1,11,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,temporal,train,relevance_grade,1
Q159,5,20,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.0,0.0,0.0,0.0,temporal,train,relevance_grade,1
Q160,1,6,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.05,0.0,0.0,0.0,0.0,temporal,train,relevance_grade,1
Q161,5,18,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,temporal,train,relevance_grade,1
Q164,6,6,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,temporal,train,relevance_grade,1
Q167,0,6,False,0.0,,,,,0.0,,,,,0.0,,,,,0.0,,,,,0.05,,,,,temporal,train,relevance_grade,1
Q168,1,8,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.0,0.0,0.0,0.0,temporal,train,relevance_grade,1
Q169,2,11,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,temporal,train,relevance_grade,1
Q173,0,5,False,0.0,,,,,0.0,,,,,0.0,,,,,0.0,,,,,0.0,,,,,temporal,train,relevance_grade,1
Q174,1,8,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.0,0.0,0.0,0.0,temporal,train,relevance_grade,1
Q178,8,11,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,temporal,train,relevance_grade,1
Q180,5,25,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.05,0.0,0.0,0.0,0.0,temporal,train,relevance_grade,1
Q181,5,11,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,temporal,train,relevance_grade,1
Q182,0,7,False,0.0,,,,,0.0,,,,,0.0,,,,,0.0,,,,,0.0,,,,,temporal,train,relevance_grade,1
Q184,0,8,False,0.0,,,,,0.0,,,,,0.0,,,,,0.0,,,,,0.0,,,,,temporal,train,relevance_grade,1
Q185,1,7,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,temporal,train,relevance_grade,1
Q186,0,5,False,0.0,,,,,0.0,,,,,0.0,,,,,0.0,,,,,0.0,,,,,temporal,train,relevance_grade,1
Q187,0,10,False,0.0,,,,,0.0,,,,,0.0,,,,,0.0,,,,,0.05,,,,,temporal,train,relevance_grade,1
Q188,3,9,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,temporal,train,relevance_grade,1
Q189,5,15,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,temporal,train,relevance_grade,1
Q190,0,9,False,0.0,,,,,0.0,,,,,0.0,,,,,0.0,,,,,0.0,,,,,temporal,train,relevance_grade,1
