protocol,split,experiment,delta_vs_full,lower,upper,positive_queries,ndcg_at_10
temporal,test,selected:minus_dense,0.0015828852149010148,-0.0012998505386368072,0.005597783248621253,110,0.020982359208982896
temporal,test,selected:minus_entities,-0.0031483297391381067,-0.012661534264202141,0.0041951767358944445,110,0.016251144254943777
temporal,test,selected:minus_context,-0.001165986617625981,-0.00788358617230603,0.004385626319428088,110,0.018233487376455904
temporal,test,selected:minus_intent,-0.008351000692584775,-0.01887265550168408,-0.00035712697711391163,110,0.01104847330149711
query,validation,full:complete,0.0,0.0,0.0,70,0.012431910943936239
query,validation,full:minus_bm25,-0.000432660784253821,-0.014740405878718976,0.01213734511613438,70,0.011999250159682418
query,validation,full:minus_dense,-0.0004995713470707815,-0.0016362422561615813,0.00024379632910166615,70,0.011932339596865458
query,validation,full:minus_entities,0.002511897720103558,-0.0005431759275113757,0.006682131257422902,70,0.014943808664039797
query,validation,full:minus_context,0.0011096132922905177,-0.003604419105223529,0.006604128210334808,70,0.013541524236226756
query,validation,full:minus_intent,-0.0013206450200336979,-0.015366300152637534,0.01177675771770927,70,0.01111126592390254
query,validation,selected:complete,0.0,0.0,0.0,70,0.012431910943936239
query,validation,selected:minus_bm25,-0.000432660784253821,-0.014740405878718976,0.01213734511613438,70,0.011999250159682418
query,validation,selected:minus_dense,-0.0004995713470707815,-0.0016362422561615813,0.00024379632910166615,70,0.011932339596865458
query,validation,selected:minus_entities,0.002511897720103558,-0.0005431759275113757,0.006682131257422902,70,0.014943808664039797
query,validation,selected:minus_context,0.0011096132922905177,-0.003604419105223529,0.006604128210334808,70,0.013541524236226756
query,validation,selected:minus_intent,-0.0013206450200336979,-0.015366300152637534,0.01177675771770927,70,0.01111126592390254
query,test,full:complete,0.0,0.0,0.0,68,0.01641588668756316
query,test,full:minus_bm25,-0.0010115318939998823,-0.0053073782502080545,0.0018930419609661147,68,0.01540435479356328
query,test,full:minus_dense,-0.0015322706346697842,-0.005307624936552629,0.0005197850046621635,68,0.014883616052893378
query,test,full:minus_entities,-0.003869344763501716,-0.010449644424249787,0.0018140219508995744,68,0.012546541924061445
query,test,full:minus_context,-0.003192538568142656,-0.009342757888887762,0.0,68,0.013223348119420504
query,test,full:minus_intent,-0.005969772150031993,-0.014357069911827858,0.00026577550258300337,68,0.010446114537531167
query,test,selected:complete,0.0,0.0,0.0,68,0.01641588668756316
query,test,selected:minus_bm25,-0.0010115318939998823,-0.0053073782502080545,0.0018930419609661147,68,0.01540435479356328
query,test,selected:minus_dense,-0.0015322706346697842,-0.005307624936552629,0.0005197850046621635,68,0.014883616052893378
query,test,selected:minus_entities,-0.003869344763501716,-0.010449644424249787,0.0018140219508995744,68,0.012546541924061445
query,test,selected:minus_context,-0.003192538568142656,-0.009342757888887762,0.0,68,0.013223348119420504
query,test,selected:minus_intent,-0.005969772150031993,-0.014357069911827858,0.00026577550258300337,68,0.010446114537531167
query_dedup,validation,full:complete,0.0,0.0,0.0,69,0.03418036138026446
query_dedup,validation,full:minus_bm25,-0.001510703208954652,-0.015363474208195976,0.011040808832973406,69,0.03266965817130981
query_dedup,validation,full:minus_dense,-0.000392621828434102,-0.0014509577933971341,0.0002060077912409347,69,0.03378773955183036
query_dedup,validation,full:minus_entities,0.0006313934688821947,-0.002510765461803234,0.004577577617766605,69,0.034811754849146656
query_dedup,validation,full:minus_context,-0.002934611990419184,-0.011686724666641737,0.003088224121204371,69,0.031245749389845274
query_dedup,validation,full:minus_intent,-0.00596299983847482,-0.01970632539943233,0.005959746250345895,69,0.02821736154178964
query_dedup,validation,selected:complete,0.0,0.0,0.0,69,0.03418036138026446
query_dedup,validation,selected:minus_bm25,-0.001510703208954652,-0.015363474208195976,0.011040808832973406,69,0.03266965817130981
query_dedup,validation,selected:minus_dense,-0.000392621828434102,-0.0014509577933971341,0.0002060077912409347,69,0.03378773955183036
query_dedup,validation,selected:minus_entities,0.0006313934688821947,-0.002510765461803234,0.004577577617766605,69,0.034811754849146656
query_dedup,validation,selected:minus_context,-0.002934611990419184,-0.011686724666641737,0.003088224121204371,69,0.031245749389845274
query_dedup,validation,selected:minus_intent,-0.00596299983847482,-0.01970632539943233,0.005959746250345895,69,0.02821736154178964
query_dedup,test,full:complete,0.0,0.0,0.0,68,0.011228612051595449
query_dedup,test,full:minus_bm25,-0.004244965100201059,-0.010296342086913957,0.00046092586451199703,68,0.00698364695139439
query_dedup,test,full:minus_dense,0.0017988076120019963,-0.005342891316924474,0.012530931652770718,68,0.013027419663597446
query_dedup,test,full:minus_entities,-0.0007604798453340653,-0.0058106269875762015,0.0032722734169120075,68,0.010468132206261383
query_dedup,test,full:minus_context,-0.00317856185337378,-0.00845511815984531,0.0007839477711233843,68,0.00805005019822167
query_dedup,test,full:minus_intent,0.00019361440731842003,-0.008379305049961608,0.009922429924514344,68,0.011422226458913871
query_dedup,test,selected:complete,0.0,0.0,0.0,68,0.011228612051595449
query_dedup,test,selected:minus_bm25,-0.004244965100201059,-0.010296342086913957,0.00046092586451199703,68,0.00698364695139439
query_dedup,test,selected:minus_dense,0.0017988076120019963,-0.005342891316924474,0.012530931652770718,68,0.013027419663597446
query_dedup,test,selected:minus_entities,-0.0007604798453340653,-0.0058106269875762015,0.0032722734169120075,68,0.010468132206261383
query_dedup,test,selected:minus_context,-0.00317856185337378,-0.00845511815984531,0.0007839477711233843,68,0.00805005019822167
query_dedup,test,selected:minus_intent,0.00019361440731842003,-0.008379305049961608,0.009922429924514344,68,0.011422226458913871
