query_id,role,content_id,rank,score,grade,title,content_type,source_type,language,publication_year,word_count,disease_entity,icd10_code,molecule_entity,atc_code,drug_class_entity,atc_class,therapeutic_area
Q065,strongest observed positive,C343,344,0.0,1,Dose Adjustment of Dupilumab in Renal and Hepatic Impairment,clinical_summary,hospital_protocol,EN,2024,386,Psoriasis,L40,Dupilumab,D11AH05,IL-4/IL-13 inhibitors,D11AH,Dermatology
Q065,plausible inspection candidate,C005,2,13.128112075112373,unjudged,Liraglutide in Type 2 Diabetes Mellitus: Real-World Outcomes,article,journal,EN,2022,1065,Type 2 Diabetes Mellitus,E11,Liraglutide; Semaglutide,A10BJ02; A10BJ06,GLP-1 receptor agonists; GLP-1 receptor agonists,A10BJ; A10BJ,Endocrinology
Q070,retrieved top 3,C053,1,15.320776980151601,unjudged,Furosemide in Nephrotic Syndrome: Real-World Outcomes,article,journal,MIXED,2025,2397,Nephrotic Syndrome,N04,Furosemide,C03CA01,Loop diuretics,C03CA,Nephrology
Q070,retrieved top 3,C049,2,11.667366908563512,0,Safety Profile of Furosemide in Nephrotic Syndrome,article,research_paper,EN,2022,1729,Nephrotic Syndrome,N04,Furosemide; Furosemide,C03CA01; C03CA01,Loop diuretics; Loop diuretics,C03CA; C03CA,Nephrology
Q070,retrieved top 3,C066,3,11.667366908563512,unjudged,Panduan Praktis: Memulai Furosemide pada Nephrotic Syndrome,clinical_summary,hospital_protocol,ID,2023,571,Nephrotic Syndrome,N04,Furosemide,C03CA01,Loop diuretics,C03CA,Nephrology
Q070,strongest observed positive,C005,21,3.2620002906108967,2,Liraglutide in Type 2 Diabetes Mellitus: Real-World Outcomes,article,journal,EN,2022,1065,Type 2 Diabetes Mellitus,E11,Liraglutide; Semaglutide,A10BJ02; A10BJ06,GLP-1 receptor agonists; GLP-1 receptor agonists,A10BJ; A10BJ,Endocrinology
Q070,strongest observed positive,C258,261,0.0,2,"Centrally acting antihypertensives: Mechanism, Indications, and Safety",drug_profile,drug_database,EN,2023,817,Hypertension in Pregnancy,O10,Methyldopa,C02AB01,Centrally acting antihypertensives,C02AB,Obstetrics
Q070,plausible inspection candidate,C053,1,15.320776980151601,unjudged,Furosemide in Nephrotic Syndrome: Real-World Outcomes,article,journal,MIXED,2025,2397,Nephrotic Syndrome,N04,Furosemide,C03CA01,Loop diuretics,C03CA,Nephrology
Q077,retrieved top 3,C253,1,12.557625446333267,unjudged,Hasil Jangka Panjang Terapi Erythropoiesis stimulating agents pada Iron Deficiency Anaemia,article,research_paper,ID,2025,2246,Iron Deficiency Anaemia,D50,Erythropoietin,B03XA01,Erythropoiesis stimulating agents,B03XA,Haematology
Q077,retrieved top 3,C232,2,11.885459922272688,unjudged,Consensus Statement: Iron preparations Use in Iron Deficiency Anaemia,guideline,who,EN,2022,2005,Iron Deficiency Anaemia,D50,Ferrous sulphate; Ferrous sulphate,B03AA07; B03AA07,Iron preparations; Iron preparations,B03AA; B03AA,Haematology
Q077,retrieved top 3,C240,3,11.885459922272688,unjudged,Quick Reference: Iron preparations Dosing in Iron Deficiency Anaemia,clinical_summary,hospital_protocol,EN,2025,388,Iron Deficiency Anaemia,D50,Ferrous sulphate; Erythropoietin,B03AA07; B03XA01,Iron preparations; Erythropoiesis stimulating agents,B03AA; B03XA,Haematology
Q077,strongest observed positive,C237,7,9.79128424067199,3,Ferrous sulphate: Farmakologi dan Penggunaan Klinis pada Iron Deficiency Anaemia,drug_profile,drug_database,ID,2021,568,Iron Deficiency Anaemia,D50,Ferrous sulphate,B03AA07,Iron preparations,B03AA,Haematology
Q077,observed top-10 hit,C237,7,9.79128424067199,3,Ferrous sulphate: Farmakologi dan Penggunaan Klinis pada Iron Deficiency Anaemia,drug_profile,drug_database,ID,2021,568,Iron Deficiency Anaemia,D50,Ferrous sulphate,B03AA07,Iron preparations,B03AA,Haematology
Q081,retrieved top 3,C035,1,9.667577549828545,unjudged,Stable Angina in Special Populations: Practical Guidance,clinical_summary,hospital_protocol,EN,2022,782,Stable Angina,I20,Rosuvastatin,C10AA07,Statins,C10AA,Cardiology
Q081,retrieved top 3,C036,2,8.631837149158557,unjudged,Dosis Platelet aggregation inhibitors pada Stable Angina: Referensi Cepat,clinical_summary,hospital_protocol,ID,2020,704,Stable Angina,I20,Clopidogrel,B01AC04,Platelet aggregation inhibitors,B01AC,Cardiology
Q081,retrieved top 3,C039,3,8.192958923739155,unjudged,Switching Therapy in Stable Angina: A Step-by-Step Guide,clinical_summary,clinical_practice,EN,2023,642,Stable Angina,I20,Aspirin; Rosuvastatin,B01AC06; C10AA07,Platelet aggregation inhibitors; Statins,B01AC; C10AA,Cardiology
Q081,strongest observed positive,C253,266,0.0,3,Hasil Jangka Panjang Terapi Erythropoiesis stimulating agents pada Iron Deficiency Anaemia,article,research_paper,ID,2025,2246,Iron Deficiency Anaemia,D50,Erythropoietin,B03XA01,Erythropoiesis stimulating agents,B03XA,Haematology
Q081,strongest observed positive,C084,105,0.0,2,Dose Adjustment of Valproate in Renal and Hepatic Impairment,clinical_summary,hospital_protocol,MIXED,2023,331,Parkinson Disease,G20,Valproate,N03AG01,Fatty acid derivatives,N03AG,Neurology
Q094,retrieved top 3,C124,1,8.548135340886487,unjudged,Konsensus Nasional: Asthma di Indonesia 2024,guideline,ministry_of_health,ID,2024,1220,Asthma,J45,Salmeterol; Azithromycin,R03AC12; J01FA10,Long-acting beta2-agonists; Macrolides,R03AC; J01FA,Pulmonology
Q094,retrieved top 3,C219,2,7.958337402293195,unjudged,Konsensus Nasional: Osteoporosis di Indonesia 2022,guideline,who,ID,2022,2299,Osteoporosis,M81,Alendronate,M05BA04,Bisphosphonates,M05BA,Rheumatology
Q094,retrieved top 3,C062,3,7.057459237028777,unjudged,Konsensus Nasional: Chronic Kidney Disease di Indonesia 2022,guideline,who,ID,2022,1542,Chronic Kidney Disease,N18,Empagliflozin,A10BK03,SGLT2 inhibitors,A10BK,Nephrology
Q094,strongest observed positive,C052,80,0.0,3,Clinical Summary: Chronic Kidney Disease Management Update 2024,clinical_summary,hospital_protocol,EN,2024,687,Chronic Kidney Disease,N18,Dapagliflozin; Dapagliflozin,A10BK01; A10BK01,SGLT2 inhibitors; SGLT2 inhibitors,A10BK; A10BK,Nephrology
Q100,retrieved top 3,C085,1,11.135586229852866,unjudged,Pedoman PNPK: Ischaemic Stroke,guideline,ministry_of_health,ID,2023,1621,Ischaemic Stroke,I63,Aspirin; Alteplase,B01AC06; B01AD02,Platelet aggregation inhibitors; Thrombolytics,B01AC; B01AD,Neurology
Q100,retrieved top 3,C070,2,9.13133562640039,0,Ischaemic Stroke in Special Populations: Practical Guidance,clinical_summary,clinical_practice,EN,2020,793,Ischaemic Stroke,I63,Alteplase; Aspirin,B01AD02; B01AC06,Thrombolytics; Platelet aggregation inhibitors,B01AD; B01AC,Neurology
Q100,retrieved top 3,C082,3,8.614505259095605,unjudged,Rare Adverse Event of Aspirin in Ischaemic Stroke,case_report,case_report,EN,2022,1123,Ischaemic Stroke,I63,Aspirin,B01AC06,Platelet aggregation inhibitors,B01AC,Neurology
Q100,strongest observed positive,C029,33,0.0,2,Profil Obat ARBs pada Heart Failure,drug_profile,drug_database,ID,2020,755,Heart Failure,I50,Losartan; Ramipril,C09CA01; C09AA05,ARBs; ACE inhibitors,C09CA; C09AA,Cardiology
Q100,strongest observed positive,C162,162,0.0,2,Biomarkers in Schizophrenia: Implications for Atypical antipsychotics Therapy,article,research_paper,MIXED,2024,1874,Schizophrenia,F20,Risperidone,N05AX08,Atypical antipsychotics,N05AX,Psychiatry
Q122,retrieved top 3,C109,1,20.009233365432983,unjudged,Panduan Praktis: Memulai Tenofovir+Lamivudine pada Urinary Tract Infection,clinical_summary,hospital_protocol,ID,2022,414,Urinary Tract Infection,N39.0,Tenofovir+Lamivudine,J05AF,NRTIs combination,J05AF,Infectious Disease
Q122,retrieved top 3,C093,2,18.70896677836487,unjudged,Practical Guide: Initiating Tenofovir+Lamivudine in Urinary Tract Infection,clinical_summary,clinical_practice,EN,2021,680,Urinary Tract Infection,N39.0,Tenofovir+Lamivudine; Tenofovir+Lamivudine,J05AF; J05AF,NRTIs combination; NRTIs combination,J05AF; J05AF,Infectious Disease
Q122,retrieved top 3,C094,3,16.898534458521226,unjudged,"Tenofovir+Lamivudine: Pharmacology, Dosing, and Clinical Use in Urinary Tract Infection",drug_profile,drug_database,EN,2021,736,Urinary Tract Infection,N39.0,Tenofovir+Lamivudine; Tenofovir+Lamivudine,J05AF; J05AF,NRTIs combination; NRTIs combination,J05AF; J05AF,Infectious Disease
Q122,strongest observed positive,C158,201,0.0,3,Practical Guide: Initiating Metronidazole in Inflammatory Bowel Disease,clinical_summary,hospital_protocol,EN,2020,680,Inflammatory Bowel Disease,K50,Metronidazole,J01XD01,Nitroimidazoles,J01XD,Gastroenterology
Q122,strongest observed positive,C127,178,0.0,2,Risk Stratification in Asthma: Current Approaches,article,research_paper,MIXED,2023,2190,Asthma,J45,Levofloxacin; Prednisolone,J01MA12; H02AB06,Fluoroquinolones; Corticosteroids,J01MA; H02AB,Pulmonology
Q122,plausible inspection candidate,C094,3,16.898534458521226,unjudged,"Tenofovir+Lamivudine: Pharmacology, Dosing, and Clinical Use in Urinary Tract Infection",drug_profile,drug_database,EN,2021,736,Urinary Tract Infection,N39.0,Tenofovir+Lamivudine; Tenofovir+Lamivudine,J05AF; J05AF,NRTIs combination; NRTIs combination,J05AF; J05AF,Infectious Disease
Q141,retrieved top 3,C201,1,14.061258307954706,unjudged,Kasus Sulit: Colorectal Cancer Refrakter terhadap Pembrolizumab,case_report,case_report,ID,2021,1142,Colorectal Cancer,C18,Pembrolizumab,L01FF02,PD-1 inhibitors,L01FF,Oncology
Q141,retrieved top 3,C189,2,8.327765054169104,unjudged,Clinical Practice Guideline: Colorectal Cancer Management 2020,guideline,professional_society,EN,2020,2059,Colorectal Cancer,C18,Nivolumab,L01FF01,PD-1 inhibitors,L01FF,Oncology
Q141,retrieved top 3,C196,3,7.856416497082845,unjudged,Scoping Review: Emerging Therapies in Colorectal Cancer 2024,review,meta_analysis,EN,2024,2373,Colorectal Cancer,C18,Nivolumab,L01FF01,PD-1 inhibitors,L01FF,Oncology
Q143,retrieved top 3,C214,1,13.46892999192153,0,Adalimumab versus Adalimumab in Gout: Head-to-Head Comparison,article,journal,EN,2024,1181,Gout,M10,Adalimumab,L04AB04,TNF inhibitors,L04AB,Rheumatology
Q143,retrieved top 3,C208,2,12.314054577023203,unjudged,Laporan Kasus: Systemic Lupus Erythematosus dengan Presentasi Atipikal,case_report,case_report,ID,2024,1163,Systemic Lupus Erythematosus,M32,Adalimumab,L04AB04,TNF inhibitors,L04AB,Rheumatology
Q143,retrieved top 3,C211,3,12.314054577023203,unjudged,Case Report: Atypical Presentation of Systemic Lupus Erythematosus,case_report,case_report,EN,2021,1048,Systemic Lupus Erythematosus,M32,Adalimumab,L04AB04,TNF inhibitors,L04AB,Rheumatology
Q145,retrieved top 3,C121,1,14.137826593233566,0,Asia-Pacific Guideline: Community-acquired Pneumonia in Primary Care 2025,guideline,professional_society,EN,2025,2614,Community-acquired Pneumonia,J18,Rivaroxaban,B01AF01,Factor Xa inhibitors,B01AF,Pulmonology
Q145,retrieved top 3,C122,2,14.137826593233566,unjudged,Case Series: Factor Xa inhibitors in Refractory Community-acquired Pneumonia,case_report,case_report,MIXED,2023,1396,Community-acquired Pneumonia,J18,Rivaroxaban; Rivaroxaban,B01AF01; B01AF01,Factor Xa inhibitors; Factor Xa inhibitors,B01AF; B01AF,Pulmonology
Q145,retrieved top 3,C236,3,4.873486744806399,unjudged,Dose Adjustment of Rivaroxaban in Renal and Hepatic Impairment,clinical_summary,clinical_practice,EN,2025,661,Deep Vein Thrombosis,I82,Rivaroxaban; Rivaroxaban,B01AF01; B01AF01,Factor Xa inhibitors; Factor Xa inhibitors,B01AF; B01AF,Haematology
Q145,strongest observed positive,C285,312,0.0,3,Perbandingan Diazepam dan Diazepam pada Febrile Seizure,article,research_paper,ID,2025,1783,Febrile Seizure,R56.0,Diazepam; Diazepam,N05BA01; N05BA01,Benzodiazepines; Benzodiazepines,N05BA; N05BA,Pediatrics
Q145,strongest observed positive,C295,63,1.1073130385217138,3,Risk Stratification in Stunting / Malnutrition: Current Approaches,article,research_paper,MIXED,2023,1016,Stunting / Malnutrition,E43,Vitamin A; Vitamin A,A11CA01; A11CA01,Vitamin A; Vitamin A,A11CA; A11CA,Pediatrics
Q145,plausible inspection candidate,C236,3,4.873486744806399,unjudged,Dose Adjustment of Rivaroxaban in Renal and Hepatic Impairment,clinical_summary,clinical_practice,EN,2025,661,Deep Vein Thrombosis,I82,Rivaroxaban; Rivaroxaban,B01AF01; B01AF01,Factor Xa inhibitors; Factor Xa inhibitors,B01AF; B01AF,Haematology
Q153,retrieved top 3,C333,1,11.668279008199587,unjudged,WHO Guideline Update: Psoriasis 2023,guideline,professional_society,EN,2023,1028,Psoriasis,L40,Tacrolimus topical,D11AH01,Topical calcineurin inhibitors,D11AH,Dermatology
Q153,retrieved top 3,C233,2,10.268193746366311,unjudged,WHO Guideline Update: Iron Deficiency Anaemia 2023,guideline,professional_society,EN,2023,2153,Iron Deficiency Anaemia,D50,Erythropoietin,B03XA01,Erythropoiesis stimulating agents,B03XA,Haematology
Q153,retrieved top 3,C224,3,8.851432205362032,unjudged,Risk Stratification in Rheumatoid Arthritis: Current Approaches,article,research_paper,EN,2025,1425,Rheumatoid Arthritis,M05,Hydroxychloroquine,P01BA02,Antimalarials,P01BA,Rheumatology
Q153,strongest observed positive,C028,64,0.0,2,Practical Guide: Initiating Losartan in Hypertension,clinical_summary,clinical_practice,MIXED,2024,557,Hypertension,I10,Losartan; Amlodipine,C09CA01; C08CA01,ARBs; Calcium channel blockers,C09CA; C08CA,Cardiology
Q161,retrieved top 3,C271,1,14.410065857913937,unjudged,Panduan Praktis: Memulai Magnesium sulphate pada Preeclampsia,clinical_summary,clinical_practice,ID,2024,704,Preeclampsia,O14,Magnesium sulphate,A12CC02,Magnesium,A12CC,Obstetrics
Q161,retrieved top 3,C273,2,13.594461226243238,unjudged,Magnesium sulphate: Farmakologi dan Penggunaan Klinis pada Preeclampsia,drug_profile,pharmacology_reference,ID,2025,920,Preeclampsia,O14,Magnesium sulphate,A12CC02,Magnesium,A12CC,Obstetrics
Q161,retrieved top 3,C276,3,11.678188556600404,unjudged,Efektivitas Magnesium pada Preeclampsia,article,research_paper,ID,2024,1652,Preeclampsia,O14,Magnesium sulphate,A12CC02,Magnesium,A12CC,Obstetrics
Q161,strongest observed positive,C005,95,0.0,3,Liraglutide in Type 2 Diabetes Mellitus: Real-World Outcomes,article,journal,EN,2022,1065,Type 2 Diabetes Mellitus,E11,Liraglutide; Semaglutide,A10BJ02; A10BJ06,GLP-1 receptor agonists; GLP-1 receptor agonists,A10BJ; A10BJ,Endocrinology
Q161,plausible inspection candidate,C273,2,13.594461226243238,unjudged,Magnesium sulphate: Farmakologi dan Penggunaan Klinis pada Preeclampsia,drug_profile,pharmacology_reference,ID,2025,920,Preeclampsia,O14,Magnesium sulphate,A12CC02,Magnesium,A12CC,Obstetrics
Q162,retrieved top 3,C285,1,13.175517236249599,unjudged,Perbandingan Diazepam dan Diazepam pada Febrile Seizure,article,research_paper,ID,2025,1783,Febrile Seizure,R56.0,Diazepam; Diazepam,N05BA01; N05BA01,Benzodiazepines; Benzodiazepines,N05BA; N05BA,Pediatrics
Q162,retrieved top 3,C291,2,13.175517236249599,unjudged,Perbandingan Diazepam dan Diazepam pada Febrile Seizure,article,journal,ID,2021,851,Febrile Seizure,R56.0,Diazepam,N05BA01,Benzodiazepines,N05BA,Pediatrics
Q162,retrieved top 3,C278,3,12.649150950907293,unjudged,Diazepam Drug Profile: Efficacy in Febrile Seizure,drug_profile,drug_database,EN,2022,789,Febrile Seizure,R56.0,Diazepam,N05BA01,Benzodiazepines,N05BA,Pediatrics
Q198,retrieved top 3,C263,1,7.3347807004144645,unjudged,Tinjauan Sistematis: Beta blockers non-selective pada Hypertension in Pregnancy,review,systematic_review,ID,2020,1850,Hypertension in Pregnancy,O10,Labetalol; Methyldopa,C07AG01; C02AB01,Beta blockers non-selective; Centrally acting antihypertensives,C07AG; C02AB,Obstetrics
Q198,retrieved top 3,C270,2,6.364056072312043,unjudged,Long-term Outcomes of Beta blockers non-selective Therapy in Hypertension in Pregnancy,article,journal,MIXED,2024,1299,Hypertension in Pregnancy,O10,Labetalol,C07AG01,Beta blockers non-selective,C07AG,Obstetrics
Q198,retrieved top 3,C256,3,4.171669150440603,unjudged,New Insights into Preeclampsia Pathophysiology and Treatment,article,journal,EN,2025,1746,Preeclampsia,O14,Magnesium sulphate,A12CC02,Magnesium,A12CC,Obstetrics
Q198,strongest observed positive,C145,175,0.0,1,Metronidazole Drug Profile: Efficacy in Inflammatory Bowel Disease,drug_profile,drug_database,EN,2021,570,Inflammatory Bowel Disease,K50,Metronidazole,J01XD01,Nitroimidazoles,J01XD,Gastroenterology
Q201,retrieved top 3,C029,1,6.691536449047856,unjudged,Profil Obat ARBs pada Heart Failure,drug_profile,drug_database,ID,2020,755,Heart Failure,I50,Losartan; Ramipril,C09CA01; C09AA05,ARBs; ACE inhibitors,C09CA; C09AA,Cardiology
Q201,retrieved top 3,C043,2,6.290075292918985,unjudged,Profil Obat Statins pada Acute Coronary Syndrome,drug_profile,drug_database,ID,2020,420,Acute Coronary Syndrome,I24,Rosuvastatin,C10AA07,Statins,C10AA,Cardiology
Q201,retrieved top 3,C266,3,5.616185161647389,unjudged,Profil Obat Centrally acting antihypertensives pada Hypertension in Pregnancy,drug_profile,pharmacology_reference,ID,2024,844,Hypertension in Pregnancy,O10,Methyldopa,C02AB01,Centrally acting antihypertensives,C02AB,Obstetrics
