query_id,query_text,language,stratum,recall_at_10,ndcg_at_10,judged_fraction_at_10,positive_pairs,decomposition,categories,proxy_issue,review_note,next_step,reviewer,candidate_id,candidate_rank,candidate_status
Q094,kapan start Azithromycin di Asthma evidence terbaru 2022,MIXED,miss,0.0,0.0,0.0,1,"{""disease_entity"": ""Asthma"", ""molecule_entity"": ""Azithromycin"", ""drug_class_entity"": ""Macrolides"", ""intent"": ""Guideline / Evidence Lookup"", ""year"": 2022.0, ""recency_flag"": true}",partial entity match;temporal mismatch;intent mismatch;weak behavioral ground truth,strongest observed positive title is off-topic,C124 is an Asthma consensus from 2024 rather than the requested 2022 initiation evidence. Other top titles match 2022 but change the disease; Azithromycin is absent from inspected titles.,Test entity/year compatibility and audit title coverage.,Codex qualitative title/metadata review; not clinician adjudication,,,no specific alternative established
Q100,prophylaxis Ischaemic Stroke Alteplase kapan bisa dihentikan,MIXED,miss,0.0,0.0,0.2,2,"{""disease_entity"": ""Ischaemic Stroke"", ""molecule_entity"": ""Alteplase"", ""drug_class_entity"": ""Thrombolytics"", ""intent"": ""Prophylaxis / Maintenance""}",partial entity match;intent mismatch;weak behavioral ground truth,strongest observed positive title is off-topic,Stroke guidance and an Aspirin adverse-event title do not establish when to stop Alteplase prophylaxis. No title containing Alteplase was found.,Audit query and corpus coverage; retrieve duration-specific evidence.,Codex qualitative title/metadata review; not clinician adjudication,,,no specific alternative established
Q122,Tenofovir+Lamivudine pada pasien elderly Urinary Tract Infection apa perlu adjustment,MIXED,miss,0.0,0.0,0.0,2,"{""disease_entity"": ""Urinary Tract Infection"", ""molecule_entity"": ""Tenofovir+Lamivudine"", ""drug_class_entity"": ""NRTIs combination"", ""intent"": ""Dosing / Administration"", ""age_group"": ""elderly"", ""dose_context_flag"": true}",age mismatch;missing contextual constraint;intent mismatch;weak behavioral ground truth,strongest observed positive title is off-topic,"C109 and C093 match the supplied drug/disease but describe initiation, without elderly adjustment evidence in the title. Age mismatch here means omitted evidence, not an incompatible age population.",Inspect dosing candidate C094 and add age compatibility only with supporting text.,Codex qualitative title/metadata review; not clinician adjudication,C094,3.0,plausible from title/metadata; not adjudicated relevant
Q141,prophylaxis Colorectal Cancer Pembrolizumab kapan bisa dihentikan,MIXED,no_positive,,,0.0,0,"{""disease_entity"": ""Colorectal Cancer"", ""molecule_entity"": ""Pembrolizumab"", ""drug_class_entity"": ""PD-1 inhibitors"", ""intent"": ""Prophylaxis / Maintenance""}",intent mismatch;weak behavioral ground truth,no observed positives,C201 concerns refractory disease rather than stopping prophylaxis. No behavioral positives are available; clinical relevance remains unresolved.,Obtain maintenance/stopping content and evaluate intent.,Codex qualitative title/metadata review; not clinician adjudication,,,no specific alternative established
Q143,switch dari Adalimumab ke Adalimumab Systemic Lupus Erythematosus progresif,MIXED,no_positive,,,0.2,0,"{""disease_entity"": ""Systemic Lupus Erythematosus"", ""molecule_entity"": ""Adalimumab; Adalimumab"", ""drug_class_entity"": ""TNF inhibitors; TNF inhibitors"", ""intent"": ""Treatment Change / Escalation""}",partial entity match;severity mismatch;intent mismatch;weak behavioral ground truth,no observed positives,C214 matches Adalimumab but changes SLE to Gout and compares the drug with itself. Other titles match SLE without progression or switching. The query also switches a drug to itself.,Audit self-comparison artifacts; test disease and progression constraints.,Codex qualitative title/metadata review; not clinician adjudication,,,no specific alternative established
Q145,titration protocol Rivaroxaban in Community-acquired Pneumonia,EN,miss,0.0,0.0,0.2,2,"{""disease_entity"": ""Community-acquired Pneumonia"", ""molecule_entity"": ""Rivaroxaban"", ""drug_class_entity"": ""Factor Xa inhibitors"", ""intent"": ""Dosing / Administration""}",partial entity match;intent mismatch;weak behavioral ground truth,strongest observed positive title is off-topic,A pneumonia guideline and a class-level case series outrank Rivaroxaban adjustment C236. Renal/hepatic adjustment is only a partial alternative to titration in the requested disease.,Test molecule/dosing features while retaining uncertainty about disease relevance.,Codex qualitative title/metadata review; not clinician adjudication,C236,3.0,plausible from title/metadata; not adjudicated relevant
Q153,Rheumatoid Arthritis guideline update 2023 summary,EN,miss,0.0,0.0,0.1,1,"{""disease_entity"": ""Rheumatoid Arthritis"", ""molecule_entity"": ""Mycophenolate mofetil"", ""drug_class_entity"": ""Immunosuppressants"", ""intent"": ""Guideline / Evidence Lookup"", ""year"": 2023.0, ""recency_flag"": true}",partial entity match;weak behavioral ground truth,strongest observed positive title is off-topic,C333 and C233 match guideline/update/2023 but concern Psoriasis and anaemia rather than Rheumatoid Arthritis.,Require entity coverage in a measured reranking ablation.,Codex qualitative title/metadata review; not clinician adjudication,,,no specific alternative established
Q161,Magnesium sulphate pada pasien elderly Preeclampsia apa perlu adjustment,MIXED,miss,0.0,0.0,0.0,1,"{""disease_entity"": ""Preeclampsia"", ""molecule_entity"": ""Magnesium sulphate"", ""drug_class_entity"": ""Magnesium"", ""intent"": ""Dosing / Administration"", ""age_group"": ""elderly"", ""pregnancy_status"": ""pregnancy_related"", ""dose_context_flag"": true}",age mismatch;missing contextual constraint;intent mismatch;weak behavioral ground truth,strongest observed positive title is off-topic,Initiation and pharmacology titles match Magnesium sulphate/Preeclampsia but do not establish elderly dose adjustment. The query itself needs domain review; no clinical validity is inferred.,Inspect underlying text and audit unusual query combinations.,Codex qualitative title/metadata review; not clinician adjudication,C273,2.0,plausible from title/metadata; not adjudicated relevant
Q162,Diazepam contraindication in Febrile Seizure with diabetes,EN,no_positive,,,0.0,0,"{""disease_entity"": ""Febrile Seizure"", ""molecule_entity"": ""Diazepam"", ""drug_class_entity"": ""Benzodiazepines"", ""intent"": ""Safety / Contraindication""}",intent mismatch;missing contextual constraint;weak behavioral ground truth,no observed positives,Self-comparison titles outrank general Diazepam pharmacology for a contraindication question with diabetes; none of the top three titles establishes diabetes safety.,Test safety intent and comorbidity evidence; audit duplicate templates.,Codex qualitative title/metadata review; not clinician adjudication,,,no specific alternative established
Q198,Calcium channel blockers new evidence Hypertension 2022,EN,miss,0.0,0.0,0.0,1,"{""disease_entity"": ""Hypertension"", ""molecule_entity"": ""Amlodipine"", ""drug_class_entity"": ""Calcium channel blockers"", ""intent"": ""Guideline / Evidence Lookup"", ""year"": 2022.0}",partial entity match;temporal mismatch;weak behavioral ground truth,strongest observed positive title is off-topic,Beta-blocker pregnancy-hypertension titles rank above evidence for calcium channel blockers in hypertension in 2022. Neither requested class nor year is established in the top three titles.,Test class and disease specificity before recency weighting.,Codex qualitative title/metadata review; not clinician adjudication,,,no specific alternative established
Q201,interaksi obat Semaglutide dan Liraglutide pada Obesity,ID,hit,0.5,0.2043823975884861,0.1,2,"{""disease_entity"": ""Obesity"", ""molecule_entity"": ""Semaglutide; Liraglutide"", ""drug_class_entity"": ""GLP-1 receptor agonists; GLP-1 receptor agonists"", ""intent"": ""Interaction / Combination""}",lexical mismatch;English-Indonesian mismatch;partial entity match;weak behavioral ground truth,strongest observed positive title is off-topic,"Generic Indonesian drug-profile wording dominates: top titles concern HF, ACS and pregnancy hypertension. The grade-2 top-10 hit C089 is a Topiramate/Migraine self-comparison.",Test bilingual interaction cues and entity coverage; audit misleading proxy hit.,Codex qualitative title/metadata review; not clinician adjudication,,,no specific alternative established
Q210,switch dari Venlafaxine ke Escitalopram Major Depressive Disorder progresif,MIXED,hit,0.1666666666666666,0.0357183578679863,0.1,6,"{""disease_entity"": ""Major Depressive Disorder"", ""molecule_entity"": ""Venlafaxine; Escitalopram"", ""drug_class_entity"": ""SNRIs; SSRIs"", ""intent"": ""Treatment Change / Escalation""}",partial entity match;intent mismatch;severity mismatch;weak behavioral ground truth,strongest observed positive title is off-topic,C171 compares Venlafaxine with itself and C173 compares Escitalopram with Sertraline. Neither represents the requested switch pair or progressive disease. The proxy hit C182 concerns Sertraline.,Test ordered switch-pair coverage and progression evidence.,Codex qualitative title/metadata review; not clinician adjudication,,,no specific alternative established
Q225,Psoriasis dengan elderly patients pilihan drug terbaik,MIXED,miss,0.0,0.0,0.0,1,"{""disease_entity"": ""Psoriasis"", ""molecule_entity"": ""Tacrolimus topical"", ""drug_class_entity"": ""Topical calcineurin inhibitors"", ""intent"": ""Management / Treatment Selection"", ""age_group"": ""elderly""}",weak behavioral ground truth,strongest observed positive title is off-topic,C332 directly matches Psoriasis and elderly patients. Its title is broad but no age mismatch is visible; the inspected behavioral positive is Apixaban renal/hepatic dosing.,Review relevance independently; inspect full text for treatment selection.,Codex qualitative title/metadata review; not clinician adjudication,C332,1.0,plausible from title/metadata; not adjudicated relevant
Q232,Prednisolone side effect pada pasien Rheumatoid Arthritis apa saja,MIXED,miss,0.0,0.0,0.0,2,"{""disease_entity"": ""Rheumatoid Arthritis"", ""molecule_entity"": ""Prednisolone"", ""drug_class_entity"": ""Corticosteroids"", ""intent"": ""Safety / Contraindication""}",partial entity match;intent mismatch;weak behavioral ground truth,strongest observed positive title is off-topic,C135 matches Prednisolone but concerns COPD cohort outcomes rather than RA adverse effects. Other top titles preserve RA without the drug or safety focus.,Test joint entity and adverse-effect compatibility.,Codex qualitative title/metadata review; not clinician adjudication,,,no specific alternative established
Q238,Basal insulins in pregnancy and Type 1 Diabetes Mellitus,EN,miss,0.0,0.0,0.0,1,"{""disease_entity"": ""Type 1 Diabetes Mellitus"", ""molecule_entity"": ""Insulin glargine"", ""drug_class_entity"": ""Basal insulins"", ""intent"": ""Safety / Contraindication"", ""pregnancy_status"": ""pregnant""}",pregnancy mismatch;missing contextual constraint;weak behavioral ground truth,strongest observed positive title is off-topic,Top titles preserve Type 1 Diabetes but omit pregnancy safety. Omission does not prove pregnancy-incompatible content.,Obtain pregnancy-specific evidence and validate context extraction on full text.,Codex qualitative title/metadata review; not clinician adjudication,,,no specific alternative established
Q278,add on Furosemide setelah Furosemide gagal Nephrotic Syndrome,MIXED,miss,0.0,0.0,0.0,5,"{""disease_entity"": ""Nephrotic Syndrome"", ""molecule_entity"": ""Furosemide; Furosemide"", ""drug_class_entity"": ""Loop diuretics; Loop diuretics"", ""intent"": ""Treatment Change / Escalation"", ""prior_treatment_failure_flag"": true}",intent mismatch;severity mismatch;weak behavioral ground truth,strongest observed positive title is off-topic,"Safety, outcomes and initiation titles match Furosemide/Nephrotic Syndrome but omit prior failure and escalation; the add-on query repeats the same drug.",Audit the repeated-drug query and test prior-failure compatibility.,Codex qualitative title/metadata review; not clinician adjudication,,,no specific alternative established
Q284,Proton pump inhibitors adverse effects monitoring in Peptic Ulcer Disease,EN,miss,0.0,0.0,0.0,1,"{""disease_entity"": ""Peptic Ulcer Disease"", ""molecule_entity"": ""Omeprazole"", ""drug_class_entity"": ""Proton pump inhibitors"", ""intent"": ""Safety / Contraindication""}",intent mismatch;weak behavioral ground truth,strongest observed positive title is off-topic,"C143 and C139 are broad class-use/evidence titles, while C141 explicitly concerns efficacy. None of the top three titles establishes adverse-effect monitoring.",Test safety/monitoring compatibility using richer text.,Codex qualitative title/metadata review; not clinician adjudication,,,no specific alternative established
Q288,apakah Trastuzumab aman untuk Non-Small Cell Lung Cancer dengan hypertension,ID,no_positive,,,0.0,0,"{""disease_entity"": ""Non-Small Cell Lung Cancer"", ""molecule_entity"": ""Trastuzumab"", ""drug_class_entity"": ""HER2-targeted agents"", ""intent"": ""Safety / Contraindication""}",partial entity match;missing contextual constraint;weak behavioral ground truth,no observed positives,C202 changes Trastuzumab to Nivolumab; C190 is class-level refractory lung-cancer content. Neither title establishes hypertension-specific safety.,Test molecule and comorbidity evidence; no clinical judgment without full text.,Codex qualitative title/metadata review; not clinician adjudication,,,no specific alternative established
Q346,Chronic Kidney Disease dengan renal impairment penyesuaian dosis Losartan,MIXED,miss,0.0,0.0,0.0,5,"{""disease_entity"": ""Chronic Kidney Disease"", ""molecule_entity"": ""Losartan"", ""drug_class_entity"": ""ARBs"", ""intent"": ""Dosing / Administration"", ""dose_context_flag"": true, ""renal_function_group"": ""renal_impairment""}",renal-function mismatch;missing contextual constraint;intent mismatch;weak behavioral ground truth,strongest observed positive title is off-topic,C065 and C047 match Losartan/CKD but describe safety and interactions. CKD overlap alone does not establish renal dose adjustment.,Test renal dosing intent separately from disease overlap.,Codex qualitative title/metadata review; not clinician adjudication,,,no specific alternative established
Q349,dosis Liraglutide untuk pasien Obesity,ID,miss,0.0,0.0,0.0,1,"{""disease_entity"": ""Obesity"", ""molecule_entity"": ""Liraglutide"", ""drug_class_entity"": ""GLP-1 receptor agonists"", ""intent"": ""Dosing / Administration"", ""dose_context_flag"": true}",partial entity match;intent mismatch;English-Indonesian mismatch;weak behavioral ground truth,strongest observed positive title is off-topic,An Obesity case report outranks Liraglutide outcomes in diabetes. Neither is a Liraglutide obesity dosing title; Indonesian dosing wording lacks an English equivalent token.,Test bilingual dosing cues and joint entity coverage.,Codex qualitative title/metadata review; not clinician adjudication,,,no specific alternative established
Q363,target Type 2 Diabetes Mellitus sudah tercapai kapan maintenance Liraglutide,MIXED,miss,0.0,0.0,0.0,1,"{""disease_entity"": ""Type 2 Diabetes Mellitus"", ""molecule_entity"": ""Liraglutide"", ""drug_class_entity"": ""GLP-1 receptor agonists"", ""intent"": ""Prophylaxis / Maintenance""}",intent mismatch;weak behavioral ground truth,strongest observed positive title is off-topic,C005 matches drug/disease but concerns outcomes rather than criteria to continue maintenance after target attainment.,Obtain duration/maintenance evidence and evaluate intent.,Codex qualitative title/metadata review; not clinician adjudication,,,no specific alternative established
Q386,Zinc side effect pada pasien Stunting / Malnutrition apa saja,MIXED,miss,0.0,0.0,0.1,2,"{""disease_entity"": ""Stunting / Malnutrition"", ""molecule_entity"": ""Zinc"", ""drug_class_entity"": ""Zinc supplements"", ""intent"": ""Safety / Contraindication""}",intent mismatch;lexical mismatch;synonym mismatch;weak behavioral ground truth,strongest observed positive title is off-topic,"A Zinc self-comparison outranks C279, whose adverse-event title is closer to side-effect intent. Side effect and adverse event do not share the decisive tokens.",Test safety synonym normalization; verify adverse-event article scope.,Codex qualitative title/metadata review; not clinician adjudication,C279,4.0,plausible from title/metadata; not adjudicated relevant
Q392,switch from Artemether-lumefantrine to Artemether-lumefantrine in Typhoid Fever,EN,miss,0.0,0.0,0.2,6,"{""disease_entity"": ""Typhoid Fever"", ""molecule_entity"": ""Artemether-lumefantrine; Artemether-lumefantrine"", ""drug_class_entity"": ""Antimalarials; Antimalarials"", ""intent"": ""Treatment Change / Escalation""}",intent mismatch;weak behavioral ground truth,strongest observed positive title is off-topic,Interactions and severe-disease management outrank any switching-specific evidence. The query requests a switch from a drug to itself.,Audit query artifact and test switch intent rather than assume a valid drug transition.,Codex qualitative title/metadata review; not clinician adjudication,,,no specific alternative established
Q404,Omeprazole loading dose Peptic Ulcer Disease emergency,EN,miss,0.0,0.0,0.1,7,"{""disease_entity"": ""Peptic Ulcer Disease"", ""molecule_entity"": ""Omeprazole"", ""drug_class_entity"": ""Proton pump inhibitors"", ""intent"": ""Dosing / Administration"", ""dose_context_flag"": true}",intent mismatch;missing contextual constraint;weak behavioral ground truth,strongest observed positive title is off-topic,C150 matches Omeprazole/PUD initiation but omits loading dose and emergency context. C157 changes molecule to Lansoprazole.,Obtain administration details and evaluate loading/emergency constraints.,Codex qualitative title/metadata review; not clinician adjudication,C150,1.0,plausible from title/metadata; not adjudicated relevant
Q418,monitoring Xanthine oxidase inhibitors pada Psoriatic Arthritis parameter apa,MIXED,miss,0.0,0.0,0.1,1,"{""disease_entity"": ""Psoriatic Arthritis"", ""molecule_entity"": ""Allopurinol"", ""drug_class_entity"": ""Xanthine oxidase inhibitors"", ""intent"": ""Monitoring / Response / Risk Assessment""}",partial entity match;intent mismatch;weak behavioral ground truth,strongest observed positive title is off-topic,Safety titles for Colchicine and Ibuprofen and an NSAID consensus preserve Psoriatic Arthritis but miss the requested class and monitoring parameters.,Test class coverage and monitoring intent; audit corpus gaps.,Codex qualitative title/metadata review; not clinician adjudication,,,no specific alternative established
Q443,prophylaxis Schizophrenia Risperidone kapan bisa dihentikan,MIXED,miss,0.0,0.0,0.0,1,"{""disease_entity"": ""Schizophrenia"", ""molecule_entity"": ""Risperidone"", ""drug_class_entity"": ""Atypical antipsychotics"", ""intent"": ""Prophylaxis / Maintenance""}",intent mismatch;weak behavioral ground truth,strongest observed positive title is off-topic,"C163 is general Risperidone pharmacology/dosing, not an explicit stopping-prophylaxis title; the observed positive concerns Diazepam/seizures.",Inspect full text for maintenance criteria; audit behavioral label.,Codex qualitative title/metadata review; not clinician adjudication,C163,1.0,plausible from title/metadata; not adjudicated relevant
Q454,switch dari Meropenem ke Vancomycin Sepsis progresif,MIXED,miss,0.0,0.0,0.1,1,"{""disease_entity"": ""Sepsis"", ""molecule_entity"": ""Meropenem; Vancomycin"", ""drug_class_entity"": ""Carbapenems; Glycopeptides"", ""intent"": ""Treatment Change / Escalation""}",partial entity match;intent mismatch;severity mismatch;weak behavioral ground truth,strongest observed positive title is off-topic,Meropenem safety titles and Vancomycin renal dosing omit the requested switch and progressive Sepsis.,Test both-drug coverage and escalation compatibility.,Codex qualitative title/metadata review; not clinician adjudication,,,no specific alternative established
Q480,Venlafaxine dosing in Major Depressive Disorder with atrial fibrillation,EN,hit,0.125,0.026302301290877,0.1,8,"{""disease_entity"": ""Major Depressive Disorder"", ""molecule_entity"": ""Venlafaxine"", ""drug_class_entity"": ""SNRIs"", ""intent"": ""Dosing / Administration"", ""dose_context_flag"": true}",partial entity match;intent mismatch;missing contextual constraint;weak behavioral ground truth,strongest observed positive title is off-topic,"C171 is a Venlafaxine self-comparison, C182 names Sertraline dosing, and C170 discusses hypertension rather than atrial fibrillation. The observed hit is general depression risk stratification.",Test exact molecule plus dosing/comorbidity evidence.,Codex qualitative title/metadata review; not clinician adjudication,,,no specific alternative established
Q485,Lansoprazole resistance in Peptic Ulcer Disease alternative therapy,EN,hit,1.0,0.3868528072345416,0.1,1,"{""disease_entity"": ""Peptic Ulcer Disease"", ""molecule_entity"": ""Lansoprazole"", ""drug_class_entity"": ""Proton pump inhibitors"", ""intent"": ""Treatment Change / Escalation"", ""prior_treatment_failure_flag"": true}",intent mismatch;severity mismatch,broad same-disease positive; exact intent unverified,"C157 safety outranks C149/C156 switching guides. Their metadata includes Lansoprazole, making them plausible intent-aware alternatives, though resistance-specific detail is unverified.",Test intent plus supplied entities; inspect full text for resistance.,Codex qualitative title/metadata review; not clinician adjudication,C149,2.0,plausible from title/metadata; not adjudicated relevant
Q493,monitoring parameters Isoniazid in Tuberculosis,EN,no_positive,,,0.0,0,"{""disease_entity"": ""Tuberculosis"", ""molecule_entity"": ""Isoniazid"", ""drug_class_entity"": ""Antituberculotics"", ""intent"": ""Monitoring / Response / Risk Assessment""}",partial entity match;weak behavioral ground truth,no observed positives,Exact monitoring-template wording retrieves Bisphosphonates/Osteoporosis and unrelated classes ahead of Isoniazid/Tuberculosis. No inspected title names Isoniazid.,Test entity coverage and obtain missing drug-specific content.,Codex qualitative title/metadata review; not clinician adjudication,,,no specific alternative established
