protocol,split,candidate,reference,delta_ndcg,lower,upper,positive_queries,improved,worsened,unchanged
query,validation,symmetric_exact:selected_signed_intent,current:frozen_all_terms,0.00025930335071926456,-0.0011014963649943288,0.0019279874268618054,70,2,1,67
query,validation,symmetric_exact:selected_signed_intent,current:r_e7_equivalent,0.0007672201171863291,-0.004140037749695719,0.005844649276461157,70,3,4,63
query,validation,symmetric_exact:selected_all_terms,baseline:hybrid,-0.004533958985890062,-0.013063397072901772,0.0029491133995162557,70,2,5,63
query,validation,symmetric_exact:selected_all_terms,baseline:r_e7,0.0007672201171863291,-0.004140037749695719,0.005844649276461157,70,3,4,63
query,validation,symmetric_exact:selected_all_terms,current:frozen_all_terms,0.00025930335071926456,-0.0011014963649943288,0.0019279874268618054,70,2,1,67
query,validation,symmetric_exact:selected_all_terms,current:r_e7_equivalent,0.0007672201171863291,-0.004140037749695719,0.005844649276461157,70,3,4,63
query,validation,symmetric_exact:frozen_all_terms,baseline:hybrid,-0.004533958985890062,-0.013063397072901772,0.0029491133995162557,70,2,5,63
query,validation,symmetric_exact:frozen_all_terms,baseline:r_e7,0.0007672201171863291,-0.004140037749695719,0.005844649276461157,70,3,4,63
query,validation,symmetric_exact:frozen_all_terms,current:frozen_all_terms,0.00025930335071926456,-0.0011014963649943288,0.0019279874268618054,70,2,1,67
query,validation,symmetric_exact:frozen_all_terms,current:r_e7_equivalent,0.0007672201171863291,-0.004140037749695719,0.005844649276461157,70,3,4,63
query,validation,symmetric_exact:r_e7_style,baseline:hybrid,-0.005019159288351284,-0.015424136017692868,0.0036977329895686167,70,4,6,60
query,validation,symmetric_exact:r_e7_style,baseline:r_e7,0.00028201981472510644,-0.00013424857473991785,0.0009803080189152373,70,1,1,68
query,validation,symmetric_exact:r_e7_style,current:frozen_all_terms,-0.0002258969517419579,-0.004350548944650973,0.00416017758075743,70,3,3,64
query,validation,symmetric_exact:r_e7_style,current:r_e7_equivalent,0.00028201981472510644,-0.00013424857473991785,0.0009803080189152373,70,1,1,68
query,validation,ablation:requested_current_context,baseline:hybrid,-0.0052098392459275404,-0.01332069602803582,0.0017196106277350327,70,2,6,62
query,validation,ablation:requested_current_context,baseline:r_e7,9.133985714885031e-05,-0.004470215343274026,0.004673786817786586,70,3,4,63
query,validation,ablation:requested_current_context,current:frozen_all_terms,-0.00041657690931821425,-0.0012497307279546426,0.0,70,0,1,69
query,validation,ablation:requested_current_context,current:r_e7_equivalent,9.133985714885031e-05,-0.004470215343274026,0.004673786817786586,70,3,4,63
query,validation,ablation:symmetric_current_context,baseline:hybrid,-0.004533958985890062,-0.013063397072901772,0.0029491133995162557,70,2,5,63
query,validation,ablation:symmetric_current_context,baseline:r_e7,0.0007672201171863291,-0.004140037749695719,0.005844649276461157,70,3,4,63
query,validation,ablation:symmetric_current_context,current:frozen_all_terms,0.00025930335071926456,-0.0011014963649943288,0.0019279874268618054,70,2,1,67
query,validation,ablation:symmetric_current_context,current:r_e7_equivalent,0.0007672201171863291,-0.004140037749695719,0.005844649276461157,70,3,4,63
query,validation,ablation:dimension_exact_context,baseline:hybrid,-0.004793262336609326,-0.01295168421281118,0.0024526705042582087,70,2,6,62
query,validation,ablation:dimension_exact_context,baseline:r_e7,0.0005079167664670644,-0.0038748483440342917,0.0048178987798805605,70,3,4,63
query,validation,ablation:dimension_exact_context,current:frozen_all_terms,0.0,0.0,0.0,70,0,0,70
query,validation,ablation:dimension_exact_context,current:r_e7_equivalent,0.0005079167664670644,-0.0038748483440342917,0.0048178987798805605,70,3,4,63
query,test,requested_exact:hybrid,baseline:hybrid,0.0,0.0,0.0,68,0,0,68
query,test,requested_exact:hybrid,baseline:r_e7,-0.001171110266145232,-0.011050242303611586,0.008253082012494367,68,6,5,57
query,test,requested_exact:hybrid,current:frozen_all_terms,0.0019587923271352403,-0.005929017291566302,0.010142525455019319,68,7,4,57
query,test,requested_exact:hybrid,current:r_e7_equivalent,0.006842759129243979,-0.004184790536472017,0.020434981023708575,68,7,4,57
query,test,requested_exact:selected_signed_intent,baseline:hybrid,-0.0019587923271352403,-0.010142525455019319,0.005929017291566296,68,4,7,57
query,test,requested_exact:selected_signed_intent,baseline:r_e7,-0.003129902593280473,-0.009221933052222799,2.366018049171007e-05,68,1,3,64
query,test,requested_exact:selected_signed_intent,current:frozen_all_terms,0.0,0.0,0.0,68,0,0,68
query,test,requested_exact:selected_signed_intent,current:r_e7_equivalent,0.004883966802108737,-0.0005186684355650305,0.01519022319532102,68,2,2,64
query,test,requested_exact:selected_all_terms,baseline:hybrid,-0.0019587923271352403,-0.010142525455019319,0.005929017291566296,68,4,7,57
query,test,requested_exact:selected_all_terms,baseline:r_e7,-0.003129902593280473,-0.009221933052222799,2.366018049171007e-05,68,1,3,64
query,test,requested_exact:selected_all_terms,current:frozen_all_terms,0.0,0.0,0.0,68,0,0,68
query,test,requested_exact:selected_all_terms,current:r_e7_equivalent,0.004883966802108737,-0.0005186684355650305,0.01519022319532102,68,2,2,64
query,test,requested_exact:frozen_all_terms,baseline:hybrid,-0.0019587923271352403,-0.010142525455019319,0.005929017291566296,68,4,7,57
query,test,requested_exact:frozen_all_terms,baseline:r_e7,-0.003129902593280473,-0.009221933052222799,2.366018049171007e-05,68,1,3,64
query,test,requested_exact:frozen_all_terms,current:frozen_all_terms,0.0,0.0,0.0,68,0,0,68
query,test,requested_exact:frozen_all_terms,current:r_e7_equivalent,0.004883966802108737,-0.0005186684355650305,0.01519022319532102,68,2,2,64
query,test,requested_exact:r_e7_style,baseline:hybrid,-0.006842759129243979,-0.020434981023708644,0.004184790536471991,68,4,7,57
query,test,requested_exact:r_e7_style,baseline:r_e7,-0.00801386939538921,-0.02404160818616763,0.0,68,0,1,67
query,test,requested_exact:r_e7_style,current:frozen_all_terms,-0.004883966802108737,-0.01519022319532102,0.0005186684355650305,68,2,2,64
query,test,requested_exact:r_e7_style,current:r_e7_equivalent,0.0,0.0,0.0,68,0,0,68
query,test,symmetric_exact:hybrid,baseline:hybrid,0.0,0.0,0.0,68,0,0,68
query,test,symmetric_exact:hybrid,baseline:r_e7,-0.001171110266145232,-0.011050242303611586,0.008253082012494367,68,6,5,57
query,test,symmetric_exact:hybrid,current:frozen_all_terms,0.0019587923271352403,-0.005929017291566302,0.010142525455019319,68,7,4,57
query,test,symmetric_exact:hybrid,current:r_e7_equivalent,0.006842759129243979,-0.004184790536472017,0.020434981023708575,68,7,4,57
query,test,symmetric_exact:selected_signed_intent,baseline:hybrid,-0.0026020627209381642,-0.010680142596264812,0.005048174930473976,68,4,7,57
query,test,symmetric_exact:selected_signed_intent,baseline:r_e7,-0.0037731729870833963,-0.010334299158457932,0.0,68,1,4,63
query,test,symmetric_exact:selected_signed_intent,current:frozen_all_terms,-0.0006432703938029238,-0.0019298111814087715,0.0,68,0,1,67
query,test,symmetric_exact:selected_signed_intent,current:r_e7_equivalent,0.004240696408305814,-0.001958010217027077,0.01501604851395031,68,2,3,63
query,test,symmetric_exact:selected_all_terms,baseline:hybrid,-0.0026020627209381642,-0.010680142596264812,0.005048174930473976,68,4,7,57
query,test,symmetric_exact:selected_all_terms,baseline:r_e7,-0.0037731729870833963,-0.010334299158457932,0.0,68,1,4,63
query,test,symmetric_exact:selected_all_terms,current:frozen_all_terms,-0.0006432703938029238,-0.0019298111814087715,0.0,68,0,1,67
query,test,symmetric_exact:selected_all_terms,current:r_e7_equivalent,0.004240696408305814,-0.001958010217027077,0.01501604851395031,68,2,3,63
query,test,symmetric_exact:frozen_all_terms,baseline:hybrid,-0.0026020627209381642,-0.010680142596264812,0.005048174930473976,68,4,7,57
query,test,symmetric_exact:frozen_all_terms,baseline:r_e7,-0.0037731729870833963,-0.010334299158457932,0.0,68,1,4,63
query,test,symmetric_exact:frozen_all_terms,current:frozen_all_terms,-0.0006432703938029238,-0.0019298111814087715,0.0,68,0,1,67
query,test,symmetric_exact:frozen_all_terms,current:r_e7_equivalent,0.004240696408305814,-0.001958010217027077,0.01501604851395031,68,2,3,63
query,test,symmetric_exact:r_e7_style,baseline:hybrid,-0.007486029523046902,-0.020932843719763946,0.003228330289862159,68,4,7,57
query,test,symmetric_exact:r_e7_style,baseline:r_e7,-0.008657139789192133,-0.025328148973773477,0.0,68,0,2,66
query,test,symmetric_exact:r_e7_style,current:frozen_all_terms,-0.005527237195911661,-0.016435552508212894,0.00034844950841797463,68,2,3,63
query,test,symmetric_exact:r_e7_style,current:r_e7_equivalent,-0.0006432703938029238,-0.0019298111814087715,0.0,68,0,1,67
query,test,ablation:requested_current_context,baseline:hybrid,-0.0019587923271352403,-0.010142525455019319,0.005929017291566296,68,4,7,57
query,test,ablation:requested_current_context,baseline:r_e7,-0.003129902593280473,-0.009221933052222799,2.366018049171007e-05,68,1,3,64
query,test,ablation:requested_current_context,current:frozen_all_terms,0.0,0.0,0.0,68,0,0,68
query,test,ablation:requested_current_context,current:r_e7_equivalent,0.004883966802108737,-0.0005186684355650305,0.01519022319532102,68,2,2,64
query,test,ablation:symmetric_current_context,baseline:hybrid,-0.0026020627209381642,-0.010680142596264812,0.005048174930473976,68,4,7,57
query,test,ablation:symmetric_current_context,baseline:r_e7,-0.0037731729870833963,-0.010334299158457932,0.0,68,1,4,63
query,test,ablation:symmetric_current_context,current:frozen_all_terms,-0.0006432703938029238,-0.0019298111814087715,0.0,68,0,1,67
query,test,ablation:symmetric_current_context,current:r_e7_equivalent,0.004240696408305814,-0.001958010217027077,0.01501604851395031,68,2,3,63
query,test,ablation:dimension_exact_context,baseline:hybrid,-0.0019587923271352403,-0.010142525455019319,0.005929017291566296,68,4,7,57
query,test,ablation:dimension_exact_context,baseline:r_e7,-0.003129902593280473,-0.009221933052222799,2.366018049171007e-05,68,1,3,64
query,test,ablation:dimension_exact_context,current:frozen_all_terms,0.0,0.0,0.0,68,0,0,68
query,test,ablation:dimension_exact_context,current:r_e7_equivalent,0.004883966802108737,-0.0005186684355650305,0.01519022319532102,68,2,2,64
query_dedup,validation,requested_exact:hybrid,baseline:hybrid,0.0,0.0,0.0,69,0,0,69
query_dedup,validation,requested_exact:hybrid,baseline:r_e7,-0.0013356966461214234,-0.010732371861666291,0.0070643701612594974,69,3,4,62
query_dedup,validation,requested_exact:hybrid,current:frozen_all_terms,0.002367382855607071,-0.00337359966795025,0.009352481755545983,69,3,2,64
query_dedup,validation,requested_exact:hybrid,current:r_e7_equivalent,0.006562029714552001,-0.003334015076810325,0.020309055086271375,69,4,3,62
query_dedup,validation,requested_exact:selected_signed_intent,baseline:hybrid,-0.002367382855607071,-0.009352481755545988,0.0033735996679502465,69,2,3,64
