side,record_id,language,text,entities,extracted_context,proxies,publication_year,risk_flags,duplicate_terms,unsupported_molecule_count,title_year_disagrees
query,Q013,MIXED,kontraindikasi Bedaquiline pada Tuberculosis dengan anaemia,"{""disease_entity"": ""Tuberculosis"", ""molecule_entity"": ""Bedaquiline"", ""drug_class_entity"": ""Antituberculotics"", ""therapeutic_area"": ""Pulmonology""}",{},,,,0,0,False
query,Q014,EN,Malaria pediatric dosing Tenofovir disoproxil,"{""disease_entity"": ""Malaria"", ""molecule_entity"": ""Tenofovir disoproxil"", ""drug_class_entity"": ""NRTIs"", ""therapeutic_area"": ""Infectious Disease""}","{""age_group"": ""pediatric"", ""dose_context_flag"": true}",,,,0,0,False
query,Q015,EN,Peptic Ulcer Disease prophylaxis Lansoprazole indication,"{""disease_entity"": ""Peptic Ulcer Disease"", ""molecule_entity"": ""Lansoprazole"", ""drug_class_entity"": ""Proton pump inhibitors"", ""therapeutic_area"": ""Gastroenterology""}",{},,,,0,0,False
query,Q016,EN,is Bortezomib safe in Rheumatoid Arthritis with renal impairment,"{""disease_entity"": ""Rheumatoid Arthritis"", ""molecule_entity"": ""Bortezomib"", ""drug_class_entity"": ""Proteasome inhibitors"", ""therapeutic_area"": ""Rheumatology""}","{""renal_function_group"": ""renal_impairment""}",,,population_or_comorbidity,0,0,False
query,Q017,MIXED,PD-1 inhibitors mechanism untuk Colorectal Cancer bagaimana cara kerjanya,"{""disease_entity"": ""Colorectal Cancer"", ""molecule_entity"": ""Pembrolizumab"", ""drug_class_entity"": ""PD-1 inhibitors"", ""therapeutic_area"": ""Oncology""}",{},,,molecule_without_literal_support,0,1,False
query,Q018,ID,interaksi obat Losartan dan Empagliflozin pada Chronic Kidney Disease,"{""disease_entity"": ""Chronic Kidney Disease"", ""molecule_entity"": ""Losartan; Empagliflozin"", ""drug_class_entity"": ""ARBs; SGLT2 inhibitors"", ""therapeutic_area"": ""Nephrology""}",{},,,population_or_comorbidity,0,0,False
query,Q019,MIXED,Rheumatoid Arthritis dengan renal impairment penyesuaian dosis Bortezomib,"{""disease_entity"": ""Rheumatoid Arthritis"", ""molecule_entity"": ""Bortezomib"", ""drug_class_entity"": ""Proteasome inhibitors"", ""therapeutic_area"": ""Rheumatology""}","{""dose_context_flag"": true, ""renal_function_group"": ""renal_impairment""}",,,population_or_comorbidity,0,0,False
query,Q020,EN,latest Malaria management guidelines 2025,"{""disease_entity"": ""Malaria"", ""molecule_entity"": ""Dolutegravir"", ""drug_class_entity"": ""Integrase inhibitors"", ""therapeutic_area"": ""Infectious Disease""}","{""year"": 2025, ""recency_flag"": true}",,,molecule_without_literal_support,0,1,False
query,Q021,MIXED,dosis titrasi Tenofovir disoproxil Malaria toleransi pasien,"{""disease_entity"": ""Malaria"", ""molecule_entity"": ""Tenofovir disoproxil"", ""drug_class_entity"": ""NRTIs"", ""therapeutic_area"": ""Infectious Disease""}","{""dose_context_flag"": true}",,,,0,0,False
query,Q022,ID,resistensi Methyldopa pada Hypertension in Pregnancy alternatif Methyldopa,"{""disease_entity"": ""Hypertension in Pregnancy"", ""molecule_entity"": ""Methyldopa; Methyldopa"", ""drug_class_entity"": ""Centrally acting antihypertensives; Centrally acting antihypertensives"", ""therapeutic_area"": ""Obstetrics""}","{""pregnancy_status"": ""pregnant"", ""prior_treatment_failure_flag"": true}",,,population_or_comorbidity;duplicate_metadata,2,0,False
query,Q023,MIXED,indikasi Sitagliptin pada Type 2 Diabetes Mellitus guideline terbaru,"{""disease_entity"": ""Type 2 Diabetes Mellitus"", ""molecule_entity"": ""Sitagliptin"", ""drug_class_entity"": ""DPP-4 inhibitors"", ""therapeutic_area"": ""Endocrinology""}","{""recency_flag"": true}",,,,0,0,False
query,Q024,MIXED,Gout dengan renal impairment penyesuaian dosis Adalimumab,"{""disease_entity"": ""Gout"", ""molecule_entity"": ""Adalimumab"", ""drug_class_entity"": ""TNF inhibitors"", ""therapeutic_area"": ""Rheumatology""}","{""dose_context_flag"": true, ""renal_function_group"": ""renal_impairment""}",,,population_or_comorbidity,0,0,False
query,Q025,EN,Acute Coronary Syndrome guideline update 2023 summary,"{""disease_entity"": ""Acute Coronary Syndrome"", ""molecule_entity"": ""Atorvastatin"", ""drug_class_entity"": ""Statins"", ""therapeutic_area"": ""Cardiology""}","{""year"": 2023, ""recency_flag"": true}",,,molecule_without_literal_support,0,1,False
query,Q026,MIXED,kontraindikasi Labetalol pada Hypertension in Pregnancy dengan atrial fibrillation,"{""disease_entity"": ""Hypertension in Pregnancy"", ""molecule_entity"": ""Labetalol"", ""drug_class_entity"": ""Beta blockers non-selective"", ""therapeutic_area"": ""Obstetrics""}","{""pregnancy_status"": ""pregnant""}",,,population_or_comorbidity,0,0,False
query,Q027,EN,Vitamin A adverse effects monitoring in Stunting / Malnutrition,"{""disease_entity"": ""Stunting / Malnutrition"", ""molecule_entity"": ""Vitamin A"", ""drug_class_entity"": ""Vitamin A"", ""therapeutic_area"": ""Pediatrics""}",{},,,,0,0,False
query,Q028,EN,ACE inhibitors adverse effects monitoring in Hypertension,"{""disease_entity"": ""Hypertension"", ""molecule_entity"": ""Ramipril"", ""drug_class_entity"": ""ACE inhibitors"", ""therapeutic_area"": ""Cardiology""}",{},,,molecule_without_literal_support,0,1,False
query,Q029,MIXED,Empagliflozin efficacy pada Type 2 Diabetes Mellitus clinical outcome data,"{""disease_entity"": ""Type 2 Diabetes Mellitus"", ""molecule_entity"": ""Empagliflozin"", ""drug_class_entity"": ""SGLT2 inhibitors"", ""therapeutic_area"": ""Endocrinology""}",{},,,,0,0,False
query,Q030,EN,is Losartan safe in Hypertension with liver disease,"{""disease_entity"": ""Hypertension"", ""molecule_entity"": ""Losartan"", ""drug_class_entity"": ""ARBs"", ""therapeutic_area"": ""Cardiology""}","{""hepatic_impairment_flag"": true}",,,,0,0,False
query,Q031,MIXED,Ibuprofen side effect pada pasien Psoriatic Arthritis apa saja,"{""disease_entity"": ""Psoriatic Arthritis"", ""molecule_entity"": ""Ibuprofen"", ""drug_class_entity"": ""NSAIDs"", ""therapeutic_area"": ""Rheumatology""}",{},,,,0,0,False
query,Q032,ID,interaksi obat Ramipril dan Spironolactone pada Heart Failure,"{""disease_entity"": ""Heart Failure"", ""molecule_entity"": ""Ramipril; Spironolactone"", ""drug_class_entity"": ""ACE inhibitors; Aldosterone antagonists"", ""therapeutic_area"": ""Cardiology""}",{},,,,0,0,False
query,Q033,MIXED,dosis Semaglutide pada Obesity pasien hypertension aman tidak,"{""disease_entity"": ""Obesity"", ""molecule_entity"": ""Semaglutide"", ""drug_class_entity"": ""GLP-1 receptor agonists"", ""therapeutic_area"": ""Endocrinology""}","{""dose_context_flag"": true, ""negation_flag"": true}",,,negation;population_or_comorbidity,0,0,False
query,Q034,EN,Typhoid Fever treatment algorithm Antimalarials first line,"{""disease_entity"": ""Typhoid Fever"", ""molecule_entity"": ""Artemether-lumefantrine"", ""drug_class_entity"": ""Antimalarials"", ""therapeutic_area"": ""Infectious Disease""}",{},,,molecule_without_literal_support,0,1,False
query,Q035,ID,algoritma terapi HIV/AIDS step up,"{""disease_entity"": ""HIV/AIDS"", ""molecule_entity"": ""Levofloxacin"", ""drug_class_entity"": ""Fluoroquinolones"", ""therapeutic_area"": ""Infectious Disease""}",{},,,molecule_without_literal_support,0,1,False
query,Q036,EN,Atrial Fibrillation pediatric dosing Empagliflozin,"{""disease_entity"": ""Atrial Fibrillation"", ""molecule_entity"": ""Empagliflozin"", ""drug_class_entity"": ""SGLT2 inhibitors"", ""therapeutic_area"": ""Cardiology""}","{""age_group"": ""pediatric"", ""dose_context_flag"": true}",,,,0,0,False
query,Q037,EN,SSRIs in pregnancy and ADHD,"{""disease_entity"": ""ADHD"", ""molecule_entity"": ""Sertraline"", ""drug_class_entity"": ""SSRIs"", ""therapeutic_area"": ""Psychiatry""}","{""pregnancy_status"": ""pregnant""}",,,molecule_without_literal_support;population_or_comorbidity,0,1,False
query,Q038,MIXED,Integrase inhibitors terbaru untuk Malaria terbaru,"{""disease_entity"": ""Malaria"", ""molecule_entity"": ""Dolutegravir"", ""drug_class_entity"": ""Integrase inhibitors"", ""therapeutic_area"": ""Infectious Disease""}","{""recency_flag"": true}",,,molecule_without_literal_support,0,1,False
query,Q039,ID,algoritma terapi Chronic Kidney Disease step up,"{""disease_entity"": ""Chronic Kidney Disease"", ""molecule_entity"": ""Dapagliflozin"", ""drug_class_entity"": ""SGLT2 inhibitors"", ""therapeutic_area"": ""Nephrology""}",{},,,molecule_without_literal_support;population_or_comorbidity,0,1,False
query,Q040,ID,resistensi Desmopressin pada Diabetes Insipidus alternatif Desmopressin,"{""disease_entity"": ""Diabetes Insipidus"", ""molecule_entity"": ""Desmopressin; Desmopressin"", ""drug_class_entity"": ""Vasopressin analogues; Vasopressin analogues"", ""therapeutic_area"": ""Endocrinology""}","{""prior_treatment_failure_flag"": true}",,,duplicate_metadata,2,0,False
query,Q041,EN,SGLT2 inhibitors mechanism of action in Chronic Kidney Disease,"{""disease_entity"": ""Chronic Kidney Disease"", ""molecule_entity"": ""Empagliflozin"", ""drug_class_entity"": ""SGLT2 inhibitors"", ""therapeutic_area"": ""Nephrology""}",{},,,molecule_without_literal_support;population_or_comorbidity,0,1,False
query,Q042,EN,switch from Piperacillin-tazobactam to Norepinephrine in Sepsis,"{""disease_entity"": ""Sepsis"", ""molecule_entity"": ""Piperacillin-tazobactam; Norepinephrine"", ""drug_class_entity"": ""Beta-lactam combinations; Adrenergic agonists"", ""therapeutic_area"": ""Critical Care""}",{},,,,0,0,False
query,Q043,ID,Thyroid hormones kontraindikasi pada Hyperthyroidism dengan hepatic impairment,"{""disease_entity"": ""Hyperthyroidism"", ""molecule_entity"": ""Levothyroxine"", ""drug_class_entity"": ""Thyroid hormones"", ""therapeutic_area"": ""Endocrinology""}","{""hepatic_impairment_flag"": true}",,,molecule_without_literal_support,0,1,False
query,Q044,EN,Malaria with pregnancy first line drug,"{""disease_entity"": ""Malaria"", ""molecule_entity"": ""Tenofovir disoproxil"", ""drug_class_entity"": ""NRTIs"", ""therapeutic_area"": ""Infectious Disease""}","{""pregnancy_status"": ""pregnant""}",,,molecule_without_literal_support;population_or_comorbidity,0,1,False
query,Q045,EN,switch from Diazepam to Diazepam in Febrile Seizure,"{""disease_entity"": ""Febrile Seizure"", ""molecule_entity"": ""Diazepam; Diazepam"", ""drug_class_entity"": ""Benzodiazepines; Benzodiazepines"", ""therapeutic_area"": ""Pediatrics""}",{},,,duplicate_metadata,2,0,False
query,Q046,ID,kapan mulai terapi Adalimumab pada Gout,"{""disease_entity"": ""Gout"", ""molecule_entity"": ""Adalimumab"", ""drug_class_entity"": ""TNF inhibitors"", ""therapeutic_area"": ""Rheumatology""}",{},,,,0,0,False
query,Q047,EN,Tiotropium long term outcomes COPD,"{""disease_entity"": ""COPD"", ""molecule_entity"": ""Tiotropium"", ""drug_class_entity"": ""Long-acting antimuscarinics"", ""therapeutic_area"": ""Pulmonology""}",{},,,,0,0,False
query,Q048,EN,Ibuprofen long term outcomes Systemic Lupus Erythematosus,"{""disease_entity"": ""Systemic Lupus Erythematosus"", ""molecule_entity"": ""Ibuprofen"", ""drug_class_entity"": ""NSAIDs"", ""therapeutic_area"": ""Rheumatology""}",{},,,,0,0,False
query,Q049,MIXED,Calcium channel blockers mechanism untuk Atrial Fibrillation bagaimana cara kerjanya,"{""disease_entity"": ""Atrial Fibrillation"", ""molecule_entity"": ""Amlodipine"", ""drug_class_entity"": ""Calcium channel blockers"", ""therapeutic_area"": ""Cardiology""}",{},,,molecule_without_literal_support,0,1,False
query,Q050,EN,Levofloxacin hepatic impairment dose in HIV/AIDS,"{""disease_entity"": ""HIV/AIDS"", ""molecule_entity"": ""Levofloxacin"", ""drug_class_entity"": ""Fluoroquinolones"", ""therapeutic_area"": ""Infectious Disease""}","{""dose_context_flag"": true, ""hepatic_impairment_flag"": true}",,,,0,0,False
query,Q051,EN,add on therapy Malaria after Dolutegravir failure,"{""disease_entity"": ""Malaria"", ""molecule_entity"": ""Dolutegravir"", ""drug_class_entity"": ""Integrase inhibitors"", ""therapeutic_area"": ""Infectious Disease""}","{""prior_treatment_failure_flag"": true}",,,,0,0,False
query,Q052,MIXED,HIV/AIDS first line Penicillins evidence based,"{""disease_entity"": ""HIV/AIDS"", ""molecule_entity"": ""Amoxicillin"", ""drug_class_entity"": ""Penicillins"", ""therapeutic_area"": ""Infectious Disease""}",{},,,molecule_without_literal_support,0,1,False
query,Q053,EN,Atypical antipsychotics mechanism of action in Schizophrenia,"{""disease_entity"": ""Schizophrenia"", ""molecule_entity"": ""Clozapine"", ""drug_class_entity"": ""Atypical antipsychotics"", ""therapeutic_area"": ""Psychiatry""}",{},,,molecule_without_literal_support,0,1,False
query,Q054,EN,is Empagliflozin safe in Chronic Kidney Disease with renal impairment,"{""disease_entity"": ""Chronic Kidney Disease"", ""molecule_entity"": ""Empagliflozin"", ""drug_class_entity"": ""SGLT2 inhibitors"", ""therapeutic_area"": ""Nephrology""}","{""renal_function_group"": ""renal_impairment""}",,,population_or_comorbidity,0,0,False
query,Q055,MIXED,Methimazole side effect pada pasien Hyperthyroidism apa saja,"{""disease_entity"": ""Hyperthyroidism"", ""molecule_entity"": ""Methimazole"", ""drug_class_entity"": ""Antithyroid agents"", ""therapeutic_area"": ""Endocrinology""}",{},,,,0,0,False
query,Q056,MIXED,Sepsis emergency Piperacillin-tazobactam loading dose berapa,"{""disease_entity"": ""Sepsis"", ""molecule_entity"": ""Piperacillin-tazobactam"", ""drug_class_entity"": ""Beta-lactam combinations"", ""therapeutic_area"": ""Critical Care""}","{""dose_context_flag"": true}",,,,0,0,False
query,Q057,MIXED,Dapagliflozin vs Dapagliflozin untuk pasien Chronic Kidney Disease mana lebih efektif,"{""disease_entity"": ""Chronic Kidney Disease"", ""molecule_entity"": ""Dapagliflozin; Dapagliflozin"", ""drug_class_entity"": ""SGLT2 inhibitors; SGLT2 inhibitors"", ""therapeutic_area"": ""Nephrology""}","{""comparison_flag"": true}",,,comparison;population_or_comorbidity;duplicate_metadata,2,0,False
query,Q058,EN,Thrombolytics role in Ischaemic Stroke pathophysiology,"{""disease_entity"": ""Ischaemic Stroke"", ""molecule_entity"": ""Alteplase"", ""drug_class_entity"": ""Thrombolytics"", ""therapeutic_area"": ""Neurology""}",{},,,molecule_without_literal_support,0,1,False
query,Q059,MIXED,switch dari Dupilumab ke Cyclosporine Psoriasis progresif,"{""disease_entity"": ""Psoriasis"", ""molecule_entity"": ""Dupilumab; Cyclosporine"", ""drug_class_entity"": ""IL-4/IL-13 inhibitors; Calcineurin inhibitors"", ""therapeutic_area"": ""Dermatology""}",{},,,,0,0,False
query,Q060,EN,Migraine with liver disease first line drug,"{""disease_entity"": ""Migraine"", ""molecule_entity"": ""Topiramate"", ""drug_class_entity"": ""Antiepileptics other"", ""therapeutic_area"": ""Neurology""}","{""hepatic_impairment_flag"": true}",,,molecule_without_literal_support,0,1,False
query,Q061,MIXED,Epilepsy first line Antiepileptics other evidence based,"{""disease_entity"": ""Epilepsy"", ""molecule_entity"": ""Levetiracetam"", ""drug_class_entity"": ""Antiepileptics other"", ""therapeutic_area"": ""Neurology""}",{},,,molecule_without_literal_support,0,1,False
query,Q062,EN,latest COPD management guidelines terbaru,"{""disease_entity"": ""COPD"", ""molecule_entity"": ""Prednisolone"", ""drug_class_entity"": ""Corticosteroids"", ""therapeutic_area"": ""Pulmonology""}","{""recency_flag"": true}",,,molecule_without_literal_support,0,1,False
query,Q063,ID,Malaria pada anak dosis Tenofovir disoproxil,"{""disease_entity"": ""Malaria"", ""molecule_entity"": ""Tenofovir disoproxil"", ""drug_class_entity"": ""NRTIs"", ""therapeutic_area"": ""Infectious Disease""}","{""age_group"": ""pediatric"", ""dose_context_flag"": true}",,,population_or_comorbidity,0,0,False
query,Q064,EN,monitoring parameters Methyldopa in Hypertension in Pregnancy,"{""disease_entity"": ""Hypertension in Pregnancy"", ""molecule_entity"": ""Methyldopa"", ""drug_class_entity"": ""Centrally acting antihypertensives"", ""therapeutic_area"": ""Obstetrics""}","{""pregnancy_status"": ""pregnant""}",,,population_or_comorbidity,0,0,False
query,Q065,MIXED,Semaglutide efficacy pada Type 2 Diabetes Mellitus clinical outcome data,"{""disease_entity"": ""Type 2 Diabetes Mellitus"", ""molecule_entity"": ""Semaglutide"", ""drug_class_entity"": ""GLP-1 receptor agonists"", ""therapeutic_area"": ""Endocrinology""}",{},,,,0,0,False
query,Q066,EN,monitoring parameters Rosuvastatin in Acute Coronary Syndrome,"{""disease_entity"": ""Acute Coronary Syndrome"", ""molecule_entity"": ""Rosuvastatin"", ""drug_class_entity"": ""Statins"", ""therapeutic_area"": ""Cardiology""}",{},,,,0,0,False
query,Q067,MIXED,kapan start Atorvastatin di Acute Coronary Syndrome evidence terbaru 2025,"{""disease_entity"": ""Acute Coronary Syndrome"", ""molecule_entity"": ""Atorvastatin"", ""drug_class_entity"": ""Statins"", ""therapeutic_area"": ""Cardiology""}","{""year"": 2025, ""recency_flag"": true}",,,,0,0,False
query,Q068,EN,Labetalol resistance in Hypertension in Pregnancy alternative therapy,"{""disease_entity"": ""Hypertension in Pregnancy"", ""molecule_entity"": ""Labetalol"", ""drug_class_entity"": ""Beta blockers non-selective"", ""therapeutic_area"": ""Obstetrics""}","{""pregnancy_status"": ""pregnant"", ""prior_treatment_failure_flag"": true}",,,population_or_comorbidity,0,0,False
query,Q069,MIXED,dosis titrasi Alendronate Osteoporosis toleransi pasien,"{""disease_entity"": ""Osteoporosis"", ""molecule_entity"": ""Alendronate"", ""drug_class_entity"": ""Bisphosphonates"", ""therapeutic_area"": ""Rheumatology""}","{""dose_context_flag"": true}",,,,0,0,False
query,Q070,EN,Furosemide long term outcomes Nephrotic Syndrome,"{""disease_entity"": ""Nephrotic Syndrome"", ""molecule_entity"": ""Furosemide"", ""drug_class_entity"": ""Loop diuretics"", ""therapeutic_area"": ""Nephrology""}",{},,,,0,0,False
query,Q071,EN,Vancomycin vs Piperacillin-tazobactam in Sepsis patients,"{""disease_entity"": ""Sepsis"", ""molecule_entity"": ""Vancomycin; Piperacillin-tazobactam"", ""drug_class_entity"": ""Glycopeptides; Beta-lactam combinations"", ""therapeutic_area"": ""Critical Care""}","{""comparison_flag"": true}",,,comparison,0,0,False
query,Q072,MIXED,prophylaxis Typhoid Fever Artemether-lumefantrine kapan bisa dihentikan,"{""disease_entity"": ""Typhoid Fever"", ""molecule_entity"": ""Artemether-lumefantrine"", ""drug_class_entity"": ""Antimalarials"", ""therapeutic_area"": ""Infectious Disease""}",{},,,,0,0,False
query,Q073,EN,is Valproate safe in Epilepsy with hypertension,"{""disease_entity"": ""Epilepsy"", ""molecule_entity"": ""Valproate"", ""drug_class_entity"": ""Fatty acid derivatives"", ""therapeutic_area"": ""Neurology""}",{},,,,0,0,False
query,Q074,EN,Zinc supplements role in Stunting / Malnutrition pathophysiology,"{""disease_entity"": ""Stunting / Malnutrition"", ""molecule_entity"": ""Zinc"", ""drug_class_entity"": ""Zinc supplements"", ""therapeutic_area"": ""Pediatrics""}",{},,,,0,0,False
query,Q075,EN,Psoriasis guideline update terbaru summary,"{""disease_entity"": ""Psoriasis"", ""molecule_entity"": ""Tacrolimus topical"", ""drug_class_entity"": ""Topical calcineurin inhibitors"", ""therapeutic_area"": ""Dermatology""}","{""recency_flag"": true}",,,molecule_without_literal_support,0,1,False
query,Q076,MIXED,Acute Coronary Syndrome dengan renal impairment penyesuaian dosis Ezetimibe,"{""disease_entity"": ""Acute Coronary Syndrome"", ""molecule_entity"": ""Ezetimibe"", ""drug_class_entity"": ""Cholesterol absorption inhibitors"", ""therapeutic_area"": ""Cardiology""}","{""dose_context_flag"": true, ""renal_function_group"": ""renal_impairment""}",,,population_or_comorbidity,0,0,False
query,Q077,ID,algoritma terapi Iron Deficiency Anaemia step up,"{""disease_entity"": ""Iron Deficiency Anaemia"", ""molecule_entity"": ""Erythropoietin"", ""drug_class_entity"": ""Erythropoiesis stimulating agents"", ""therapeutic_area"": ""Haematology""}",{},,,molecule_without_literal_support,0,1,False
query,Q078,ID,apakah Risperidone aman untuk Schizophrenia dengan anaemia,"{""disease_entity"": ""Schizophrenia"", ""molecule_entity"": ""Risperidone"", ""drug_class_entity"": ""Atypical antipsychotics"", ""therapeutic_area"": ""Psychiatry""}",{},,,,0,0,False
query,Q079,EN,Benzodiazepines mechanism of action in Febrile Seizure,"{""disease_entity"": ""Febrile Seizure"", ""molecule_entity"": ""Diazepam"", ""drug_class_entity"": ""Benzodiazepines"", ""therapeutic_area"": ""Pediatrics""}",{},,,molecule_without_literal_support,0,1,False
query,Q080,MIXED,Urinary Tract Infection dengan obesity pilihan drug terbaik,"{""disease_entity"": ""Urinary Tract Infection"", ""molecule_entity"": ""Tenofovir+Lamivudine"", ""drug_class_entity"": ""NRTIs combination"", ""therapeutic_area"": ""Infectious Disease""}",{},,,molecule_without_literal_support;population_or_comorbidity,0,1,False
query,Q081,MIXED,Stable Angina dengan hypertension pilihan drug terbaik,"{""disease_entity"": ""Stable Angina"", ""molecule_entity"": ""Atorvastatin"", ""drug_class_entity"": ""Statins"", ""therapeutic_area"": ""Cardiology""}",{},,,molecule_without_literal_support,0,1,False
query,Q082,EN,add on therapy Tuberculosis after Isoniazid failure,"{""disease_entity"": ""Tuberculosis"", ""molecule_entity"": ""Isoniazid"", ""drug_class_entity"": ""Antituberculotics"", ""therapeutic_area"": ""Pulmonology""}","{""prior_treatment_failure_flag"": true}",,,,0,0,False
query,Q083,EN,latest Pulmonary Embolism management guidelines terbaru,"{""disease_entity"": ""Pulmonary Embolism"", ""molecule_entity"": ""Metronidazole"", ""drug_class_entity"": ""Nitroimidazoles"", ""therapeutic_area"": ""Pulmonology""}","{""recency_flag"": true}",,,molecule_without_literal_support,0,1,False
query,Q084,ID,algoritma terapi COPD step up,"{""disease_entity"": ""COPD"", ""molecule_entity"": ""Salmeterol"", ""drug_class_entity"": ""Long-acting beta2-agonists"", ""therapeutic_area"": ""Pulmonology""}",{},,,molecule_without_literal_support,0,1,False
query,Q085,EN,Methylphenidate vs Methylphenidate efficacy in Breast Cancer HER2-positive,"{""disease_entity"": ""Breast Cancer HER2-positive"", ""molecule_entity"": ""Methylphenidate; Methylphenidate"", ""drug_class_entity"": ""CNS stimulants; CNS stimulants"", ""therapeutic_area"": ""Oncology""}","{""comparison_flag"": true}",,,comparison;duplicate_metadata,2,0,False
query,Q086,MIXED,add on Norepinephrine setelah Piperacillin-tazobactam gagal Sepsis,"{""disease_entity"": ""Sepsis"", ""molecule_entity"": ""Norepinephrine; Piperacillin-tazobactam"", ""drug_class_entity"": ""Adrenergic agonists; Beta-lactam combinations"", ""therapeutic_area"": ""Critical Care""}","{""prior_treatment_failure_flag"": true}",,,,0,0,False
query,Q087,MIXED,Rheumatoid Arthritis dengan renal impairment pilihan drug terbaik,"{""disease_entity"": ""Rheumatoid Arthritis"", ""molecule_entity"": ""Hydroxychloroquine"", ""drug_class_entity"": ""Antimalarials"", ""therapeutic_area"": ""Rheumatology""}","{""renal_function_group"": ""renal_impairment""}",,,molecule_without_literal_support;population_or_comorbidity,0,1,False
query,Q088,EN,renal dose adjustment Diazepam in Febrile Seizure,"{""disease_entity"": ""Febrile Seizure"", ""molecule_entity"": ""Diazepam"", ""drug_class_entity"": ""Benzodiazepines"", ""therapeutic_area"": ""Pediatrics""}","{""dose_context_flag"": true, ""renal_function_group"": ""renal_impairment""}",,,population_or_comorbidity,0,0,False
