side,record_id,field,value,duplicate,evidence_source,evidence_span
query,Q017,disease_entity,Colorectal Cancer,False,text_and_metadata,Colorectal Cancer
query,Q017,molecule_entity,Pembrolizumab,False,metadata_without_literal_text_support,
query,Q017,drug_class_entity,PD-1 inhibitors,False,text_and_metadata,PD-1 inhibitors
query,Q017,therapeutic_area,Oncology,False,metadata_without_literal_text_support,
query,Q018,disease_entity,Chronic Kidney Disease,False,text_and_metadata,Chronic Kidney Disease
query,Q018,molecule_entity,Losartan,False,text_and_metadata,Losartan
query,Q018,molecule_entity,Empagliflozin,False,text_and_metadata,Empagliflozin
query,Q018,drug_class_entity,ARBs,False,metadata_without_literal_text_support,
query,Q018,drug_class_entity,SGLT2 inhibitors,False,metadata_without_literal_text_support,
query,Q018,therapeutic_area,Nephrology,False,metadata_without_literal_text_support,
query,Q019,disease_entity,Rheumatoid Arthritis,False,text_and_metadata,Rheumatoid Arthritis
query,Q019,molecule_entity,Bortezomib,False,text_and_metadata,Bortezomib
query,Q019,drug_class_entity,Proteasome inhibitors,False,metadata_without_literal_text_support,
query,Q019,therapeutic_area,Rheumatology,False,metadata_without_literal_text_support,
query,Q020,disease_entity,Malaria,False,text_and_metadata,Malaria
query,Q020,molecule_entity,Dolutegravir,False,metadata_without_literal_text_support,
query,Q020,drug_class_entity,Integrase inhibitors,False,metadata_without_literal_text_support,
query,Q020,therapeutic_area,Infectious Disease,False,metadata_without_literal_text_support,
query,Q021,disease_entity,Malaria,False,text_and_metadata,Malaria
query,Q021,molecule_entity,Tenofovir disoproxil,False,text_and_metadata,Tenofovir disoproxil
query,Q021,drug_class_entity,NRTIs,False,metadata_without_literal_text_support,
query,Q021,therapeutic_area,Infectious Disease,False,metadata_without_literal_text_support,
query,Q022,disease_entity,Hypertension in Pregnancy,False,text_and_metadata,Hypertension in Pregnancy
query,Q022,molecule_entity,Methyldopa,False,text_and_metadata,Methyldopa
query,Q022,molecule_entity,Methyldopa,True,text_and_metadata,Methyldopa
query,Q022,drug_class_entity,Centrally acting antihypertensives,False,metadata_without_literal_text_support,
query,Q022,drug_class_entity,Centrally acting antihypertensives,True,metadata_without_literal_text_support,
query,Q022,therapeutic_area,Obstetrics,False,metadata_without_literal_text_support,
query,Q023,disease_entity,Type 2 Diabetes Mellitus,False,text_and_metadata,Type 2 Diabetes Mellitus
query,Q023,molecule_entity,Sitagliptin,False,text_and_metadata,Sitagliptin
query,Q023,drug_class_entity,DPP-4 inhibitors,False,metadata_without_literal_text_support,
query,Q023,therapeutic_area,Endocrinology,False,metadata_without_literal_text_support,
query,Q024,disease_entity,Gout,False,text_and_metadata,Gout
query,Q024,molecule_entity,Adalimumab,False,text_and_metadata,Adalimumab
query,Q024,drug_class_entity,TNF inhibitors,False,metadata_without_literal_text_support,
query,Q024,therapeutic_area,Rheumatology,False,metadata_without_literal_text_support,
query,Q025,disease_entity,Acute Coronary Syndrome,False,text_and_metadata,Acute Coronary Syndrome
query,Q025,molecule_entity,Atorvastatin,False,metadata_without_literal_text_support,
query,Q025,drug_class_entity,Statins,False,metadata_without_literal_text_support,
query,Q025,therapeutic_area,Cardiology,False,metadata_without_literal_text_support,
query,Q026,disease_entity,Hypertension in Pregnancy,False,text_and_metadata,Hypertension in Pregnancy
query,Q026,molecule_entity,Labetalol,False,text_and_metadata,Labetalol
query,Q026,drug_class_entity,Beta blockers non-selective,False,metadata_without_literal_text_support,
query,Q026,therapeutic_area,Obstetrics,False,metadata_without_literal_text_support,
query,Q027,disease_entity,Stunting / Malnutrition,False,text_and_metadata,Stunting / Malnutrition
query,Q027,molecule_entity,Vitamin A,False,text_and_metadata,Vitamin A
query,Q027,drug_class_entity,Vitamin A,False,text_and_metadata,Vitamin A
query,Q027,therapeutic_area,Pediatrics,False,metadata_without_literal_text_support,
query,Q028,disease_entity,Hypertension,False,text_and_metadata,Hypertension
query,Q028,molecule_entity,Ramipril,False,metadata_without_literal_text_support,
query,Q028,drug_class_entity,ACE inhibitors,False,text_and_metadata,ACE inhibitors
query,Q028,therapeutic_area,Cardiology,False,metadata_without_literal_text_support,
query,Q029,disease_entity,Type 2 Diabetes Mellitus,False,text_and_metadata,Type 2 Diabetes Mellitus
query,Q029,molecule_entity,Empagliflozin,False,text_and_metadata,Empagliflozin
query,Q029,drug_class_entity,SGLT2 inhibitors,False,metadata_without_literal_text_support,
query,Q029,therapeutic_area,Endocrinology,False,metadata_without_literal_text_support,
query,Q030,disease_entity,Hypertension,False,text_and_metadata,Hypertension
query,Q030,molecule_entity,Losartan,False,text_and_metadata,Losartan
query,Q030,drug_class_entity,ARBs,False,metadata_without_literal_text_support,
query,Q030,therapeutic_area,Cardiology,False,metadata_without_literal_text_support,
query,Q031,disease_entity,Psoriatic Arthritis,False,text_and_metadata,Psoriatic Arthritis
query,Q031,molecule_entity,Ibuprofen,False,text_and_metadata,Ibuprofen
query,Q031,drug_class_entity,NSAIDs,False,metadata_without_literal_text_support,
query,Q031,therapeutic_area,Rheumatology,False,metadata_without_literal_text_support,
query,Q032,disease_entity,Heart Failure,False,text_and_metadata,Heart Failure
query,Q032,molecule_entity,Ramipril,False,text_and_metadata,Ramipril
query,Q032,molecule_entity,Spironolactone,False,text_and_metadata,Spironolactone
query,Q032,drug_class_entity,ACE inhibitors,False,metadata_without_literal_text_support,
query,Q032,drug_class_entity,Aldosterone antagonists,False,metadata_without_literal_text_support,
query,Q032,therapeutic_area,Cardiology,False,metadata_without_literal_text_support,
query,Q033,disease_entity,Obesity,False,text_and_metadata,Obesity
query,Q033,molecule_entity,Semaglutide,False,text_and_metadata,Semaglutide
query,Q033,drug_class_entity,GLP-1 receptor agonists,False,metadata_without_literal_text_support,
query,Q033,therapeutic_area,Endocrinology,False,metadata_without_literal_text_support,
query,Q034,disease_entity,Typhoid Fever,False,text_and_metadata,Typhoid Fever
query,Q034,molecule_entity,Artemether-lumefantrine,False,metadata_without_literal_text_support,
query,Q034,drug_class_entity,Antimalarials,False,text_and_metadata,Antimalarials
query,Q034,therapeutic_area,Infectious Disease,False,metadata_without_literal_text_support,
query,Q035,disease_entity,HIV/AIDS,False,text_and_metadata,HIV/AIDS
query,Q035,molecule_entity,Levofloxacin,False,metadata_without_literal_text_support,
query,Q035,drug_class_entity,Fluoroquinolones,False,metadata_without_literal_text_support,
query,Q035,therapeutic_area,Infectious Disease,False,metadata_without_literal_text_support,
query,Q036,disease_entity,Atrial Fibrillation,False,text_and_metadata,Atrial Fibrillation
query,Q036,molecule_entity,Empagliflozin,False,text_and_metadata,Empagliflozin
query,Q036,drug_class_entity,SGLT2 inhibitors,False,metadata_without_literal_text_support,
query,Q036,therapeutic_area,Cardiology,False,metadata_without_literal_text_support,
query,Q037,disease_entity,ADHD,False,text_and_metadata,ADHD
query,Q037,molecule_entity,Sertraline,False,metadata_without_literal_text_support,
query,Q037,drug_class_entity,SSRIs,False,text_and_metadata,SSRIs
query,Q037,therapeutic_area,Psychiatry,False,metadata_without_literal_text_support,
query,Q038,disease_entity,Malaria,False,text_and_metadata,Malaria
query,Q038,molecule_entity,Dolutegravir,False,metadata_without_literal_text_support,
query,Q038,drug_class_entity,Integrase inhibitors,False,text_and_metadata,Integrase inhibitors
query,Q038,therapeutic_area,Infectious Disease,False,metadata_without_literal_text_support,
query,Q039,disease_entity,Chronic Kidney Disease,False,text_and_metadata,Chronic Kidney Disease
query,Q039,molecule_entity,Dapagliflozin,False,metadata_without_literal_text_support,
query,Q039,drug_class_entity,SGLT2 inhibitors,False,metadata_without_literal_text_support,
query,Q039,therapeutic_area,Nephrology,False,metadata_without_literal_text_support,
query,Q040,disease_entity,Diabetes Insipidus,False,text_and_metadata,Diabetes Insipidus
query,Q040,molecule_entity,Desmopressin,False,text_and_metadata,Desmopressin
query,Q040,molecule_entity,Desmopressin,True,text_and_metadata,Desmopressin
query,Q040,drug_class_entity,Vasopressin analogues,False,metadata_without_literal_text_support,
query,Q040,drug_class_entity,Vasopressin analogues,True,metadata_without_literal_text_support,
query,Q040,therapeutic_area,Endocrinology,False,metadata_without_literal_text_support,
query,Q041,disease_entity,Chronic Kidney Disease,False,text_and_metadata,Chronic Kidney Disease
query,Q041,molecule_entity,Empagliflozin,False,metadata_without_literal_text_support,
query,Q041,drug_class_entity,SGLT2 inhibitors,False,text_and_metadata,SGLT2 inhibitors
query,Q041,therapeutic_area,Nephrology,False,metadata_without_literal_text_support,
query,Q042,disease_entity,Sepsis,False,text_and_metadata,Sepsis
query,Q042,molecule_entity,Piperacillin-tazobactam,False,text_and_metadata,Piperacillin-tazobactam
query,Q042,molecule_entity,Norepinephrine,False,text_and_metadata,Norepinephrine
query,Q042,drug_class_entity,Beta-lactam combinations,False,metadata_without_literal_text_support,
query,Q042,drug_class_entity,Adrenergic agonists,False,metadata_without_literal_text_support,
query,Q042,therapeutic_area,Critical Care,False,metadata_without_literal_text_support,
query,Q043,disease_entity,Hyperthyroidism,False,text_and_metadata,Hyperthyroidism
query,Q043,molecule_entity,Levothyroxine,False,metadata_without_literal_text_support,
query,Q043,drug_class_entity,Thyroid hormones,False,text_and_metadata,Thyroid hormones
query,Q043,therapeutic_area,Endocrinology,False,metadata_without_literal_text_support,
query,Q044,disease_entity,Malaria,False,text_and_metadata,Malaria
query,Q044,molecule_entity,Tenofovir disoproxil,False,metadata_without_literal_text_support,
query,Q044,drug_class_entity,NRTIs,False,metadata_without_literal_text_support,
query,Q044,therapeutic_area,Infectious Disease,False,metadata_without_literal_text_support,
query,Q045,disease_entity,Febrile Seizure,False,text_and_metadata,Febrile Seizure
query,Q045,molecule_entity,Diazepam,False,text_and_metadata,Diazepam
query,Q045,molecule_entity,Diazepam,True,text_and_metadata,Diazepam
query,Q045,drug_class_entity,Benzodiazepines,False,metadata_without_literal_text_support,
query,Q045,drug_class_entity,Benzodiazepines,True,metadata_without_literal_text_support,
query,Q045,therapeutic_area,Pediatrics,False,metadata_without_literal_text_support,
query,Q046,disease_entity,Gout,False,text_and_metadata,Gout
query,Q046,molecule_entity,Adalimumab,False,text_and_metadata,Adalimumab
query,Q046,drug_class_entity,TNF inhibitors,False,metadata_without_literal_text_support,
query,Q046,therapeutic_area,Rheumatology,False,metadata_without_literal_text_support,
query,Q047,disease_entity,COPD,False,text_and_metadata,COPD
query,Q047,molecule_entity,Tiotropium,False,text_and_metadata,Tiotropium
query,Q047,drug_class_entity,Long-acting antimuscarinics,False,metadata_without_literal_text_support,
query,Q047,therapeutic_area,Pulmonology,False,metadata_without_literal_text_support,
query,Q048,disease_entity,Systemic Lupus Erythematosus,False,text_and_metadata,Systemic Lupus Erythematosus
query,Q048,molecule_entity,Ibuprofen,False,text_and_metadata,Ibuprofen
query,Q048,drug_class_entity,NSAIDs,False,metadata_without_literal_text_support,
query,Q048,therapeutic_area,Rheumatology,False,metadata_without_literal_text_support,
query,Q049,disease_entity,Atrial Fibrillation,False,text_and_metadata,Atrial Fibrillation
query,Q049,molecule_entity,Amlodipine,False,metadata_without_literal_text_support,
query,Q049,drug_class_entity,Calcium channel blockers,False,text_and_metadata,Calcium channel blockers
query,Q049,therapeutic_area,Cardiology,False,metadata_without_literal_text_support,
query,Q050,disease_entity,HIV/AIDS,False,text_and_metadata,HIV/AIDS
query,Q050,molecule_entity,Levofloxacin,False,text_and_metadata,Levofloxacin
query,Q050,drug_class_entity,Fluoroquinolones,False,metadata_without_literal_text_support,
query,Q050,therapeutic_area,Infectious Disease,False,metadata_without_literal_text_support,
query,Q051,disease_entity,Malaria,False,text_and_metadata,Malaria
query,Q051,molecule_entity,Dolutegravir,False,text_and_metadata,Dolutegravir
query,Q051,drug_class_entity,Integrase inhibitors,False,metadata_without_literal_text_support,
query,Q051,therapeutic_area,Infectious Disease,False,metadata_without_literal_text_support,
query,Q052,disease_entity,HIV/AIDS,False,text_and_metadata,HIV/AIDS
query,Q052,molecule_entity,Amoxicillin,False,metadata_without_literal_text_support,
query,Q052,drug_class_entity,Penicillins,False,text_and_metadata,Penicillins
query,Q052,therapeutic_area,Infectious Disease,False,metadata_without_literal_text_support,
query,Q053,disease_entity,Schizophrenia,False,text_and_metadata,Schizophrenia
query,Q053,molecule_entity,Clozapine,False,metadata_without_literal_text_support,
query,Q053,drug_class_entity,Atypical antipsychotics,False,text_and_metadata,Atypical antipsychotics
query,Q053,therapeutic_area,Psychiatry,False,metadata_without_literal_text_support,
query,Q054,disease_entity,Chronic Kidney Disease,False,text_and_metadata,Chronic Kidney Disease
query,Q054,molecule_entity,Empagliflozin,False,text_and_metadata,Empagliflozin
query,Q054,drug_class_entity,SGLT2 inhibitors,False,metadata_without_literal_text_support,
query,Q054,therapeutic_area,Nephrology,False,metadata_without_literal_text_support,
query,Q055,disease_entity,Hyperthyroidism,False,text_and_metadata,Hyperthyroidism
query,Q055,molecule_entity,Methimazole,False,text_and_metadata,Methimazole
query,Q055,drug_class_entity,Antithyroid agents,False,metadata_without_literal_text_support,
query,Q055,therapeutic_area,Endocrinology,False,metadata_without_literal_text_support,
query,Q056,disease_entity,Sepsis,False,text_and_metadata,Sepsis
query,Q056,molecule_entity,Piperacillin-tazobactam,False,text_and_metadata,Piperacillin-tazobactam
query,Q056,drug_class_entity,Beta-lactam combinations,False,metadata_without_literal_text_support,
query,Q056,therapeutic_area,Critical Care,False,metadata_without_literal_text_support,
query,Q057,disease_entity,Chronic Kidney Disease,False,text_and_metadata,Chronic Kidney Disease
query,Q057,molecule_entity,Dapagliflozin,False,text_and_metadata,Dapagliflozin
query,Q057,molecule_entity,Dapagliflozin,True,text_and_metadata,Dapagliflozin
query,Q057,drug_class_entity,SGLT2 inhibitors,False,metadata_without_literal_text_support,
query,Q057,drug_class_entity,SGLT2 inhibitors,True,metadata_without_literal_text_support,
query,Q057,therapeutic_area,Nephrology,False,metadata_without_literal_text_support,
query,Q058,disease_entity,Ischaemic Stroke,False,text_and_metadata,Ischaemic Stroke
query,Q058,molecule_entity,Alteplase,False,metadata_without_literal_text_support,
query,Q058,drug_class_entity,Thrombolytics,False,text_and_metadata,Thrombolytics
query,Q058,therapeutic_area,Neurology,False,metadata_without_literal_text_support,
query,Q059,disease_entity,Psoriasis,False,text_and_metadata,Psoriasis
query,Q059,molecule_entity,Dupilumab,False,text_and_metadata,Dupilumab
query,Q059,molecule_entity,Cyclosporine,False,text_and_metadata,Cyclosporine
query,Q059,drug_class_entity,IL-4/IL-13 inhibitors,False,metadata_without_literal_text_support,
query,Q059,drug_class_entity,Calcineurin inhibitors,False,metadata_without_literal_text_support,
query,Q059,therapeutic_area,Dermatology,False,metadata_without_literal_text_support,
query,Q060,disease_entity,Migraine,False,text_and_metadata,Migraine
query,Q060,molecule_entity,Topiramate,False,metadata_without_literal_text_support,
query,Q060,drug_class_entity,Antiepileptics other,False,metadata_without_literal_text_support,
query,Q060,therapeutic_area,Neurology,False,metadata_without_literal_text_support,
query,Q061,disease_entity,Epilepsy,False,text_and_metadata,Epilepsy
query,Q061,molecule_entity,Levetiracetam,False,metadata_without_literal_text_support,
query,Q061,drug_class_entity,Antiepileptics other,False,text_and_metadata,Antiepileptics other
query,Q061,therapeutic_area,Neurology,False,metadata_without_literal_text_support,
query,Q062,disease_entity,COPD,False,text_and_metadata,COPD
query,Q062,molecule_entity,Prednisolone,False,metadata_without_literal_text_support,
query,Q062,drug_class_entity,Corticosteroids,False,metadata_without_literal_text_support,
query,Q062,therapeutic_area,Pulmonology,False,metadata_without_literal_text_support,
query,Q063,disease_entity,Malaria,False,text_and_metadata,Malaria
query,Q063,molecule_entity,Tenofovir disoproxil,False,text_and_metadata,Tenofovir disoproxil
query,Q063,drug_class_entity,NRTIs,False,metadata_without_literal_text_support,
query,Q063,therapeutic_area,Infectious Disease,False,metadata_without_literal_text_support,
query,Q064,disease_entity,Hypertension in Pregnancy,False,text_and_metadata,Hypertension in Pregnancy
query,Q064,molecule_entity,Methyldopa,False,text_and_metadata,Methyldopa
query,Q064,drug_class_entity,Centrally acting antihypertensives,False,metadata_without_literal_text_support,
query,Q064,therapeutic_area,Obstetrics,False,metadata_without_literal_text_support,
query,Q065,disease_entity,Type 2 Diabetes Mellitus,False,text_and_metadata,Type 2 Diabetes Mellitus
query,Q065,molecule_entity,Semaglutide,False,text_and_metadata,Semaglutide
query,Q065,drug_class_entity,GLP-1 receptor agonists,False,metadata_without_literal_text_support,
query,Q065,therapeutic_area,Endocrinology,False,metadata_without_literal_text_support,
query,Q066,disease_entity,Acute Coronary Syndrome,False,text_and_metadata,Acute Coronary Syndrome
query,Q066,molecule_entity,Rosuvastatin,False,text_and_metadata,Rosuvastatin
query,Q066,drug_class_entity,Statins,False,metadata_without_literal_text_support,
query,Q066,therapeutic_area,Cardiology,False,metadata_without_literal_text_support,
query,Q067,disease_entity,Acute Coronary Syndrome,False,text_and_metadata,Acute Coronary Syndrome
query,Q067,molecule_entity,Atorvastatin,False,text_and_metadata,Atorvastatin
query,Q067,drug_class_entity,Statins,False,metadata_without_literal_text_support,
query,Q067,therapeutic_area,Cardiology,False,metadata_without_literal_text_support,
query,Q068,disease_entity,Hypertension in Pregnancy,False,text_and_metadata,Hypertension in Pregnancy
query,Q068,molecule_entity,Labetalol,False,text_and_metadata,Labetalol
query,Q068,drug_class_entity,Beta blockers non-selective,False,metadata_without_literal_text_support,
query,Q068,therapeutic_area,Obstetrics,False,metadata_without_literal_text_support,
query,Q069,disease_entity,Osteoporosis,False,text_and_metadata,Osteoporosis
query,Q069,molecule_entity,Alendronate,False,text_and_metadata,Alendronate
query,Q069,drug_class_entity,Bisphosphonates,False,metadata_without_literal_text_support,
query,Q069,therapeutic_area,Rheumatology,False,metadata_without_literal_text_support,
query,Q070,disease_entity,Nephrotic Syndrome,False,text_and_metadata,Nephrotic Syndrome
query,Q070,molecule_entity,Furosemide,False,text_and_metadata,Furosemide
query,Q070,drug_class_entity,Loop diuretics,False,metadata_without_literal_text_support,
query,Q070,therapeutic_area,Nephrology,False,metadata_without_literal_text_support,
query,Q071,disease_entity,Sepsis,False,text_and_metadata,Sepsis
query,Q071,molecule_entity,Vancomycin,False,text_and_metadata,Vancomycin
query,Q071,molecule_entity,Piperacillin-tazobactam,False,text_and_metadata,Piperacillin-tazobactam
query,Q071,drug_class_entity,Glycopeptides,False,metadata_without_literal_text_support,
query,Q071,drug_class_entity,Beta-lactam combinations,False,metadata_without_literal_text_support,
query,Q071,therapeutic_area,Critical Care,False,metadata_without_literal_text_support,
query,Q072,disease_entity,Typhoid Fever,False,text_and_metadata,Typhoid Fever
query,Q072,molecule_entity,Artemether-lumefantrine,False,text_and_metadata,Artemether-lumefantrine
query,Q072,drug_class_entity,Antimalarials,False,metadata_without_literal_text_support,
query,Q072,therapeutic_area,Infectious Disease,False,metadata_without_literal_text_support,
query,Q073,disease_entity,Epilepsy,False,text_and_metadata,Epilepsy
query,Q073,molecule_entity,Valproate,False,text_and_metadata,Valproate
query,Q073,drug_class_entity,Fatty acid derivatives,False,metadata_without_literal_text_support,
query,Q073,therapeutic_area,Neurology,False,metadata_without_literal_text_support,
query,Q074,disease_entity,Stunting / Malnutrition,False,text_and_metadata,Stunting / Malnutrition
query,Q074,molecule_entity,Zinc,False,text_and_metadata,Zinc
query,Q074,drug_class_entity,Zinc supplements,False,text_and_metadata,Zinc supplements
query,Q074,therapeutic_area,Pediatrics,False,metadata_without_literal_text_support,
query,Q075,disease_entity,Psoriasis,False,text_and_metadata,Psoriasis
query,Q075,molecule_entity,Tacrolimus topical,False,metadata_without_literal_text_support,
query,Q075,drug_class_entity,Topical calcineurin inhibitors,False,metadata_without_literal_text_support,
query,Q075,therapeutic_area,Dermatology,False,metadata_without_literal_text_support,
query,Q076,disease_entity,Acute Coronary Syndrome,False,text_and_metadata,Acute Coronary Syndrome
query,Q076,molecule_entity,Ezetimibe,False,text_and_metadata,Ezetimibe
query,Q076,drug_class_entity,Cholesterol absorption inhibitors,False,metadata_without_literal_text_support,
query,Q076,therapeutic_area,Cardiology,False,metadata_without_literal_text_support,
query,Q077,disease_entity,Iron Deficiency Anaemia,False,text_and_metadata,Iron Deficiency Anaemia
query,Q077,molecule_entity,Erythropoietin,False,metadata_without_literal_text_support,
query,Q077,drug_class_entity,Erythropoiesis stimulating agents,False,metadata_without_literal_text_support,
query,Q077,therapeutic_area,Haematology,False,metadata_without_literal_text_support,
query,Q078,disease_entity,Schizophrenia,False,text_and_metadata,Schizophrenia
query,Q078,molecule_entity,Risperidone,False,text_and_metadata,Risperidone
query,Q078,drug_class_entity,Atypical antipsychotics,False,metadata_without_literal_text_support,
query,Q078,therapeutic_area,Psychiatry,False,metadata_without_literal_text_support,
query,Q079,disease_entity,Febrile Seizure,False,text_and_metadata,Febrile Seizure
query,Q079,molecule_entity,Diazepam,False,metadata_without_literal_text_support,
query,Q079,drug_class_entity,Benzodiazepines,False,text_and_metadata,Benzodiazepines
query,Q079,therapeutic_area,Pediatrics,False,metadata_without_literal_text_support,
query,Q080,disease_entity,Urinary Tract Infection,False,text_and_metadata,Urinary Tract Infection
query,Q080,molecule_entity,Tenofovir+Lamivudine,False,metadata_without_literal_text_support,
query,Q080,drug_class_entity,NRTIs combination,False,metadata_without_literal_text_support,
query,Q080,therapeutic_area,Infectious Disease,False,metadata_without_literal_text_support,
query,Q081,disease_entity,Stable Angina,False,text_and_metadata,Stable Angina
query,Q081,molecule_entity,Atorvastatin,False,metadata_without_literal_text_support,
query,Q081,drug_class_entity,Statins,False,metadata_without_literal_text_support,
query,Q081,therapeutic_area,Cardiology,False,metadata_without_literal_text_support,
query,Q082,disease_entity,Tuberculosis,False,text_and_metadata,Tuberculosis
query,Q082,molecule_entity,Isoniazid,False,text_and_metadata,Isoniazid
query,Q082,drug_class_entity,Antituberculotics,False,metadata_without_literal_text_support,
query,Q082,therapeutic_area,Pulmonology,False,metadata_without_literal_text_support,
query,Q083,disease_entity,Pulmonary Embolism,False,text_and_metadata,Pulmonary Embolism
query,Q083,molecule_entity,Metronidazole,False,metadata_without_literal_text_support,
query,Q083,drug_class_entity,Nitroimidazoles,False,metadata_without_literal_text_support,
query,Q083,therapeutic_area,Pulmonology,False,metadata_without_literal_text_support,
query,Q084,disease_entity,COPD,False,text_and_metadata,COPD
