side,record_id,sample_group,selection_reason,language,text,entities,extracted_context,proxies,publication_year,risk_flags,duplicate_terms,unsupported_molecule_count,title_year_disagrees,findings,evidence_excerpt,review_notes,reviewer,review_type
content,C114,language_stratified_random,ID,ID,Profil Keamanan Levofloxacin pada HIV/AIDS,"{""disease_entity"": ""HIV/AIDS"", ""molecule_entity"": ""Levofloxacin; Amoxicillin"", ""drug_class_entity"": ""Fluoroquinolones; Penicillins"", ""therapeutic_area"": ""Infectious Disease""}",{},,2022,molecule_without_literal_support,0,1,False,metadata_only_molecule,Profil Keamanan Levofloxacin,"Levofloxacin explicit; additional Amoxicillin metadata unsupported by title. It may appear in body, which is unavailable.",LLM-assisted review,text/metadata semantic review; not clinician adjudication
content,C285,language_stratified_random,ID,ID,Perbandingan Diazepam dan Diazepam pada Febrile Seizure,"{""disease_entity"": ""Febrile Seizure"", ""molecule_entity"": ""Diazepam; Diazepam"", ""drug_class_entity"": ""Benzodiazepines; Benzodiazepines"", ""therapeutic_area"": ""Pediatrics""}",{},,2025,duplicate_metadata,2,0,False,comparison_miss;self_relation;duplicate_metadata,Perbandingan Diazepam dan Diazepam,Comparison expression is missed; duplicates do not create two distinct comparator entities.,LLM-assisted review,text/metadata semantic review; not clinician adjudication
content,C002,language_stratified_random,MIXED,MIXED,Clinical Practice Guideline: Type 1 Diabetes Mellitus Management 2023,"{""disease_entity"": ""Type 1 Diabetes Mellitus"", ""molecule_entity"": ""Insulin degludec"", ""drug_class_entity"": ""Basal insulins"", ""therapeutic_area"": ""Endocrinology""}","{""year"": 2023}",,2023,molecule_without_literal_support,0,1,False,metadata_only_molecule,Type 1 Diabetes Mellitus Management 2023,Insulin degludec absent; requested/title year matches publication metadata. Guideline may be disease-wide.,LLM-assisted review,text/metadata semantic review; not clinician adjudication
content,C027,language_stratified_random,MIXED,MIXED,National Guideline: Atrial Fibrillation Diagnosis and Treatment,"{""disease_entity"": ""Atrial Fibrillation"", ""molecule_entity"": ""Apixaban; Dapagliflozin"", ""drug_class_entity"": ""Factor Xa inhibitors; SGLT2 inhibitors"", ""therapeutic_area"": ""Cardiology""}",{},,2023,molecule_without_literal_support,0,2,False,metadata_only_molecule,Atrial Fibrillation Diagnosis and Treatment,Neither Apixaban nor Dapagliflozin is stated in title. Treat both as metadata evidence with unknown article scope.,LLM-assisted review,text/metadata semantic review; not clinician adjudication
content,C150,language_stratified_random,MIXED,MIXED,Practical Guide: Initiating Omeprazole in Peptic Ulcer Disease,"{""disease_entity"": ""Peptic Ulcer Disease"", ""molecule_entity"": ""Omeprazole"", ""drug_class_entity"": ""Proton pump inhibitors"", ""therapeutic_area"": ""Gastroenterology""}",{},,2022,,0,0,False,supported_extraction,Initiating Omeprazole in Peptic Ulcer Disease,"Named drug/disease supported, no missed approved slot evident.",LLM-assisted review,text/metadata semantic review; not clinician adjudication
content,C067,language_stratified_random,MIXED,MIXED,Consensus Statement: Loop diuretics Use in Nephrotic Syndrome,"{""disease_entity"": ""Nephrotic Syndrome"", ""molecule_entity"": ""Furosemide"", ""drug_class_entity"": ""Loop diuretics"", ""therapeutic_area"": ""Nephrology""}",{},,2024,molecule_without_literal_support,0,1,False,metadata_only_molecule,Loop diuretics Use,Furosemide is not named; title is at class level. Preserve specificity distinction.,LLM-assisted review,text/metadata semantic review; not clinician adjudication
content,C084,language_stratified_random,MIXED,MIXED,Dose Adjustment of Valproate in Renal and Hepatic Impairment,"{""disease_entity"": ""Parkinson Disease"", ""molecule_entity"": ""Valproate"", ""drug_class_entity"": ""Fatty acid derivatives"", ""therapeutic_area"": ""Neurology""}","{""dose_context_flag"": true, ""hepatic_impairment_flag"": true}",,2023,population_or_comorbidity,0,0,False,renal_miss;metadata_only_disease,Renal and Hepatic Impairment,Coordinated phrase states both renal and hepatic impairment; renal regex misses it. Parkinson Disease is metadata-only in this title.,LLM-assisted review,text/metadata semantic review; not clinician adjudication
content,C293,language_stratified_random,MIXED,MIXED,Clinical Summary: Stunting / Malnutrition Management Update 2021,"{""disease_entity"": ""Stunting / Malnutrition"", ""molecule_entity"": ""Zinc"", ""drug_class_entity"": ""Zinc supplements"", ""therapeutic_area"": ""Pediatrics""}","{""year"": 2021}",,2021,molecule_without_literal_support,0,1,False,metadata_only_molecule,Stunting / Malnutrition Management Update 2021,Zinc absent. Year correctly extracted; Management Update does not necessarily mean latest at search time.,LLM-assisted review,text/metadata semantic review; not clinician adjudication
content,C029,targeted_risk,context_type_proxy,ID,Profil Obat ARBs pada Heart Failure,"{""disease_entity"": ""Heart Failure"", ""molecule_entity"": ""Losartan; Ramipril"", ""drug_class_entity"": ""ARBs; ACE inhibitors"", ""therapeutic_area"": ""Cardiology""}",{},dose_from_drug_profile,2020,molecule_without_literal_support;context_type_proxy,0,2,False,metadata_only_molecule;context_proxy,Profil Obat ARBs,Drug-profile type alone supplies dosing bonus; neither Losartan nor Ramipril appears in title. Metadata class scope is broader than title.,LLM-assisted review,text/metadata semantic review; not clinician adjudication
content,C025,targeted_risk,comparison,MIXED,Metoprolol versus Empagliflozin in Atrial Fibrillation: Head-to-Head Comparison,"{""disease_entity"": ""Atrial Fibrillation"", ""molecule_entity"": ""Metoprolol"", ""drug_class_entity"": ""Beta blockers selective"", ""therapeutic_area"": ""Cardiology""}","{""comparison_flag"": true}",,2022,comparison,0,0,False,missing_title_molecule;unlinked_entities,Metoprolol versus Empagliflozin,Empagliflozin is explicit in title but absent from supplied molecule metadata; comparison flag is correct. Any-overlap scoring hides this missing comparator.,LLM-assisted review,text/metadata semantic review; not clinician adjudication
content,C324,targeted_risk,route,MIXED,Successful Management of Severe Psoriasis with Tacrolimus topical,"{""disease_entity"": ""Psoriasis"", ""molecule_entity"": ""Tacrolimus topical; Dupilumab"", ""drug_class_entity"": ""Topical calcineurin inhibitors; IL-4/IL-13 inhibitors"", ""therapeutic_area"": ""Dermatology""}","{""route"": ""topical""}",,2020,molecule_without_literal_support;route,0,1,False,metadata_only_molecule;missing_severity;context_from_entity_name,Severe Psoriasis with Tacrolimus topical,Severe is visible but outside current slots. Dupilumab is metadata-only. Topical is explicit formulation wording.,LLM-assisted review,text/metadata semantic review; not clinician adjudication
content,C009,targeted_risk,population_or_comorbidity,EN,Case Report: Atypical Presentation of Obesity,"{""disease_entity"": ""Obesity"", ""molecule_entity"": ""Liraglutide"", ""drug_class_entity"": ""GLP-1 receptor agonists"", ""therapeutic_area"": ""Endocrinology""}",{},,2021,molecule_without_literal_support;population_or_comorbidity,0,1,False,metadata_only_molecule,Atypical Presentation of Obesity,Liraglutide is absent; title does not establish drug-specific content. No approved context is visibly missed.,LLM-assisted review,text/metadata semantic review; not clinician adjudication
content,C001,targeted_risk,duplicate_metadata,ID,Panduan Praktis: Memulai Levothyroxine pada Hypothyroidism,"{""disease_entity"": ""Hypothyroidism"", ""molecule_entity"": ""Levothyroxine; Levothyroxine"", ""drug_class_entity"": ""Thyroid hormones; Thyroid hormones"", ""therapeutic_area"": ""Endocrinology""}",{},,2021,duplicate_metadata,2,0,False,duplicate_metadata,Levothyroxine pada Hypothyroidism,"Explicit drug/disease. Duplicate molecule/class entries are a source artifact, already collapsed by set matching.",LLM-assisted review,text/metadata semantic review; not clinician adjudication
content,C005,targeted_risk,molecule_without_literal_support,EN,Liraglutide in Type 2 Diabetes Mellitus: Real-World Outcomes,"{""disease_entity"": ""Type 2 Diabetes Mellitus"", ""molecule_entity"": ""Liraglutide; Semaglutide"", ""drug_class_entity"": ""GLP-1 receptor agonists; GLP-1 receptor agonists"", ""therapeutic_area"": ""Endocrinology""}",{},,2022,molecule_without_literal_support;duplicate_metadata,1,1,False,metadata_only_molecule,Liraglutide in Type 2 Diabetes Mellitus,"Liraglutide supported, Semaglutide metadata-only. Do not assume Semaglutide absent from the unavailable body.",LLM-assisted review,text/metadata semantic review; not clinician adjudication
content,C033,targeted_risk,context_type_proxy,MIXED,"Statins: Mechanism, Indications, and Safety","{""disease_entity"": ""Stable Angina"", ""molecule_entity"": ""Atorvastatin"", ""drug_class_entity"": ""Statins"", ""therapeutic_area"": ""Cardiology""}",{},dose_from_drug_profile,2020,molecule_without_literal_support;context_type_proxy,0,1,False,metadata_only_molecule;metadata_only_disease;context_proxy,"Statins: Mechanism, Indications, and Safety",Title is class-level; Atorvastatin and Stable Angina absent. Drug-profile type does not provide explicit dosing evidence.,LLM-assisted review,text/metadata semantic review; not clinician adjudication
content,C173,targeted_risk,comparison,EN,Escitalopram versus Sertraline in Major Depressive Disorder: Head-to-Head Comparison,"{""disease_entity"": ""Major Depressive Disorder"", ""molecule_entity"": ""Escitalopram; Sertraline"", ""drug_class_entity"": ""SSRIs; SSRIs"", ""therapeutic_area"": ""Psychiatry""}","{""comparison_flag"": true}",,2020,comparison;duplicate_metadata,1,0,False,supported_extraction;unlinked_entities;duplicate_metadata,Escitalopram versus Sertraline,Both molecules and comparison explicit. Duplicate SSRIs entries should not count twice; relation-aware coverage could preserve both comparator requirements.,LLM-assisted review,text/metadata semantic review; not clinician adjudication
content,C331,targeted_risk,route,ID,Profil Keamanan Tacrolimus topical pada Psoriasis,"{""disease_entity"": ""Psoriasis"", ""molecule_entity"": ""Tacrolimus topical"", ""drug_class_entity"": ""Topical calcineurin inhibitors"", ""therapeutic_area"": ""Dermatology""}","{""route"": ""topical""}",,2022,route,0,0,False,supported_extraction;context_from_entity_name,Tacrolimus topical pada Psoriasis,Route derives from explicit formulation text. No additional context error visible.,LLM-assisted review,text/metadata semantic review; not clinician adjudication
content,C016,targeted_risk,population_or_comorbidity,MIXED,Dose Adjustment of Desmopressin in Renal and Hepatic Impairment,"{""disease_entity"": ""Diabetes Insipidus"", ""molecule_entity"": ""Desmopressin"", ""drug_class_entity"": ""Vasopressin analogues"", ""therapeutic_area"": ""Endocrinology""}","{""dose_context_flag"": true, ""hepatic_impairment_flag"": true}",,2024,population_or_comorbidity,0,0,False,renal_miss,Renal and Hepatic Impairment,Explicit renal context is missed because impairment is coordinated after Hepatic; dosing and hepatic flags are supported.,LLM-assisted review,text/metadata semantic review; not clinician adjudication
content,C007,targeted_risk,duplicate_metadata,EN,Efficacy of Vasopressin analogues in Diabetes Insipidus: A Cohort Study,"{""disease_entity"": ""Diabetes Insipidus"", ""molecule_entity"": ""Desmopressin; Desmopressin"", ""drug_class_entity"": ""Vasopressin analogues; Vasopressin analogues"", ""therapeutic_area"": ""Endocrinology""}",{},,2020,molecule_without_literal_support;duplicate_metadata,2,1,False,metadata_only_molecule;duplicate_metadata,Vasopressin analogues,Desmopressin is not named; title is class-level. Duplicate annotations do not add evidence.,LLM-assisted review,text/metadata semantic review; not clinician adjudication
content,C008,targeted_risk,molecule_without_literal_support,EN,Treatment Intensification in Type 2 Diabetes Mellitus: When and How,"{""disease_entity"": ""Type 2 Diabetes Mellitus"", ""molecule_entity"": ""Sitagliptin"", ""drug_class_entity"": ""DPP-4 inhibitors"", ""therapeutic_area"": ""Endocrinology""}",{},,2025,molecule_without_literal_support,0,1,False,metadata_only_molecule,Treatment Intensification in Type 2 Diabetes Mellitus,Sitagliptin absent. Intensification is an information-need cue; it does not establish failure/resistance as patient history.,LLM-assisted review,text/metadata semantic review; not clinician adjudication
query,Q347,language_stratified_random,EN,EN,Prednisolone hepatic impairment dose in Rheumatoid Arthritis,"{""disease_entity"": ""Rheumatoid Arthritis"", ""molecule_entity"": ""Prednisolone"", ""drug_class_entity"": ""Corticosteroids"", ""therapeutic_area"": ""Rheumatology""}","{""dose_context_flag"": true, ""hepatic_impairment_flag"": true}",,,,0,0,False,supported_extraction,hepatic impairment dose,"Dosing and hepatic flags are supported; drug/disease explicit. Class is metadata/ontology evidence, not text.",LLM-assisted review,text/metadata semantic review; not clinician adjudication
query,Q486,language_stratified_random,EN,EN,switch from Alteplase to Alteplase in Ischaemic Stroke,"{""disease_entity"": ""Ischaemic Stroke"", ""molecule_entity"": ""Alteplase; Alteplase"", ""drug_class_entity"": ""Thrombolytics; Thrombolytics"", ""therapeutic_area"": ""Neurology""}",{},,,duplicate_metadata,2,0,False,self_relation;duplicate_metadata,Alteplase to Alteplase,The two switching roles name the same drug; duplicate labels add no second distinct entity. Preserve the self-switch artifact rather than invent a comparator.,LLM-assisted review,text/metadata semantic review; not clinician adjudication
query,Q034,language_stratified_random,EN,EN,Typhoid Fever treatment algorithm Antimalarials first line,"{""disease_entity"": ""Typhoid Fever"", ""molecule_entity"": ""Artemether-lumefantrine"", ""drug_class_entity"": ""Antimalarials"", ""therapeutic_area"": ""Infectious Disease""}",{},,,molecule_without_literal_support,0,1,False,metadata_only_molecule,Antimalarials first line,"Query names a class, not Artemether-lumefantrine. The specific molecule should not be treated as explicitly requested.",LLM-assisted review,text/metadata semantic review; not clinician adjudication
query,Q392,language_stratified_random,EN,EN,switch from Artemether-lumefantrine to Artemether-lumefantrine in Typhoid Fever,"{""disease_entity"": ""Typhoid Fever"", ""molecule_entity"": ""Artemether-lumefantrine; Artemether-lumefantrine"", ""drug_class_entity"": ""Antimalarials; Antimalarials"", ""therapeutic_area"": ""Infectious Disease""}",{},,,duplicate_metadata,2,0,False,self_relation;duplicate_metadata,Artemether-lumefantrine to Artemether-lumefantrine,Both switching arguments are identical; extraction stores duplicate metadata but no relation or artifact flag.,LLM-assisted review,text/metadata semantic review; not clinician adjudication
query,Q360,language_stratified_random,EN,EN,is Semaglutide safe in Obesity with elderly patients,"{""disease_entity"": ""Obesity"", ""molecule_entity"": ""Semaglutide"", ""drug_class_entity"": ""GLP-1 receptor agonists"", ""therapeutic_area"": ""Endocrinology""}","{""age_group"": ""elderly""}",,,population_or_comorbidity,0,0,False,supported_extraction,elderly patients,"Elderly context is supported; Obesity is the named target disease, not a separate extracted comorbidity.",LLM-assisted review,text/metadata semantic review; not clinician adjudication
query,Q277,language_stratified_random,EN,EN,Amoxicillin hepatic impairment dose in HIV/AIDS,"{""disease_entity"": ""HIV/AIDS"", ""molecule_entity"": ""Amoxicillin"", ""drug_class_entity"": ""Penicillins"", ""therapeutic_area"": ""Infectious Disease""}","{""dose_context_flag"": true, ""hepatic_impairment_flag"": true}",,,,0,0,False,supported_extraction,hepatic impairment dose,Dosing and hepatic flags match text. No clinical appropriateness of the drug/disease pairing is adjudicated.,LLM-assisted review,text/metadata semantic review; not clinician adjudication
query,Q180,language_stratified_random,ID,ID,tatalaksana Type 1 Diabetes Mellitus panduan terbaru 2023,"{""disease_entity"": ""Type 1 Diabetes Mellitus"", ""molecule_entity"": ""Metformin"", ""drug_class_entity"": ""Biguanides"", ""therapeutic_area"": ""Endocrinology""}","{""year"": 2023, ""recency_flag"": true}",,,molecule_without_literal_support,0,1,False,metadata_only_molecule,tatalaksana Type 1 Diabetes Mellitus,No Metformin mention; disease-management query receives molecule metadata. Year and latest wording are correctly represented.,LLM-assisted review,text/metadata semantic review; not clinician adjudication
query,Q323,language_stratified_random,ID,ID,efek samping Inhaled corticosteroids pada Asthma,"{""disease_entity"": ""Asthma"", ""molecule_entity"": ""Budesonide"", ""drug_class_entity"": ""Inhaled corticosteroids"", ""therapeutic_area"": ""Pulmonology""}","{""route"": ""inhaled""}",,,molecule_without_literal_support;route,0,1,False,metadata_only_molecule;context_from_entity_name,Inhaled corticosteroids,"Budesonide is absent. Inhaled route is supported inside the class name, not an independently stated route constraint.",LLM-assisted review,text/metadata semantic review; not clinician adjudication
query,Q310,language_stratified_random,ID,ID,target terapi Rheumatoid Arthritis dengan Proteasome inhibitors,"{""disease_entity"": ""Rheumatoid Arthritis"", ""molecule_entity"": ""Bortezomib"", ""drug_class_entity"": ""Proteasome inhibitors"", ""therapeutic_area"": ""Rheumatology""}",{},,,molecule_without_literal_support,0,1,False,metadata_only_molecule,Proteasome inhibitors,"Class is explicit, Bortezomib is metadata-only. Target-therapy wording is an information need, not a missed approved context slot.",LLM-assisted review,text/metadata semantic review; not clinician adjudication
query,Q274,language_stratified_random,ID,ID,resistensi Alendronate pada Osteoporosis alternatif Alendronate,"{""disease_entity"": ""Osteoporosis"", ""molecule_entity"": ""Alendronate; Alendronate"", ""drug_class_entity"": ""Bisphosphonates; Bisphosphonates"", ""therapeutic_area"": ""Rheumatology""}","{""prior_treatment_failure_flag"": true}",,,duplicate_metadata,2,0,False,self_relation;duplicate_metadata,Alendronate ... alternatif Alendronate,"Resistance flag is supported, but the proposed alternative repeats the same molecule. No distinct alternative is established.",LLM-assisted review,text/metadata semantic review; not clinician adjudication
query,Q242,language_stratified_random,ID,ID,penanganan Type 2 Diabetes Mellitus di ICU panduan 2023,"{""disease_entity"": ""Type 2 Diabetes Mellitus"", ""molecule_entity"": ""Liraglutide"", ""drug_class_entity"": ""GLP-1 receptor agonists"", ""therapeutic_area"": ""Endocrinology""}","{""year"": 2023}",,,molecule_without_literal_support,0,1,False,metadata_only_molecule;missing_care_setting,di ICU,Year is supported. ICU care setting is visible but outside implemented slots. Liraglutide is not in query text.,LLM-assisted review,text/metadata semantic review; not clinician adjudication
query,Q446,language_stratified_random,ID,ID,Type 1 Diabetes Mellitus dengan pregnancy pilihan terapi,"{""disease_entity"": ""Type 1 Diabetes Mellitus"", ""molecule_entity"": ""Insulin degludec"", ""drug_class_entity"": ""Basal insulins"", ""therapeutic_area"": ""Endocrinology""}","{""pregnancy_status"": ""pregnant""}",,,molecule_without_literal_support;population_or_comorbidity,0,1,False,metadata_only_molecule,dengan pregnancy,Pregnancy is supported; Insulin degludec is metadata-only and not specifically requested in text.,LLM-assisted review,text/metadata semantic review; not clinician adjudication
query,Q469,language_stratified_random,MIXED,MIXED,indikasi Bedaquiline pada MDR Tuberculosis guideline terbaru,"{""disease_entity"": ""MDR Tuberculosis"", ""molecule_entity"": ""Bedaquiline"", ""drug_class_entity"": ""Antituberculotics"", ""therapeutic_area"": ""Pulmonology""}","{""recency_flag"": true}",,,,0,0,False,supported_extraction,guideline terbaru,"Recency supported, Bedaquiline/disease explicit. Indication intent is separate from context.",LLM-assisted review,text/metadata semantic review; not clinician adjudication
query,Q119,language_stratified_random,MIXED,MIXED,Gout first line TNF inhibitors evidence based,"{""disease_entity"": ""Gout"", ""molecule_entity"": ""Adalimumab"", ""drug_class_entity"": ""TNF inhibitors"", ""therapeutic_area"": ""Rheumatology""}",{},,,molecule_without_literal_support,0,1,False,metadata_only_molecule,TNF inhibitors,"Class is explicit, Adalimumab absent. Do not convert class-level information need into a mandatory specific-drug constraint.",LLM-assisted review,text/metadata semantic review; not clinician adjudication
query,Q262,language_stratified_random,MIXED,MIXED,kombinasi Piperacillin-tazobactam dan Meropenem pada Sepsis aman atau tidak,"{""disease_entity"": ""Sepsis"", ""molecule_entity"": ""Piperacillin-tazobactam; Meropenem"", ""drug_class_entity"": ""Beta-lactam combinations; Carbapenems"", ""therapeutic_area"": ""Critical Care""}","{""negation_flag"": true}",,,negation,0,0,False,negation_scope_error;unlinked_entities,aman atau tidak,This asks whether the combination is safe; it does not negate either drug or Sepsis. Both drug mentions are present but combination relation is not stored.,LLM-assisted review,text/metadata semantic review; not clinician adjudication
query,Q168,language_stratified_random,MIXED,MIXED,Factor Xa inhibitors terbaru untuk Deep Vein Thrombosis 2022,"{""disease_entity"": ""Deep Vein Thrombosis"", ""molecule_entity"": ""Apixaban"", ""drug_class_entity"": ""Factor Xa inhibitors"", ""therapeutic_area"": ""Haematology""}","{""year"": 2022, ""recency_flag"": true}",,,molecule_without_literal_support,0,1,False,metadata_only_molecule,Factor Xa inhibitors terbaru,"Class/year/recency supported, Apixaban absent. Exact molecule matching would use an inferred query restriction.",LLM-assisted review,text/metadata semantic review; not clinician adjudication
query,Q328,language_stratified_random,MIXED,MIXED,kombinasi Piperacillin-tazobactam dan Hydrocortisone pada Sepsis aman atau tidak,"{""disease_entity"": ""Sepsis"", ""molecule_entity"": ""Piperacillin-tazobactam; Hydrocortisone"", ""drug_class_entity"": ""Beta-lactam combinations; Corticosteroids"", ""therapeutic_area"": ""Critical Care""}","{""negation_flag"": true}",,,negation,0,0,False,negation_scope_error;unlinked_entities,aman atau tidak,"Safety question, not asserted negation. Both drugs occur; their combination relation is missing from the representation.",LLM-assisted review,text/metadata semantic review; not clinician adjudication
query,Q402,language_stratified_random,MIXED,MIXED,target Obesity sudah tercapai kapan maintenance Semaglutide,"{""disease_entity"": ""Obesity"", ""molecule_entity"": ""Semaglutide"", ""drug_class_entity"": ""GLP-1 receptor agonists"", ""therapeutic_area"": ""Endocrinology""}",{},,,population_or_comorbidity,0,0,False,missing_treatment_state,target Obesity sudah tercapai kapan maintenance,"Achieved target and maintenance decision are not represented as clinical state. This is a schema extension candidate, not a failure of an existing slot.",LLM-assisted review,text/metadata semantic review; not clinician adjudication
query,Q006,targeted_risk,negation,MIXED,kombinasi Metoprolol dan Metoprolol pada Heart Failure aman atau tidak,"{""disease_entity"": ""Heart Failure"", ""molecule_entity"": ""Metoprolol; Metoprolol"", ""drug_class_entity"": ""Beta blockers selective; Beta blockers selective"", ""therapeutic_area"": ""Cardiology""}","{""negation_flag"": true}",,,negation;duplicate_metadata,2,0,False,negation_scope_error;self_relation;duplicate_metadata,Metoprolol dan Metoprolol ... aman atau tidak,Safety question wrongly usable as asserted negation; drug repeated in both combination roles.,LLM-assisted review,text/metadata semantic review; not clinician adjudication
query,Q057,targeted_risk,comparison,MIXED,Dapagliflozin vs Dapagliflozin untuk pasien Chronic Kidney Disease mana lebih efektif,"{""disease_entity"": ""Chronic Kidney Disease"", ""molecule_entity"": ""Dapagliflozin; Dapagliflozin"", ""drug_class_entity"": ""SGLT2 inhibitors; SGLT2 inhibitors"", ""therapeutic_area"": ""Nephrology""}","{""comparison_flag"": true}",,,comparison;population_or_comorbidity;duplicate_metadata,2,0,False,self_relation;duplicate_metadata,Dapagliflozin vs Dapagliflozin,"Comparison cue is extracted correctly, but both comparator roles are the same drug. A boolean cannot distinguish this artifact.",LLM-assisted review,text/metadata semantic review; not clinician adjudication
