side,record_id,sample_group,selection_reason,language,text,entities,extracted_context,proxies,publication_year,risk_flags,duplicate_terms,unsupported_molecule_count,title_year_disagrees
content,C114,language_stratified_random,ID,ID,Profil Keamanan Levofloxacin pada HIV/AIDS,"{""disease_entity"": ""HIV/AIDS"", ""molecule_entity"": ""Levofloxacin; Amoxicillin"", ""drug_class_entity"": ""Fluoroquinolones; Penicillins"", ""therapeutic_area"": ""Infectious Disease""}",{},,2022,molecule_without_literal_support,0,1,False
content,C285,language_stratified_random,ID,ID,Perbandingan Diazepam dan Diazepam pada Febrile Seizure,"{""disease_entity"": ""Febrile Seizure"", ""molecule_entity"": ""Diazepam; Diazepam"", ""drug_class_entity"": ""Benzodiazepines; Benzodiazepines"", ""therapeutic_area"": ""Pediatrics""}",{},,2025,duplicate_metadata,2,0,False
content,C002,language_stratified_random,MIXED,MIXED,Clinical Practice Guideline: Type 1 Diabetes Mellitus Management 2023,"{""disease_entity"": ""Type 1 Diabetes Mellitus"", ""molecule_entity"": ""Insulin degludec"", ""drug_class_entity"": ""Basal insulins"", ""therapeutic_area"": ""Endocrinology""}","{""year"": 2023}",,2023,molecule_without_literal_support,0,1,False
content,C027,language_stratified_random,MIXED,MIXED,National Guideline: Atrial Fibrillation Diagnosis and Treatment,"{""disease_entity"": ""Atrial Fibrillation"", ""molecule_entity"": ""Apixaban; Dapagliflozin"", ""drug_class_entity"": ""Factor Xa inhibitors; SGLT2 inhibitors"", ""therapeutic_area"": ""Cardiology""}",{},,2023,molecule_without_literal_support,0,2,False
content,C150,language_stratified_random,MIXED,MIXED,Practical Guide: Initiating Omeprazole in Peptic Ulcer Disease,"{""disease_entity"": ""Peptic Ulcer Disease"", ""molecule_entity"": ""Omeprazole"", ""drug_class_entity"": ""Proton pump inhibitors"", ""therapeutic_area"": ""Gastroenterology""}",{},,2022,,0,0,False
content,C067,language_stratified_random,MIXED,MIXED,Consensus Statement: Loop diuretics Use in Nephrotic Syndrome,"{""disease_entity"": ""Nephrotic Syndrome"", ""molecule_entity"": ""Furosemide"", ""drug_class_entity"": ""Loop diuretics"", ""therapeutic_area"": ""Nephrology""}",{},,2024,molecule_without_literal_support,0,1,False
content,C084,language_stratified_random,MIXED,MIXED,Dose Adjustment of Valproate in Renal and Hepatic Impairment,"{""disease_entity"": ""Parkinson Disease"", ""molecule_entity"": ""Valproate"", ""drug_class_entity"": ""Fatty acid derivatives"", ""therapeutic_area"": ""Neurology""}","{""dose_context_flag"": true, ""hepatic_impairment_flag"": true}",,2023,population_or_comorbidity,0,0,False
content,C293,language_stratified_random,MIXED,MIXED,Clinical Summary: Stunting / Malnutrition Management Update 2021,"{""disease_entity"": ""Stunting / Malnutrition"", ""molecule_entity"": ""Zinc"", ""drug_class_entity"": ""Zinc supplements"", ""therapeutic_area"": ""Pediatrics""}","{""year"": 2021}",,2021,molecule_without_literal_support,0,1,False
content,C029,targeted_risk,context_type_proxy,ID,Profil Obat ARBs pada Heart Failure,"{""disease_entity"": ""Heart Failure"", ""molecule_entity"": ""Losartan; Ramipril"", ""drug_class_entity"": ""ARBs; ACE inhibitors"", ""therapeutic_area"": ""Cardiology""}",{},dose_from_drug_profile,2020,molecule_without_literal_support;context_type_proxy,0,2,False
content,C025,targeted_risk,comparison,MIXED,Metoprolol versus Empagliflozin in Atrial Fibrillation: Head-to-Head Comparison,"{""disease_entity"": ""Atrial Fibrillation"", ""molecule_entity"": ""Metoprolol"", ""drug_class_entity"": ""Beta blockers selective"", ""therapeutic_area"": ""Cardiology""}","{""comparison_flag"": true}",,2022,comparison,0,0,False
content,C324,targeted_risk,route,MIXED,Successful Management of Severe Psoriasis with Tacrolimus topical,"{""disease_entity"": ""Psoriasis"", ""molecule_entity"": ""Tacrolimus topical; Dupilumab"", ""drug_class_entity"": ""Topical calcineurin inhibitors; IL-4/IL-13 inhibitors"", ""therapeutic_area"": ""Dermatology""}","{""route"": ""topical""}",,2020,molecule_without_literal_support;route,0,1,False
content,C009,targeted_risk,population_or_comorbidity,EN,Case Report: Atypical Presentation of Obesity,"{""disease_entity"": ""Obesity"", ""molecule_entity"": ""Liraglutide"", ""drug_class_entity"": ""GLP-1 receptor agonists"", ""therapeutic_area"": ""Endocrinology""}",{},,2021,molecule_without_literal_support;population_or_comorbidity,0,1,False
content,C001,targeted_risk,duplicate_metadata,ID,Panduan Praktis: Memulai Levothyroxine pada Hypothyroidism,"{""disease_entity"": ""Hypothyroidism"", ""molecule_entity"": ""Levothyroxine; Levothyroxine"", ""drug_class_entity"": ""Thyroid hormones; Thyroid hormones"", ""therapeutic_area"": ""Endocrinology""}",{},,2021,duplicate_metadata,2,0,False
content,C005,targeted_risk,molecule_without_literal_support,EN,Liraglutide in Type 2 Diabetes Mellitus: Real-World Outcomes,"{""disease_entity"": ""Type 2 Diabetes Mellitus"", ""molecule_entity"": ""Liraglutide; Semaglutide"", ""drug_class_entity"": ""GLP-1 receptor agonists; GLP-1 receptor agonists"", ""therapeutic_area"": ""Endocrinology""}",{},,2022,molecule_without_literal_support;duplicate_metadata,1,1,False
content,C033,targeted_risk,context_type_proxy,MIXED,"Statins: Mechanism, Indications, and Safety","{""disease_entity"": ""Stable Angina"", ""molecule_entity"": ""Atorvastatin"", ""drug_class_entity"": ""Statins"", ""therapeutic_area"": ""Cardiology""}",{},dose_from_drug_profile,2020,molecule_without_literal_support;context_type_proxy,0,1,False
content,C173,targeted_risk,comparison,EN,Escitalopram versus Sertraline in Major Depressive Disorder: Head-to-Head Comparison,"{""disease_entity"": ""Major Depressive Disorder"", ""molecule_entity"": ""Escitalopram; Sertraline"", ""drug_class_entity"": ""SSRIs; SSRIs"", ""therapeutic_area"": ""Psychiatry""}","{""comparison_flag"": true}",,2020,comparison;duplicate_metadata,1,0,False
content,C331,targeted_risk,route,ID,Profil Keamanan Tacrolimus topical pada Psoriasis,"{""disease_entity"": ""Psoriasis"", ""molecule_entity"": ""Tacrolimus topical"", ""drug_class_entity"": ""Topical calcineurin inhibitors"", ""therapeutic_area"": ""Dermatology""}","{""route"": ""topical""}",,2022,route,0,0,False
content,C016,targeted_risk,population_or_comorbidity,MIXED,Dose Adjustment of Desmopressin in Renal and Hepatic Impairment,"{""disease_entity"": ""Diabetes Insipidus"", ""molecule_entity"": ""Desmopressin"", ""drug_class_entity"": ""Vasopressin analogues"", ""therapeutic_area"": ""Endocrinology""}","{""dose_context_flag"": true, ""hepatic_impairment_flag"": true}",,2024,population_or_comorbidity,0,0,False
content,C007,targeted_risk,duplicate_metadata,EN,Efficacy of Vasopressin analogues in Diabetes Insipidus: A Cohort Study,"{""disease_entity"": ""Diabetes Insipidus"", ""molecule_entity"": ""Desmopressin; Desmopressin"", ""drug_class_entity"": ""Vasopressin analogues; Vasopressin analogues"", ""therapeutic_area"": ""Endocrinology""}",{},,2020,molecule_without_literal_support;duplicate_metadata,2,1,False
content,C008,targeted_risk,molecule_without_literal_support,EN,Treatment Intensification in Type 2 Diabetes Mellitus: When and How,"{""disease_entity"": ""Type 2 Diabetes Mellitus"", ""molecule_entity"": ""Sitagliptin"", ""drug_class_entity"": ""DPP-4 inhibitors"", ""therapeutic_area"": ""Endocrinology""}",{},,2025,molecule_without_literal_support,0,1,False
query,Q347,language_stratified_random,EN,EN,Prednisolone hepatic impairment dose in Rheumatoid Arthritis,"{""disease_entity"": ""Rheumatoid Arthritis"", ""molecule_entity"": ""Prednisolone"", ""drug_class_entity"": ""Corticosteroids"", ""therapeutic_area"": ""Rheumatology""}","{""dose_context_flag"": true, ""hepatic_impairment_flag"": true}",,,,0,0,False
query,Q486,language_stratified_random,EN,EN,switch from Alteplase to Alteplase in Ischaemic Stroke,"{""disease_entity"": ""Ischaemic Stroke"", ""molecule_entity"": ""Alteplase; Alteplase"", ""drug_class_entity"": ""Thrombolytics; Thrombolytics"", ""therapeutic_area"": ""Neurology""}",{},,,duplicate_metadata,2,0,False
query,Q034,language_stratified_random,EN,EN,Typhoid Fever treatment algorithm Antimalarials first line,"{""disease_entity"": ""Typhoid Fever"", ""molecule_entity"": ""Artemether-lumefantrine"", ""drug_class_entity"": ""Antimalarials"", ""therapeutic_area"": ""Infectious Disease""}",{},,,molecule_without_literal_support,0,1,False
query,Q392,language_stratified_random,EN,EN,switch from Artemether-lumefantrine to Artemether-lumefantrine in Typhoid Fever,"{""disease_entity"": ""Typhoid Fever"", ""molecule_entity"": ""Artemether-lumefantrine; Artemether-lumefantrine"", ""drug_class_entity"": ""Antimalarials; Antimalarials"", ""therapeutic_area"": ""Infectious Disease""}",{},,,duplicate_metadata,2,0,False
query,Q360,language_stratified_random,EN,EN,is Semaglutide safe in Obesity with elderly patients,"{""disease_entity"": ""Obesity"", ""molecule_entity"": ""Semaglutide"", ""drug_class_entity"": ""GLP-1 receptor agonists"", ""therapeutic_area"": ""Endocrinology""}","{""age_group"": ""elderly""}",,,population_or_comorbidity,0,0,False
query,Q277,language_stratified_random,EN,EN,Amoxicillin hepatic impairment dose in HIV/AIDS,"{""disease_entity"": ""HIV/AIDS"", ""molecule_entity"": ""Amoxicillin"", ""drug_class_entity"": ""Penicillins"", ""therapeutic_area"": ""Infectious Disease""}","{""dose_context_flag"": true, ""hepatic_impairment_flag"": true}",,,,0,0,False
query,Q180,language_stratified_random,ID,ID,tatalaksana Type 1 Diabetes Mellitus panduan terbaru 2023,"{""disease_entity"": ""Type 1 Diabetes Mellitus"", ""molecule_entity"": ""Metformin"", ""drug_class_entity"": ""Biguanides"", ""therapeutic_area"": ""Endocrinology""}","{""year"": 2023, ""recency_flag"": true}",,,molecule_without_literal_support,0,1,False
query,Q323,language_stratified_random,ID,ID,efek samping Inhaled corticosteroids pada Asthma,"{""disease_entity"": ""Asthma"", ""molecule_entity"": ""Budesonide"", ""drug_class_entity"": ""Inhaled corticosteroids"", ""therapeutic_area"": ""Pulmonology""}","{""route"": ""inhaled""}",,,molecule_without_literal_support;route,0,1,False
query,Q310,language_stratified_random,ID,ID,target terapi Rheumatoid Arthritis dengan Proteasome inhibitors,"{""disease_entity"": ""Rheumatoid Arthritis"", ""molecule_entity"": ""Bortezomib"", ""drug_class_entity"": ""Proteasome inhibitors"", ""therapeutic_area"": ""Rheumatology""}",{},,,molecule_without_literal_support,0,1,False
query,Q274,language_stratified_random,ID,ID,resistensi Alendronate pada Osteoporosis alternatif Alendronate,"{""disease_entity"": ""Osteoporosis"", ""molecule_entity"": ""Alendronate; Alendronate"", ""drug_class_entity"": ""Bisphosphonates; Bisphosphonates"", ""therapeutic_area"": ""Rheumatology""}","{""prior_treatment_failure_flag"": true}",,,duplicate_metadata,2,0,False
query,Q242,language_stratified_random,ID,ID,penanganan Type 2 Diabetes Mellitus di ICU panduan 2023,"{""disease_entity"": ""Type 2 Diabetes Mellitus"", ""molecule_entity"": ""Liraglutide"", ""drug_class_entity"": ""GLP-1 receptor agonists"", ""therapeutic_area"": ""Endocrinology""}","{""year"": 2023}",,,molecule_without_literal_support,0,1,False
query,Q446,language_stratified_random,ID,ID,Type 1 Diabetes Mellitus dengan pregnancy pilihan terapi,"{""disease_entity"": ""Type 1 Diabetes Mellitus"", ""molecule_entity"": ""Insulin degludec"", ""drug_class_entity"": ""Basal insulins"", ""therapeutic_area"": ""Endocrinology""}","{""pregnancy_status"": ""pregnant""}",,,molecule_without_literal_support;population_or_comorbidity,0,1,False
query,Q469,language_stratified_random,MIXED,MIXED,indikasi Bedaquiline pada MDR Tuberculosis guideline terbaru,"{""disease_entity"": ""MDR Tuberculosis"", ""molecule_entity"": ""Bedaquiline"", ""drug_class_entity"": ""Antituberculotics"", ""therapeutic_area"": ""Pulmonology""}","{""recency_flag"": true}",,,,0,0,False
query,Q119,language_stratified_random,MIXED,MIXED,Gout first line TNF inhibitors evidence based,"{""disease_entity"": ""Gout"", ""molecule_entity"": ""Adalimumab"", ""drug_class_entity"": ""TNF inhibitors"", ""therapeutic_area"": ""Rheumatology""}",{},,,molecule_without_literal_support,0,1,False
query,Q262,language_stratified_random,MIXED,MIXED,kombinasi Piperacillin-tazobactam dan Meropenem pada Sepsis aman atau tidak,"{""disease_entity"": ""Sepsis"", ""molecule_entity"": ""Piperacillin-tazobactam; Meropenem"", ""drug_class_entity"": ""Beta-lactam combinations; Carbapenems"", ""therapeutic_area"": ""Critical Care""}","{""negation_flag"": true}",,,negation,0,0,False
query,Q168,language_stratified_random,MIXED,MIXED,Factor Xa inhibitors terbaru untuk Deep Vein Thrombosis 2022,"{""disease_entity"": ""Deep Vein Thrombosis"", ""molecule_entity"": ""Apixaban"", ""drug_class_entity"": ""Factor Xa inhibitors"", ""therapeutic_area"": ""Haematology""}","{""year"": 2022, ""recency_flag"": true}",,,molecule_without_literal_support,0,1,False
query,Q328,language_stratified_random,MIXED,MIXED,kombinasi Piperacillin-tazobactam dan Hydrocortisone pada Sepsis aman atau tidak,"{""disease_entity"": ""Sepsis"", ""molecule_entity"": ""Piperacillin-tazobactam; Hydrocortisone"", ""drug_class_entity"": ""Beta-lactam combinations; Corticosteroids"", ""therapeutic_area"": ""Critical Care""}","{""negation_flag"": true}",,,negation,0,0,False
query,Q402,language_stratified_random,MIXED,MIXED,target Obesity sudah tercapai kapan maintenance Semaglutide,"{""disease_entity"": ""Obesity"", ""molecule_entity"": ""Semaglutide"", ""drug_class_entity"": ""GLP-1 receptor agonists"", ""therapeutic_area"": ""Endocrinology""}",{},,,population_or_comorbidity,0,0,False
query,Q006,targeted_risk,negation,MIXED,kombinasi Metoprolol dan Metoprolol pada Heart Failure aman atau tidak,"{""disease_entity"": ""Heart Failure"", ""molecule_entity"": ""Metoprolol; Metoprolol"", ""drug_class_entity"": ""Beta blockers selective; Beta blockers selective"", ""therapeutic_area"": ""Cardiology""}","{""negation_flag"": true}",,,negation;duplicate_metadata,2,0,False
query,Q057,targeted_risk,comparison,MIXED,Dapagliflozin vs Dapagliflozin untuk pasien Chronic Kidney Disease mana lebih efektif,"{""disease_entity"": ""Chronic Kidney Disease"", ""molecule_entity"": ""Dapagliflozin; Dapagliflozin"", ""drug_class_entity"": ""SGLT2 inhibitors; SGLT2 inhibitors"", ""therapeutic_area"": ""Nephrology""}","{""comparison_flag"": true}",,,comparison;population_or_comorbidity;duplicate_metadata,2,0,False
query,Q011,targeted_risk,route,MIXED,Psoriasis dengan renal impairment penyesuaian dosis Tacrolimus topical,"{""disease_entity"": ""Psoriasis"", ""molecule_entity"": ""Tacrolimus topical"", ""drug_class_entity"": ""Topical calcineurin inhibitors"", ""therapeutic_area"": ""Dermatology""}","{""dose_context_flag"": true, ""route"": ""topical"", ""renal_function_group"": ""renal_impairment""}",,,route;population_or_comorbidity,0,0,False
query,Q001,targeted_risk,population_or_comorbidity,EN,is Diazepam safe in Febrile Seizure with immunocompromised,"{""disease_entity"": ""Febrile Seizure"", ""molecule_entity"": ""Diazepam"", ""drug_class_entity"": ""Benzodiazepines"", ""therapeutic_area"": ""Pediatrics""}",{},,,population_or_comorbidity,0,0,False
query,Q003,targeted_risk,duplicate_metadata,ID,interaksi obat Nivolumab dan Nivolumab pada Colorectal Cancer,"{""disease_entity"": ""Colorectal Cancer"", ""molecule_entity"": ""Nivolumab; Nivolumab"", ""drug_class_entity"": ""PD-1 inhibitors; PD-1 inhibitors"", ""therapeutic_area"": ""Oncology""}",{},,,duplicate_metadata,2,0,False
query,Q002,targeted_risk,molecule_without_literal_support,EN,SGLT2 inhibitors adverse effects monitoring in Atrial Fibrillation,"{""disease_entity"": ""Atrial Fibrillation"", ""molecule_entity"": ""Dapagliflozin"", ""drug_class_entity"": ""SGLT2 inhibitors"", ""therapeutic_area"": ""Cardiology""}",{},,,molecule_without_literal_support,0,1,False
query,Q033,targeted_risk,negation,MIXED,dosis Semaglutide pada Obesity pasien hypertension aman tidak,"{""disease_entity"": ""Obesity"", ""molecule_entity"": ""Semaglutide"", ""drug_class_entity"": ""GLP-1 receptor agonists"", ""therapeutic_area"": ""Endocrinology""}","{""dose_context_flag"": true, ""negation_flag"": true}",,,negation;population_or_comorbidity,0,0,False
query,Q071,targeted_risk,comparison,EN,Vancomycin vs Piperacillin-tazobactam in Sepsis patients,"{""disease_entity"": ""Sepsis"", ""molecule_entity"": ""Vancomycin; Piperacillin-tazobactam"", ""drug_class_entity"": ""Glycopeptides; Beta-lactam combinations"", ""therapeutic_area"": ""Critical Care""}","{""comparison_flag"": true}",,,comparison,0,0,False
query,Q394,targeted_risk,route,EN,Topical calcineurin inhibitors adverse effects monitoring in Psoriasis,"{""disease_entity"": ""Psoriasis"", ""molecule_entity"": ""Tacrolimus topical"", ""drug_class_entity"": ""Topical calcineurin inhibitors"", ""therapeutic_area"": ""Dermatology""}","{""route"": ""topical""}",,,molecule_without_literal_support;route,0,1,False
query,Q005,targeted_risk,population_or_comorbidity,EN,Penicillins in pregnancy and HIV/AIDS,"{""disease_entity"": ""HIV/AIDS"", ""molecule_entity"": ""Amoxicillin"", ""drug_class_entity"": ""Penicillins"", ""therapeutic_area"": ""Infectious Disease""}","{""pregnancy_status"": ""pregnant""}",,,molecule_without_literal_support;population_or_comorbidity,0,1,False
query,Q009,targeted_risk,duplicate_metadata,EN,Tenofovir+Lamivudine drug interaction with Tenofovir+Lamivudine in Urinary Tract Infection,"{""disease_entity"": ""Urinary Tract Infection"", ""molecule_entity"": ""Tenofovir+Lamivudine; Tenofovir+Lamivudine"", ""drug_class_entity"": ""NRTIs combination; NRTIs combination"", ""therapeutic_area"": ""Infectious Disease""}",{},,,duplicate_metadata,2,0,False
query,Q008,targeted_risk,molecule_without_literal_support,EN,Short-acting beta2-agonists adverse effects monitoring in Asthma,"{""disease_entity"": ""Asthma"", ""molecule_entity"": ""Salbutamol"", ""drug_class_entity"": ""Short-acting beta2-agonists"", ""therapeutic_area"": ""Pulmonology""}",{},,,molecule_without_literal_support,0,1,False
