side,record_id,field,value,evidence_source,evidence_text
query,Q161,age_group,elderly,text_rule,Magnesium sulphate pada pasien elderly Preeclampsia apa perlu adjustment
query,Q161,pregnancy_status,pregnancy_related,text_rule,Magnesium sulphate pada pasien elderly Preeclampsia apa perlu adjustment
query,Q161,dose_context_flag,True,text_rule,Magnesium sulphate pada pasien elderly Preeclampsia apa perlu adjustment
query,Q165,dose_context_flag,True,text_rule,dosis Escitalopram untuk pasien ADHD
query,Q168,year,2022,text_rule,Factor Xa inhibitors terbaru untuk Deep Vein Thrombosis 2022
query,Q168,recency_flag,True,text_rule,Factor Xa inhibitors terbaru untuk Deep Vein Thrombosis 2022
query,Q170,pregnancy_status,pregnancy_related,text_rule,Magnesium sulphate vs Magnesium sulphate in Preeclampsia patients
query,Q170,comparison_flag,True,text_rule,Magnesium sulphate vs Magnesium sulphate in Preeclampsia patients
query,Q175,dose_context_flag,True,text_rule,Warfarin dosing in Atrial Fibrillation with CKD
query,Q176,recency_flag,True,text_rule,latest guideline Major Depressive Disorder management terbaru
query,Q178,prior_treatment_failure_flag,True,text_rule,add on Valproate setelah Valproate gagal Parkinson Disease
query,Q180,year,2023,text_rule,tatalaksana Type 1 Diabetes Mellitus panduan terbaru 2023
query,Q180,recency_flag,True,text_rule,tatalaksana Type 1 Diabetes Mellitus panduan terbaru 2023
query,Q181,dose_context_flag,True,text_rule,dosis Alteplase untuk pasien Ischaemic Stroke
query,Q182,renal_function_group,renal_impairment,text_rule,apakah Olanzapine aman untuk Schizophrenia dengan renal impairment
query,Q183,age_group,pediatric,text_rule,Hypertension in Pregnancy pediatric dosing Methyldopa
query,Q183,pregnancy_status,pregnant,text_rule,Hypertension in Pregnancy pediatric dosing Methyldopa
query,Q183,dose_context_flag,True,text_rule,Hypertension in Pregnancy pediatric dosing Methyldopa
query,Q185,dose_context_flag,True,text_rule,Isoniazid hepatic impairment dose in Tuberculosis
query,Q185,hepatic_impairment_flag,True,text_rule,Isoniazid hepatic impairment dose in Tuberculosis
query,Q186,dose_context_flag,True,text_rule,dosis titrasi Rivaroxaban Deep Vein Thrombosis toleransi pasien
query,Q187,dose_context_flag,True,text_rule,dosis Venlafaxine pada Major Depressive Disorder pasien hypertension aman tidak
query,Q187,negation_flag,True,text_rule,dosis Venlafaxine pada Major Depressive Disorder pasien hypertension aman tidak
query,Q189,dose_context_flag,True,text_rule,renal dose adjustment Lansoprazole in Peptic Ulcer Disease
query,Q189,renal_function_group,renal_impairment,text_rule,renal dose adjustment Lansoprazole in Peptic Ulcer Disease
query,Q191,dose_context_flag,True,text_rule,Heart Failure dengan renal impairment penyesuaian dosis Bisoprolol
query,Q191,renal_function_group,renal_impairment,text_rule,Heart Failure dengan renal impairment penyesuaian dosis Bisoprolol
query,Q192,dose_context_flag,True,text_rule,Diabetes Insipidus emergency Desmopressin loading dose berapa
query,Q195,prior_treatment_failure_flag,True,text_rule,add on therapy Asthma after Amoxicillin failure
query,Q198,year,2022,text_rule,Calcium channel blockers new evidence Hypertension 2022
query,Q199,dose_context_flag,True,text_rule,Rivaroxaban loading dose Community-acquired Pneumonia emergency
query,Q203,pregnancy_status,pregnant,text_rule,Corticosteroids in pregnancy and Sepsis
query,Q206,age_group,pediatric,text_rule,Ischaemic Stroke pada anak dosis Aspirin
query,Q206,dose_context_flag,True,text_rule,Ischaemic Stroke pada anak dosis Aspirin
query,Q214,dose_context_flag,True,text_rule,Clozapine hepatic impairment dose in Schizophrenia
query,Q214,hepatic_impairment_flag,True,text_rule,Clozapine hepatic impairment dose in Schizophrenia
query,Q216,year,2024,text_rule,Hyperthyroidism guideline update 2024 summary
query,Q216,recency_flag,True,text_rule,Hyperthyroidism guideline update 2024 summary
query,Q220,dose_context_flag,True,text_rule,dosis titrasi Nivolumab Colorectal Cancer toleransi pasien
query,Q224,dose_context_flag,True,text_rule,Losartan hepatic impairment dose in Hypertension
query,Q224,hepatic_impairment_flag,True,text_rule,Losartan hepatic impairment dose in Hypertension
query,Q225,age_group,elderly,text_rule,Psoriasis dengan elderly patients pilihan drug terbaik
query,Q231,negation_flag,True,text_rule,kombinasi Piperacillin-tazobactam dan Norepinephrine pada Sepsis aman atau tidak
query,Q235,comparison_flag,True,text_rule,Artemether-lumefantrine vs Artemether-lumefantrine untuk Typhoid Fever
query,Q238,pregnancy_status,pregnant,text_rule,Basal insulins in pregnancy and Type 1 Diabetes Mellitus
query,Q239,age_group,elderly,text_rule,Ramipril pada pasien elderly Hypertension apa perlu adjustment
query,Q239,dose_context_flag,True,text_rule,Ramipril pada pasien elderly Hypertension apa perlu adjustment
query,Q240,year,2024,text_rule,Antituberculotics terbaru untuk Tuberculosis 2024
query,Q240,recency_flag,True,text_rule,Antituberculotics terbaru untuk Tuberculosis 2024
query,Q241,dose_context_flag,True,text_rule,dosis Dupilumab untuk pasien Psoriasis
query,Q242,year,2023,text_rule,penanganan Type 2 Diabetes Mellitus di ICU panduan 2023
query,Q243,dose_context_flag,True,text_rule,Mycophenolate mofetil dosing in Rheumatoid Arthritis with diabetes
query,Q244,comparison_flag,True,text_rule,Semaglutide vs Liraglutide untuk Obesity
query,Q246,prior_treatment_failure_flag,True,text_rule,add on therapy Urinary Tract Infection after Tenofovir+Lamivudine failure
query,Q247,prior_treatment_failure_flag,True,text_rule,resistensi Aspirin pada Ischaemic Stroke alternatif Alteplase
query,Q249,age_group,elderly,text_rule,Sitagliptin pada pasien elderly Type 2 Diabetes Mellitus apa perlu adjustment
query,Q249,dose_context_flag,True,text_rule,Sitagliptin pada pasien elderly Type 2 Diabetes Mellitus apa perlu adjustment
query,Q252,year,2022,text_rule,latest guideline Major Depressive Disorder management 2022
query,Q252,recency_flag,True,text_rule,latest guideline Major Depressive Disorder management 2022
query,Q262,negation_flag,True,text_rule,kombinasi Piperacillin-tazobactam dan Meropenem pada Sepsis aman atau tidak
query,Q264,dose_context_flag,True,text_rule,dosis Levothyroxine untuk pasien Hypothyroidism
query,Q265,dose_context_flag,True,text_rule,renal dose adjustment Allopurinol in Psoriatic Arthritis
query,Q265,renal_function_group,renal_impairment,text_rule,renal dose adjustment Allopurinol in Psoriatic Arthritis
query,Q268,pregnancy_status,pregnant,text_rule,Beta blockers non-selective mechanism of action in Hypertension in Pregnancy
query,Q270,age_group,elderly,text_rule,Bedaquiline pada pasien elderly MDR Tuberculosis apa perlu adjustment
query,Q270,dose_context_flag,True,text_rule,Bedaquiline pada pasien elderly MDR Tuberculosis apa perlu adjustment
query,Q273,year,2025,text_rule,Calcium channel blockers terbaru untuk Acute Coronary Syndrome 2025
query,Q273,recency_flag,True,text_rule,Calcium channel blockers terbaru untuk Acute Coronary Syndrome 2025
query,Q274,prior_treatment_failure_flag,True,text_rule,resistensi Alendronate pada Osteoporosis alternatif Alendronate
query,Q277,dose_context_flag,True,text_rule,Amoxicillin hepatic impairment dose in HIV/AIDS
query,Q277,hepatic_impairment_flag,True,text_rule,Amoxicillin hepatic impairment dose in HIV/AIDS
query,Q278,prior_treatment_failure_flag,True,text_rule,add on Furosemide setelah Furosemide gagal Nephrotic Syndrome
query,Q283,pregnancy_status,pregnant,text_rule,monitoring Centrally acting antihypertensives pada Hypertension in Pregnancy parameter apa
query,Q285,comparison_flag,True,text_rule,Olanzapine vs Lithium in Bipolar Disorder patients
query,Q287,recency_flag,True,text_rule,panduan klinis Epilepsy terbaru
query,Q289,pregnancy_status,pregnant,text_rule,Apixaban pada ibu hamil dengan Deep Vein Thrombosis
query,Q292,comparison_flag,True,text_rule,Amoxicillin vs Amoxicillin efficacy in HIV/AIDS
query,Q293,prior_treatment_failure_flag,True,text_rule,resistensi Prednisolone pada Asthma alternatif Azithromycin
query,Q294,dose_context_flag,True,text_rule,dosis titrasi Levothyroxine Hyperthyroidism toleransi pasien
query,Q296,prior_treatment_failure_flag,True,text_rule,resistensi Bedaquiline pada Tuberculosis alternatif Rifampicin
query,Q299,dose_context_flag,True,text_rule,Zinc hepatic impairment dose in Stunting / Malnutrition
query,Q299,hepatic_impairment_flag,True,text_rule,Zinc hepatic impairment dose in Stunting / Malnutrition
query,Q300,dose_context_flag,True,text_rule,dosis Apixaban pada Community-acquired Pneumonia pasien CKD aman tidak
query,Q300,negation_flag,True,text_rule,dosis Apixaban pada Community-acquired Pneumonia pasien CKD aman tidak
query,Q302,dose_context_flag,True,text_rule,dosis titrasi Topiramate Migraine toleransi pasien
query,Q307,pregnancy_status,pregnant,text_rule,Fluoroquinolones in pregnancy and HIV/AIDS
query,Q311,prior_treatment_failure_flag,True,text_rule,add on therapy Typhoid Fever after Artemether-lumefantrine failure
query,Q313,recency_flag,True,text_rule,indikasi Losartan pada Chronic Kidney Disease guideline terbaru
query,Q315,year,2023,text_rule,latest guideline Rheumatoid Arthritis management 2023
query,Q315,recency_flag,True,text_rule,latest guideline Rheumatoid Arthritis management 2023
query,Q316,comparison_flag,True,text_rule,Lansoprazole vs Omeprazole untuk pasien Peptic Ulcer Disease mana lebih efektif
query,Q318,comparison_flag,True,text_rule,Venlafaxine vs Escitalopram efficacy in Major Depressive Disorder
query,Q319,dose_context_flag,True,text_rule,dosis titrasi Adalimumab Gout toleransi pasien
query,Q320,hepatic_impairment_flag,True,text_rule,is Bedaquiline safe in Tuberculosis with hepatic impairment
query,Q322,dose_context_flag,True,text_rule,Dolutegravir hepatic impairment dose in Malaria
query,Q322,hepatic_impairment_flag,True,text_rule,Dolutegravir hepatic impairment dose in Malaria
query,Q323,route,inhaled,text_rule,efek samping Inhaled corticosteroids pada Asthma
query,Q327,negation_flag,True,text_rule,kombinasi Desmopressin dan Desmopressin pada Diabetes Insipidus aman atau tidak
query,Q328,negation_flag,True,text_rule,kombinasi Piperacillin-tazobactam dan Hydrocortisone pada Sepsis aman atau tidak
query,Q331,dose_context_flag,True,text_rule,Osteoporosis dengan renal impairment penyesuaian dosis Alendronate
query,Q331,renal_function_group,renal_impairment,text_rule,Osteoporosis dengan renal impairment penyesuaian dosis Alendronate
query,Q335,comparison_flag,True,text_rule,Metronidazole vs Omeprazole untuk pasien Pulmonary Embolism mana lebih efektif
query,Q338,comparison_flag,True,text_rule,Metronidazole vs Metronidazole in Inflammatory Bowel Disease patients
query,Q339,comparison_flag,True,text_rule,Clozapine vs Clozapine in Schizophrenia patients
query,Q340,year,2023,text_rule,latest guideline Peptic Ulcer Disease management 2023
query,Q340,recency_flag,True,text_rule,latest guideline Peptic Ulcer Disease management 2023
query,Q342,dose_context_flag,True,text_rule,dosis titrasi Vancomycin Sepsis toleransi pasien
query,Q344,recency_flag,True,text_rule,panduan klinis MDR Tuberculosis terbaru
query,Q346,dose_context_flag,True,text_rule,Chronic Kidney Disease dengan renal impairment penyesuaian dosis Losartan
query,Q346,renal_function_group,renal_impairment,text_rule,Chronic Kidney Disease dengan renal impairment penyesuaian dosis Losartan
query,Q347,dose_context_flag,True,text_rule,Prednisolone hepatic impairment dose in Rheumatoid Arthritis
query,Q347,hepatic_impairment_flag,True,text_rule,Prednisolone hepatic impairment dose in Rheumatoid Arthritis
query,Q349,dose_context_flag,True,text_rule,dosis Liraglutide untuk pasien Obesity
query,Q350,prior_treatment_failure_flag,True,text_rule,Valproate resistance in Epilepsy alternative therapy
query,Q351,pregnancy_status,pregnant,text_rule,dosis Rifampicin pada Tuberculosis pasien pregnancy aman tidak
query,Q351,dose_context_flag,True,text_rule,dosis Rifampicin pada Tuberculosis pasien pregnancy aman tidak
query,Q351,negation_flag,True,text_rule,dosis Rifampicin pada Tuberculosis pasien pregnancy aman tidak
query,Q352,recency_flag,True,text_rule,panduan klinis ADHD terbaru
query,Q356,pregnancy_status,pregnant,text_rule,apakah Dapagliflozin aman untuk Chronic Kidney Disease dengan pregnancy
query,Q358,dose_context_flag,True,text_rule,Methylphenidate loading dose Breast Cancer HER2-positive emergency
query,Q359,dose_context_flag,True,text_rule,dosis Adalimumab untuk pasien Systemic Lupus Erythematosus
query,Q360,age_group,elderly,text_rule,is Semaglutide safe in Obesity with elderly patients
query,Q361,year,2022,text_rule,penanganan Type 2 Diabetes Mellitus di ICU panduan 2022
query,Q362,recency_flag,True,text_rule,tatalaksana ADHD panduan terbaru terbaru
query,Q365,pregnancy_status,pregnant,text_rule,Antimalarials in pregnancy and Typhoid Fever
query,Q367,pregnancy_status,pregnant,text_rule,ARBs in pregnancy and Hypertension
query,Q368,hepatic_impairment_flag,True,text_rule,Community-acquired Pneumonia dengan hepatic impairment pilihan drug terbaik
query,Q369,comparison_flag,True,text_rule,Nivolumab vs Pembrolizumab untuk Non-Small Cell Lung Cancer
query,Q371,recency_flag,True,text_rule,kapan start Losartan di Hypertension evidence terbaru terbaru
query,Q372,recency_flag,True,text_rule,indikasi Semaglutide pada Type 2 Diabetes Mellitus guideline terbaru
query,Q373,prior_treatment_failure_flag,True,text_rule,add on therapy Stable Angina after Metoprolol failure
query,Q375,age_group,pediatric,text_rule,Tuberculosis pada anak dosis Bedaquiline
query,Q375,dose_context_flag,True,text_rule,Tuberculosis pada anak dosis Bedaquiline
query,Q377,pregnancy_status,pregnancy_related,text_rule,latest Preeclampsia management guidelines 2024
query,Q377,year,2024,text_rule,latest Preeclampsia management guidelines 2024
query,Q377,recency_flag,True,text_rule,latest Preeclampsia management guidelines 2024
query,Q378,prior_treatment_failure_flag,True,text_rule,add on therapy Schizophrenia after Olanzapine failure
query,Q379,renal_function_group,renal_impairment,text_rule,kontraindikasi Prednisolone pada COPD dengan renal impairment
query,Q380,dose_context_flag,True,text_rule,Type 2 Diabetes Mellitus dengan renal impairment penyesuaian dosis Liraglutide
query,Q380,renal_function_group,renal_impairment,text_rule,Type 2 Diabetes Mellitus dengan renal impairment penyesuaian dosis Liraglutide
query,Q381,dose_context_flag,True,text_rule,renal dose adjustment Artemether-lumefantrine in Typhoid Fever
query,Q381,renal_function_group,renal_impairment,text_rule,renal dose adjustment Artemether-lumefantrine in Typhoid Fever
query,Q383,year,2023,text_rule,SSRIs terbaru untuk ADHD 2023
query,Q383,recency_flag,True,text_rule,SSRIs terbaru untuk ADHD 2023
query,Q384,pregnancy_status,pregnant,text_rule,Iron preparations in pregnancy and Iron Deficiency Anaemia
query,Q388,pregnancy_status,pregnancy_related,text_rule,Magnesium role in Preeclampsia pathophysiology
query,Q390,recency_flag,True,text_rule,panduan klinis Ischaemic Stroke terbaru
query,Q394,route,topical,text_rule,Topical calcineurin inhibitors adverse effects monitoring in Psoriasis
query,Q395,dose_context_flag,True,text_rule,Vitamin A hepatic impairment dose in Stunting / Malnutrition
query,Q395,hepatic_impairment_flag,True,text_rule,Vitamin A hepatic impairment dose in Stunting / Malnutrition
query,Q396,dose_context_flag,True,text_rule,Norepinephrine dosing in Sepsis with diabetes
query,Q398,year,2024,text_rule,Corticosteroids terbaru untuk Sepsis 2024
query,Q398,recency_flag,True,text_rule,Corticosteroids terbaru untuk Sepsis 2024
query,Q400,age_group,pediatric,text_rule,COPD pada anak dosis Salmeterol
query,Q400,dose_context_flag,True,text_rule,COPD pada anak dosis Salmeterol
query,Q404,dose_context_flag,True,text_rule,Omeprazole loading dose Peptic Ulcer Disease emergency
query,Q406,pregnancy_status,pregnant,text_rule,Ischaemic Stroke with pregnancy first line drug
query,Q407,age_group,pediatric,text_rule,Breast Cancer HER2-positive pada anak dosis Methylphenidate
query,Q407,dose_context_flag,True,text_rule,Breast Cancer HER2-positive pada anak dosis Methylphenidate
query,Q409,dose_context_flag,True,text_rule,Spironolactone dosing in Heart Failure with obesity
query,Q411,age_group,elderly,text_rule,Alendronate pada pasien elderly Osteoporosis apa perlu adjustment
query,Q411,dose_context_flag,True,text_rule,Alendronate pada pasien elderly Osteoporosis apa perlu adjustment
query,Q413,year,2024,text_rule,SNRIs terbaru untuk Major Depressive Disorder 2024
query,Q413,recency_flag,True,text_rule,SNRIs terbaru untuk Major Depressive Disorder 2024
query,Q414,dose_context_flag,True,text_rule,Stable Angina emergency Atorvastatin loading dose berapa
query,Q415,year,2023,text_rule,latest Breast Cancer HER2-positive management guidelines 2023
