query_id,query_text,query_language,query_intent,observed_content,positive_content,meaningful_content,strong_content,has_observed_positive,has_meaningful_positive,has_strong_positive,eligible_for_positive_dependent_metrics
Q099,Atrial Fibrillation emergency Apixaban loading dose berapa,MIXED,Dosing / Administration,8,0,0,0,False,False,False,False
Q102,Antimalarials kontraindikasi pada Typhoid Fever dengan obesity,ID,Safety / Contraindication,6,0,0,0,False,False,False,False
Q108,Antituberculotics adverse effects monitoring in Tuberculosis,EN,Safety / Contraindication,9,0,0,0,False,False,False,False
Q109,kapan start Levetiracetam di Epilepsy evidence terbaru terbaru,MIXED,Guideline / Evidence Lookup,10,0,0,0,False,False,False,False
Q111,Erythropoietin contraindication in Iron Deficiency Anaemia with anaemia,EN,Safety / Contraindication,9,0,0,0,False,False,False,False
Q112,Alteplase vs Aspirin in Ischaemic Stroke patients,EN,Comparative Treatment Choice,9,0,0,0,False,False,False,False
Q113,latest Obesity management guidelines 2025,EN,Guideline / Evidence Lookup,5,0,0,0,False,False,False,False
Q115,dosis Artemether-lumefantrine untuk pasien Typhoid Fever,ID,Dosing / Administration,9,0,0,0,False,False,False,False
Q117,switch dari Artemether-lumefantrine ke Artemether-lumefantrine Typhoid Fever progresif,MIXED,Treatment Change / Escalation,6,0,0,0,False,False,False,False
Q118,Chronic Lymphocytic Leukaemia emergency Ibrutinib loading dose berapa,MIXED,Dosing / Administration,8,0,0,0,False,False,False,False
Q120,latest Hypertension management guidelines terbaru,EN,Guideline / Evidence Lookup,5,0,0,0,False,False,False,False
Q126,add on therapy HIV/AIDS after Levofloxacin failure,EN,Treatment Change / Escalation,5,0,0,0,False,False,False,False
Q127,Tuberculosis with CKD first line drug,EN,Management / Treatment Selection,7,0,0,0,False,False,False,False
Q135,Rosuvastatin hepatic impairment dose in Acute Coronary Syndrome,EN,Dosing / Administration,5,0,0,0,False,False,False,False
Q136,add on therapy Hypertension in Pregnancy after Methyldopa failure,EN,Treatment Change / Escalation,9,0,0,0,False,False,False,False
Q137,ARBs mechanism untuk Heart Failure bagaimana cara kerjanya,MIXED,Mechanism / Background Knowledge,8,0,0,0,False,False,False,False
Q138,Pembrolizumab pada ibu hamil dengan Non-Small Cell Lung Cancer,ID,Safety / Contraindication,8,0,0,0,False,False,False,False
Q139,dosis titrasi Artemether-lumefantrine Typhoid Fever toleransi pasien,MIXED,Dosing / Administration,8,0,0,0,False,False,False,False
Q141,prophylaxis Colorectal Cancer Pembrolizumab kapan bisa dihentikan,MIXED,Prophylaxis / Maintenance,9,0,0,0,False,False,False,False
Q143,switch dari Adalimumab ke Adalimumab Systemic Lupus Erythematosus progresif,MIXED,Treatment Change / Escalation,10,0,0,0,False,False,False,False
Q149,Factor Xa inhibitors mechanism of action in Community-acquired Pneumonia,EN,Mechanism / Background Knowledge,6,0,0,0,False,False,False,False
Q151,latest guideline Preeclampsia management 2024,MIXED,Guideline / Evidence Lookup,9,0,0,0,False,False,False,False
Q162,Diazepam contraindication in Febrile Seizure with diabetes,EN,Safety / Contraindication,7,0,0,0,False,False,False,False
Q167,penggantian Omeprazole ke Lansoprazole pada Peptic Ulcer Disease,ID,Treatment Change / Escalation,6,0,0,0,False,False,False,False
Q173,Stunting / Malnutrition first line Zinc supplements evidence based,MIXED,Guideline / Evidence Lookup,5,0,0,0,False,False,False,False
Q175,Warfarin dosing in Atrial Fibrillation with CKD,EN,Dosing / Administration,9,0,0,0,False,False,False,False
Q177,Bedaquiline long term outcomes Tuberculosis,EN,Efficacy / Outcomes,7,0,0,0,False,False,False,False
Q182,apakah Olanzapine aman untuk Schizophrenia dengan renal impairment,ID,Safety / Contraindication,7,0,0,0,False,False,False,False
Q184,Proton pump inhibitors mechanism of action in Peptic Ulcer Disease,EN,Mechanism / Background Knowledge,8,0,0,0,False,False,False,False
Q186,dosis titrasi Rivaroxaban Deep Vein Thrombosis toleransi pasien,MIXED,Dosing / Administration,5,0,0,0,False,False,False,False
Q187,dosis Venlafaxine pada Major Depressive Disorder pasien hypertension aman tidak,MIXED,Safety / Contraindication,10,0,0,0,False,False,False,False
Q190,Macrolides mechanism of action in Asthma,EN,Mechanism / Background Knowledge,9,0,0,0,False,False,False,False
Q194,Chronic Kidney Disease prophylaxis Losartan indication,EN,Prophylaxis / Maintenance,8,0,0,0,False,False,False,False
Q195,add on therapy Asthma after Amoxicillin failure,EN,Treatment Change / Escalation,9,0,0,0,False,False,False,False
Q203,Corticosteroids in pregnancy and Sepsis,EN,Safety / Contraindication,10,0,0,0,False,False,False,False
Q205,terapi profilaksis Typhoid Fever dengan Artemether-lumefantrine,ID,Prophylaxis / Maintenance,10,0,0,0,False,False,False,False
Q206,Ischaemic Stroke pada anak dosis Aspirin,ID,Dosing / Administration,7,0,0,0,False,False,False,False
Q215,Ferrous sulphate drug interaction with Erythropoietin in Iron Deficiency Anaemia,EN,Interaction / Combination,5,0,0,0,False,False,False,False
Q217,algoritma terapi Heart Failure step up,ID,Management / Treatment Selection,7,0,0,0,False,False,False,False
Q220,dosis titrasi Nivolumab Colorectal Cancer toleransi pasien,MIXED,Dosing / Administration,9,0,0,0,False,False,False,False
Q230,Cyclosporine contraindication in Disseminated Intravascular Coagulation with immunocompromised,EN,Safety / Contraindication,7,0,0,0,False,False,False,False
Q233,kontraindikasi Budesonide pada Asthma dengan COPD,MIXED,Safety / Contraindication,6,0,0,0,False,False,False,False
Q235,Artemether-lumefantrine vs Artemether-lumefantrine untuk Typhoid Fever,ID,Comparative Treatment Choice,6,0,0,0,False,False,False,False
Q236,biomarkers Chronic Myeloid Leukaemia treatment response Imatinib,EN,Monitoring / Response / Risk Assessment,7,0,0,0,False,False,False,False
Q237,monitoring BCR-ABL inhibitors pada Chronic Myeloid Leukaemia parameter apa,MIXED,Monitoring / Response / Risk Assessment,6,0,0,0,False,False,False,False
Q253,Imatinib side effect pada pasien Chronic Myeloid Leukaemia apa saja,MIXED,Safety / Contraindication,9,0,0,0,False,False,False,False
Q256,Antituberculotics role in MDR Tuberculosis pathophysiology,EN,Mechanism / Background Knowledge,8,0,0,0,False,False,False,False
Q259,monitoring Atypical antipsychotics pada Schizophrenia parameter apa,MIXED,Monitoring / Response / Risk Assessment,9,0,0,0,False,False,False,False
Q261,Penicillins role in HIV/AIDS pathophysiology,EN,Mechanism / Background Knowledge,9,0,0,0,False,False,False,False
Q274,resistensi Alendronate pada Osteoporosis alternatif Alendronate,ID,Treatment Change / Escalation,5,0,0,0,False,False,False,False
Q275,obat MDR Tuberculosis lini pertama Antituberculotics,ID,Management / Treatment Selection,6,0,0,0,False,False,False,False
Q276,monitoring parameters Atorvastatin in Acute Coronary Syndrome,EN,Monitoring / Response / Risk Assessment,9,0,0,0,False,False,False,False
Q280,algoritma terapi Malaria step up,ID,Management / Treatment Selection,6,0,0,0,False,False,False,False
Q283,monitoring Centrally acting antihypertensives pada Hypertension in Pregnancy parameter apa,MIXED,Monitoring / Response / Risk Assessment,8,0,0,0,False,False,False,False
Q286,prophylaxis Urinary Tract Infection Tenofovir+Lamivudine kapan bisa dihentikan,MIXED,Prophylaxis / Maintenance,10,0,0,0,False,False,False,False
Q288,apakah Trastuzumab aman untuk Non-Small Cell Lung Cancer dengan hypertension,ID,Safety / Contraindication,6,0,0,0,False,False,False,False
Q291,Peptic Ulcer Disease dengan hypertension pilihan terapi,ID,Management / Treatment Selection,10,0,0,0,False,False,False,False
Q296,resistensi Bedaquiline pada Tuberculosis alternatif Rifampicin,ID,Treatment Change / Escalation,7,0,0,0,False,False,False,False
Q299,Zinc hepatic impairment dose in Stunting / Malnutrition,EN,Dosing / Administration,7,0,0,0,False,False,False,False
Q300,dosis Apixaban pada Community-acquired Pneumonia pasien CKD aman tidak,MIXED,Safety / Contraindication,10,0,0,0,False,False,False,False
Q302,dosis titrasi Topiramate Migraine toleransi pasien,MIXED,Dosing / Administration,8,0,0,0,False,False,False,False
Q303,Parkinson Disease treatment algorithm Dopaminergic agents first line,EN,Management / Treatment Selection,8,0,0,0,False,False,False,False
Q309,Bedaquiline long term outcomes MDR Tuberculosis,EN,Efficacy / Outcomes,9,0,0,0,False,False,False,False
Q310,target terapi Rheumatoid Arthritis dengan Proteasome inhibitors,ID,Management / Treatment Selection,10,0,0,0,False,False,False,False
Q312,Tuberculosis prophylaxis Isoniazid indication,EN,Prophylaxis / Maintenance,9,0,0,0,False,False,False,False
Q317,Methylphenidate efficacy pada Breast Cancer HER2-positive clinical outcome data,MIXED,Efficacy / Outcomes,10,0,0,0,False,False,False,False
Q322,Dolutegravir hepatic impairment dose in Malaria,EN,Dosing / Administration,9,0,0,0,False,False,False,False
Q326,titration protocol Ferrous sulphate in Iron Deficiency Anaemia,EN,Dosing / Administration,5,0,0,0,False,False,False,False
Q328,kombinasi Piperacillin-tazobactam dan Hydrocortisone pada Sepsis aman atau tidak,MIXED,Interaction / Combination,6,0,0,0,False,False,False,False
Q330,Lithium side effect pada pasien Bipolar Disorder apa saja,MIXED,Safety / Contraindication,10,0,0,0,False,False,False,False
Q332,kapan mulai terapi Desmopressin pada Diabetes Insipidus,ID,Management / Treatment Selection,9,0,0,0,False,False,False,False
Q333,kontraindikasi Diazepam pada Febrile Seizure dengan hypertension,MIXED,Safety / Contraindication,6,0,0,0,False,False,False,False
Q336,Lithium contraindication in Bipolar Disorder with anaemia,EN,Safety / Contraindication,9,0,0,0,False,False,False,False
Q339,Clozapine vs Clozapine in Schizophrenia patients,EN,Comparative Treatment Choice,8,0,0,0,False,False,False,False
Q344,panduan klinis MDR Tuberculosis terbaru,ID,Guideline / Evidence Lookup,9,0,0,0,False,False,False,False
Q347,Prednisolone hepatic impairment dose in Rheumatoid Arthritis,EN,Dosing / Administration,6,0,0,0,False,False,False,False
Q350,Valproate resistance in Epilepsy alternative therapy,EN,Treatment Change / Escalation,7,0,0,0,False,False,False,False
Q351,dosis Rifampicin pada Tuberculosis pasien pregnancy aman tidak,MIXED,Safety / Contraindication,5,0,0,0,False,False,False,False
Q353,Nivolumab efficacy pada Non-Small Cell Lung Cancer clinical outcome data,MIXED,Efficacy / Outcomes,6,0,0,0,False,False,False,False
Q358,Methylphenidate loading dose Breast Cancer HER2-positive emergency,EN,Dosing / Administration,10,0,0,0,False,False,False,False
Q360,is Semaglutide safe in Obesity with elderly patients,EN,Safety / Contraindication,6,0,0,0,False,False,False,False
Q361,penanganan Type 2 Diabetes Mellitus di ICU panduan 2022,ID,Guideline / Evidence Lookup,10,0,0,0,False,False,False,False
Q367,ARBs in pregnancy and Hypertension,EN,Safety / Contraindication,9,0,0,0,False,False,False,False
Q368,Community-acquired Pneumonia dengan hepatic impairment pilihan drug terbaik,MIXED,Management / Treatment Selection,5,0,0,0,False,False,False,False
Q374,kontraindikasi Ramipril pada Hypertension dengan diabetes,MIXED,Safety / Contraindication,9,0,0,0,False,False,False,False
Q377,latest Preeclampsia management guidelines 2024,EN,Guideline / Evidence Lookup,6,0,0,0,False,False,False,False
Q378,add on therapy Schizophrenia after Olanzapine failure,EN,Treatment Change / Escalation,9,0,0,0,False,False,False,False
Q380,Type 2 Diabetes Mellitus dengan renal impairment penyesuaian dosis Liraglutide,MIXED,Dosing / Administration,8,0,0,0,False,False,False,False
Q381,renal dose adjustment Artemether-lumefantrine in Typhoid Fever,EN,Dosing / Administration,5,0,0,0,False,False,False,False
Q387,monitoring parameters Escitalopram in ADHD,EN,Monitoring / Response / Risk Assessment,7,0,0,0,False,False,False,False
Q389,algoritma terapi Pulmonary Embolism step up,ID,Management / Treatment Selection,7,0,0,0,False,False,False,False
Q391,when to start Secukinumab in Disseminated Intravascular Coagulation,EN,Management / Treatment Selection,8,0,0,0,False,False,False,False
Q396,Norepinephrine dosing in Sepsis with diabetes,EN,Dosing / Administration,8,0,0,0,False,False,False,False
Q410,kapan mulai terapi Alteplase pada Ischaemic Stroke,ID,Management / Treatment Selection,5,0,0,0,False,False,False,False
Q412,Aspirin long term outcomes Ischaemic Stroke,EN,Efficacy / Outcomes,10,0,0,0,False,False,False,False
Q413,SNRIs terbaru untuk Major Depressive Disorder 2024,MIXED,Guideline / Evidence Lookup,8,0,0,0,False,False,False,False
Q414,Stable Angina emergency Atorvastatin loading dose berapa,MIXED,Dosing / Administration,9,0,0,0,False,False,False,False
Q415,latest Breast Cancer HER2-positive management guidelines 2023,EN,Guideline / Evidence Lookup,7,0,0,0,False,False,False,False
Q425,target Urinary Tract Infection sudah tercapai kapan maintenance Tenofovir+Lamivudine,MIXED,Prophylaxis / Maintenance,8,0,0,0,False,False,False,False
Q428,penggantian Sertraline ke Venlafaxine pada Major Depressive Disorder,ID,Treatment Change / Escalation,10,0,0,0,False,False,False,False
Q434,Rosuvastatin contraindication in Acute Coronary Syndrome with anaemia,EN,Safety / Contraindication,5,0,0,0,False,False,False,False
Q439,Secukinumab loading dose Disseminated Intravascular Coagulation emergency,EN,Dosing / Administration,10,0,0,0,False,False,False,False
Q442,add on Prednisolone setelah Tiotropium gagal COPD,MIXED,Treatment Change / Escalation,7,0,0,0,False,False,False,False
Q445,indikasi Losartan pada Heart Failure guideline terbaru,MIXED,Guideline / Evidence Lookup,5,0,0,0,False,False,False,False
Q446,Type 1 Diabetes Mellitus dengan pregnancy pilihan terapi,ID,Management / Treatment Selection,9,0,0,0,False,False,False,False
Q448,Pembrolizumab vs Pembrolizumab untuk pasien Non-Small Cell Lung Cancer mana lebih efektif,MIXED,Comparative Treatment Choice,9,0,0,0,False,False,False,False
Q455,obat Typhoid Fever lini pertama Antimalarials,ID,Management / Treatment Selection,8,0,0,0,False,False,False,False
Q457,is Nivolumab safe in Non-Small Cell Lung Cancer with atrial fibrillation,EN,Safety / Contraindication,10,0,0,0,False,False,False,False
Q464,kontraindikasi Semaglutide pada Obesity dengan diabetes,MIXED,Safety / Contraindication,10,0,0,0,False,False,False,False
Q465,Hypertension prophylaxis Ramipril indication,EN,Prophylaxis / Maintenance,6,0,0,0,False,False,False,False
Q468,Systemic Lupus Erythematosus prophylaxis Methotrexate indication,EN,Prophylaxis / Maintenance,10,0,0,0,False,False,False,False
Q471,monitoring terapi Venlafaxine pada Major Depressive Disorder,ID,Monitoring / Response / Risk Assessment,10,0,0,0,False,False,False,False
Q475,Vitamin K antagonists kontraindikasi pada Deep Vein Thrombosis dengan heart failure,ID,Safety / Contraindication,10,0,0,0,False,False,False,False
Q479,BCR-ABL inhibitors in pregnancy and Chronic Myeloid Leukaemia,EN,Safety / Contraindication,6,0,0,0,False,False,False,False
Q481,Metoprolol long term outcomes Stable Angina,EN,Efficacy / Outcomes,10,0,0,0,False,False,False,False
Q483,Hypertension dengan pregnancy pilihan drug terbaik,MIXED,Management / Treatment Selection,7,0,0,0,False,False,False,False
Q484,titration protocol Bedaquiline in Tuberculosis,EN,Dosing / Administration,5,0,0,0,False,False,False,False
Q487,Centrally acting antihypertensives terbaru untuk Hypertension in Pregnancy 2025,MIXED,Guideline / Evidence Lookup,8,0,0,0,False,False,False,False
Q491,Empagliflozin long term outcomes Chronic Kidney Disease,EN,Efficacy / Outcomes,8,0,0,0,False,False,False,False
Q493,monitoring parameters Isoniazid in Tuberculosis,EN,Monitoring / Response / Risk Assessment,10,0,0,0,False,False,False,False
Q495,TNF inhibitors adverse effects monitoring in Systemic Lupus Erythematosus,EN,Safety / Contraindication,5,0,0,0,False,False,False,False
Q497,is Rosuvastatin safe in Acute Coronary Syndrome with diabetes,EN,Safety / Contraindication,8,0,0,0,False,False,False,False
Q500,Antituberculotics terbaru untuk Tuberculosis 2025,MIXED,Guideline / Evidence Lookup,7,0,0,0,False,False,False,False
Q002,SGLT2 inhibitors adverse effects monitoring in Atrial Fibrillation,EN,Safety / Contraindication,8,1,0,0,True,False,False,True
Q020,latest Malaria management guidelines 2025,EN,Guideline / Evidence Lookup,12,1,1,0,True,True,False,True
Q025,Acute Coronary Syndrome guideline update 2023 summary,EN,Guideline / Evidence Lookup,10,1,0,0,True,False,False,True
Q028,ACE inhibitors adverse effects monitoring in Hypertension,EN,Safety / Contraindication,6,1,1,0,True,True,False,True
Q035,algoritma terapi HIV/AIDS step up,ID,Management / Treatment Selection,7,1,0,0,True,False,False,True
Q049,Calcium channel blockers mechanism untuk Atrial Fibrillation bagaimana cara kerjanya,MIXED,Mechanism / Background Knowledge,10,1,0,0,True,False,False,True
Q055,Methimazole side effect pada pasien Hyperthyroidism apa saja,MIXED,Safety / Contraindication,10,1,1,0,True,True,False,True
Q059,switch dari Dupilumab ke Cyclosporine Psoriasis progresif,MIXED,Treatment Change / Escalation,9,1,1,0,True,True,False,True
Q062,latest COPD management guidelines terbaru,EN,Guideline / Evidence Lookup,6,1,1,0,True,True,False,True
Q063,Malaria pada anak dosis Tenofovir disoproxil,ID,Dosing / Administration,12,1,1,0,True,True,False,True
Q066,monitoring parameters Rosuvastatin in Acute Coronary Syndrome,EN,Monitoring / Response / Risk Assessment,6,1,1,0,True,True,False,True
Q083,latest Pulmonary Embolism management guidelines terbaru,EN,Guideline / Evidence Lookup,8,1,0,0,True,False,False,True
Q085,Methylphenidate vs Methylphenidate efficacy in Breast Cancer HER2-positive,EN,Comparative Treatment Choice,7,1,1,0,True,True,False,True
Q087,Rheumatoid Arthritis dengan renal impairment pilihan drug terbaik,MIXED,Management / Treatment Selection,7,1,1,0,True,True,False,True
Q103,biomarkers Ischaemic Stroke treatment response Alteplase,EN,Monitoring / Response / Risk Assessment,8,1,1,0,True,True,False,True
Q104,Erythropoietin loading dose Iron Deficiency Anaemia emergency,EN,Dosing / Administration,12,1,0,0,True,False,False,True
Q106,titration protocol Metoprolol in Heart Failure,EN,Dosing / Administration,11,1,1,0,True,True,False,True
Q114,Colchicine vs Colchicine in Psoriatic Arthritis patients,EN,Comparative Treatment Choice,7,1,0,0,True,False,False,True
Q119,Gout first line TNF inhibitors evidence based,MIXED,Guideline / Evidence Lookup,9,1,1,0,True,True,False,True
Q123,kapan mulai terapi Rivaroxaban pada Deep Vein Thrombosis,ID,Management / Treatment Selection,7,1,0,0,True,False,False,True
Q124,add on Tenofovir disoproxil setelah Tenofovir disoproxil gagal Malaria,MIXED,Treatment Change / Escalation,10,1,0,0,True,False,False,True
Q129,Imatinib pada ibu hamil dengan Chronic Myeloid Leukaemia,ID,Safety / Contraindication,11,1,0,0,True,False,False,True
Q147,Chronic Kidney Disease first line ARBs evidence based,MIXED,Guideline / Evidence Lookup,8,1,1,0,True,True,False,True
Q153,Rheumatoid Arthritis guideline update 2023 summary,EN,Guideline / Evidence Lookup,10,1,1,0,True,True,False,True
Q158,when to start Sertraline in ADHD,EN,Management / Treatment Selection,11,1,0,0,True,False,False,True
Q160,Obesity pada anak dosis Liraglutide,ID,Dosing / Administration,6,1,1,0,True,True,False,True
Q168,Factor Xa inhibitors terbaru untuk Deep Vein Thrombosis 2022,MIXED,Guideline / Evidence Lookup,8,1,0,0,True,False,False,True
Q174,monitoring Thyroid hormones pada Hypothyroidism parameter apa,MIXED,Monitoring / Response / Risk Assessment,8,1,0,0,True,False,False,True
Q196,Gout risk stratification approach,EN,Monitoring / Response / Risk Assessment,9,1,0,0,True,False,False,True
Q198,Calcium channel blockers new evidence Hypertension 2022,EN,Guideline / Evidence Lookup,9,1,0,0,True,False,False,True
Q207,Ramipril combination therapy Hypertension,EN,Interaction / Combination,8,1,0,0,True,False,False,True
Q219,Diabetes Insipidus dengan diabetes pilihan drug terbaik,MIXED,Management / Treatment Selection,10,1,1,0,True,True,False,True
Q223,Rivaroxaban efficacy pada Community-acquired Pneumonia clinical outcome data,MIXED,Efficacy / Outcomes,8,1,1,0,True,True,False,True
Q225,Psoriasis dengan elderly patients pilihan drug terbaik,MIXED,Management / Treatment Selection,10,1,1,0,True,True,False,True
Q227,Spironolactone contraindication in Heart Failure with hypertension,EN,Safety / Contraindication,9,1,1,0,True,True,False,True
Q240,Antituberculotics terbaru untuk Tuberculosis 2024,MIXED,Guideline / Evidence Lookup,6,1,1,0,True,True,False,True
Q241,dosis Dupilumab untuk pasien Psoriasis,ID,Dosing / Administration,11,1,1,0,True,True,False,True
Q248,Type 1 Diabetes Mellitus first line Basal insulins evidence based,MIXED,Guideline / Evidence Lookup,6,1,1,0,True,True,False,True
Q249,Sitagliptin pada pasien elderly Type 2 Diabetes Mellitus apa perlu adjustment,MIXED,Dosing / Administration,7,1,0,0,True,False,False,True
Q251,Bipolar Disorder risk stratification approach,EN,Monitoring / Response / Risk Assessment,11,1,1,0,True,True,False,True
Q257,switch from Imatinib to Imatinib in Chronic Myeloid Leukaemia,EN,Treatment Change / Escalation,8,1,1,0,True,True,False,True
Q265,renal dose adjustment Allopurinol in Psoriatic Arthritis,EN,Dosing / Administration,10,1,0,0,True,False,False,True
Q273,Calcium channel blockers terbaru untuk Acute Coronary Syndrome 2025,MIXED,Guideline / Evidence Lookup,11,1,1,0,True,True,False,True
Q282,Vasopressin analogues kontraindikasi pada Diabetes Insipidus dengan hypertension,ID,Safety / Contraindication,11,1,1,0,True,True,False,True
Q284,Proton pump inhibitors adverse effects monitoring in Peptic Ulcer Disease,EN,Safety / Contraindication,9,1,0,0,True,False,False,True
Q294,dosis titrasi Levothyroxine Hyperthyroidism toleransi pasien,MIXED,Dosing / Administration,12,1,0,0,True,False,False,True
Q313,indikasi Losartan pada Chronic Kidney Disease guideline terbaru,MIXED,Guideline / Evidence Lookup,9,1,0,0,True,False,False,True
Q320,is Bedaquiline safe in Tuberculosis with hepatic impairment,EN,Safety / Contraindication,8,1,1,0,True,True,False,True
Q329,algoritma terapi Major Depressive Disorder step up,ID,Management / Treatment Selection,8,1,0,0,True,False,False,True
Q338,Metronidazole vs Metronidazole in Inflammatory Bowel Disease patients,EN,Comparative Treatment Choice,7,1,1,0,True,True,False,True
Q343,obat HIV/AIDS lini pertama Penicillins,ID,Management / Treatment Selection,6,1,0,0,True,False,False,True
Q348,Ramipril side effect pada pasien Hypertension apa saja,MIXED,Safety / Contraindication,7,1,1,0,True,True,False,True
Q356,apakah Dapagliflozin aman untuk Chronic Kidney Disease dengan pregnancy,ID,Safety / Contraindication,8,1,0,0,True,False,False,True
Q362,tatalaksana ADHD panduan terbaru terbaru,ID,Guideline / Evidence Lookup,9,1,0,0,True,False,False,True
Q364,switch from Aspirin to Aspirin in Ischaemic Stroke,EN,Treatment Change / Escalation,10,1,1,0,True,True,False,True
Q365,Antimalarials in pregnancy and Typhoid Fever,EN,Safety / Contraindication,10,1,1,0,True,True,False,True
Q366,Venlafaxine long term outcomes Major Depressive Disorder,EN,Efficacy / Outcomes,12,1,1,0,True,True,False,True
Q373,add on therapy Stable Angina after Metoprolol failure,EN,Treatment Change / Escalation,8,1,1,0,True,True,False,True
Q376,Antimalarials role in Typhoid Fever pathophysiology,EN,Mechanism / Background Knowledge,9,1,1,0,True,True,False,True
Q379,kontraindikasi Prednisolone pada COPD dengan renal impairment,MIXED,Safety / Contraindication,12,1,0,0,True,False,False,True
Q383,SSRIs terbaru untuk ADHD 2023,MIXED,Guideline / Evidence Lookup,9,1,1,0,True,True,False,True
Q385,terapi profilaksis Tuberculosis dengan Isoniazid,ID,Prophylaxis / Maintenance,11,1,0,0,True,False,False,True
Q400,COPD pada anak dosis Salmeterol,ID,Dosing / Administration,8,1,1,0,True,True,False,True
Q405,algoritma terapi Parkinson Disease step up,ID,Management / Treatment Selection,10,1,0,0,True,False,False,True
Q417,Venlafaxine vs Venlafaxine untuk Major Depressive Disorder,ID,Comparative Treatment Choice,12,1,0,0,True,False,False,True
Q418,monitoring Xanthine oxidase inhibitors pada Psoriatic Arthritis parameter apa,MIXED,Monitoring / Response / Risk Assessment,12,1,1,0,True,True,False,True
Q422,kapan start Rivaroxaban di Deep Vein Thrombosis evidence terbaru terbaru,MIXED,Guideline / Evidence Lookup,6,1,0,0,True,False,False,True
Q424,monitoring parameters Prednisolone in COPD,EN,Monitoring / Response / Risk Assessment,10,1,0,0,True,False,False,True
Q430,Major Depressive Disorder dengan renal impairment penyesuaian dosis Venlafaxine,MIXED,Dosing / Administration,11,1,1,0,True,True,False,True
Q431,Proton pump inhibitors kontraindikasi pada Peptic Ulcer Disease dengan anaemia,ID,Safety / Contraindication,11,1,1,0,True,True,False,True
Q437,Parkinson Disease with elderly patients first line drug,EN,Management / Treatment Selection,10,1,1,0,True,True,False,True
