query_id,role,content_id,rank,grade,title,content_type,source_type,language,publication_year,word_count,disease_entity,icd10_code,molecule_entity,atc_code,drug_class_entity,atc_class,therapeutic_area
Q061,retrieved_top_3,C076,1.0,unjudged,Levetiracetam Drug Profile: Efficacy in Epilepsy,drug_profile,pharmacology_reference,MIXED,2024,837,Epilepsy,G40,Levetiracetam,N03AX14,Antiepileptics other,N03AX,Neurology
Q061,retrieved_top_3,C092,2.0,unjudged,Hasil Jangka Panjang Terapi Antiepileptics other pada Migraine,article,research_paper,ID,2025,2012,Migraine,G43,Topiramate,N03AX11,Antiepileptics other,N03AX,Neurology
Q061,retrieved_top_3,C080,3.0,unjudged,Treatment Intensification in Epilepsy: When and How,article,research_paper,EN,2025,996,Epilepsy,G40,Valproate,N03AG01,Fatty acid derivatives,N03AG,Neurology
Q061,expected_title_candidate,C076,1.0,unjudged,Levetiracetam Drug Profile: Efficacy in Epilepsy,drug_profile,pharmacology_reference,MIXED,2024,837,Epilepsy,G40,Levetiracetam,N03AX14,Antiepileptics other,N03AX,Neurology
Q061,strongest_observed_positive,C103,,3,Profil Keamanan Amoxicillin pada HIV/AIDS,article,research_paper,ID,2020,1334,HIV/AIDS,B20,Amoxicillin,J01CA04,Penicillins,J01CA,Infectious Disease
Q066,retrieved_top_3,C043,1.0,unjudged,Profil Obat Statins pada Acute Coronary Syndrome,drug_profile,drug_database,ID,2020,420,Acute Coronary Syndrome,I24,Rosuvastatin,C10AA07,Statins,C10AA,Cardiology
Q066,retrieved_top_3,C035,2.0,unjudged,Stable Angina in Special Populations: Practical Guidance,clinical_summary,hospital_protocol,EN,2022,782,Stable Angina,I20,Rosuvastatin,C10AA07,Statins,C10AA,Cardiology
Q066,retrieved_top_3,C039,3.0,unjudged,Switching Therapy in Stable Angina: A Step-by-Step Guide,clinical_summary,clinical_practice,EN,2023,642,Stable Angina,I20,Aspirin; Rosuvastatin,B01AC06; C10AA07,Platelet aggregation inhibitors; Statins,B01AC; C10AA,Cardiology
Q066,expected_title_candidate,C043,1.0,unjudged,Profil Obat Statins pada Acute Coronary Syndrome,drug_profile,drug_database,ID,2020,420,Acute Coronary Syndrome,I24,Rosuvastatin,C10AA07,Statins,C10AA,Cardiology
Q066,strongest_observed_positive,C212,,2,Profil Keamanan Alendronate pada Osteoporosis,article,journal,ID,2022,1976,Osteoporosis,M81,Alendronate,M05BA04,Bisphosphonates,M05BA,Rheumatology
Q101,retrieved_top_3,C099,1.0,unjudged,Panduan Praktis: Memulai Dolutegravir pada Malaria,clinical_summary,clinical_practice,ID,2020,312,Malaria,B50,Dolutegravir,J05AJ03,Integrase inhibitors,J05AJ,Infectious Disease
Q101,retrieved_top_3,C105,2.0,unjudged,Narrative Review: Current Evidence for Integrase inhibitors in Malaria,review,systematic_review,EN,2022,3768,Malaria,B50,Dolutegravir,J05AJ03,Integrase inhibitors,J05AJ,Infectious Disease
Q101,retrieved_top_3,C093,3.0,unjudged,Practical Guide: Initiating Tenofovir+Lamivudine in Urinary Tract Infection,clinical_summary,clinical_practice,EN,2021,680,Urinary Tract Infection,N39.0,Tenofovir+Lamivudine; Tenofovir+Lamivudine,J05AF; J05AF,NRTIs combination; NRTIs combination,J05AF; J05AF,Infectious Disease
Q101,expected_title_candidate,C099,1.0,unjudged,Panduan Praktis: Memulai Dolutegravir pada Malaria,clinical_summary,clinical_practice,ID,2020,312,Malaria,B50,Dolutegravir,J05AJ03,Integrase inhibitors,J05AJ,Infectious Disease
Q101,strongest_observed_positive,C255,,3,Practical Guide: Initiating Labetalol in Hypertension in Pregnancy,clinical_summary,hospital_protocol,EN,2025,384,Hypertension in Pregnancy,O10,Labetalol,C07AG01,Beta blockers non-selective,C07AG,Obstetrics
Q129,retrieved_top_3,C206,1.0,unjudged,Chronic Myeloid Leukaemia pada Populasi Khusus: Pendekatan Praktis,clinical_summary,clinical_practice,ID,2020,304,Chronic Myeloid Leukaemia,C92.1,Imatinib; Imatinib,L01EA01; L01EA01,BCR-ABL inhibitors; BCR-ABL inhibitors,L01EA; L01EA,Oncology
Q129,retrieved_top_3,C192,2.0,unjudged,National Guideline: Chronic Myeloid Leukaemia Diagnosis and Treatment,guideline,ministry_of_health,EN,2022,2794,Chronic Myeloid Leukaemia,C92.1,Imatinib,L01EA01,BCR-ABL inhibitors,L01EA,Oncology
Q129,retrieved_top_3,C185,3.0,unjudged,Dosis BCR-ABL inhibitors pada Chronic Myeloid Leukaemia: Referensi Cepat,clinical_summary,hospital_protocol,ID,2024,428,Chronic Myeloid Leukaemia,C92.1,Imatinib; Imatinib,L01EA01; L01EA01,BCR-ABL inhibitors; BCR-ABL inhibitors,L01EA; L01EA,Oncology
Q129,expected_title_candidate,C206,1.0,unjudged,Chronic Myeloid Leukaemia pada Populasi Khusus: Pendekatan Praktis,clinical_summary,clinical_practice,ID,2020,304,Chronic Myeloid Leukaemia,C92.1,Imatinib; Imatinib,L01EA01; L01EA01,BCR-ABL inhibitors; BCR-ABL inhibitors,L01EA; L01EA,Oncology
Q129,strongest_observed_positive,C010,,1,Dosis DPP-4 inhibitors pada Type 2 Diabetes Mellitus: Referensi Cepat,clinical_summary,hospital_protocol,ID,2025,654,Type 2 Diabetes Mellitus,E11,Sitagliptin,A10BH01,DPP-4 inhibitors,A10BH,Endocrinology
Q146,retrieved_top_3,C130,1.0,unjudged,Profil Keamanan Bedaquiline pada MDR Tuberculosis,article,journal,ID,2024,1668,MDR Tuberculosis,A15.0,Bedaquiline,J04AK05,Antituberculotics,J04AK,Pulmonology
Q146,retrieved_top_3,C117,2.0,unjudged,Safety Profile of Bedaquiline in MDR Tuberculosis,article,journal,EN,2025,2166,MDR Tuberculosis,A15.0,Bedaquiline; Bedaquiline,J04AK05; J04AK05,Antituberculotics; Antituberculotics,J04AK; J04AK,Pulmonology
Q146,retrieved_top_3,C120,3.0,unjudged,Safety Profile of Bedaquiline in MDR Tuberculosis,article,research_paper,EN,2024,1716,MDR Tuberculosis,A15.0,Bedaquiline,J04AK05,Antituberculotics,J04AK,Pulmonology
Q146,expected_title_candidate,C125,4.0,unjudged,Efficacy of Antituberculotics in MDR Tuberculosis: A Cohort Study,article,journal,MIXED,2024,1187,MDR Tuberculosis,A15.0,Bedaquiline,J04AK05,Antituberculotics,J04AK,Pulmonology
Q146,strongest_observed_positive,C112,,2,"Antimalarials: Mechanism, Indications, and Safety",drug_profile,pharmacology_reference,EN,2025,496,Typhoid Fever,A01.0,Artemether-lumefantrine; Artemether-lumefantrine,P01BF01; P01BF01,Antimalarials; Antimalarials,P01BF; P01BF,Infectious Disease
Q180,retrieved_top_3,C013,1.0,unjudged,Asia-Pacific Guideline: Type 1 Diabetes Mellitus in Primary Care 2023,guideline,who,EN,2023,2664,Type 1 Diabetes Mellitus,E10,Metformin; Insulin degludec,A10BA02; A10AE06,Biguanides; Basal insulins,A10BA; A10AE,Endocrinology
Q180,retrieved_top_3,C002,2.0,unjudged,Clinical Practice Guideline: Type 1 Diabetes Mellitus Management 2023,guideline,ministry_of_health,MIXED,2023,2901,Type 1 Diabetes Mellitus,E10,Insulin degludec,A10AE06,Basal insulins,A10AE,Endocrinology
Q180,retrieved_top_3,C008,3.0,unjudged,Treatment Intensification in Type 2 Diabetes Mellitus: When and How,article,research_paper,EN,2025,2272,Type 2 Diabetes Mellitus,E11,Sitagliptin,A10BH01,DPP-4 inhibitors,A10BH,Endocrinology
Q180,expected_title_candidate,C013,1.0,unjudged,Asia-Pacific Guideline: Type 1 Diabetes Mellitus in Primary Care 2023,guideline,who,EN,2023,2664,Type 1 Diabetes Mellitus,E10,Metformin; Insulin degludec,A10BA02; A10AE06,Biguanides; Basal insulins,A10BA; A10AE,Endocrinology
Q180,strongest_observed_positive,C196,,1,Scoping Review: Emerging Therapies in Colorectal Cancer 2024,review,meta_analysis,EN,2024,2373,Colorectal Cancer,C18,Nivolumab,L01FF01,PD-1 inhibitors,L01FF,Oncology
Q224,retrieved_top_3,C040,1.0,unjudged,Dose Adjustment of Atorvastatin in Renal and Hepatic Impairment,clinical_summary,clinical_practice,EN,2025,520,Stable Angina,I20,Atorvastatin,C10AA05,Statins,C10AA,Cardiology
Q224,retrieved_top_3,C236,2.0,unjudged,Dose Adjustment of Rivaroxaban in Renal and Hepatic Impairment,clinical_summary,clinical_practice,EN,2025,661,Deep Vein Thrombosis,I82,Rivaroxaban; Rivaroxaban,B01AF01; B01AF01,Factor Xa inhibitors; Factor Xa inhibitors,B01AF; B01AF,Haematology
Q224,retrieved_top_3,C084,3.0,unjudged,Dose Adjustment of Valproate in Renal and Hepatic Impairment,clinical_summary,hospital_protocol,MIXED,2023,331,Parkinson Disease,G20,Valproate,N03AG01,Fatty acid derivatives,N03AG,Neurology
Q224,expected_title_candidate,C028,9.0,unjudged,Practical Guide: Initiating Losartan in Hypertension,clinical_summary,clinical_practice,MIXED,2024,557,Hypertension,I10,Losartan; Amlodipine,C09CA01; C08CA01,ARBs; Calcium channel blockers,C09CA; C08CA,Cardiology
Q224,strongest_observed_positive,C046,,3,Treatment Intensification in Atrial Fibrillation: When and How,article,journal,MIXED,2023,1926,Atrial Fibrillation,I48,Amlodipine,C08CA01,Calcium channel blockers,C08CA,Cardiology
Q393,retrieved_top_3,C167,1.0,unjudged,Sertraline in ADHD: Real-World Outcomes,article,journal,EN,2023,1345,ADHD,F90,Sertraline,N06AB06,SSRIs,N06AB,Psychiatry
Q393,retrieved_top_3,C166,2.0,unjudged,Dosis SSRIs pada ADHD: Referensi Cepat,clinical_summary,hospital_protocol,ID,2024,717,ADHD,F90,Sertraline,N06AB06,SSRIs,N06AB,Psychiatry
Q393,retrieved_top_3,C173,3.0,unjudged,Escitalopram versus Sertraline in Major Depressive Disorder: Head-to-Head Comparison,article,research_paper,EN,2020,1670,Major Depressive Disorder,F32,Escitalopram; Sertraline,N06AB10; N06AB06,SSRIs; SSRIs,N06AB; N06AB,Psychiatry
Q393,expected_title_candidate,C166,2.0,unjudged,Dosis SSRIs pada ADHD: Referensi Cepat,clinical_summary,hospital_protocol,ID,2024,717,ADHD,F90,Sertraline,N06AB06,SSRIs,N06AB,Psychiatry
Q393,strongest_observed_positive,C005,,3,Liraglutide in Type 2 Diabetes Mellitus: Real-World Outcomes,article,journal,EN,2022,1065,Type 2 Diabetes Mellitus,E11,Liraglutide; Semaglutide,A10BJ02; A10BJ06,GLP-1 receptor agonists; GLP-1 receptor agonists,A10BJ; A10BJ,Endocrinology
Q393,assisted_intent_top_positive,C203,,2,Monitoring Parameters for CNS stimulants in Breast Cancer HER2-positive,clinical_summary,clinical_practice,MIXED,2023,380,Breast Cancer HER2-positive,C50,Methylphenidate,N06BA04,CNS stimulants,N06BA,Oncology
Q409,retrieved_top_3,C029,1.0,unjudged,Profil Obat ARBs pada Heart Failure,drug_profile,drug_database,ID,2020,755,Heart Failure,I50,Losartan; Ramipril,C09CA01; C09AA05,ARBs; ACE inhibitors,C09CA; C09AA,Cardiology
Q409,retrieved_top_3,C022,2.0,unjudged,Quick Reference: Vasopressin analogues Dosing in Diabetes Insipidus,clinical_summary,clinical_practice,MIXED,2024,369,Diabetes Insipidus,E23.2,Desmopressin,H01BA02,Vasopressin analogues,H01BA,Endocrinology
Q409,retrieved_top_3,C006,3.0,unjudged,"Methimazole: Pharmacology, Dosing, and Clinical Use in Hyperthyroidism",drug_profile,pharmacology_reference,EN,2023,493,Hyperthyroidism,E05,Methimazole,H03BB02,Antithyroid agents,H03BB,Endocrinology
Q409,expected_title_candidate,C034,20.0,unjudged,Spironolactone Real-World Evidence in Heart Failure: A Retrospective Study,article,research_paper,MIXED,2021,2413,Heart Failure,I50,Spironolactone,C03DA01,Aldosterone antagonists,C03DA,Cardiology
Q409,strongest_observed_positive,C054,,3,Efektivitas Loop diuretics pada Nephrotic Syndrome,article,journal,ID,2024,2321,Nephrotic Syndrome,N04,Furosemide,C03CA01,Loop diuretics,C03CA,Nephrology
Q435,retrieved_top_3,C096,1.0,unjudged,Drug Interactions: Artemether-lumefantrine in Typhoid Fever Patients,clinical_summary,hospital_protocol,EN,2022,546,Typhoid Fever,A01.0,Artemether-lumefantrine,P01BF01,Antimalarials,P01BF,Infectious Disease
Q435,retrieved_top_3,C116,2.0,unjudged,Dose Adjustment of Salmeterol in Renal and Hepatic Impairment,clinical_summary,clinical_practice,EN,2022,735,COPD,J44,Salmeterol,R03AC12,Long-acting beta2-agonists,R03AC,Pulmonology
Q435,retrieved_top_3,C236,3.0,unjudged,Dose Adjustment of Rivaroxaban in Renal and Hepatic Impairment,clinical_summary,clinical_practice,EN,2025,661,Deep Vein Thrombosis,I82,Rivaroxaban; Rivaroxaban,B01AF01; B01AF01,Factor Xa inhibitors; Factor Xa inhibitors,B01AF; B01AF,Haematology
Q435,expected_title_candidate,C096,1.0,unjudged,Drug Interactions: Artemether-lumefantrine in Typhoid Fever Patients,clinical_summary,hospital_protocol,EN,2022,546,Typhoid Fever,A01.0,Artemether-lumefantrine,P01BF01,Antimalarials,P01BF,Infectious Disease
Q435,strongest_observed_positive,C059,,3,Safety Profile of Empagliflozin in Chronic Kidney Disease,article,journal,EN,2022,876,Chronic Kidney Disease,N18,Empagliflozin,A10BK03,SGLT2 inhibitors,A10BK,Nephrology
