protocol,split,candidate,reference,delta_ndcg,lower,upper,improved,worsened,unchanged
query,test,H_modest_E_C:cue_repairs,H_modest_E_C:legacy,0.0,0.0,0.0,0,0,68
query,test,H_modest_E_C:explicit_only,H_modest_E_C:legacy,-0.0016048029547308306,-0.004814408864192493,0.0,0,1,67
query,test,H_modest_E_C:repaired_explicit,H_modest_E_C:legacy,-0.0016048029547308306,-0.004814408864192493,0.0,0,1,67
query_dedup,validation,BM25_E_C:cue_repairs,BM25_E_C:legacy,-0.001034047366177775,-0.003102142098533325,0.0,0,1,68
query_dedup,validation,BM25_E_C:explicit_only,BM25_E_C:legacy,-0.0019276529331177332,-0.0057829587993531995,0.0,0,1,68
query_dedup,validation,BM25_E_C:repaired_explicit,BM25_E_C:legacy,-0.004982910546514487,-0.014948731639543461,0.0,0,1,68
query_dedup,validation,H_E_C:cue_repairs,H_E_C:legacy,-0.001034047366177775,-0.003102142098533325,0.0,0,1,68
query_dedup,validation,H_E_C:explicit_only,H_E_C:legacy,-0.0019276529331177332,-0.0057829587993531995,0.0,0,1,68
query_dedup,validation,H_E_C:repaired_explicit,H_E_C:legacy,-0.004982910546514487,-0.014948731639543461,0.0,0,1,68
query_dedup,validation,H_E_C_I:cue_repairs,H_E_C_I:legacy,-0.002914815814158937,-0.008744447442476811,0.0,0,1,68
query_dedup,validation,H_E_C_I:explicit_only,H_E_C_I:legacy,-0.003948863180336712,-0.011846589541010135,0.0,0,1,68
query_dedup,validation,H_E_C_I:repaired_explicit,H_E_C_I:legacy,-0.007897726360673424,-0.02369317908202027,0.0,0,1,68
query_dedup,validation,H_modest_E_C:cue_repairs,H_modest_E_C:legacy,0.0,0.0,0.0,0,0,69
query_dedup,validation,H_modest_E_C:explicit_only,H_modest_E_C:legacy,-0.001581544940894152,-0.004744634822682456,0.0,0,1,68
query_dedup,validation,H_modest_E_C:repaired_explicit,H_modest_E_C:legacy,-0.001581544940894152,-0.004744634822682456,0.0,0,1,68
query_dedup,test,BM25_E_C:cue_repairs,BM25_E_C:legacy,0.0,0.0,0.0,0,0,68
query_dedup,test,BM25_E_C:explicit_only,BM25_E_C:legacy,-0.0008720421993716345,-0.0026161265981149034,0.0,0,1,67
query_dedup,test,BM25_E_C:repaired_explicit,BM25_E_C:legacy,-0.0008720421993716345,-0.0026161265981149034,0.0,0,1,67
query_dedup,test,H_E_C:cue_repairs,H_E_C:legacy,0.0,0.0,0.0,0,0,68
query_dedup,test,H_E_C:explicit_only,H_E_C:legacy,0.0,0.0,0.0,0,0,68
query_dedup,test,H_E_C:repaired_explicit,H_E_C:legacy,0.0,0.0,0.0,0,0,68
query_dedup,test,H_E_C_I:cue_repairs,H_E_C_I:legacy,-0.0009207586686406717,-0.002762276005922015,0.0,0,1,67
query_dedup,test,H_E_C_I:explicit_only,H_E_C_I:legacy,-0.0017581394298077618,-0.004437037528256195,0.0,0,2,66
query_dedup,test,H_E_C_I:repaired_explicit,H_E_C_I:legacy,-0.0017581394298077618,-0.004437037528256195,0.0,0,2,66
query_dedup,test,H_modest_E_C:cue_repairs,H_modest_E_C:legacy,0.0,0.0,0.0,0,0,68
query_dedup,test,H_modest_E_C:explicit_only,H_modest_E_C:legacy,0.0,0.0,0.0,0,0,68
query_dedup,test,H_modest_E_C:repaired_explicit,H_modest_E_C:legacy,0.0,0.0,0.0,0,0,68
