experiment,hypothesis,method,primary_metric,result,decision
R-SIGNED-penalties_only,explicit mismatch penalties improve hybrid with missing evidence neutral,"{'entity_bonus': 0.0, 'entity_penalty': 0.2, 'context_bonus': 0.0, 'context_penalty': 0.0}",NDCG@10,Validation=0.02610; test=0.01511,exploratory validation-selected weights
R-SIGNED-both,explicit mismatch penalties improve hybrid with missing evidence neutral,"{'entity_bonus': 0.2, 'entity_penalty': 0.2, 'context_bonus': 0.2, 'context_penalty': 0.0}",NDCG@10,Validation=0.02746; test=0.01393,exploratory validation-selected weights
R-EVIDENCE-AUDIT,evidence-source audit identifies extraction changes before further ranking tuning,all 845 records profiled; 60-record Codex review with random and targeted strata,evidence coverage and reviewed defects,128/399 content molecule annotations literally supported; 7 comparison and 10 renal title misses; 10 safety-question negation flags,repair demonstrated extraction gaps and separate evidence sources; no retrieval changes
R-REPAIR-BM25_E_C,explicit repaired context improves retrieval at frozen weights,BM25_E_C with v2 cues and explicit dosing/comparison evidence,NDCG@10,Validation=0.02966; test=0.01203,controlled exploratory repair comparison; weights unchanged
R-REPAIR-H_E_C,explicit repaired context improves retrieval at frozen weights,H_E_C with v2 cues and explicit dosing/comparison evidence,NDCG@10,Validation=0.02727; test=0.01105,controlled exploratory repair comparison; weights unchanged
R-REPAIR-H_E_C_I,explicit repaired context improves retrieval at frozen weights,H_E_C_I with v2 cues and explicit dosing/comparison evidence,NDCG@10,Validation=0.03146; test=0.01677,controlled exploratory repair comparison; weights unchanged
R-REPAIR-H_modest_E_C,explicit repaired context improves retrieval at frozen weights,H_modest_E_C with v2 cues and explicit dosing/comparison evidence,NDCG@10,Validation=0.02490; test=0.01682,controlled exploratory repair comparison; weights unchanged
R-REPAIRED-SIGNED-bonuses_only,repaired explicit context plus signed scoring improves hybrid retrieval,"{'entity_bonus': 0.2, 'entity_penalty': 0.0, 'context_bonus': 0.2, 'context_penalty': 0.0}",NDCG@10,Validation=0.02632; test=0.01511,exploratory validation-selected repaired signed configuration
R-REPAIRED-SIGNED-penalties_only,repaired explicit context plus signed scoring improves hybrid retrieval,"{'entity_bonus': 0.0, 'entity_penalty': 0.2, 'context_bonus': 0.0, 'context_penalty': 0.0}",NDCG@10,Validation=0.02610; test=0.01511,exploratory validation-selected repaired signed configuration
R-REPAIRED-SIGNED-both,repaired explicit context plus signed scoring improves hybrid retrieval,"{'entity_bonus': 0.2, 'entity_penalty': 0.2, 'context_bonus': 0.2, 'context_penalty': 0.0}",NDCG@10,Validation=0.02746; test=0.01393,exploratory validation-selected repaired signed configuration
R-INTENT-SIGNED-legacy-signed_plus_intent,intent improves hybrid retrieval with signed entity/context evidence,"{'entity_bonus': 0.2, 'entity_penalty': 0.2, 'context_bonus': 0.05, 'context_penalty': 0.0, 'intent_bonus': 0.5}",NDCG@10,Validation=0.03140; test=0.01770,exploratory validation-selected configuration; test previously inspected
R-INTENT-SIGNED-legacy-all_terms_nonzero,intent improves hybrid retrieval with signed entity/context evidence,"{'entity_bonus': 0.2, 'entity_penalty': 0.2, 'context_bonus': 0.05, 'context_penalty': 0.05, 'intent_bonus': 0.5}",NDCG@10,Validation=0.03140; test=0.01770,exploratory validation-selected configuration; test previously inspected
R-INTENT-SIGNED-repaired-signed_plus_intent,intent improves hybrid retrieval with signed entity/context evidence,"{'entity_bonus': 0.2, 'entity_penalty': 0.2, 'context_bonus': 0.05, 'context_penalty': 0.0, 'intent_bonus': 0.5}",NDCG@10,Validation=0.03140; test=0.01770,exploratory validation-selected configuration; test previously inspected
R-INTENT-SIGNED-repaired-all_terms_nonzero,intent improves hybrid retrieval with signed entity/context evidence,"{'entity_bonus': 0.2, 'entity_penalty': 0.2, 'context_bonus': 0.05, 'context_penalty': 0.05, 'intent_bonus': 0.5}",NDCG@10,Validation=0.03140; test=0.01770,exploratory validation-selected configuration; test previously inspected
R-VALUE-requested_exact-selected_signed_intent,per-value entities and tri-state context improve signed intent retrieval,"{'entity_bonus': 0.2, 'entity_penalty': 0.2, 'context_bonus': 0.05, 'context_penalty': 0.0, 'intent_bonus': 0.5}",NDCG@10,Validation=0.03115; test=0.01770,exploratory validation-selected value-aware configuration
R-VALUE-requested_exact-selected_all_terms,per-value entities and tri-state context improve signed intent retrieval,"{'entity_bonus': 0.2, 'entity_penalty': 0.2, 'context_bonus': 0.05, 'context_penalty': 0.05, 'intent_bonus': 0.5}",NDCG@10,Validation=0.03115; test=0.01770,exploratory validation-selected value-aware configuration
R-VALUE-symmetric_exact-selected_signed_intent,per-value entities and tri-state context improve signed intent retrieval,"{'entity_bonus': 0.2, 'entity_penalty': 0.2, 'context_bonus': 0.05, 'context_penalty': 0.0, 'intent_bonus': 0.5}",NDCG@10,Validation=0.02999; test=0.01900,exploratory validation-selected value-aware configuration
R-VALUE-symmetric_exact-selected_all_terms,per-value entities and tri-state context improve signed intent retrieval,"{'entity_bonus': 0.2, 'entity_penalty': 0.2, 'context_bonus': 0.05, 'context_penalty': 0.05, 'intent_bonus': 0.5}",NDCG@10,Validation=0.02999; test=0.01900,exploratory validation-selected value-aware configuration
R-I0,Phase 11 structured hybrid is a stable no-intent comparator,"Frozen R-E6 mean(BM25, dense, entities, context)",NDCG@10,Validation=0.02727; test=0.01105,Phase 12 baseline; no retuning
R-I1,runtime predicted intent improves ranking,R-I0 + 0.250 * predicted hard intent compatibility,NDCG@10,Validation=0.03146; test=0.01851,primary deployable comparison; weight selected on validation; test descriptive
R-I1-SOFT,intent uncertainty improves ranking robustness,R-I0 + 0.025 * probability-weighted intent compatibility,NDCG@10,Validation=0.03084; test=0.01115,uncertainty-aware diagnostic; weaker validation result
R-I2,assisted reference intent improves ranking,R-I0 + 0.250 * assisted intent compatibility,NDCG@10,Validation=0.03146; test=0.01940,reference-label ceiling diagnostic; not deployable
R-SLICE-STRUCTURE,structured query decomposition helps more as compositional complexity increases,paired R-E2 minus R-B0 temporal-test NDCG@10 by exclusive context-count slice,slice delta NDCG@10,No constraints=+0.00389 (n=57); One constraint=-0.00052 (n=41); Multiple constraints=+0.02509 (n=12),not supported; no monotonic gain and sparse high-complexity slice
R-SLICE-INTENT,intent helps most where information need implies a preferred content type,paired predicted-intent minus R-E6 temporal-test NDCG@10 by intent group,slice delta NDCG@10,Available preferred-content-type intents=+0.01418 (n=61); Other observed intents=-0.00090 (n=49),directionally consistent but intent-specific; not a global claim
R-FAIL-FINAL,remaining final-ranker errors have interpretable and distinct causes,12-case authored review of frozen Phase 12 predicted-intent temporal-test misses,qualitative failure evidence,12 reviewed proxy misses; 2 explicitly expose proxy-label failure,"use for diagnosis only; prioritize adjudication, conjunction-aware scoring, and corpus coverage"
