query_id_a,intent_a,query_text_a,query_id_b,intent_b,query_text_b,cosine_similarity,review_decision,boundary_basis,reviewer_scope
Q331,Dosing / Administration,Osteoporosis dengan renal impairment penyesuaian dosis Alendronate,Q379,Safety / Contraindication,kontraindikasi Prednisolone pada COPD dengan renal impairment,0.943,boundary retained,primary information-need cue and likely preferred content differ,single-analyst taxonomy review; not independent clinician gold annotation
Q346,Dosing / Administration,Chronic Kidney Disease dengan renal impairment penyesuaian dosis Losartan,Q379,Safety / Contraindication,kontraindikasi Prednisolone pada COPD dengan renal impairment,0.943,boundary retained,primary information-need cue and likely preferred content differ,single-analyst taxonomy review; not independent clinician gold annotation
Q380,Dosing / Administration,Type 2 Diabetes Mellitus dengan renal impairment penyesuaian dosis Liraglutide,Q379,Safety / Contraindication,kontraindikasi Prednisolone pada COPD dengan renal impairment,0.943,boundary retained,primary information-need cue and likely preferred content differ,single-analyst taxonomy review; not independent clinician gold annotation
Q427,Safety / Contraindication,kontraindikasi Lansoprazole pada Pulmonary Embolism dengan renal impairment,Q148,Dosing / Administration,MDR Tuberculosis dengan renal impairment penyesuaian dosis Bedaquiline,0.943,boundary retained,primary information-need cue and likely preferred content differ,single-analyst taxonomy review; not independent clinician gold annotation
Q430,Dosing / Administration,Major Depressive Disorder dengan renal impairment penyesuaian dosis Venlafaxine,Q379,Safety / Contraindication,kontraindikasi Prednisolone pada COPD dengan renal impairment,0.943,boundary retained,primary information-need cue and likely preferred content differ,single-analyst taxonomy review; not independent clinician gold annotation
Q013,Safety / Contraindication,kontraindikasi Bedaquiline pada Tuberculosis dengan anaemia,Q111,Dosing / Administration,Erythropoietin contraindication in Iron Deficiency Anaemia with anaemia,0.9376,boundary retained,primary information-need cue and likely preferred content differ,single-analyst taxonomy review; not independent clinician gold annotation
Q336,Dosing / Administration,Lithium contraindication in Bipolar Disorder with anaemia,Q013,Safety / Contraindication,kontraindikasi Bedaquiline pada Tuberculosis dengan anaemia,0.9376,boundary retained,primary information-need cue and likely preferred content differ,single-analyst taxonomy review; not independent clinician gold annotation
Q434,Dosing / Administration,Rosuvastatin contraindication in Acute Coronary Syndrome with anaemia,Q013,Safety / Contraindication,kontraindikasi Bedaquiline pada Tuberculosis dengan anaemia,0.9376,boundary retained,primary information-need cue and likely preferred content differ,single-analyst taxonomy review; not independent clinician gold annotation
Q033,Safety / Contraindication,dosis Semaglutide pada Obesity pasien hypertension aman tidak,Q130,Dosing / Administration,Bisoprolol dosing in Heart Failure with hypertension,0.9361,boundary retained,primary information-need cue and likely preferred content differ,single-analyst taxonomy review; not independent clinician gold annotation
Q187,Safety / Contraindication,dosis Venlafaxine pada Major Depressive Disorder pasien hypertension aman tidak,Q130,Dosing / Administration,Bisoprolol dosing in Heart Failure with hypertension,0.9361,boundary retained,primary information-need cue and likely preferred content differ,single-analyst taxonomy review; not independent clinician gold annotation
Q288,Safety / Contraindication,apakah Trastuzumab aman untuk Non-Small Cell Lung Cancer dengan hypertension,Q133,Dosing / Administration,Omeprazole contraindication in Peptic Ulcer Disease with hypertension,0.9075,boundary retained,primary information-need cue and likely preferred content differ,single-analyst taxonomy review; not independent clinician gold annotation
Q354,Safety / Contraindication,apakah Topiramate aman untuk Migraine dengan hypertension,Q133,Dosing / Administration,Omeprazole contraindication in Peptic Ulcer Disease with hypertension,0.9075,boundary retained,primary information-need cue and likely preferred content differ,single-analyst taxonomy review; not independent clinician gold annotation
Q291,Management / Treatment Selection,Peptic Ulcer Disease dengan hypertension pilihan terapi,Q333,Safety / Contraindication,kontraindikasi Diazepam pada Febrile Seizure dengan hypertension,0.9051,boundary retained,primary information-need cue and likely preferred content differ,single-analyst taxonomy review; not independent clinician gold annotation
Q175,Dosing / Administration,Warfarin dosing in Atrial Fibrillation with CKD,Q300,Safety / Contraindication,dosis Apixaban pada Community-acquired Pneumonia pasien CKD aman tidak,0.9006,boundary retained,primary information-need cue and likely preferred content differ,single-analyst taxonomy review; not independent clinician gold annotation
Q046,Management / Treatment Selection,kapan mulai terapi Adalimumab pada Gout,Q109,Guideline / Evidence Lookup,kapan start Levetiracetam di Epilepsy evidence terbaru terbaru,0.8984,boundary retained,primary information-need cue and likely preferred content differ,single-analyst taxonomy review; not independent clinician gold annotation
Q123,Management / Treatment Selection,kapan mulai terapi Rivaroxaban pada Deep Vein Thrombosis,Q109,Guideline / Evidence Lookup,kapan start Levetiracetam di Epilepsy evidence terbaru terbaru,0.8984,boundary retained,primary information-need cue and likely preferred content differ,single-analyst taxonomy review; not independent clinician gold annotation
Q172,Management / Treatment Selection,kapan mulai terapi Aspirin pada Stable Angina,Q109,Guideline / Evidence Lookup,kapan start Levetiracetam di Epilepsy evidence terbaru terbaru,0.8984,boundary retained,primary information-need cue and likely preferred content differ,single-analyst taxonomy review; not independent clinician gold annotation
Q218,Management / Treatment Selection,kapan mulai terapi Methimazole pada Hyperthyroidism,Q109,Guideline / Evidence Lookup,kapan start Levetiracetam di Epilepsy evidence terbaru terbaru,0.8984,boundary retained,primary information-need cue and likely preferred content differ,single-analyst taxonomy review; not independent clinician gold annotation
Q245,Management / Treatment Selection,kapan mulai terapi Pembrolizumab pada Non-Small Cell Lung Cancer,Q109,Guideline / Evidence Lookup,kapan start Levetiracetam di Epilepsy evidence terbaru terbaru,0.8984,boundary retained,primary information-need cue and likely preferred content differ,single-analyst taxonomy review; not independent clinician gold annotation
Q332,Management / Treatment Selection,kapan mulai terapi Desmopressin pada Diabetes Insipidus,Q109,Guideline / Evidence Lookup,kapan start Levetiracetam di Epilepsy evidence terbaru terbaru,0.8984,boundary retained,primary information-need cue and likely preferred content differ,single-analyst taxonomy review; not independent clinician gold annotation
Q371,Guideline / Evidence Lookup,kapan start Losartan di Hypertension evidence terbaru terbaru,Q046,Management / Treatment Selection,kapan mulai terapi Adalimumab pada Gout,0.8984,boundary retained,primary information-need cue and likely preferred content differ,single-analyst taxonomy review; not independent clinician gold annotation
Q410,Management / Treatment Selection,kapan mulai terapi Alteplase pada Ischaemic Stroke,Q109,Guideline / Evidence Lookup,kapan start Levetiracetam di Epilepsy evidence terbaru terbaru,0.8984,boundary retained,primary information-need cue and likely preferred content differ,single-analyst taxonomy review; not independent clinician gold annotation
Q422,Guideline / Evidence Lookup,kapan start Rivaroxaban di Deep Vein Thrombosis evidence terbaru terbaru,Q046,Management / Treatment Selection,kapan mulai terapi Adalimumab pada Gout,0.8984,boundary retained,primary information-need cue and likely preferred content differ,single-analyst taxonomy review; not independent clinician gold annotation
