group_type,group_name,n_queries,top_unigrams_and_bigrams,top_unigrams,top_bigrams,representative_query_ids,representative_queries
semantic_cluster,10,33,dosis medicine; dosis; loading dose; loading; medicine loading; emergency; disease emergency; anak; disease anak; anak dosis; dose; medicine disease,dosis; loading; emergency; anak; dose; berapa; pediatric; dosing,dosis medicine; loading dose; medicine loading; disease emergency; disease anak; anak dosis; medicine disease; dose disease,Q349; Q115; Q429; Q165; Q181,dosis Liraglutide untuk pasien Obesity || dosis Artemether-lumefantrine untuk pasien Typhoid Fever || dosis Dupilumab untuk pasien Disseminated Intravascular Coagulation || dosis Escitalopram untuk pasien ADHD || dosis Alteplase untuk pasien Ischaemic Stroke
semantic_cluster,11,11,step; step up; up; disease step; algoritma terapi; algoritma; terapi disease; terapi,step; up; algoritma; terapi,step up; disease step; algoritma terapi; terapi disease,Q405; Q389; Q329; Q280; Q217,algoritma terapi Parkinson Disease step up || algoritma terapi Pulmonary Embolism step up || algoritma terapi Major Depressive Disorder step up || algoritma terapi Malaria step up || algoritma terapi Heart Failure step up
semantic_cluster,12,7,anaemia; disease anaemia; medicine contraindication; contraindication disease; contraindication; kontraindikasi; kontraindikasi medicine; drugclass kontraindikasi; kontraindikasi disease; safe disease; medicine safe; safe,anaemia; contraindication; kontraindikasi; safe; apakah; aman,disease anaemia; medicine contraindication; contraindication disease; kontraindikasi medicine; drugclass kontraindikasi; kontraindikasi disease; safe disease; medicine safe,Q434; Q336; Q111; Q013; Q078,Rosuvastatin contraindication in Acute Coronary Syndrome with anaemia || Lithium contraindication in Bipolar Disorder with anaemia || Erythropoietin contraindication in Iron Deficiency Anaemia with anaemia || kontraindikasi Bedaquiline pada Tuberculosis dengan anaemia || apakah Risperidone aman untuk Schizophrenia dengan anaemia
semantic_cluster,13,4,atrial; disease atrial; fibrillation; atrial fibrillation; pilihan terapi; medicine dosing; dosing disease; kontraindikasi medicine; dosing; safe; safe disease; medicine safe,atrial; fibrillation; dosing; safe; pilihan; kontraindikasi; terapi,disease atrial; atrial fibrillation; pilihan terapi; medicine dosing; dosing disease; kontraindikasi medicine; safe disease; medicine safe,Q026; Q457; Q211; Q480,kontraindikasi Labetalol pada Hypertension in Pregnancy dengan atrial fibrillation || is Nivolumab safe in Non-Small Cell Lung Cancer with atrial fibrillation || Tuberculosis dengan atrial fibrillation pilihan terapi || Venlafaxine dosing in Major Depressive Disorder with atrial fibrillation
semantic_cluster,14,20,pregnancy; drugclass pregnancy; pregnancy disease; disease pregnancy; hamil; hamil disease; medicine ibu; ibu hamil; ibu; pregnancy pilihan; pregnancy first; drug,pregnancy; hamil; ibu; drug; pilihan; aman; first; line,drugclass pregnancy; pregnancy disease; disease pregnancy; hamil disease; medicine ibu; ibu hamil; pregnancy pilihan; pregnancy first,Q307; Q365; Q037; Q157; Q203,Fluoroquinolones in pregnancy and HIV/AIDS || Antimalarials in pregnancy and Typhoid Fever || SSRIs in pregnancy and ADHD || Benzodiazepines in pregnancy and Febrile Seizure || Corticosteroids in pregnancy and Sepsis
final_taxonomy_class,Management / Treatment Selection,58,terapi; drug; terapi disease; pilihan; line; first; first line; algoritma; disease step; algoritma terapi; up; step up,terapi; drug; pilihan; line; first; algoritma; up; step,terapi disease; first line; disease step; algoritma terapi; step up; line drug; when start; drug terbaik,Q332; Q245; Q046; Q123; Q410,kapan mulai terapi Desmopressin pada Diabetes Insipidus || kapan mulai terapi Pembrolizumab pada Non-Small Cell Lung Cancer || kapan mulai terapi Adalimumab pada Gout || kapan mulai terapi Rivaroxaban pada Deep Vein Thrombosis || kapan mulai terapi Alteplase pada Ischaemic Stroke
final_taxonomy_class,Dosing / Administration,99,dosis; dosis medicine; dose; dose disease; impairment; medicine disease; impairment dose; medicine hepatic; hepatic; hepatic impairment; adjustment; renal,dosis; dose; impairment; hepatic; adjustment; renal; emergency; loading,dosis medicine; dose disease; medicine disease; impairment dose; medicine hepatic; hepatic impairment; loading dose; disease emergency,Q241; Q181; Q349; Q359; Q264,dosis Dupilumab untuk pasien Psoriasis || dosis Alteplase untuk pasien Ischaemic Stroke || dosis Liraglutide untuk pasien Obesity || dosis Adalimumab untuk pasien Systemic Lupus Erythematosus || dosis Levothyroxine untuk pasien Hypothyroidism
final_taxonomy_class,Safety / Contraindication,73,kontraindikasi; pregnancy; kontraindikasi medicine; pregnancy disease; drugclass pregnancy; medicine safe; safe disease; safe; side effect; side; saja; effect disease,kontraindikasi; pregnancy; safe; side; saja; effect; aman; hypertension,kontraindikasi medicine; pregnancy disease; drugclass pregnancy; medicine safe; safe disease; side effect; effect disease; disease saja,Q253; Q467; Q330; Q267; Q386,Imatinib side effect pada pasien Chronic Myeloid Leukaemia apa saja || Artemether-lumefantrine side effect pada pasien Typhoid Fever apa saja || Lithium side effect pada pasien Bipolar Disorder apa saja || Adalimumab side effect pada pasien Gout apa saja || Zinc side effect pada pasien Stunting / Malnutrition apa saja
final_taxonomy_class,Interaction / Combination,24,medicine medicine; medicine disease; interaksi; interaksi obat; obat medicine; therapy; obat; combination; combination therapy; medicine combination; disease aman; kombinasi medicine,interaksi; therapy; obat; combination; kombinasi; tidak; aman; interaction,medicine medicine; medicine disease; interaksi obat; obat medicine; combination therapy; medicine combination; disease aman; kombinasi medicine,Q003; Q201; Q403; Q018; Q032,interaksi obat Nivolumab dan Nivolumab pada Colorectal Cancer || interaksi obat Semaglutide dan Liraglutide pada Obesity || interaksi obat Artemether-lumefantrine dan Artemether-lumefantrine pada Typhoid Fever || interaksi obat Losartan dan Empagliflozin pada Chronic Kidney Disease || interaksi obat Ramipril dan Spironolactone pada Heart Failure
final_taxonomy_class,Comparative Treatment Choice,23,medicine vs; vs medicine; vs; medicine disease; efektif; mana; mana lebih; lebih; disease mana; lebih efektif; medicine efficacy; efficacy disease,vs; efektif; mana; lebih; efficacy,medicine vs; vs medicine; medicine disease; mana lebih; disease mana; lebih efektif; medicine efficacy; efficacy disease,Q170; Q338; Q112; Q114; Q285,Magnesium sulphate vs Magnesium sulphate in Preeclampsia patients || Metronidazole vs Metronidazole in Inflammatory Bowel Disease patients || Alteplase vs Aspirin in Ischaemic Stroke patients || Colchicine vs Colchicine in Psoriatic Arthritis patients || Olanzapine vs Lithium in Bipolar Disorder patients
final_taxonomy_class,Monitoring / Response / Risk Assessment,40,monitoring; monitoring parameters; parameters; parameters medicine; drugclass disease; parameter; disease parameter; monitoring drugclass; approach; disease risk; risk stratification; stratification approach,monitoring; parameters; parameter; approach; stratification; risk; effects; adverse,monitoring parameters; parameters medicine; drugclass disease; disease parameter; monitoring drugclass; disease risk; risk stratification; stratification approach,Q276; Q301; Q493; Q064; Q066,monitoring parameters Atorvastatin in Acute Coronary Syndrome || monitoring parameters Topiramate in Epilepsy || monitoring parameters Isoniazid in Tuberculosis || monitoring parameters Methyldopa in Hypertension in Pregnancy || monitoring parameters Rosuvastatin in Acute Coronary Syndrome
final_taxonomy_class,Efficacy / Outcomes,20,term outcomes; long term; outcomes disease; outcomes; long; medicine long; term; clinical; clinical outcome; data; outcome data; outcome,outcomes; long; term; clinical; data; outcome; efficacy,term outcomes; long term; outcomes disease; medicine long; clinical outcome; outcome data; disease clinical; efficacy disease,Q491; Q357; Q047; Q048; Q070,Empagliflozin long term outcomes Chronic Kidney Disease || Pembrolizumab long term outcomes Non-Small Cell Lung Cancer || Tiotropium long term outcomes COPD || Ibuprofen long term outcomes Systemic Lupus Erythematosus || Furosemide long term outcomes Nephrotic Syndrome
final_taxonomy_class,Guideline / Evidence Lookup,59,terbaru; guideline; drugclass terbaru; terbaru disease; evidence; management; disease management; latest; disease guideline; panduan; 2023; disease terbaru,terbaru; guideline; evidence; management; latest; panduan; 2023; 2022,drugclass terbaru; terbaru disease; disease management; disease guideline; disease terbaru; indikasi medicine; guideline terbaru; latest disease,Q469; Q023; Q445; Q156; Q372,indikasi Bedaquiline pada MDR Tuberculosis guideline terbaru || indikasi Sitagliptin pada Type 2 Diabetes Mellitus guideline terbaru || indikasi Losartan pada Heart Failure guideline terbaru || indikasi Tenofovir+Lamivudine pada Urinary Tract Infection guideline terbaru || indikasi Semaglutide pada Type 2 Diabetes Mellitus guideline terbaru
final_taxonomy_class,Treatment Change / Escalation,44,switch; switch medicine; medicine medicine; medicine disease; medicine ke; ke; ke medicine; on; add; add on; failure; progresif,switch; ke; on; add; failure; progresif; after; therapy,switch medicine; medicine medicine; medicine disease; medicine ke; ke medicine; add on; disease progresif; medicine failure,Q298; Q428; Q093; Q167; Q341,penggantian Apixaban ke Rivaroxaban pada Deep Vein Thrombosis || penggantian Sertraline ke Venlafaxine pada Major Depressive Disorder || penggantian Ezetimibe ke Amlodipine pada Acute Coronary Syndrome || penggantian Omeprazole ke Lansoprazole pada Peptic Ulcer Disease || switch from Clopidogrel to Rosuvastatin in Stable Angina
final_taxonomy_class,Prophylaxis / Maintenance,31,prophylaxis; disease medicine; kapan; medicine indication; prophylaxis medicine; disease prophylaxis; indication; medicine kapan; prophylaxis disease; kapan bisa; dihentikan; bisa dihentikan,prophylaxis; kapan; indication; dihentikan; bisa; profilaksis; maintenance; sudah,disease medicine; medicine indication; prophylaxis medicine; disease prophylaxis; medicine kapan; prophylaxis disease; kapan bisa; bisa dihentikan,Q459; Q072; Q443; Q100; Q423,prophylaxis Gout Adalimumab kapan bisa dihentikan || prophylaxis Typhoid Fever Artemether-lumefantrine kapan bisa dihentikan || prophylaxis Schizophrenia Risperidone kapan bisa dihentikan || prophylaxis Ischaemic Stroke Alteplase kapan bisa dihentikan || prophylaxis Hypertension in Pregnancy Methyldopa kapan bisa dihentikan
final_taxonomy_class,Mechanism / Background Knowledge,29,drugclass mechanism; mechanism; action; action disease; mechanism action; pathophysiology; role disease; role; disease pathophysiology; drugclass role; cara; disease bagaimana,mechanism; action; pathophysiology; role; cara; bagaimana; kerjanya,drugclass mechanism; action disease; mechanism action; role disease; disease pathophysiology; drugclass role; disease bagaimana; bagaimana cara,Q474; Q234; Q049; Q137; Q472,Antituberculotics mechanism untuk Tuberculosis bagaimana cara kerjanya || PD-1 inhibitors mechanism untuk Non-Small Cell Lung Cancer bagaimana cara kerjanya || Calcium channel blockers mechanism untuk Atrial Fibrillation bagaimana cara kerjanya || ARBs mechanism untuk Heart Failure bagaimana cara kerjanya || ARBs mechanism untuk Hypertension bagaimana cara kerjanya
