query_id,query_text,language,intent_text,cluster_id,liang_final_intent,liang_top_probability,liang_second_intent,liang_second_probability,liang_probability_margin,attention_semantic,attention_sentence_tfidf,attention_class_centroid_tfidf,anchor_rule_intent,matched_candidate_intents,n_anchor_matches,used_as_weak_anchor,prototype_top_intent,prototype_top_score,prototype_second_intent,prototype_second_score,ambiguity_margin,margin_is_calibrated_confidence,similarity_management_treatment,similarity_diagnosis_differential_diagnosis,similarity_work_up_test_selection,similarity_test_clinical_data_interpretation,similarity_pharmacotherapy,similarity_evidence_guideline_lookup,similarity_procedures_techniques,similarity_epidemiology_prognosis,similarity_patient_communication_education,similarity_other_ambiguous
Q011,Psoriasis dengan renal impairment penyesuaian dosis Tacrolimus topical,MIXED,disease dengan renal impairment penyesuaian dosis medicine,1,Dosing / Administration,0.93447703,Safety / Contraindication,0.026299171,0.90817785,0.12735051,0.38163197,0.49101758,Dosing / Administration,Dosing / Administration,1,True,Epidemiology / Prognosis,0.3254621,Pharmacotherapy,0.31451082,0.010951281,False,0.248229,0.281574,0.172108,0.30487,0.314511,0.272935,0.225793,0.325462,0.273432,0.003097
Q012,Artemether-lumefantrine pada pasien elderly Typhoid Fever apa perlu adjustment,MIXED,medicine pada pasien elderly disease apa perlu adjustment,8,Dosing / Administration,0.92477244,Safety / Contraindication,0.034303326,0.89046913,0.09765041,0.3836799,0.51866966,Dosing / Administration,Dosing / Administration,1,True,Management / Treatment,0.4471611,Patient Communication / Education,0.43528968,0.011871427,False,0.447161,0.201959,0.203671,0.27731,0.417105,0.420793,0.425101,0.387648,0.43529,0.049074
Q013,kontraindikasi Bedaquiline pada Tuberculosis dengan anaemia,MIXED,kontraindikasi medicine pada disease dengan anaemia,12,Safety / Contraindication,0.8616851,Dosing / Administration,0.034556855,0.82712823,0.05406603,0.2873255,0.6586085,Safety / Contraindication,Safety / Contraindication,1,True,Diagnosis / Differential Diagnosis,0.426436,Test / Clinical Data Interpretation,0.38258734,0.043848664,False,0.325358,0.426436,0.245706,0.382587,0.344367,0.3709,0.257359,0.359643,0.280924,0.073408
Q014,Malaria pediatric dosing Tenofovir disoproxil,EN,disease pediatric dosing medicine,10,Dosing / Administration,0.46515778,Safety / Contraindication,0.36602956,0.09912822,0.13818632,0.31531486,0.54649884,Dosing / Administration,Dosing / Administration,1,True,Pharmacotherapy,0.39037088,Evidence / Guideline Lookup,0.3580201,0.03235078,False,0.287668,0.264299,0.188446,0.311853,0.390371,0.35802,0.321095,0.315835,0.226708,-0.022429
Q015,Peptic Ulcer Disease prophylaxis Lansoprazole indication,EN,disease prophylaxis medicine indication,0,Prophylaxis / Maintenance,0.98185766,Dosing / Administration,0.0056586284,0.97619903,0.10218652,0.6636613,0.23415214,Prophylaxis / Maintenance,Prophylaxis / Maintenance; Management / Treatment Selection,2,True,Diagnosis / Differential Diagnosis,0.48598784,Epidemiology / Prognosis,0.41643748,0.069550365,False,0.317798,0.485988,0.212731,0.38313,0.282958,0.371821,0.286917,0.416437,0.32907,0.010429
Q016,is Bortezomib safe in Rheumatoid Arthritis with renal impairment,EN,is medicine safe in disease with renal impairment,1,Safety / Contraindication,0.88405836,Dosing / Administration,0.041609846,0.84244853,0.09786671,0.26063073,0.64150256,Safety / Contraindication,Safety / Contraindication,1,True,Pharmacotherapy,0.3607349,Epidemiology / Prognosis,0.31709737,0.043637544,False,0.262886,0.242748,0.189404,0.257575,0.360735,0.27408,0.229396,0.317097,0.275795,0.065024
Q017,PD-1 inhibitors mechanism untuk Colorectal Cancer bagaimana cara kerjanya,MIXED,drugclass mechanism untuk disease bagaimana cara kerjanya,6,Mechanism / Background Knowledge,0.96171975,Prophylaxis / Maintenance,0.009412251,0.9523075,0.15438461,0.42697334,0.418642,Mechanism / Background Knowledge,Mechanism / Background Knowledge,1,True,Pharmacotherapy,0.48622504,Test / Clinical Data Interpretation,0.29653132,0.18969372,False,0.286505,0.268812,0.208812,0.296531,0.486225,0.202821,0.183406,0.261964,0.28767,0.082469
Q018,interaksi obat Losartan dan Empagliflozin pada Chronic Kidney Disease,ID,interaksi obat medicine dan medicine pada disease,0,Interaction / Combination,0.9658287,Safety / Contraindication,0.0093598245,0.9564689,0.059179965,0.17512545,0.76569456,Interaction / Combination,Interaction / Combination,1,True,Pharmacotherapy,0.56351763,Patient Communication / Education,0.382504,0.18101364,False,0.372536,0.295362,0.232078,0.35834,0.563518,0.299618,0.348382,0.361048,0.382504,0.068566
Q019,Rheumatoid Arthritis dengan renal impairment penyesuaian dosis Bortezomib,MIXED,disease dengan renal impairment penyesuaian dosis medicine,1,Dosing / Administration,0.93447703,Safety / Contraindication,0.026299171,0.90817785,0.12735051,0.38163197,0.49101758,Dosing / Administration,Dosing / Administration,1,True,Epidemiology / Prognosis,0.3254621,Pharmacotherapy,0.31451082,0.010951281,False,0.248229,0.281574,0.172108,0.30487,0.314511,0.272935,0.225793,0.325462,0.273432,0.003097
Q020,latest Malaria management guidelines 2025,EN,latest disease management guidelines 2025,0,Guideline / Evidence Lookup,0.92699105,Management / Treatment Selection,0.03833121,0.88865983,0.21537267,0.2558986,0.5287287,Guideline / Evidence Lookup,Guideline / Evidence Lookup,1,True,Management / Treatment,0.5440733,Evidence / Guideline Lookup,0.5188918,0.025181472,False,0.544073,0.414244,0.430927,0.436246,0.428217,0.518892,0.431184,0.518356,0.396172,0.200957
Q021,dosis titrasi Tenofovir disoproxil Malaria toleransi pasien,MIXED,dosis titrasi medicine disease toleransi pasien,5,Dosing / Administration,0.91047275,Safety / Contraindication,0.041970864,0.8685019,0.11794164,0.30305544,0.5790029,Dosing / Administration,Dosing / Administration,1,True,Epidemiology / Prognosis,0.39480203,Pharmacotherapy,0.3898939,0.0049081445,False,0.349012,0.325368,0.193371,0.275941,0.389894,0.343839,0.283977,0.394802,0.315215,-0.001069
Q022,resistensi Methyldopa pada Hypertension in Pregnancy alternatif Methyldopa,ID,resistensi medicine pada disease alternatif medicine,0,Treatment Change / Escalation,0.93789786,Dosing / Administration,0.030666366,0.9072315,0.051295042,0.22648612,0.7222189,Treatment Change / Escalation,Treatment Change / Escalation,1,True,Pharmacotherapy,0.41444623,Epidemiology / Prognosis,0.35917714,0.055269092,False,0.326603,0.277037,0.207236,0.322361,0.414446,0.347899,0.305079,0.359177,0.301297,0.09555
Q023,indikasi Sitagliptin pada Type 2 Diabetes Mellitus guideline terbaru,MIXED,indikasi medicine pada disease guideline terbaru,0,Guideline / Evidence Lookup,0.9326238,Management / Treatment Selection,0.033688597,0.8989352,0.09947687,0.3768578,0.52366537,Guideline / Evidence Lookup,Guideline / Evidence Lookup; Management / Treatment Selection,2,True,Evidence / Guideline Lookup,0.56445384,Diagnosis / Differential Diagnosis,0.5608883,0.0035655499,False,0.507323,0.560888,0.357313,0.531261,0.512631,0.564454,0.425113,0.54769,0.486233,0.147116
Q024,Gout dengan renal impairment penyesuaian dosis Adalimumab,MIXED,disease dengan renal impairment penyesuaian dosis medicine,1,Dosing / Administration,0.93447703,Safety / Contraindication,0.026299171,0.90817785,0.12735051,0.38163197,0.49101758,Dosing / Administration,Dosing / Administration,1,True,Epidemiology / Prognosis,0.3254621,Pharmacotherapy,0.31451082,0.010951281,False,0.248229,0.281574,0.172108,0.30487,0.314511,0.272935,0.225793,0.325462,0.273432,0.003097
Q025,Acute Coronary Syndrome guideline update 2023 summary,EN,disease guideline update 2023 summary,0,Guideline / Evidence Lookup,0.8995319,Management / Treatment Selection,0.046889957,0.85264194,0.34313723,0.27667108,0.38019165,Guideline / Evidence Lookup,Guideline / Evidence Lookup,1,True,Evidence / Guideline Lookup,0.5306182,Epidemiology / Prognosis,0.46520084,0.06541735,False,0.387847,0.446615,0.3463,0.431173,0.341503,0.530618,0.270745,0.465201,0.367204,0.132687
Q026,kontraindikasi Labetalol pada Hypertension in Pregnancy dengan atrial fibrillation,MIXED,kontraindikasi medicine pada disease dengan atrial fibrillation,13,Safety / Contraindication,0.8575469,Dosing / Administration,0.02935046,0.82819647,0.17402212,0.25088906,0.5750888,Safety / Contraindication,Safety / Contraindication,1,True,Evidence / Guideline Lookup,0.30428728,Epidemiology / Prognosis,0.2975444,0.0067428946,False,0.204837,0.272119,0.138238,0.28864,0.219178,0.304287,0.225434,0.297544,0.252361,-0.022496
Q027,Vitamin A adverse effects monitoring in Stunting / Malnutrition,EN,medicine adverse effects monitoring in disease,6,Monitoring / Response / Risk Assessment,0.95744383,Safety / Contraindication,0.025715064,0.9317288,0.116592534,0.13519408,0.7482134,Safety / Contraindication,Safety / Contraindication; Monitoring / Response / Risk Assessment,2,True,Pharmacotherapy,0.53955275,Diagnosis / Differential Diagnosis,0.51086396,0.028688788,False,0.397458,0.510864,0.316,0.446217,0.539553,0.401033,0.321359,0.479871,0.409984,0.109818
Q028,ACE inhibitors adverse effects monitoring in Hypertension,EN,drugclass adverse effects monitoring in disease,6,Monitoring / Response / Risk Assessment,0.890431,Safety / Contraindication,0.05327918,0.8371518,0.15212123,0.14367965,0.70419914,Safety / Contraindication,Safety / Contraindication; Monitoring / Response / Risk Assessment,2,True,Pharmacotherapy,0.6137334,Diagnosis / Differential Diagnosis,0.46670735,0.14702606,False,0.335202,0.466707,0.287495,0.368173,0.613733,0.375557,0.22477,0.414124,0.334353,0.130501
Q029,Empagliflozin efficacy pada Type 2 Diabetes Mellitus clinical outcome data,MIXED,medicine efficacy pada disease clinical outcome data,0,Efficacy / Outcomes,0.985386,Safety / Contraindication,0.007339046,0.97804695,0.25569043,0.34933466,0.39497498,Efficacy / Outcomes,Efficacy / Outcomes,1,True,Epidemiology / Prognosis,0.5372452,Pharmacotherapy,0.53344434,0.003800869,False,0.482681,0.432297,0.295658,0.447422,0.533444,0.509802,0.453467,0.537245,0.427836,0.10155
Q030,is Losartan safe in Hypertension with liver disease,EN,is medicine safe in disease with liver disease,3,Safety / Contraindication,0.8954512,Dosing / Administration,0.02418861,0.87126255,0.10168158,0.25574848,0.64256996,Safety / Contraindication,Safety / Contraindication,1,True,Pharmacotherapy,0.36568013,Epidemiology / Prognosis,0.29613116,0.069548965,False,0.245407,0.235453,0.165046,0.200414,0.36568,0.271853,0.147143,0.296131,0.23464,0.062421
Q031,Ibuprofen side effect pada pasien Psoriatic Arthritis apa saja,MIXED,medicine side effect pada pasien disease apa saja,0,Safety / Contraindication,0.41915825,Dosing / Administration,0.3823942,0.036764055,0.075281054,0.3383302,0.5863887,Safety / Contraindication,Safety / Contraindication,1,True,Pharmacotherapy,0.49910206,Epidemiology / Prognosis,0.49503168,0.0040703714,False,0.414928,0.405403,0.18851,0.352944,0.499102,0.404142,0.329019,0.495032,0.438269,0.01451
Q032,interaksi obat Ramipril dan Spironolactone pada Heart Failure,ID,interaksi obat medicine dan medicine pada disease,0,Interaction / Combination,0.9658287,Safety / Contraindication,0.0093598245,0.9564689,0.059179965,0.17512545,0.76569456,Interaction / Combination,Interaction / Combination,1,True,Pharmacotherapy,0.56351763,Patient Communication / Education,0.382504,0.18101364,False,0.372536,0.295362,0.232078,0.35834,0.563518,0.299618,0.348382,0.361048,0.382504,0.068566
Q033,dosis Semaglutide pada Obesity pasien hypertension aman tidak,MIXED,dosis medicine pada disease pasien hypertension aman tidak,1,Safety / Contraindication,0.43469965,Dosing / Administration,0.26065686,0.17404279,0.108635366,0.22080563,0.6705589,Safety / Contraindication,Safety / Contraindication; Dosing / Administration,2,True,Evidence / Guideline Lookup,0.38379747,Pharmacotherapy,0.35447127,0.0293262,False,0.262347,0.213972,0.105765,0.180788,0.354471,0.383797,0.240398,0.292359,0.216106,0.073078
Q034,Typhoid Fever treatment algorithm Antimalarials first line,EN,disease treatment algorithm drugclass first line,6,Management / Treatment Selection,0.9139531,Guideline / Evidence Lookup,0.07021824,0.84373486,0.036884844,0.17585123,0.78726393,Management / Treatment Selection,Management / Treatment Selection,1,True,Pharmacotherapy,0.5402144,Management / Treatment,0.5134928,0.026721597,False,0.513493,0.295708,0.342317,0.281455,0.540214,0.337696,0.34342,0.350368,0.35834,0.154298
Q035,algoritma terapi HIV/AIDS step up,ID,algoritma terapi disease step up,11,Management / Treatment Selection,0.984469,Guideline / Evidence Lookup,0.008368756,0.97610027,0.0488273,0.14333789,0.8078348,Management / Treatment Selection,Management / Treatment Selection,1,True,Management / Treatment,0.3736121,Pharmacotherapy,0.2844178,0.0891943,False,0.373612,0.242224,0.225396,0.244146,0.284418,0.265559,0.242228,0.267169,0.255031,0.158703
Q036,Atrial Fibrillation pediatric dosing Empagliflozin,EN,disease pediatric dosing medicine,10,Dosing / Administration,0.46515778,Safety / Contraindication,0.36602956,0.09912822,0.13818632,0.31531486,0.54649884,Dosing / Administration,Dosing / Administration,1,True,Pharmacotherapy,0.39037088,Evidence / Guideline Lookup,0.3580201,0.03235078,False,0.287668,0.264299,0.188446,0.311853,0.390371,0.35802,0.321095,0.315835,0.226708,-0.022429
Q037,SSRIs in pregnancy and ADHD,EN,drugclass in pregnancy and disease,14,Safety / Contraindication,0.73063,Efficacy / Outcomes,0.05275428,0.6778757,0.21928418,0.19392462,0.5867912,Safety / Contraindication,Safety / Contraindication,1,True,Pharmacotherapy,0.43012902,Epidemiology / Prognosis,0.24261546,0.18751356,False,0.237437,0.152368,0.091062,0.183811,0.430129,0.22596,0.210254,0.242615,0.173574,0.061209
Q038,Integrase inhibitors terbaru untuk Malaria terbaru,MIXED,drugclass terbaru untuk disease terbaru,6,Guideline / Evidence Lookup,0.8998325,Management / Treatment Selection,0.046918485,0.852914,0.06880169,0.46415398,0.4670443,Guideline / Evidence Lookup,Guideline / Evidence Lookup,1,True,Pharmacotherapy,0.55750495,Evidence / Guideline Lookup,0.397225,0.16027996,False,0.36257,0.331146,0.295757,0.377677,0.557505,0.397225,0.280093,0.379943,0.314067,0.140841
Q039,algoritma terapi Chronic Kidney Disease step up,ID,algoritma terapi disease step up,11,Management / Treatment Selection,0.984469,Guideline / Evidence Lookup,0.008368756,0.97610027,0.0488273,0.14333789,0.8078348,Management / Treatment Selection,Management / Treatment Selection,1,True,Management / Treatment,0.3736121,Pharmacotherapy,0.2844178,0.0891943,False,0.373612,0.242224,0.225396,0.244146,0.284418,0.265559,0.242228,0.267169,0.255031,0.158703
Q040,resistensi Desmopressin pada Diabetes Insipidus alternatif Desmopressin,ID,resistensi medicine pada disease alternatif medicine,0,Treatment Change / Escalation,0.93789786,Dosing / Administration,0.030666366,0.9072315,0.051295042,0.22648612,0.7222189,Treatment Change / Escalation,Treatment Change / Escalation,1,True,Pharmacotherapy,0.41444623,Epidemiology / Prognosis,0.35917714,0.055269092,False,0.326603,0.277037,0.207236,0.322361,0.414446,0.347899,0.305079,0.359177,0.301297,0.09555
Q041,SGLT2 inhibitors mechanism of action in Chronic Kidney Disease,EN,drugclass mechanism of action in disease,6,Mechanism / Background Knowledge,0.9610921,Prophylaxis / Maintenance,0.008824999,0.9522671,0.14974128,0.42445752,0.42580116,Mechanism / Background Knowledge,Mechanism / Background Knowledge,1,True,Pharmacotherapy,0.47425747,Management / Treatment,0.26613,0.20812747,False,0.26613,0.222665,0.163268,0.215239,0.474257,0.175935,0.149279,0.216707,0.245985,0.053999
Q042,switch from Piperacillin-tazobactam to Norepinephrine in Sepsis,EN,switch from medicine to medicine in disease,0,Treatment Change / Escalation,0.9863862,Dosing / Administration,0.006705008,0.9796812,0.03939372,0.30122343,0.6593829,Treatment Change / Escalation,Treatment Change / Escalation,1,True,Management / Treatment,0.42528063,Pharmacotherapy,0.4076186,0.017662019,False,0.425281,0.240374,0.272614,0.373262,0.407619,0.346428,0.401849,0.330152,0.349958,0.072468
Q043,Thyroid hormones kontraindikasi pada Hyperthyroidism dengan hepatic impairment,ID,drugclass kontraindikasi pada disease dengan hepatic impairment,3,Safety / Contraindication,0.65628165,Efficacy / Outcomes,0.05371031,0.60257137,0.16496353,0.2933747,0.5416618,Safety / Contraindication,Safety / Contraindication,1,True,Pharmacotherapy,0.43281126,Evidence / Guideline Lookup,0.33863205,0.09417921,False,0.297549,0.335627,0.176822,0.27267,0.432811,0.338632,0.152292,0.313364,0.287499,0.106483
Q044,Malaria with pregnancy first line drug,EN,disease with pregnancy first line drug,14,Management / Treatment Selection,0.98180884,Guideline / Evidence Lookup,0.0129710045,0.96883786,0.07745891,0.06796144,0.85457957,Management / Treatment Selection,Management / Treatment Selection; Safety / Contraindication,2,True,Pharmacotherapy,0.3425098,Management / Treatment,0.2733093,0.069200516,False,0.273309,0.215925,0.093627,0.187074,0.34251,0.257382,0.187263,0.256555,0.132907,0.00201
Q045,switch from Diazepam to Diazepam in Febrile Seizure,EN,switch from medicine to medicine in disease,0,Treatment Change / Escalation,0.9863862,Dosing / Administration,0.006705008,0.9796812,0.03939372,0.30122343,0.6593829,Treatment Change / Escalation,Treatment Change / Escalation,1,True,Management / Treatment,0.42528063,Pharmacotherapy,0.4076186,0.017662019,False,0.425281,0.240374,0.272614,0.373262,0.407619,0.346428,0.401849,0.330152,0.349958,0.072468
Q046,kapan mulai terapi Adalimumab pada Gout,ID,kapan mulai terapi medicine pada disease,0,Management / Treatment Selection,0.9812088,Guideline / Evidence Lookup,0.009835744,0.9713731,0.025013724,0.12852103,0.8464653,Management / Treatment Selection,Management / Treatment Selection,1,True,Management / Treatment,0.52135503,Procedures / Techniques,0.48233718,0.039017856,False,0.521355,0.332444,0.329157,0.421322,0.443465,0.468114,0.482337,0.464131,0.406137,0.057801
Q047,Tiotropium long term outcomes COPD,EN,medicine long term outcomes disease,0,Efficacy / Outcomes,0.9887477,Safety / Contraindication,0.0054166606,0.9833311,0.32741308,0.2560794,0.4165075,Efficacy / Outcomes,Efficacy / Outcomes,1,True,Epidemiology / Prognosis,0.5110607,Test / Clinical Data Interpretation,0.44481257,0.06624815,False,0.404389,0.388199,0.235139,0.444813,0.380207,0.436837,0.301888,0.511061,0.413811,0.086811
Q048,Ibuprofen long term outcomes Systemic Lupus Erythematosus,EN,medicine long term outcomes disease,0,Efficacy / Outcomes,0.9887477,Safety / Contraindication,0.0054166606,0.9833311,0.32741308,0.2560794,0.4165075,Efficacy / Outcomes,Efficacy / Outcomes,1,True,Epidemiology / Prognosis,0.5110607,Test / Clinical Data Interpretation,0.44481257,0.06624815,False,0.404389,0.388199,0.235139,0.444813,0.380207,0.436837,0.301888,0.511061,0.413811,0.086811
Q049,Calcium channel blockers mechanism untuk Atrial Fibrillation bagaimana cara kerjanya,MIXED,drugclass mechanism untuk disease bagaimana cara kerjanya,6,Mechanism / Background Knowledge,0.96171975,Prophylaxis / Maintenance,0.009412251,0.9523075,0.15438461,0.42697334,0.418642,Mechanism / Background Knowledge,Mechanism / Background Knowledge,1,True,Pharmacotherapy,0.48622504,Test / Clinical Data Interpretation,0.29653132,0.18969372,False,0.286505,0.268812,0.208812,0.296531,0.486225,0.202821,0.183406,0.261964,0.28767,0.082469
Q050,Levofloxacin hepatic impairment dose in HIV/AIDS,EN,medicine hepatic impairment dose in disease,3,Dosing / Administration,0.9290329,Safety / Contraindication,0.028950522,0.9000824,0.23898493,0.3060625,0.45495266,Dosing / Administration,Dosing / Administration,1,True,Pharmacotherapy,0.32883036,Evidence / Guideline Lookup,0.26495534,0.06387502,False,0.197985,0.202103,0.118141,0.204014,0.32883,0.264955,0.15193,0.25321,0.206036,-0.02566
Q051,add on therapy Malaria after Dolutegravir failure,EN,add on therapy disease after medicine failure,0,Treatment Change / Escalation,0.99019414,Dosing / Administration,0.0041230964,0.98607105,0.063120574,0.26901764,0.6678618,Treatment Change / Escalation,Treatment Change / Escalation,1,True,Management / Treatment,0.5005618,Diagnosis / Differential Diagnosis,0.45402893,0.04653284,False,0.500562,0.454029,0.273193,0.374329,0.345319,0.422058,0.39688,0.446749,0.452204,0.084918
Q052,HIV/AIDS first line Penicillins evidence based,MIXED,disease first line drugclass evidence based,6,Guideline / Evidence Lookup,0.7298272,Management / Treatment Selection,0.24125436,0.48857287,0.13691023,0.1882803,0.67480946,Guideline / Evidence Lookup,Guideline / Evidence Lookup; Management / Treatment Selection,2,True,Pharmacotherapy,0.533338,Evidence / Guideline Lookup,0.44116023,0.09217778,False,0.401374,0.407281,0.351618,0.35421,0.533338,0.44116,0.218159,0.367855,0.289911,0.190495
Q053,Atypical antipsychotics mechanism of action in Schizophrenia,EN,drugclass mechanism of action in disease,6,Mechanism / Background Knowledge,0.9610921,Prophylaxis / Maintenance,0.008824999,0.9522671,0.14974128,0.42445752,0.42580116,Mechanism / Background Knowledge,Mechanism / Background Knowledge,1,True,Pharmacotherapy,0.47425747,Management / Treatment,0.26613,0.20812747,False,0.26613,0.222665,0.163268,0.215239,0.474257,0.175935,0.149279,0.216707,0.245985,0.053999
Q054,is Empagliflozin safe in Chronic Kidney Disease with renal impairment,EN,is medicine safe in disease with renal impairment,1,Safety / Contraindication,0.88405836,Dosing / Administration,0.041609846,0.84244853,0.09786671,0.26063073,0.64150256,Safety / Contraindication,Safety / Contraindication,1,True,Pharmacotherapy,0.3607349,Epidemiology / Prognosis,0.31709737,0.043637544,False,0.262886,0.242748,0.189404,0.257575,0.360735,0.27408,0.229396,0.317097,0.275795,0.065024
Q055,Methimazole side effect pada pasien Hyperthyroidism apa saja,MIXED,medicine side effect pada pasien disease apa saja,0,Safety / Contraindication,0.41915825,Dosing / Administration,0.3823942,0.036764055,0.075281054,0.3383302,0.5863887,Safety / Contraindication,Safety / Contraindication,1,True,Pharmacotherapy,0.49910206,Epidemiology / Prognosis,0.49503168,0.0040703714,False,0.414928,0.405403,0.18851,0.352944,0.499102,0.404142,0.329019,0.495032,0.438269,0.01451
Q056,Sepsis emergency Piperacillin-tazobactam loading dose berapa,MIXED,disease emergency medicine loading dose berapa,10,Dosing / Administration,0.9398804,Prophylaxis / Maintenance,0.02592304,0.91395736,0.18925025,0.35632086,0.45442888,Dosing / Administration,Dosing / Administration,1,True,Pharmacotherapy,0.3817642,Epidemiology / Prognosis,0.32823867,0.053525537,False,0.270469,0.217183,0.230319,0.307744,0.381764,0.278425,0.272719,0.328239,0.2432,0.04358
