intent_name,review_rank,review_type,query_id,query_text,prototype_top_intent,prototype_margin,matched_weak_anchor_rules,liang_probability,liang_probability_margin,clinical_coherence,boundary_explainable,review_decision,review_notes,reviewer_scope
Dosing / Administration,10,boundary_or_low_margin,Q106,titration protocol Metoprolol in Heart Failure,Procedures / Techniques,0.0025,Dosing / Administration,0.3751,0.1022,coherent,yes,supports proposed class,"Primary request matches: dose/dosis, titration/titrasi, loading dose, renal/hepatic adjustment, route.",single-analyst taxonomy review; not independent clinician gold annotation
Safety / Contraindication,1,representative,Q253,Imatinib side effect pada pasien Chronic Myeloid Leukaemia apa saja,Pharmacotherapy,0.0041,Safety / Contraindication,0.4192,0.0368,coherent,yes,supports proposed class,"Primary request matches: safe/aman, contraindication, adverse/side effect, pregnancy safety.",single-analyst taxonomy review; not independent clinician gold annotation
Safety / Contraindication,2,representative,Q467,Artemether-lumefantrine side effect pada pasien Typhoid Fever apa saja,Pharmacotherapy,0.0041,Safety / Contraindication,0.4192,0.0368,coherent,yes,supports proposed class,"Primary request matches: safe/aman, contraindication, adverse/side effect, pregnancy safety.",single-analyst taxonomy review; not independent clinician gold annotation
Safety / Contraindication,3,representative,Q330,Lithium side effect pada pasien Bipolar Disorder apa saja,Pharmacotherapy,0.0041,Safety / Contraindication,0.4192,0.0368,coherent,yes,supports proposed class,"Primary request matches: safe/aman, contraindication, adverse/side effect, pregnancy safety.",single-analyst taxonomy review; not independent clinician gold annotation
Safety / Contraindication,4,representative,Q267,Adalimumab side effect pada pasien Gout apa saja,Pharmacotherapy,0.0041,Safety / Contraindication,0.4192,0.0368,coherent,yes,supports proposed class,"Primary request matches: safe/aman, contraindication, adverse/side effect, pregnancy safety.",single-analyst taxonomy review; not independent clinician gold annotation
Safety / Contraindication,5,representative,Q386,Zinc side effect pada pasien Stunting / Malnutrition apa saja,Pharmacotherapy,0.0041,Safety / Contraindication,0.4192,0.0368,coherent,yes,supports proposed class,"Primary request matches: safe/aman, contraindication, adverse/side effect, pregnancy safety.",single-analyst taxonomy review; not independent clinician gold annotation
Safety / Contraindication,6,representative,Q232,Prednisolone side effect pada pasien Rheumatoid Arthritis apa saja,Pharmacotherapy,0.0041,Safety / Contraindication,0.4192,0.0368,coherent,yes,supports proposed class,"Primary request matches: safe/aman, contraindication, adverse/side effect, pregnancy safety.",single-analyst taxonomy review; not independent clinician gold annotation
Safety / Contraindication,7,boundary_or_low_margin,Q033,dosis Semaglutide pada Obesity pasien hypertension aman tidak,Evidence / Guideline Lookup,0.0293,Safety / Contraindication; Dosing / Administration,0.4347,0.174,coherent,yes,supports proposed class,"Primary request matches: safe/aman, contraindication, adverse/side effect, pregnancy safety.",single-analyst taxonomy review; not independent clinician gold annotation
Safety / Contraindication,8,boundary_or_low_margin,Q187,dosis Venlafaxine pada Major Depressive Disorder pasien hypertension aman tidak,Evidence / Guideline Lookup,0.0293,Safety / Contraindication; Dosing / Administration,0.4347,0.174,coherent,yes,supports proposed class,"Primary request matches: safe/aman, contraindication, adverse/side effect, pregnancy safety.",single-analyst taxonomy review; not independent clinician gold annotation
Safety / Contraindication,9,boundary_or_low_margin,Q300,dosis Apixaban pada Community-acquired Pneumonia pasien CKD aman tidak,Pharmacotherapy,0.0495,Safety / Contraindication; Dosing / Administration,0.4405,0.1431,coherent,yes,supports proposed class,"Primary request matches: safe/aman, contraindication, adverse/side effect, pregnancy safety.",single-analyst taxonomy review; not independent clinician gold annotation
Safety / Contraindication,10,boundary_or_low_margin,Q351,dosis Rifampicin pada Tuberculosis pasien pregnancy aman tidak,Pharmacotherapy,0.0714,Safety / Contraindication; Dosing / Administration,0.6223,0.4693,coherent,yes,supports proposed class,"Primary request matches: safe/aman, contraindication, adverse/side effect, pregnancy safety.",single-analyst taxonomy review; not independent clinician gold annotation
Interaction / Combination,1,representative,Q003,interaksi obat Nivolumab dan Nivolumab pada Colorectal Cancer,Pharmacotherapy,0.181,Interaction / Combination,0.9658,0.9565,coherent,yes,supports proposed class,"Primary request matches: drug interaction/interaksi obat, combination therapy, kombinasi.",single-analyst taxonomy review; not independent clinician gold annotation
Interaction / Combination,2,representative,Q201,interaksi obat Semaglutide dan Liraglutide pada Obesity,Pharmacotherapy,0.181,Interaction / Combination,0.9658,0.9565,coherent,yes,supports proposed class,"Primary request matches: drug interaction/interaksi obat, combination therapy, kombinasi.",single-analyst taxonomy review; not independent clinician gold annotation
Interaction / Combination,3,representative,Q403,interaksi obat Artemether-lumefantrine dan Artemether-lumefantrine pada Typhoid Fever,Pharmacotherapy,0.181,Interaction / Combination,0.9658,0.9565,coherent,yes,supports proposed class,"Primary request matches: drug interaction/interaksi obat, combination therapy, kombinasi.",single-analyst taxonomy review; not independent clinician gold annotation
Interaction / Combination,4,representative,Q018,interaksi obat Losartan dan Empagliflozin pada Chronic Kidney Disease,Pharmacotherapy,0.181,Interaction / Combination,0.9658,0.9565,coherent,yes,supports proposed class,"Primary request matches: drug interaction/interaksi obat, combination therapy, kombinasi.",single-analyst taxonomy review; not independent clinician gold annotation
Interaction / Combination,5,representative,Q032,interaksi obat Ramipril dan Spironolactone pada Heart Failure,Pharmacotherapy,0.181,Interaction / Combination,0.9658,0.9565,coherent,yes,supports proposed class,"Primary request matches: drug interaction/interaksi obat, combination therapy, kombinasi.",single-analyst taxonomy review; not independent clinician gold annotation
Interaction / Combination,6,representative,Q188,interaksi obat Zinc dan Vitamin A pada Stunting / Malnutrition,Pharmacotherapy,0.181,Interaction / Combination,0.9658,0.9565,coherent,yes,supports proposed class,"Primary request matches: drug interaction/interaksi obat, combination therapy, kombinasi.",single-analyst taxonomy review; not independent clinician gold annotation
Interaction / Combination,7,boundary_or_low_margin,Q006,kombinasi Metoprolol dan Metoprolol pada Heart Failure aman atau tidak,Pharmacotherapy,0.0521,Interaction / Combination; Safety / Contraindication,0.9431,0.9159,coherent,yes,supports proposed class,"Primary request matches: drug interaction/interaksi obat, combination therapy, kombinasi.",single-analyst taxonomy review; not independent clinician gold annotation
Interaction / Combination,8,boundary_or_low_margin,Q155,kombinasi Artemether-lumefantrine dan Artemether-lumefantrine pada Typhoid Fever aman atau tidak,Pharmacotherapy,0.0521,Interaction / Combination; Safety / Contraindication,0.9431,0.9159,coherent,yes,supports proposed class,"Primary request matches: drug interaction/interaksi obat, combination therapy, kombinasi.",single-analyst taxonomy review; not independent clinician gold annotation
Interaction / Combination,9,boundary_or_low_margin,Q231,kombinasi Piperacillin-tazobactam dan Norepinephrine pada Sepsis aman atau tidak,Pharmacotherapy,0.0521,Interaction / Combination; Safety / Contraindication,0.9431,0.9159,coherent,yes,supports proposed class,"Primary request matches: drug interaction/interaksi obat, combination therapy, kombinasi.",single-analyst taxonomy review; not independent clinician gold annotation
Interaction / Combination,10,boundary_or_low_margin,Q262,kombinasi Piperacillin-tazobactam dan Meropenem pada Sepsis aman atau tidak,Pharmacotherapy,0.0521,Interaction / Combination; Safety / Contraindication,0.9431,0.9159,coherent,yes,supports proposed class,"Primary request matches: drug interaction/interaksi obat, combination therapy, kombinasi.",single-analyst taxonomy review; not independent clinician gold annotation
Comparative Treatment Choice,1,representative,Q170,Magnesium sulphate vs Magnesium sulphate in Preeclampsia patients,Pharmacotherapy,0.037,Comparative Treatment Choice,0.9869,0.9821,coherent,yes,supports proposed class,"Primary request matches: vs/versus, compare, mana lebih efektif.",single-analyst taxonomy review; not independent clinician gold annotation
Comparative Treatment Choice,2,representative,Q338,Metronidazole vs Metronidazole in Inflammatory Bowel Disease patients,Pharmacotherapy,0.037,Comparative Treatment Choice,0.9869,0.9821,coherent,yes,supports proposed class,"Primary request matches: vs/versus, compare, mana lebih efektif.",single-analyst taxonomy review; not independent clinician gold annotation
Comparative Treatment Choice,3,representative,Q112,Alteplase vs Aspirin in Ischaemic Stroke patients,Pharmacotherapy,0.037,Comparative Treatment Choice,0.9869,0.9821,coherent,yes,supports proposed class,"Primary request matches: vs/versus, compare, mana lebih efektif.",single-analyst taxonomy review; not independent clinician gold annotation
Comparative Treatment Choice,4,representative,Q114,Colchicine vs Colchicine in Psoriatic Arthritis patients,Pharmacotherapy,0.037,Comparative Treatment Choice,0.9869,0.9821,coherent,yes,supports proposed class,"Primary request matches: vs/versus, compare, mana lebih efektif.",single-analyst taxonomy review; not independent clinician gold annotation
Comparative Treatment Choice,5,representative,Q285,Olanzapine vs Lithium in Bipolar Disorder patients,Pharmacotherapy,0.037,Comparative Treatment Choice,0.9869,0.9821,coherent,yes,supports proposed class,"Primary request matches: vs/versus, compare, mana lebih efektif.",single-analyst taxonomy review; not independent clinician gold annotation
Comparative Treatment Choice,6,representative,Q071,Vancomycin vs Piperacillin-tazobactam in Sepsis patients,Pharmacotherapy,0.037,Comparative Treatment Choice,0.9869,0.9821,coherent,yes,supports proposed class,"Primary request matches: vs/versus, compare, mana lebih efektif.",single-analyst taxonomy review; not independent clinician gold annotation
Comparative Treatment Choice,7,boundary_or_low_margin,Q085,Methylphenidate vs Methylphenidate efficacy in Breast Cancer HER2-positive,Pharmacotherapy,0.0964,Comparative Treatment Choice; Efficacy / Outcomes,0.9548,0.9333,coherent,yes,supports proposed class,"Primary request matches: vs/versus, compare, mana lebih efektif.",single-analyst taxonomy review; not independent clinician gold annotation
Comparative Treatment Choice,8,boundary_or_low_margin,Q292,Amoxicillin vs Amoxicillin efficacy in HIV/AIDS,Pharmacotherapy,0.0964,Comparative Treatment Choice; Efficacy / Outcomes,0.9548,0.9333,coherent,yes,supports proposed class,"Primary request matches: vs/versus, compare, mana lebih efektif.",single-analyst taxonomy review; not independent clinician gold annotation
Comparative Treatment Choice,9,boundary_or_low_margin,Q318,Venlafaxine vs Escitalopram efficacy in Major Depressive Disorder,Pharmacotherapy,0.0964,Comparative Treatment Choice; Efficacy / Outcomes,0.9548,0.9333,coherent,yes,supports proposed class,"Primary request matches: vs/versus, compare, mana lebih efektif.",single-analyst taxonomy review; not independent clinician gold annotation
Comparative Treatment Choice,10,boundary_or_low_margin,Q339,Clozapine vs Clozapine in Schizophrenia patients,Pharmacotherapy,0.037,Comparative Treatment Choice,0.9869,0.9821,coherent,yes,supports proposed class,"Primary request matches: vs/versus, compare, mana lebih efektif.",single-analyst taxonomy review; not independent clinician gold annotation
Monitoring / Response / Risk Assessment,1,representative,Q276,monitoring parameters Atorvastatin in Acute Coronary Syndrome,Pharmacotherapy,0.068,Monitoring / Response / Risk Assessment,0.9855,0.979,coherent,yes,supports proposed class,"Primary request matches: monitoring parameters, biomarkers of response, risk stratification.",single-analyst taxonomy review; not independent clinician gold annotation
Monitoring / Response / Risk Assessment,2,representative,Q301,monitoring parameters Topiramate in Epilepsy,Pharmacotherapy,0.068,Monitoring / Response / Risk Assessment,0.9855,0.979,coherent,yes,supports proposed class,"Primary request matches: monitoring parameters, biomarkers of response, risk stratification.",single-analyst taxonomy review; not independent clinician gold annotation
Monitoring / Response / Risk Assessment,3,representative,Q493,monitoring parameters Isoniazid in Tuberculosis,Pharmacotherapy,0.068,Monitoring / Response / Risk Assessment,0.9855,0.979,coherent,yes,supports proposed class,"Primary request matches: monitoring parameters, biomarkers of response, risk stratification.",single-analyst taxonomy review; not independent clinician gold annotation
Monitoring / Response / Risk Assessment,4,representative,Q064,monitoring parameters Methyldopa in Hypertension in Pregnancy,Pharmacotherapy,0.068,Monitoring / Response / Risk Assessment,0.9855,0.979,coherent,yes,supports proposed class,"Primary request matches: monitoring parameters, biomarkers of response, risk stratification.",single-analyst taxonomy review; not independent clinician gold annotation
Monitoring / Response / Risk Assessment,5,representative,Q066,monitoring parameters Rosuvastatin in Acute Coronary Syndrome,Pharmacotherapy,0.068,Monitoring / Response / Risk Assessment,0.9855,0.979,coherent,yes,supports proposed class,"Primary request matches: monitoring parameters, biomarkers of response, risk stratification.",single-analyst taxonomy review; not independent clinician gold annotation
Monitoring / Response / Risk Assessment,6,representative,Q433,monitoring parameters Losartan in Chronic Kidney Disease,Pharmacotherapy,0.068,Monitoring / Response / Risk Assessment,0.9855,0.979,coherent,yes,supports proposed class,"Primary request matches: monitoring parameters, biomarkers of response, risk stratification.",single-analyst taxonomy review; not independent clinician gold annotation
Monitoring / Response / Risk Assessment,7,boundary_or_low_margin,Q027,Vitamin A adverse effects monitoring in Stunting / Malnutrition,Pharmacotherapy,0.0287,Safety / Contraindication; Monitoring / Response / Risk Assessment,0.9574,0.9317,coherent,yes,supports proposed class,"Primary request matches: monitoring parameters, biomarkers of response, risk stratification.",single-analyst taxonomy review; not independent clinician gold annotation
Monitoring / Response / Risk Assessment,8,boundary_or_low_margin,Q002,SGLT2 inhibitors adverse effects monitoring in Atrial Fibrillation,Pharmacotherapy,0.147,Safety / Contraindication; Monitoring / Response / Risk Assessment,0.8904,0.8372,coherent,yes,supports proposed class,"Primary request matches: monitoring parameters, biomarkers of response, risk stratification.",single-analyst taxonomy review; not independent clinician gold annotation
Monitoring / Response / Risk Assessment,9,boundary_or_low_margin,Q008,Short-acting beta2-agonists adverse effects monitoring in Asthma,Pharmacotherapy,0.147,Safety / Contraindication; Monitoring / Response / Risk Assessment,0.8904,0.8372,coherent,yes,supports proposed class,"Primary request matches: monitoring parameters, biomarkers of response, risk stratification.",single-analyst taxonomy review; not independent clinician gold annotation
Monitoring / Response / Risk Assessment,10,boundary_or_low_margin,Q028,ACE inhibitors adverse effects monitoring in Hypertension,Pharmacotherapy,0.147,Safety / Contraindication; Monitoring / Response / Risk Assessment,0.8904,0.8372,coherent,yes,supports proposed class,"Primary request matches: monitoring parameters, biomarkers of response, risk stratification.",single-analyst taxonomy review; not independent clinician gold annotation
Efficacy / Outcomes,1,representative,Q491,Empagliflozin long term outcomes Chronic Kidney Disease,Epidemiology / Prognosis,0.0662,Efficacy / Outcomes,0.9887,0.9833,coherent,yes,supports proposed class,"Primary request matches: efficacy, clinical outcome data, long-term outcomes.",single-analyst taxonomy review; not independent clinician gold annotation
Efficacy / Outcomes,2,representative,Q357,Pembrolizumab long term outcomes Non-Small Cell Lung Cancer,Epidemiology / Prognosis,0.0662,Efficacy / Outcomes,0.9887,0.9833,coherent,yes,supports proposed class,"Primary request matches: efficacy, clinical outcome data, long-term outcomes.",single-analyst taxonomy review; not independent clinician gold annotation
Efficacy / Outcomes,3,representative,Q047,Tiotropium long term outcomes COPD,Epidemiology / Prognosis,0.0662,Efficacy / Outcomes,0.9887,0.9833,coherent,yes,supports proposed class,"Primary request matches: efficacy, clinical outcome data, long-term outcomes.",single-analyst taxonomy review; not independent clinician gold annotation
Efficacy / Outcomes,4,representative,Q048,Ibuprofen long term outcomes Systemic Lupus Erythematosus,Epidemiology / Prognosis,0.0662,Efficacy / Outcomes,0.9887,0.9833,coherent,yes,supports proposed class,"Primary request matches: efficacy, clinical outcome data, long-term outcomes.",single-analyst taxonomy review; not independent clinician gold annotation
Efficacy / Outcomes,5,representative,Q070,Furosemide long term outcomes Nephrotic Syndrome,Epidemiology / Prognosis,0.0662,Efficacy / Outcomes,0.9887,0.9833,coherent,yes,supports proposed class,"Primary request matches: efficacy, clinical outcome data, long-term outcomes.",single-analyst taxonomy review; not independent clinician gold annotation
Efficacy / Outcomes,6,representative,Q177,Bedaquiline long term outcomes Tuberculosis,Epidemiology / Prognosis,0.0662,Efficacy / Outcomes,0.9887,0.9833,coherent,yes,supports proposed class,"Primary request matches: efficacy, clinical outcome data, long-term outcomes.",single-analyst taxonomy review; not independent clinician gold annotation
Efficacy / Outcomes,7,boundary_or_low_margin,Q004,Apixaban efficacy pada Deep Vein Thrombosis clinical outcome data,Epidemiology / Prognosis,0.0038,Efficacy / Outcomes,0.9854,0.978,coherent,yes,supports proposed class,"Primary request matches: efficacy, clinical outcome data, long-term outcomes.",single-analyst taxonomy review; not independent clinician gold annotation
Efficacy / Outcomes,8,boundary_or_low_margin,Q029,Empagliflozin efficacy pada Type 2 Diabetes Mellitus clinical outcome data,Epidemiology / Prognosis,0.0038,Efficacy / Outcomes,0.9854,0.978,coherent,yes,supports proposed class,"Primary request matches: efficacy, clinical outcome data, long-term outcomes.",single-analyst taxonomy review; not independent clinician gold annotation
Efficacy / Outcomes,9,boundary_or_low_margin,Q065,Semaglutide efficacy pada Type 2 Diabetes Mellitus clinical outcome data,Epidemiology / Prognosis,0.0038,Efficacy / Outcomes,0.9854,0.978,coherent,yes,supports proposed class,"Primary request matches: efficacy, clinical outcome data, long-term outcomes.",single-analyst taxonomy review; not independent clinician gold annotation
Efficacy / Outcomes,10,boundary_or_low_margin,Q223,Rivaroxaban efficacy pada Community-acquired Pneumonia clinical outcome data,Epidemiology / Prognosis,0.0038,Efficacy / Outcomes,0.9854,0.978,coherent,yes,supports proposed class,"Primary request matches: efficacy, clinical outcome data, long-term outcomes.",single-analyst taxonomy review; not independent clinician gold annotation
Guideline / Evidence Lookup,1,representative,Q469,indikasi Bedaquiline pada MDR Tuberculosis guideline terbaru,Evidence / Guideline Lookup,0.0036,Guideline / Evidence Lookup; Management / Treatment Selection,0.9326,0.8989,coherent,yes,supports proposed class,"Primary request matches: guideline/panduan, latest/terbaru, evidence based, named year/update.",single-analyst taxonomy review; not independent clinician gold annotation
Guideline / Evidence Lookup,2,representative,Q023,indikasi Sitagliptin pada Type 2 Diabetes Mellitus guideline terbaru,Evidence / Guideline Lookup,0.0036,Guideline / Evidence Lookup; Management / Treatment Selection,0.9326,0.8989,coherent,yes,supports proposed class,"Primary request matches: guideline/panduan, latest/terbaru, evidence based, named year/update.",single-analyst taxonomy review; not independent clinician gold annotation
Guideline / Evidence Lookup,3,representative,Q445,indikasi Losartan pada Heart Failure guideline terbaru,Evidence / Guideline Lookup,0.0036,Guideline / Evidence Lookup; Management / Treatment Selection,0.9326,0.8989,coherent,yes,supports proposed class,"Primary request matches: guideline/panduan, latest/terbaru, evidence based, named year/update.",single-analyst taxonomy review; not independent clinician gold annotation
Guideline / Evidence Lookup,4,representative,Q156,indikasi Tenofovir+Lamivudine pada Urinary Tract Infection guideline terbaru,Evidence / Guideline Lookup,0.0036,Guideline / Evidence Lookup; Management / Treatment Selection,0.9326,0.8989,coherent,yes,supports proposed class,"Primary request matches: guideline/panduan, latest/terbaru, evidence based, named year/update.",single-analyst taxonomy review; not independent clinician gold annotation
Guideline / Evidence Lookup,5,representative,Q372,indikasi Semaglutide pada Type 2 Diabetes Mellitus guideline terbaru,Evidence / Guideline Lookup,0.0036,Guideline / Evidence Lookup; Management / Treatment Selection,0.9326,0.8989,coherent,yes,supports proposed class,"Primary request matches: guideline/panduan, latest/terbaru, evidence based, named year/update.",single-analyst taxonomy review; not independent clinician gold annotation
Guideline / Evidence Lookup,6,representative,Q313,indikasi Losartan pada Chronic Kidney Disease guideline terbaru,Evidence / Guideline Lookup,0.0036,Guideline / Evidence Lookup; Management / Treatment Selection,0.9326,0.8989,coherent,yes,supports proposed class,"Primary request matches: guideline/panduan, latest/terbaru, evidence based, named year/update.",single-analyst taxonomy review; not independent clinician gold annotation
Guideline / Evidence Lookup,7,boundary_or_low_margin,Q361,penanganan Type 2 Diabetes Mellitus di ICU panduan 2022,Epidemiology / Prognosis,0.0247,Guideline / Evidence Lookup; Management / Treatment Selection,0.9163,0.8814,coherent,yes,supports proposed class,"Primary request matches: guideline/panduan, latest/terbaru, evidence based, named year/update.",single-analyst taxonomy review; not independent clinician gold annotation
Guideline / Evidence Lookup,8,boundary_or_low_margin,Q180,tatalaksana Type 1 Diabetes Mellitus panduan terbaru 2023,Epidemiology / Prognosis,0.0299,Guideline / Evidence Lookup; Management / Treatment Selection,0.9126,0.875,coherent,yes,supports proposed class,"Primary request matches: guideline/panduan, latest/terbaru, evidence based, named year/update.",single-analyst taxonomy review; not independent clinician gold annotation
Guideline / Evidence Lookup,9,boundary_or_low_margin,Q242,penanganan Type 2 Diabetes Mellitus di ICU panduan 2023,Epidemiology / Prognosis,0.0337,Guideline / Evidence Lookup; Management / Treatment Selection,0.9157,0.8808,coherent,yes,supports proposed class,"Primary request matches: guideline/panduan, latest/terbaru, evidence based, named year/update.",single-analyst taxonomy review; not independent clinician gold annotation
Guideline / Evidence Lookup,10,boundary_or_low_margin,Q105,tatalaksana Breast Cancer HER2-positive panduan terbaru 2025,Epidemiology / Prognosis,0.0343,Guideline / Evidence Lookup; Management / Treatment Selection,0.9143,0.878,coherent,yes,supports proposed class,"Primary request matches: guideline/panduan, latest/terbaru, evidence based, named year/update.",single-analyst taxonomy review; not independent clinician gold annotation
Treatment Change / Escalation,1,representative,Q298,penggantian Apixaban ke Rivaroxaban pada Deep Vein Thrombosis,Pharmacotherapy,0.0081,Treatment Change / Escalation,0.9904,0.9855,coherent,yes,supports proposed class,"Primary request matches: switch/penggantian, add-on, failure/gagal, resistance, alternative after progression.",single-analyst taxonomy review; not independent clinician gold annotation
Treatment Change / Escalation,2,representative,Q428,penggantian Sertraline ke Venlafaxine pada Major Depressive Disorder,Pharmacotherapy,0.0081,Treatment Change / Escalation,0.9904,0.9855,coherent,yes,supports proposed class,"Primary request matches: switch/penggantian, add-on, failure/gagal, resistance, alternative after progression.",single-analyst taxonomy review; not independent clinician gold annotation
Treatment Change / Escalation,3,representative,Q093,penggantian Ezetimibe ke Amlodipine pada Acute Coronary Syndrome,Pharmacotherapy,0.0081,Treatment Change / Escalation,0.9904,0.9855,coherent,yes,supports proposed class,"Primary request matches: switch/penggantian, add-on, failure/gagal, resistance, alternative after progression.",single-analyst taxonomy review; not independent clinician gold annotation
