query_id,query_text,language,therapeutic_area,query_length_band,entity_complexity,context_complexity,cluster_id,liang_final_intent,liang_top_probability,liang_probability_margin,prototype_top_intent,ambiguity_margin,matched_annotation_rules,n_rule_matches,rule_intent_signal,prototype_intent_signal,prototype_top_score,prototype_margin,cluster_intent_signal_initial,cluster_intent_signal,signal_plurality_intent,signal_max_votes,signal_agreement,intent_top_level,intent_subtype,label_confidence,label_source,review_flag,gold_set_membership,annotation_notes,sampling_reasons
Q028,ACE inhibitors adverse effects monitoring in Hypertension,EN,Cardiology,medium,2-3 entities,none,6,Monitoring / Response / Risk Assessment,0.890431,0.8371518,Pharmacotherapy,0.14702606,Safety / Contraindication; Monitoring / Response / Risk Assessment,2,Safety / Contraindication,Monitoring / Response / Risk Assessment,0.5217008,0.059375703,Management / Treatment Selection,Mechanism / Background Knowledge,,1,three_way_disagreement,Pharmacotherapy,Safety / Contraindication,low,model_assisted_schema_review,True,pilot_reviewed,"harm, suitability, contraindication, or pregnancy-safety wording overrides dose when safety is explicit Three-signal status: three_way_disagreement (rule=Safety / Contraindication; prototype=Monitoring / Response / Risk Assessment; cluster=Mechanism / Background Knowledge). Phase 2 suggestion 'Monitoring / Response / Risk Assessment' was not retained because the explicit request maps to 'Safety / Contraindication'. Multiple cues were resolved with the frozen primary-information-need hierarchy.",pilot; three_way_disagreement; phase2_model_disagreement; multi_cue_boundary
Q029,Empagliflozin efficacy pada Type 2 Diabetes Mellitus clinical outcome data,MIXED,Endocrinology,long,2-3 entities,none,0,Efficacy / Outcomes,0.985386,0.97804695,Epidemiology / Prognosis,0.003800869,Efficacy / Outcomes,1,Efficacy / Outcomes,Efficacy / Outcomes,0.69424725,0.1489231,Prophylaxis / Maintenance,Comparative Treatment Choice,Efficacy / Outcomes,2,two_signal_including_rule,Pharmacotherapy; Epidemiology / Prognosis,Efficacy / Outcomes,medium,model_assisted_schema_review,True,pilot_reviewed,single-treatment efficacy or outcome evidence is the requested output Three-signal status: two_signal_including_rule (rule=Efficacy / Outcomes; prototype=Efficacy / Outcomes; cluster=Comparative Treatment Choice).,pilot; two_signal_including_rule; low_prototype_margin; rare_intent; long_query
Q030,is Losartan safe in Hypertension with liver disease,EN,Cardiology,medium,2-3 entities,one slot,3,Safety / Contraindication,0.8954512,0.87126255,Pharmacotherapy,0.069548965,Safety / Contraindication,1,Safety / Contraindication,Comparative Treatment Choice,0.33822793,0.018643796,Dosing / Administration,Dosing / Administration,,1,three_way_disagreement,Pharmacotherapy,Safety / Contraindication,low,model_assisted_schema_review,True,gold_reviewed,"harm, suitability, contraindication, or pregnancy-safety wording overrides dose when safety is explicit Three-signal status: three_way_disagreement (rule=Safety / Contraindication; prototype=Comparative Treatment Choice; cluster=Dosing / Administration).",three_way_disagreement
Q031,Ibuprofen side effect pada pasien Psoriatic Arthritis apa saja,MIXED,Rheumatology,medium,2-3 entities,none,0,Safety / Contraindication,0.41915825,0.036764055,Pharmacotherapy,0.0040703714,Safety / Contraindication,1,Safety / Contraindication,Comparative Treatment Choice,0.52935207,0.0002015233,Prophylaxis / Maintenance,Comparative Treatment Choice,Comparative Treatment Choice,2,prototype_cluster_against_rule,Pharmacotherapy,Safety / Contraindication,low,model_assisted_schema_review,True,gold_reviewed,"harm, suitability, contraindication, or pregnancy-safety wording overrides dose when safety is explicit Three-signal status: prototype_cluster_against_rule (rule=Safety / Contraindication; prototype=Comparative Treatment Choice; cluster=Comparative Treatment Choice).",prototype_cluster_against_rule; low_prototype_margin; low_candidate_prototype_margin
Q032,interaksi obat Ramipril dan Spironolactone pada Heart Failure,ID,Cardiology,medium,4+ entities,none,0,Interaction / Combination,0.9658287,0.9564689,Pharmacotherapy,0.18101364,Interaction / Combination,1,Interaction / Combination,Comparative Treatment Choice,0.5584078,0.011051476,Prophylaxis / Maintenance,Comparative Treatment Choice,Comparative Treatment Choice,2,prototype_cluster_against_rule,Pharmacotherapy,Interaction / Combination,low,model_assisted_schema_review,True,gold_reviewed,co-administration or interaction overrides general safety Three-signal status: prototype_cluster_against_rule (rule=Interaction / Combination; prototype=Comparative Treatment Choice; cluster=Comparative Treatment Choice).,prototype_cluster_against_rule; low_candidate_prototype_margin; rare_intent
Q044,Malaria with pregnancy first line drug,EN,Infectious Disease,short,2-3 entities,one slot,14,Management / Treatment Selection,0.98180884,0.96883786,Pharmacotherapy,0.069200516,Management / Treatment Selection; Safety / Contraindication,2,Management / Treatment Selection,Safety / Contraindication,0.45546934,0.06764141,Safety / Contraindication,Safety / Contraindication,Safety / Contraindication,2,prototype_cluster_against_rule,Management / Treatment,Management / Treatment Selection,low,model_assisted_schema_review,True,pilot_reviewed,initial treatment choice overrides demographic safety context unless safety is asked Three-signal status: prototype_cluster_against_rule (rule=Management / Treatment Selection; prototype=Safety / Contraindication; cluster=Safety / Contraindication). Multiple cues were resolved with the frozen primary-information-need hierarchy.,pilot; prototype_cluster_against_rule; multi_cue_boundary; short_query
Q047,Tiotropium long term outcomes COPD,EN,Pulmonology,short,2-3 entities,none,0,Efficacy / Outcomes,0.9887477,0.9833311,Epidemiology / Prognosis,0.06624815,Efficacy / Outcomes,1,Efficacy / Outcomes,Efficacy / Outcomes,0.6288654,0.16190714,Prophylaxis / Maintenance,Comparative Treatment Choice,Efficacy / Outcomes,2,two_signal_including_rule,Pharmacotherapy; Epidemiology / Prognosis,Efficacy / Outcomes,medium,model_assisted_schema_review,True,gold_reviewed,single-treatment efficacy or outcome evidence is the requested output Three-signal status: two_signal_including_rule (rule=Efficacy / Outcomes; prototype=Efficacy / Outcomes; cluster=Comparative Treatment Choice).,two_signal_including_rule; rare_intent; short_query
Q049,Calcium channel blockers mechanism untuk Atrial Fibrillation bagaimana cara kerjanya,MIXED,Cardiology,long,2-3 entities,none,6,Mechanism / Background Knowledge,0.96171975,0.9523075,Pharmacotherapy,0.18969372,Mechanism / Background Knowledge,1,Mechanism / Background Knowledge,Mechanism / Background Knowledge,0.5507506,0.10586411,Management / Treatment Selection,Mechanism / Background Knowledge,Mechanism / Background Knowledge,3,unanimous,New dataset-specific class,Mechanism / Background Knowledge,high,model_assisted_schema_review,False,gold_reviewed,mechanism or pathophysiology is explanatory rather than management-oriented Three-signal status: unanimous (rule=Mechanism / Background Knowledge; prototype=Mechanism / Background Knowledge; cluster=Mechanism / Background Knowledge).,rare_intent; long_query
Q051,add on therapy Malaria after Dolutegravir failure,EN,Infectious Disease,medium,2-3 entities,one slot,0,Treatment Change / Escalation,0.99019414,0.98607105,Management / Treatment,0.04653284,Treatment Change / Escalation,1,Treatment Change / Escalation,Efficacy / Outcomes,0.5598161,0.01823467,Prophylaxis / Maintenance,Comparative Treatment Choice,,1,three_way_disagreement,Management / Treatment,Treatment Change / Escalation,low,model_assisted_schema_review,True,gold_reviewed,"failure, resistance, progression, switch, or add-on framing overrides initial selection Three-signal status: three_way_disagreement (rule=Treatment Change / Escalation; prototype=Efficacy / Outcomes; cluster=Comparative Treatment Choice).",three_way_disagreement; low_candidate_prototype_margin
Q052,HIV/AIDS first line Penicillins evidence based,MIXED,Infectious Disease,short,2-3 entities,none,6,Guideline / Evidence Lookup,0.7298272,0.48857287,Pharmacotherapy,0.09217778,Guideline / Evidence Lookup; Management / Treatment Selection,2,Guideline / Evidence Lookup,Management / Treatment Selection,0.4985875,0.058719575,Management / Treatment Selection,Mechanism / Background Knowledge,,1,three_way_disagreement,Evidence / Guideline Lookup,Guideline / Evidence Lookup,low,model_assisted_schema_review,True,gold_reviewed,"explicit evidence, guideline, recency, or year constraint overrides treatment choice Three-signal status: three_way_disagreement (rule=Guideline / Evidence Lookup; prototype=Management / Treatment Selection; cluster=Mechanism / Background Knowledge). Multiple cues were resolved with the frozen primary-information-need hierarchy.",three_way_disagreement; multi_cue_boundary; short_query
Q054,is Empagliflozin safe in Chronic Kidney Disease with renal impairment,EN,Nephrology,long,2-3 entities,one slot,1,Safety / Contraindication,0.88405836,0.84244853,Pharmacotherapy,0.043637544,Safety / Contraindication,1,Safety / Contraindication,Comparative Treatment Choice,0.37649468,0.0019767582,Dosing / Administration,Dosing / Administration,,1,three_way_disagreement,Pharmacotherapy,Safety / Contraindication,low,model_assisted_schema_review,True,gold_reviewed,"harm, suitability, contraindication, or pregnancy-safety wording overrides dose when safety is explicit Three-signal status: three_way_disagreement (rule=Safety / Contraindication; prototype=Comparative Treatment Choice; cluster=Dosing / Administration).",three_way_disagreement; low_candidate_prototype_margin; long_query
Q055,Methimazole side effect pada pasien Hyperthyroidism apa saja,MIXED,Endocrinology,medium,2-3 entities,none,0,Safety / Contraindication,0.41915825,0.036764055,Pharmacotherapy,0.0040703714,Safety / Contraindication,1,Safety / Contraindication,Comparative Treatment Choice,0.52935207,0.0002015233,Prophylaxis / Maintenance,Comparative Treatment Choice,Comparative Treatment Choice,2,prototype_cluster_against_rule,Pharmacotherapy,Safety / Contraindication,low,model_assisted_schema_review,True,gold_reviewed,"harm, suitability, contraindication, or pregnancy-safety wording overrides dose when safety is explicit Three-signal status: prototype_cluster_against_rule (rule=Safety / Contraindication; prototype=Comparative Treatment Choice; cluster=Comparative Treatment Choice).",prototype_cluster_against_rule; low_prototype_margin; low_candidate_prototype_margin
Q057,Dapagliflozin vs Dapagliflozin untuk pasien Chronic Kidney Disease mana lebih efektif,MIXED,Nephrology,long,2-3 entities,one slot,0,Comparative Treatment Choice,0.9871715,0.98253447,Pharmacotherapy,0.038450897,Comparative Treatment Choice,1,Comparative Treatment Choice,Comparative Treatment Choice,0.6681697,0.13081044,Prophylaxis / Maintenance,Comparative Treatment Choice,Comparative Treatment Choice,3,unanimous,Pharmacotherapy,Comparative Treatment Choice,high,model_assisted_schema_review,False,gold_reviewed,explicit comparison overrides single-treatment efficacy Three-signal status: unanimous (rule=Comparative Treatment Choice; prototype=Comparative Treatment Choice; cluster=Comparative Treatment Choice).,rare_intent; long_query
Q058,Thrombolytics role in Ischaemic Stroke pathophysiology,EN,Neurology,short,2-3 entities,none,6,Mechanism / Background Knowledge,0.9630916,0.953808,Pharmacotherapy,0.118331194,Mechanism / Background Knowledge,1,Mechanism / Background Knowledge,Mechanism / Background Knowledge,0.5368707,0.12084818,Management / Treatment Selection,Mechanism / Background Knowledge,Mechanism / Background Knowledge,3,unanimous,New dataset-specific class,Mechanism / Background Knowledge,high,model_assisted_schema_review,False,pilot_reviewed,mechanism or pathophysiology is explanatory rather than management-oriented Three-signal status: unanimous (rule=Mechanism / Background Knowledge; prototype=Mechanism / Background Knowledge; cluster=Mechanism / Background Knowledge).,pilot; rare_intent; short_query
Q061,Epilepsy first line Antiepileptics other evidence based,MIXED,Neurology,medium,2-3 entities,none,6,Guideline / Evidence Lookup,0.7298272,0.48857287,Pharmacotherapy,0.09217778,Guideline / Evidence Lookup; Management / Treatment Selection,2,Guideline / Evidence Lookup,Management / Treatment Selection,0.4985875,0.058719575,Management / Treatment Selection,Mechanism / Background Knowledge,,1,three_way_disagreement,Evidence / Guideline Lookup,Guideline / Evidence Lookup,low,model_assisted_schema_review,True,gold_reviewed,"explicit evidence, guideline, recency, or year constraint overrides treatment choice Three-signal status: three_way_disagreement (rule=Guideline / Evidence Lookup; prototype=Management / Treatment Selection; cluster=Mechanism / Background Knowledge). Multiple cues were resolved with the frozen primary-information-need hierarchy.",three_way_disagreement; multi_cue_boundary
Q065,Semaglutide efficacy pada Type 2 Diabetes Mellitus clinical outcome data,MIXED,Endocrinology,long,2-3 entities,none,0,Efficacy / Outcomes,0.985386,0.97804695,Epidemiology / Prognosis,0.003800869,Efficacy / Outcomes,1,Efficacy / Outcomes,Efficacy / Outcomes,0.69424725,0.1489231,Prophylaxis / Maintenance,Comparative Treatment Choice,Efficacy / Outcomes,2,two_signal_including_rule,Pharmacotherapy; Epidemiology / Prognosis,Efficacy / Outcomes,medium,model_assisted_schema_review,True,pilot_reviewed,single-treatment efficacy or outcome evidence is the requested output Three-signal status: two_signal_including_rule (rule=Efficacy / Outcomes; prototype=Efficacy / Outcomes; cluster=Comparative Treatment Choice).,pilot; two_signal_including_rule; low_prototype_margin; rare_intent; long_query
Q067,kapan start Atorvastatin di Acute Coronary Syndrome evidence terbaru 2025,MIXED,Cardiology,long,2-3 entities,multiple slots,0,Guideline / Evidence Lookup,0.94005793,0.91178095,Evidence / Guideline Lookup,0.049595058,Guideline / Evidence Lookup; Management / Treatment Selection,2,Guideline / Evidence Lookup,Management / Treatment Selection,0.46873483,0.017838597,Prophylaxis / Maintenance,Comparative Treatment Choice,,1,three_way_disagreement,Evidence / Guideline Lookup,Guideline / Evidence Lookup,low,model_assisted_schema_review,True,pilot_reviewed,"explicit evidence, guideline, recency, or year constraint overrides treatment choice Three-signal status: three_way_disagreement (rule=Guideline / Evidence Lookup; prototype=Management / Treatment Selection; cluster=Comparative Treatment Choice). Multiple cues were resolved with the frozen primary-information-need hierarchy.",pilot; three_way_disagreement; multi_cue_boundary; low_candidate_prototype_margin; long_query
Q068,Labetalol resistance in Hypertension in Pregnancy alternative therapy,EN,Obstetrics,medium,2-3 entities,multiple slots,0,Interaction / Combination,0.40348408,0.18624467,Pharmacotherapy,0.018035889,Treatment Change / Escalation,1,Treatment Change / Escalation,Comparative Treatment Choice,0.5853206,0.09347534,Prophylaxis / Maintenance,Comparative Treatment Choice,Comparative Treatment Choice,2,prototype_cluster_against_rule,Management / Treatment,Treatment Change / Escalation,low,model_assisted_schema_review,True,pilot_reviewed,"failure, resistance, progression, switch, or add-on framing overrides initial selection Three-signal status: prototype_cluster_against_rule (rule=Treatment Change / Escalation; prototype=Comparative Treatment Choice; cluster=Comparative Treatment Choice). Phase 2 suggestion 'Interaction / Combination' was not retained because the explicit request maps to 'Treatment Change / Escalation'.",pilot; prototype_cluster_against_rule; phase2_model_disagreement
Q069,dosis titrasi Alendronate Osteoporosis toleransi pasien,MIXED,Rheumatology,short,2-3 entities,one slot,5,Dosing / Administration,0.91047275,0.8685019,Epidemiology / Prognosis,0.0049081445,Dosing / Administration,1,Dosing / Administration,Efficacy / Outcomes,0.53874236,0.0329507,Efficacy / Outcomes,Efficacy / Outcomes,Efficacy / Outcomes,2,prototype_cluster_against_rule,Pharmacotherapy,Dosing / Administration,low,model_assisted_schema_review,True,gold_reviewed,requested regimen or adjustment determines the primary information need Three-signal status: prototype_cluster_against_rule (rule=Dosing / Administration; prototype=Efficacy / Outcomes; cluster=Efficacy / Outcomes).,prototype_cluster_against_rule; low_prototype_margin; short_query
Q071,Vancomycin vs Piperacillin-tazobactam in Sepsis patients,EN,Critical Care,short,4+ entities,one slot,0,Comparative Treatment Choice,0.98690945,0.982131,Pharmacotherapy,0.037023067,Comparative Treatment Choice,1,Comparative Treatment Choice,Comparative Treatment Choice,0.60442096,0.10131985,Prophylaxis / Maintenance,Comparative Treatment Choice,Comparative Treatment Choice,3,unanimous,Pharmacotherapy,Comparative Treatment Choice,high,model_assisted_schema_review,False,gold_reviewed,explicit comparison overrides single-treatment efficacy Three-signal status: unanimous (rule=Comparative Treatment Choice; prototype=Comparative Treatment Choice; cluster=Comparative Treatment Choice).,rare_intent; short_query
Q073,is Valproate safe in Epilepsy with hypertension,EN,Neurology,medium,2-3 entities,none,1,Safety / Contraindication,0.899799,0.87759966,Evidence / Guideline Lookup,0.009879857,Safety / Contraindication,1,Safety / Contraindication,Comparative Treatment Choice,0.39009082,0.009806633,Dosing / Administration,Dosing / Administration,,1,three_way_disagreement,Pharmacotherapy,Safety / Contraindication,low,model_assisted_schema_review,True,gold_reviewed,"harm, suitability, contraindication, or pregnancy-safety wording overrides dose when safety is explicit Three-signal status: three_way_disagreement (rule=Safety / Contraindication; prototype=Comparative Treatment Choice; cluster=Dosing / Administration).",three_way_disagreement; low_prototype_margin; low_candidate_prototype_margin
Q080,Urinary Tract Infection dengan obesity pilihan drug terbaik,MIXED,Infectious Disease,medium,2-3 entities,none,2,Management / Treatment Selection,0.992386,0.98802394,Pharmacotherapy,0.14652044,Management / Treatment Selection,1,Management / Treatment Selection,Comparative Treatment Choice,0.42079872,0.008530647,Comparative Treatment Choice,Safety / Contraindication,,1,three_way_disagreement,Management / Treatment,Management / Treatment Selection,low,model_assisted_schema_review,True,gold_reviewed,initial treatment choice overrides demographic safety context unless safety is asked Three-signal status: three_way_disagreement (rule=Management / Treatment Selection; prototype=Comparative Treatment Choice; cluster=Safety / Contraindication).,three_way_disagreement; low_candidate_prototype_margin
Q081,Stable Angina dengan hypertension pilihan drug terbaik,MIXED,Cardiology,medium,2-3 entities,none,1,Management / Treatment Selection,0.9922327,0.98775274,Pharmacotherapy,0.043848574,Management / Treatment Selection,1,Management / Treatment Selection,Comparative Treatment Choice,0.4422769,0.012139976,Dosing / Administration,Dosing / Administration,,1,three_way_disagreement,Management / Treatment,Management / Treatment Selection,low,model_assisted_schema_review,True,pilot_reviewed,initial treatment choice overrides demographic safety context unless safety is asked Three-signal status: three_way_disagreement (rule=Management / Treatment Selection; prototype=Comparative Treatment Choice; cluster=Dosing / Administration).,pilot; three_way_disagreement; low_candidate_prototype_margin
Q085,Methylphenidate vs Methylphenidate efficacy in Breast Cancer HER2-positive,EN,Oncology,medium,2-3 entities,one slot,0,Comparative Treatment Choice,0.9547989,0.93330324,Pharmacotherapy,0.096405566,Comparative Treatment Choice; Efficacy / Outcomes,2,Comparative Treatment Choice,Comparative Treatment Choice,0.64594364,0.043855608,Prophylaxis / Maintenance,Comparative Treatment Choice,Comparative Treatment Choice,3,unanimous,Pharmacotherapy,Comparative Treatment Choice,medium,model_assisted_schema_review,True,pilot_reviewed,explicit comparison overrides single-treatment efficacy Three-signal status: unanimous (rule=Comparative Treatment Choice; prototype=Comparative Treatment Choice; cluster=Comparative Treatment Choice). Multiple cues were resolved with the frozen primary-information-need hierarchy.,pilot; multi_cue_boundary; rare_intent
Q087,Rheumatoid Arthritis dengan renal impairment pilihan drug terbaik,MIXED,Rheumatology,medium,2-3 entities,one slot,1,Management / Treatment Selection,0.9917514,0.9880166,Pharmacotherapy,0.106499076,Management / Treatment Selection,1,Management / Treatment Selection,Comparative Treatment Choice,0.43345293,0.049470782,Dosing / Administration,Dosing / Administration,,1,three_way_disagreement,Management / Treatment,Management / Treatment Selection,low,model_assisted_schema_review,True,gold_reviewed,initial treatment choice overrides demographic safety context unless safety is asked Three-signal status: three_way_disagreement (rule=Management / Treatment Selection; prototype=Comparative Treatment Choice; cluster=Dosing / Administration).,three_way_disagreement
