query_id,query_text,cluster_id,rule_intent_signal,prototype_intent_signal,prototype_top_score,prototype_second_score,prototype_margin,cluster_intent_signal_initial,cluster_intent_signal,signal_plurality_intent,signal_max_votes,signal_agreement,schema_adjudicated_intent,gold_set_membership,review_flag
Q012,Artemether-lumefantrine pada pasien elderly Typhoid Fever apa perlu adjustment,8,Dosing / Administration,Efficacy / Outcomes,0.45368794,0.4309635,0.02272445,Efficacy / Outcomes,Efficacy / Outcomes,Efficacy / Outcomes,2,prototype_cluster_against_rule,Dosing / Administration,not_reviewed,True
Q013,kontraindikasi Bedaquiline pada Tuberculosis dengan anaemia,12,Safety / Contraindication,Comparative Treatment Choice,0.38313147,0.3617388,0.021392673,Comparative Treatment Choice,Safety / Contraindication,Safety / Contraindication,2,two_signal_including_rule,Safety / Contraindication,not_reviewed,True
Q014,Malaria pediatric dosing Tenofovir disoproxil,10,Dosing / Administration,Dosing / Administration,0.5242417,0.36827773,0.15596396,Dosing / Administration,Dosing / Administration,Dosing / Administration,3,unanimous,Dosing / Administration,not_reviewed,False
Q015,Peptic Ulcer Disease prophylaxis Lansoprazole indication,0,Prophylaxis / Maintenance,Prophylaxis / Maintenance,0.5617696,0.3359575,0.2258121,Prophylaxis / Maintenance,Comparative Treatment Choice,Prophylaxis / Maintenance,2,two_signal_including_rule,Prophylaxis / Maintenance,gold_reviewed,True
Q016,is Bortezomib safe in Rheumatoid Arthritis with renal impairment,1,Safety / Contraindication,Comparative Treatment Choice,0.37649468,0.37451792,0.0019767582,Dosing / Administration,Dosing / Administration,,1,three_way_disagreement,Safety / Contraindication,not_reviewed,True
Q017,PD-1 inhibitors mechanism untuk Colorectal Cancer bagaimana cara kerjanya,6,Mechanism / Background Knowledge,Mechanism / Background Knowledge,0.5507506,0.4448865,0.10586411,Management / Treatment Selection,Mechanism / Background Knowledge,Mechanism / Background Knowledge,3,unanimous,Mechanism / Background Knowledge,not_reviewed,False
Q018,interaksi obat Losartan dan Empagliflozin pada Chronic Kidney Disease,0,Interaction / Combination,Comparative Treatment Choice,0.5584078,0.5473563,0.011051476,Prophylaxis / Maintenance,Comparative Treatment Choice,Comparative Treatment Choice,2,prototype_cluster_against_rule,Interaction / Combination,gold_reviewed,True
Q019,Rheumatoid Arthritis dengan renal impairment penyesuaian dosis Bortezomib,1,Dosing / Administration,Dosing / Administration,0.44303322,0.37760088,0.06543234,Dosing / Administration,Dosing / Administration,Dosing / Administration,3,unanimous,Dosing / Administration,not_reviewed,False
Q020,latest Malaria management guidelines 2025,0,Guideline / Evidence Lookup,Management / Treatment Selection,0.501771,0.45513088,0.046640098,Prophylaxis / Maintenance,Comparative Treatment Choice,,1,three_way_disagreement,Guideline / Evidence Lookup,not_reviewed,True
Q021,dosis titrasi Tenofovir disoproxil Malaria toleransi pasien,5,Dosing / Administration,Efficacy / Outcomes,0.53874236,0.50579166,0.0329507,Efficacy / Outcomes,Efficacy / Outcomes,Efficacy / Outcomes,2,prototype_cluster_against_rule,Dosing / Administration,not_reviewed,True
Q022,resistensi Methyldopa pada Hypertension in Pregnancy alternatif Methyldopa,0,Treatment Change / Escalation,Comparative Treatment Choice,0.52945685,0.4643262,0.06513065,Prophylaxis / Maintenance,Comparative Treatment Choice,Comparative Treatment Choice,2,prototype_cluster_against_rule,Treatment Change / Escalation,not_reviewed,True
Q023,indikasi Sitagliptin pada Type 2 Diabetes Mellitus guideline terbaru,0,Guideline / Evidence Lookup,Management / Treatment Selection,0.51540405,0.4784963,0.036907732,Prophylaxis / Maintenance,Comparative Treatment Choice,,1,three_way_disagreement,Guideline / Evidence Lookup,pilot_reviewed,True
Q024,Gout dengan renal impairment penyesuaian dosis Adalimumab,1,Dosing / Administration,Dosing / Administration,0.44303322,0.37760088,0.06543234,Dosing / Administration,Dosing / Administration,Dosing / Administration,3,unanimous,Dosing / Administration,not_reviewed,False
Q025,Acute Coronary Syndrome guideline update 2023 summary,0,Guideline / Evidence Lookup,Guideline / Evidence Lookup,0.505839,0.39763513,0.10820386,Prophylaxis / Maintenance,Comparative Treatment Choice,Guideline / Evidence Lookup,2,two_signal_including_rule,Guideline / Evidence Lookup,not_reviewed,True
Q026,kontraindikasi Labetalol pada Hypertension in Pregnancy dengan atrial fibrillation,13,Safety / Contraindication,Prophylaxis / Maintenance,0.37290782,0.32268217,0.050225645,Prophylaxis / Maintenance,Prophylaxis / Maintenance,Prophylaxis / Maintenance,2,prototype_cluster_against_rule,Safety / Contraindication,pilot_reviewed,True
Q027,Vitamin A adverse effects monitoring in Stunting / Malnutrition,6,Safety / Contraindication,Monitoring / Response / Risk Assessment,0.55006033,0.5165181,0.033542216,Management / Treatment Selection,Mechanism / Background Knowledge,,1,three_way_disagreement,Safety / Contraindication,pilot_reviewed,True
Q028,ACE inhibitors adverse effects monitoring in Hypertension,6,Safety / Contraindication,Monitoring / Response / Risk Assessment,0.5217008,0.4623251,0.059375703,Management / Treatment Selection,Mechanism / Background Knowledge,,1,three_way_disagreement,Safety / Contraindication,pilot_reviewed,True
Q029,Empagliflozin efficacy pada Type 2 Diabetes Mellitus clinical outcome data,0,Efficacy / Outcomes,Efficacy / Outcomes,0.69424725,0.54532415,0.1489231,Prophylaxis / Maintenance,Comparative Treatment Choice,Efficacy / Outcomes,2,two_signal_including_rule,Efficacy / Outcomes,pilot_reviewed,True
Q030,is Losartan safe in Hypertension with liver disease,3,Safety / Contraindication,Comparative Treatment Choice,0.33822793,0.31958413,0.018643796,Dosing / Administration,Dosing / Administration,,1,three_way_disagreement,Safety / Contraindication,gold_reviewed,True
Q031,Ibuprofen side effect pada pasien Psoriatic Arthritis apa saja,0,Safety / Contraindication,Comparative Treatment Choice,0.52935207,0.52915055,0.0002015233,Prophylaxis / Maintenance,Comparative Treatment Choice,Comparative Treatment Choice,2,prototype_cluster_against_rule,Safety / Contraindication,gold_reviewed,True
Q032,interaksi obat Ramipril dan Spironolactone pada Heart Failure,0,Interaction / Combination,Comparative Treatment Choice,0.5584078,0.5473563,0.011051476,Prophylaxis / Maintenance,Comparative Treatment Choice,Comparative Treatment Choice,2,prototype_cluster_against_rule,Interaction / Combination,gold_reviewed,True
Q033,dosis Semaglutide pada Obesity pasien hypertension aman tidak,1,Safety / Contraindication,Dosing / Administration,0.44905895,0.39508325,0.0539757,Dosing / Administration,Dosing / Administration,Dosing / Administration,2,prototype_cluster_against_rule,Safety / Contraindication,not_reviewed,True
Q034,Typhoid Fever treatment algorithm Antimalarials first line,6,Management / Treatment Selection,Management / Treatment Selection,0.65461355,0.4780019,0.17661166,Management / Treatment Selection,Mechanism / Background Knowledge,Management / Treatment Selection,2,two_signal_including_rule,Management / Treatment Selection,not_reviewed,True
Q035,algoritma terapi HIV/AIDS step up,11,Management / Treatment Selection,Management / Treatment Selection,0.4450853,0.39938256,0.045702726,Management / Treatment Selection,Management / Treatment Selection,Management / Treatment Selection,3,unanimous,Management / Treatment Selection,not_reviewed,False
Q036,Atrial Fibrillation pediatric dosing Empagliflozin,10,Dosing / Administration,Dosing / Administration,0.5242417,0.36827773,0.15596396,Dosing / Administration,Dosing / Administration,Dosing / Administration,3,unanimous,Dosing / Administration,not_reviewed,False
Q037,SSRIs in pregnancy and ADHD,14,Safety / Contraindication,Safety / Contraindication,0.44444117,0.33284876,0.11159241,Safety / Contraindication,Safety / Contraindication,Safety / Contraindication,3,unanimous,Safety / Contraindication,not_reviewed,False
Q038,Integrase inhibitors terbaru untuk Malaria terbaru,6,Guideline / Evidence Lookup,Comparative Treatment Choice,0.46547943,0.46057844,0.004900992,Management / Treatment Selection,Mechanism / Background Knowledge,,1,three_way_disagreement,Guideline / Evidence Lookup,not_reviewed,True
Q039,algoritma terapi Chronic Kidney Disease step up,11,Management / Treatment Selection,Management / Treatment Selection,0.4450853,0.39938256,0.045702726,Management / Treatment Selection,Management / Treatment Selection,Management / Treatment Selection,3,unanimous,Management / Treatment Selection,not_reviewed,False
Q040,resistensi Desmopressin pada Diabetes Insipidus alternatif Desmopressin,0,Treatment Change / Escalation,Comparative Treatment Choice,0.52945685,0.4643262,0.06513065,Prophylaxis / Maintenance,Comparative Treatment Choice,Comparative Treatment Choice,2,prototype_cluster_against_rule,Treatment Change / Escalation,not_reviewed,True
Q041,SGLT2 inhibitors mechanism of action in Chronic Kidney Disease,6,Mechanism / Background Knowledge,Mechanism / Background Knowledge,0.5774651,0.47366923,0.103795886,Management / Treatment Selection,Mechanism / Background Knowledge,Mechanism / Background Knowledge,3,unanimous,Mechanism / Background Knowledge,not_reviewed,False
Q042,switch from Piperacillin-tazobactam to Norepinephrine in Sepsis,0,Treatment Change / Escalation,Management / Treatment Selection,0.5299046,0.48177612,0.048128486,Prophylaxis / Maintenance,Comparative Treatment Choice,,1,three_way_disagreement,Treatment Change / Escalation,not_reviewed,True
Q043,Thyroid hormones kontraindikasi pada Hyperthyroidism dengan hepatic impairment,3,Safety / Contraindication,Dosing / Administration,0.34684262,0.3285951,0.018247515,Dosing / Administration,Dosing / Administration,Dosing / Administration,2,prototype_cluster_against_rule,Safety / Contraindication,not_reviewed,True
Q044,Malaria with pregnancy first line drug,14,Management / Treatment Selection,Safety / Contraindication,0.45546934,0.38782793,0.06764141,Safety / Contraindication,Safety / Contraindication,Safety / Contraindication,2,prototype_cluster_against_rule,Management / Treatment Selection,pilot_reviewed,True
Q045,switch from Diazepam to Diazepam in Febrile Seizure,0,Treatment Change / Escalation,Management / Treatment Selection,0.5299046,0.48177612,0.048128486,Prophylaxis / Maintenance,Comparative Treatment Choice,,1,three_way_disagreement,Treatment Change / Escalation,not_reviewed,True
Q046,kapan mulai terapi Adalimumab pada Gout,0,Management / Treatment Selection,Management / Treatment Selection,0.5741702,0.5140454,0.060124755,Prophylaxis / Maintenance,Comparative Treatment Choice,Management / Treatment Selection,2,two_signal_including_rule,Management / Treatment Selection,not_reviewed,True
Q047,Tiotropium long term outcomes COPD,0,Efficacy / Outcomes,Efficacy / Outcomes,0.6288654,0.46695828,0.16190714,Prophylaxis / Maintenance,Comparative Treatment Choice,Efficacy / Outcomes,2,two_signal_including_rule,Efficacy / Outcomes,gold_reviewed,True
Q048,Ibuprofen long term outcomes Systemic Lupus Erythematosus,0,Efficacy / Outcomes,Efficacy / Outcomes,0.6288654,0.46695828,0.16190714,Prophylaxis / Maintenance,Comparative Treatment Choice,Efficacy / Outcomes,2,two_signal_including_rule,Efficacy / Outcomes,not_reviewed,True
Q049,Calcium channel blockers mechanism untuk Atrial Fibrillation bagaimana cara kerjanya,6,Mechanism / Background Knowledge,Mechanism / Background Knowledge,0.5507506,0.4448865,0.10586411,Management / Treatment Selection,Mechanism / Background Knowledge,Mechanism / Background Knowledge,3,unanimous,Mechanism / Background Knowledge,gold_reviewed,False
Q050,Levofloxacin hepatic impairment dose in HIV/AIDS,3,Dosing / Administration,Dosing / Administration,0.5087169,0.29358795,0.21512893,Dosing / Administration,Dosing / Administration,Dosing / Administration,3,unanimous,Dosing / Administration,not_reviewed,False
Q051,add on therapy Malaria after Dolutegravir failure,0,Treatment Change / Escalation,Efficacy / Outcomes,0.5598161,0.54158145,0.01823467,Prophylaxis / Maintenance,Comparative Treatment Choice,,1,three_way_disagreement,Treatment Change / Escalation,gold_reviewed,True
Q052,HIV/AIDS first line Penicillins evidence based,6,Guideline / Evidence Lookup,Management / Treatment Selection,0.4985875,0.4398679,0.058719575,Management / Treatment Selection,Mechanism / Background Knowledge,,1,three_way_disagreement,Guideline / Evidence Lookup,gold_reviewed,True
Q053,Atypical antipsychotics mechanism of action in Schizophrenia,6,Mechanism / Background Knowledge,Mechanism / Background Knowledge,0.5774651,0.47366923,0.103795886,Management / Treatment Selection,Mechanism / Background Knowledge,Mechanism / Background Knowledge,3,unanimous,Mechanism / Background Knowledge,not_reviewed,False
Q054,is Empagliflozin safe in Chronic Kidney Disease with renal impairment,1,Safety / Contraindication,Comparative Treatment Choice,0.37649468,0.37451792,0.0019767582,Dosing / Administration,Dosing / Administration,,1,three_way_disagreement,Safety / Contraindication,gold_reviewed,True
Q055,Methimazole side effect pada pasien Hyperthyroidism apa saja,0,Safety / Contraindication,Comparative Treatment Choice,0.52935207,0.52915055,0.0002015233,Prophylaxis / Maintenance,Comparative Treatment Choice,Comparative Treatment Choice,2,prototype_cluster_against_rule,Safety / Contraindication,gold_reviewed,True
Q056,Sepsis emergency Piperacillin-tazobactam loading dose berapa,10,Dosing / Administration,Dosing / Administration,0.5372723,0.33792996,0.19934231,Dosing / Administration,Dosing / Administration,Dosing / Administration,3,unanimous,Dosing / Administration,not_reviewed,False
Q057,Dapagliflozin vs Dapagliflozin untuk pasien Chronic Kidney Disease mana lebih efektif,0,Comparative Treatment Choice,Comparative Treatment Choice,0.6681697,0.53735924,0.13081044,Prophylaxis / Maintenance,Comparative Treatment Choice,Comparative Treatment Choice,3,unanimous,Comparative Treatment Choice,gold_reviewed,False
Q058,Thrombolytics role in Ischaemic Stroke pathophysiology,6,Mechanism / Background Knowledge,Mechanism / Background Knowledge,0.5368707,0.41602254,0.12084818,Management / Treatment Selection,Mechanism / Background Knowledge,Mechanism / Background Knowledge,3,unanimous,Mechanism / Background Knowledge,pilot_reviewed,False
Q059,switch dari Dupilumab ke Cyclosporine Psoriasis progresif,0,Treatment Change / Escalation,Comparative Treatment Choice,0.43255907,0.43103832,0.0015207529,Prophylaxis / Maintenance,Comparative Treatment Choice,Comparative Treatment Choice,2,prototype_cluster_against_rule,Treatment Change / Escalation,not_reviewed,True
Q060,Migraine with liver disease first line drug,3,Management / Treatment Selection,Management / Treatment Selection,0.37317178,0.35830876,0.014863014,Dosing / Administration,Dosing / Administration,Management / Treatment Selection,2,two_signal_including_rule,Management / Treatment Selection,not_reviewed,True
Q061,Epilepsy first line Antiepileptics other evidence based,6,Guideline / Evidence Lookup,Management / Treatment Selection,0.4985875,0.4398679,0.058719575,Management / Treatment Selection,Mechanism / Background Knowledge,,1,three_way_disagreement,Guideline / Evidence Lookup,gold_reviewed,True
Q062,latest COPD management guidelines terbaru,0,Guideline / Evidence Lookup,Management / Treatment Selection,0.541885,0.47759482,0.064290196,Prophylaxis / Maintenance,Comparative Treatment Choice,,1,three_way_disagreement,Guideline / Evidence Lookup,not_reviewed,True
Q063,Malaria pada anak dosis Tenofovir disoproxil,10,Dosing / Administration,Dosing / Administration,0.41690025,0.38103405,0.0358662,Dosing / Administration,Dosing / Administration,Dosing / Administration,3,unanimous,Dosing / Administration,not_reviewed,False
Q064,monitoring parameters Methyldopa in Hypertension in Pregnancy,6,Monitoring / Response / Risk Assessment,Prophylaxis / Maintenance,0.51753473,0.51214546,0.005389273,Management / Treatment Selection,Mechanism / Background Knowledge,,1,three_way_disagreement,Monitoring / Response / Risk Assessment,not_reviewed,True
Q065,Semaglutide efficacy pada Type 2 Diabetes Mellitus clinical outcome data,0,Efficacy / Outcomes,Efficacy / Outcomes,0.69424725,0.54532415,0.1489231,Prophylaxis / Maintenance,Comparative Treatment Choice,Efficacy / Outcomes,2,two_signal_including_rule,Efficacy / Outcomes,pilot_reviewed,True
Q066,monitoring parameters Rosuvastatin in Acute Coronary Syndrome,6,Monitoring / Response / Risk Assessment,Prophylaxis / Maintenance,0.51753473,0.51214546,0.005389273,Management / Treatment Selection,Mechanism / Background Knowledge,,1,three_way_disagreement,Monitoring / Response / Risk Assessment,not_reviewed,True
Q067,kapan start Atorvastatin di Acute Coronary Syndrome evidence terbaru 2025,0,Guideline / Evidence Lookup,Management / Treatment Selection,0.46873483,0.45089623,0.017838597,Prophylaxis / Maintenance,Comparative Treatment Choice,,1,three_way_disagreement,Guideline / Evidence Lookup,pilot_reviewed,True
Q068,Labetalol resistance in Hypertension in Pregnancy alternative therapy,0,Treatment Change / Escalation,Comparative Treatment Choice,0.5853206,0.49184525,0.09347534,Prophylaxis / Maintenance,Comparative Treatment Choice,Comparative Treatment Choice,2,prototype_cluster_against_rule,Treatment Change / Escalation,pilot_reviewed,True
Q069,dosis titrasi Alendronate Osteoporosis toleransi pasien,5,Dosing / Administration,Efficacy / Outcomes,0.53874236,0.50579166,0.0329507,Efficacy / Outcomes,Efficacy / Outcomes,Efficacy / Outcomes,2,prototype_cluster_against_rule,Dosing / Administration,gold_reviewed,True
Q070,Furosemide long term outcomes Nephrotic Syndrome,0,Efficacy / Outcomes,Efficacy / Outcomes,0.6288654,0.46695828,0.16190714,Prophylaxis / Maintenance,Comparative Treatment Choice,Efficacy / Outcomes,2,two_signal_including_rule,Efficacy / Outcomes,not_reviewed,True
Q071,Vancomycin vs Piperacillin-tazobactam in Sepsis patients,0,Comparative Treatment Choice,Comparative Treatment Choice,0.60442096,0.5031011,0.10131985,Prophylaxis / Maintenance,Comparative Treatment Choice,Comparative Treatment Choice,3,unanimous,Comparative Treatment Choice,gold_reviewed,False
Q072,prophylaxis Typhoid Fever Artemether-lumefantrine kapan bisa dihentikan,0,Prophylaxis / Maintenance,Prophylaxis / Maintenance,0.6768577,0.429256,0.24760172,Prophylaxis / Maintenance,Comparative Treatment Choice,Prophylaxis / Maintenance,2,two_signal_including_rule,Prophylaxis / Maintenance,not_reviewed,True
Q073,is Valproate safe in Epilepsy with hypertension,1,Safety / Contraindication,Comparative Treatment Choice,0.39009082,0.3802842,0.009806633,Dosing / Administration,Dosing / Administration,,1,three_way_disagreement,Safety / Contraindication,gold_reviewed,True
Q074,Zinc supplements role in Stunting / Malnutrition pathophysiology,6,Mechanism / Background Knowledge,Mechanism / Background Knowledge,0.5368707,0.41602254,0.12084818,Management / Treatment Selection,Mechanism / Background Knowledge,Mechanism / Background Knowledge,3,unanimous,Mechanism / Background Knowledge,not_reviewed,False
Q075,Psoriasis guideline update terbaru summary,0,Guideline / Evidence Lookup,Guideline / Evidence Lookup,0.48310268,0.39330178,0.089800894,Prophylaxis / Maintenance,Comparative Treatment Choice,Guideline / Evidence Lookup,2,two_signal_including_rule,Guideline / Evidence Lookup,not_reviewed,True
Q076,Acute Coronary Syndrome dengan renal impairment penyesuaian dosis Ezetimibe,1,Dosing / Administration,Dosing / Administration,0.44303322,0.37760088,0.06543234,Dosing / Administration,Dosing / Administration,Dosing / Administration,3,unanimous,Dosing / Administration,not_reviewed,False
Q077,algoritma terapi Iron Deficiency Anaemia step up,11,Management / Treatment Selection,Management / Treatment Selection,0.4450853,0.39938256,0.045702726,Management / Treatment Selection,Management / Treatment Selection,Management / Treatment Selection,3,unanimous,Management / Treatment Selection,not_reviewed,False
Q078,apakah Risperidone aman untuk Schizophrenia dengan anaemia,12,Safety / Contraindication,Comparative Treatment Choice,0.3872636,0.34171823,0.04554537,Comparative Treatment Choice,Safety / Contraindication,Safety / Contraindication,2,two_signal_including_rule,Safety / Contraindication,not_reviewed,True
Q079,Benzodiazepines mechanism of action in Febrile Seizure,6,Mechanism / Background Knowledge,Mechanism / Background Knowledge,0.5774651,0.47366923,0.103795886,Management / Treatment Selection,Mechanism / Background Knowledge,Mechanism / Background Knowledge,3,unanimous,Mechanism / Background Knowledge,not_reviewed,False
Q080,Urinary Tract Infection dengan obesity pilihan drug terbaik,2,Management / Treatment Selection,Comparative Treatment Choice,0.42079872,0.41226807,0.008530647,Comparative Treatment Choice,Safety / Contraindication,,1,three_way_disagreement,Management / Treatment Selection,gold_reviewed,True
Q081,Stable Angina dengan hypertension pilihan drug terbaik,1,Management / Treatment Selection,Comparative Treatment Choice,0.4422769,0.43013692,0.012139976,Dosing / Administration,Dosing / Administration,,1,three_way_disagreement,Management / Treatment Selection,pilot_reviewed,True
Q082,add on therapy Tuberculosis after Isoniazid failure,0,Treatment Change / Escalation,Efficacy / Outcomes,0.5598161,0.54158145,0.01823467,Prophylaxis / Maintenance,Comparative Treatment Choice,,1,three_way_disagreement,Treatment Change / Escalation,not_reviewed,True
Q083,latest Pulmonary Embolism management guidelines terbaru,0,Guideline / Evidence Lookup,Management / Treatment Selection,0.541885,0.47759482,0.064290196,Prophylaxis / Maintenance,Comparative Treatment Choice,,1,three_way_disagreement,Guideline / Evidence Lookup,not_reviewed,True
Q084,algoritma terapi COPD step up,11,Management / Treatment Selection,Management / Treatment Selection,0.4450853,0.39938256,0.045702726,Management / Treatment Selection,Management / Treatment Selection,Management / Treatment Selection,3,unanimous,Management / Treatment Selection,not_reviewed,False
Q085,Methylphenidate vs Methylphenidate efficacy in Breast Cancer HER2-positive,0,Comparative Treatment Choice,Comparative Treatment Choice,0.64594364,0.60208803,0.043855608,Prophylaxis / Maintenance,Comparative Treatment Choice,Comparative Treatment Choice,3,unanimous,Comparative Treatment Choice,pilot_reviewed,True
Q086,add on Norepinephrine setelah Piperacillin-tazobactam gagal Sepsis,0,Treatment Change / Escalation,Management / Treatment Selection,0.54273015,0.5365323,0.00619787,Prophylaxis / Maintenance,Comparative Treatment Choice,,1,three_way_disagreement,Treatment Change / Escalation,not_reviewed,True
Q087,Rheumatoid Arthritis dengan renal impairment pilihan drug terbaik,1,Management / Treatment Selection,Comparative Treatment Choice,0.43345293,0.38398215,0.049470782,Dosing / Administration,Dosing / Administration,,1,three_way_disagreement,Management / Treatment Selection,gold_reviewed,True
Q088,renal dose adjustment Diazepam in Febrile Seizure,1,Dosing / Administration,Dosing / Administration,0.5813786,0.4211757,0.16020289,Dosing / Administration,Dosing / Administration,Dosing / Administration,3,unanimous,Dosing / Administration,not_reviewed,False
Q089,biomarkers Community-acquired Pneumonia treatment response Rivaroxaban,0,Monitoring / Response / Risk Assessment,Efficacy / Outcomes,0.5303659,0.47608316,0.054282725,Prophylaxis / Maintenance,Comparative Treatment Choice,,1,three_way_disagreement,Monitoring / Response / Risk Assessment,pilot_reviewed,True
Q090,algoritma terapi Community-acquired Pneumonia step up,11,Management / Treatment Selection,Management / Treatment Selection,0.4450853,0.39938256,0.045702726,Management / Treatment Selection,Management / Treatment Selection,Management / Treatment Selection,3,unanimous,Management / Treatment Selection,not_reviewed,False
Q091,Liraglutide pada pasien elderly Obesity apa perlu adjustment,8,Dosing / Administration,Efficacy / Outcomes,0.45368794,0.4309635,0.02272445,Efficacy / Outcomes,Efficacy / Outcomes,Efficacy / Outcomes,2,prototype_cluster_against_rule,Dosing / Administration,not_reviewed,True
Q092,switch dari Levothyroxine ke Levothyroxine Hyperthyroidism progresif,0,Treatment Change / Escalation,Comparative Treatment Choice,0.43255907,0.43103832,0.0015207529,Prophylaxis / Maintenance,Comparative Treatment Choice,Comparative Treatment Choice,2,prototype_cluster_against_rule,Treatment Change / Escalation,not_reviewed,True
Q093,penggantian Ezetimibe ke Amlodipine pada Acute Coronary Syndrome,0,Treatment Change / Escalation,Comparative Treatment Choice,0.52078336,0.5047836,0.015999794,Prophylaxis / Maintenance,Comparative Treatment Choice,Comparative Treatment Choice,2,prototype_cluster_against_rule,Treatment Change / Escalation,pilot_reviewed,True
Q094,kapan start Azithromycin di Asthma evidence terbaru 2022,0,Guideline / Evidence Lookup,Management / Treatment Selection,0.4684108,0.4572223,0.011188477,Prophylaxis / Maintenance,Comparative Treatment Choice,,1,three_way_disagreement,Guideline / Evidence Lookup,gold_reviewed,True
Q095,monitoring parameters Empagliflozin in Atrial Fibrillation,6,Monitoring / Response / Risk Assessment,Prophylaxis / Maintenance,0.51753473,0.51214546,0.005389273,Management / Treatment Selection,Mechanism / Background Knowledge,,1,three_way_disagreement,Monitoring / Response / Risk Assessment,gold_reviewed,True
Q096,Epilepsy risk stratification approach,9,Monitoring / Response / Risk Assessment,Monitoring / Response / Risk Assessment,0.5332895,0.41424248,0.119047016,Monitoring / Response / Risk Assessment,Monitoring / Response / Risk Assessment,Monitoring / Response / Risk Assessment,3,unanimous,Monitoring / Response / Risk Assessment,not_reviewed,False
Q097,Iron Deficiency Anaemia pada anak dosis Ferrous sulphate,10,Dosing / Administration,Dosing / Administration,0.41690025,0.38103405,0.0358662,Dosing / Administration,Dosing / Administration,Dosing / Administration,3,unanimous,Dosing / Administration,not_reviewed,False
Q098,ARBs terbaru untuk Hypertension 2022,6,Guideline / Evidence Lookup,Comparative Treatment Choice,0.43399033,0.43321,0.000780344,Management / Treatment Selection,Mechanism / Background Knowledge,,1,three_way_disagreement,Guideline / Evidence Lookup,gold_reviewed,True
Q099,Atrial Fibrillation emergency Apixaban loading dose berapa,10,Dosing / Administration,Dosing / Administration,0.5372723,0.33792996,0.19934231,Dosing / Administration,Dosing / Administration,Dosing / Administration,3,unanimous,Dosing / Administration,not_reviewed,False
