query_id,query_text,liang_final_intent,rule_intent_signal,prototype_intent_signal,cluster_intent_signal,signal_plurality_intent,signal_agreement,schema_adjudicated_intent,matched_annotation_rules,n_rule_matches,label_confidence,annotation_notes,rule_matches_final,prototype_matches_final,cluster_matches_final,passes_agree,review_design
Q047,Tiotropium long term outcomes COPD,Efficacy / Outcomes,Efficacy / Outcomes,Efficacy / Outcomes,Comparative Treatment Choice,Efficacy / Outcomes,two_signal_including_rule,Efficacy / Outcomes,Efficacy / Outcomes,1,medium,single-treatment efficacy or outcome evidence is the requested output Three-signal status: two_signal_including_rule (rule=Efficacy / Outcomes; prototype=Efficacy / Outcomes; cluster=Comparative Treatment Choice).,True,True,False,True,single model-assisted schema review; not time-separated and not inter-annotator agreement
Q049,Calcium channel blockers mechanism untuk Atrial Fibrillation bagaimana cara kerjanya,Mechanism / Background Knowledge,Mechanism / Background Knowledge,Mechanism / Background Knowledge,Mechanism / Background Knowledge,Mechanism / Background Knowledge,unanimous,Mechanism / Background Knowledge,Mechanism / Background Knowledge,1,high,mechanism or pathophysiology is explanatory rather than management-oriented Three-signal status: unanimous (rule=Mechanism / Background Knowledge; prototype=Mechanism / Background Knowledge; cluster=Mechanism / Background Knowledge).,True,True,True,True,single model-assisted schema review; not time-separated and not inter-annotator agreement
Q051,add on therapy Malaria after Dolutegravir failure,Treatment Change / Escalation,Treatment Change / Escalation,Efficacy / Outcomes,Comparative Treatment Choice,,three_way_disagreement,Treatment Change / Escalation,Treatment Change / Escalation,1,low,"failure, resistance, progression, switch, or add-on framing overrides initial selection Three-signal status: three_way_disagreement (rule=Treatment Change / Escalation; prototype=Efficacy / Outcomes; cluster=Comparative Treatment Choice).",True,False,False,True,single model-assisted schema review; not time-separated and not inter-annotator agreement
Q052,HIV/AIDS first line Penicillins evidence based,Guideline / Evidence Lookup,Guideline / Evidence Lookup,Management / Treatment Selection,Mechanism / Background Knowledge,,three_way_disagreement,Guideline / Evidence Lookup,Guideline / Evidence Lookup; Management / Treatment Selection,2,low,"explicit evidence, guideline, recency, or year constraint overrides treatment choice Three-signal status: three_way_disagreement (rule=Guideline / Evidence Lookup; prototype=Management / Treatment Selection; cluster=Mechanism / Background Knowledge). Multiple cues were resolved with the frozen primary-information-need hierarchy.",True,False,False,True,single model-assisted schema review; not time-separated and not inter-annotator agreement
Q054,is Empagliflozin safe in Chronic Kidney Disease with renal impairment,Safety / Contraindication,Safety / Contraindication,Comparative Treatment Choice,Dosing / Administration,,three_way_disagreement,Safety / Contraindication,Safety / Contraindication,1,low,"harm, suitability, contraindication, or pregnancy-safety wording overrides dose when safety is explicit Three-signal status: three_way_disagreement (rule=Safety / Contraindication; prototype=Comparative Treatment Choice; cluster=Dosing / Administration).",True,False,False,True,single model-assisted schema review; not time-separated and not inter-annotator agreement
Q055,Methimazole side effect pada pasien Hyperthyroidism apa saja,Safety / Contraindication,Safety / Contraindication,Comparative Treatment Choice,Comparative Treatment Choice,Comparative Treatment Choice,prototype_cluster_against_rule,Safety / Contraindication,Safety / Contraindication,1,low,"harm, suitability, contraindication, or pregnancy-safety wording overrides dose when safety is explicit Three-signal status: prototype_cluster_against_rule (rule=Safety / Contraindication; prototype=Comparative Treatment Choice; cluster=Comparative Treatment Choice).",True,False,False,True,single model-assisted schema review; not time-separated and not inter-annotator agreement
Q057,Dapagliflozin vs Dapagliflozin untuk pasien Chronic Kidney Disease mana lebih efektif,Comparative Treatment Choice,Comparative Treatment Choice,Comparative Treatment Choice,Comparative Treatment Choice,Comparative Treatment Choice,unanimous,Comparative Treatment Choice,Comparative Treatment Choice,1,high,explicit comparison overrides single-treatment efficacy Three-signal status: unanimous (rule=Comparative Treatment Choice; prototype=Comparative Treatment Choice; cluster=Comparative Treatment Choice).,True,True,True,True,single model-assisted schema review; not time-separated and not inter-annotator agreement
Q058,Thrombolytics role in Ischaemic Stroke pathophysiology,Mechanism / Background Knowledge,Mechanism / Background Knowledge,Mechanism / Background Knowledge,Mechanism / Background Knowledge,Mechanism / Background Knowledge,unanimous,Mechanism / Background Knowledge,Mechanism / Background Knowledge,1,high,mechanism or pathophysiology is explanatory rather than management-oriented Three-signal status: unanimous (rule=Mechanism / Background Knowledge; prototype=Mechanism / Background Knowledge; cluster=Mechanism / Background Knowledge).,True,True,True,True,single model-assisted schema review; not time-separated and not inter-annotator agreement
Q061,Epilepsy first line Antiepileptics other evidence based,Guideline / Evidence Lookup,Guideline / Evidence Lookup,Management / Treatment Selection,Mechanism / Background Knowledge,,three_way_disagreement,Guideline / Evidence Lookup,Guideline / Evidence Lookup; Management / Treatment Selection,2,low,"explicit evidence, guideline, recency, or year constraint overrides treatment choice Three-signal status: three_way_disagreement (rule=Guideline / Evidence Lookup; prototype=Management / Treatment Selection; cluster=Mechanism / Background Knowledge). Multiple cues were resolved with the frozen primary-information-need hierarchy.",True,False,False,True,single model-assisted schema review; not time-separated and not inter-annotator agreement
Q065,Semaglutide efficacy pada Type 2 Diabetes Mellitus clinical outcome data,Efficacy / Outcomes,Efficacy / Outcomes,Efficacy / Outcomes,Comparative Treatment Choice,Efficacy / Outcomes,two_signal_including_rule,Efficacy / Outcomes,Efficacy / Outcomes,1,medium,single-treatment efficacy or outcome evidence is the requested output Three-signal status: two_signal_including_rule (rule=Efficacy / Outcomes; prototype=Efficacy / Outcomes; cluster=Comparative Treatment Choice).,True,True,False,True,single model-assisted schema review; not time-separated and not inter-annotator agreement
Q067,kapan start Atorvastatin di Acute Coronary Syndrome evidence terbaru 2025,Guideline / Evidence Lookup,Guideline / Evidence Lookup,Management / Treatment Selection,Comparative Treatment Choice,,three_way_disagreement,Guideline / Evidence Lookup,Guideline / Evidence Lookup; Management / Treatment Selection,2,low,"explicit evidence, guideline, recency, or year constraint overrides treatment choice Three-signal status: three_way_disagreement (rule=Guideline / Evidence Lookup; prototype=Management / Treatment Selection; cluster=Comparative Treatment Choice). Multiple cues were resolved with the frozen primary-information-need hierarchy.",True,False,False,True,single model-assisted schema review; not time-separated and not inter-annotator agreement
Q068,Labetalol resistance in Hypertension in Pregnancy alternative therapy,Interaction / Combination,Treatment Change / Escalation,Comparative Treatment Choice,Comparative Treatment Choice,Comparative Treatment Choice,prototype_cluster_against_rule,Treatment Change / Escalation,Treatment Change / Escalation,1,low,"failure, resistance, progression, switch, or add-on framing overrides initial selection Three-signal status: prototype_cluster_against_rule (rule=Treatment Change / Escalation; prototype=Comparative Treatment Choice; cluster=Comparative Treatment Choice). Phase 2 suggestion 'Interaction / Combination' was not retained because the explicit request maps to 'Treatment Change / Escalation'.",True,False,False,False,single model-assisted schema review; not time-separated and not inter-annotator agreement
Q069,dosis titrasi Alendronate Osteoporosis toleransi pasien,Dosing / Administration,Dosing / Administration,Efficacy / Outcomes,Efficacy / Outcomes,Efficacy / Outcomes,prototype_cluster_against_rule,Dosing / Administration,Dosing / Administration,1,low,requested regimen or adjustment determines the primary information need Three-signal status: prototype_cluster_against_rule (rule=Dosing / Administration; prototype=Efficacy / Outcomes; cluster=Efficacy / Outcomes).,True,False,False,True,single model-assisted schema review; not time-separated and not inter-annotator agreement
Q071,Vancomycin vs Piperacillin-tazobactam in Sepsis patients,Comparative Treatment Choice,Comparative Treatment Choice,Comparative Treatment Choice,Comparative Treatment Choice,Comparative Treatment Choice,unanimous,Comparative Treatment Choice,Comparative Treatment Choice,1,high,explicit comparison overrides single-treatment efficacy Three-signal status: unanimous (rule=Comparative Treatment Choice; prototype=Comparative Treatment Choice; cluster=Comparative Treatment Choice).,True,True,True,True,single model-assisted schema review; not time-separated and not inter-annotator agreement
Q073,is Valproate safe in Epilepsy with hypertension,Safety / Contraindication,Safety / Contraindication,Comparative Treatment Choice,Dosing / Administration,,three_way_disagreement,Safety / Contraindication,Safety / Contraindication,1,low,"harm, suitability, contraindication, or pregnancy-safety wording overrides dose when safety is explicit Three-signal status: three_way_disagreement (rule=Safety / Contraindication; prototype=Comparative Treatment Choice; cluster=Dosing / Administration).",True,False,False,True,single model-assisted schema review; not time-separated and not inter-annotator agreement
Q080,Urinary Tract Infection dengan obesity pilihan drug terbaik,Management / Treatment Selection,Management / Treatment Selection,Comparative Treatment Choice,Safety / Contraindication,,three_way_disagreement,Management / Treatment Selection,Management / Treatment Selection,1,low,initial treatment choice overrides demographic safety context unless safety is asked Three-signal status: three_way_disagreement (rule=Management / Treatment Selection; prototype=Comparative Treatment Choice; cluster=Safety / Contraindication).,True,False,False,True,single model-assisted schema review; not time-separated and not inter-annotator agreement
Q081,Stable Angina dengan hypertension pilihan drug terbaik,Management / Treatment Selection,Management / Treatment Selection,Comparative Treatment Choice,Dosing / Administration,,three_way_disagreement,Management / Treatment Selection,Management / Treatment Selection,1,low,initial treatment choice overrides demographic safety context unless safety is asked Three-signal status: three_way_disagreement (rule=Management / Treatment Selection; prototype=Comparative Treatment Choice; cluster=Dosing / Administration).,True,False,False,True,single model-assisted schema review; not time-separated and not inter-annotator agreement
Q085,Methylphenidate vs Methylphenidate efficacy in Breast Cancer HER2-positive,Comparative Treatment Choice,Comparative Treatment Choice,Comparative Treatment Choice,Comparative Treatment Choice,Comparative Treatment Choice,unanimous,Comparative Treatment Choice,Comparative Treatment Choice; Efficacy / Outcomes,2,medium,explicit comparison overrides single-treatment efficacy Three-signal status: unanimous (rule=Comparative Treatment Choice; prototype=Comparative Treatment Choice; cluster=Comparative Treatment Choice). Multiple cues were resolved with the frozen primary-information-need hierarchy.,True,True,True,True,single model-assisted schema review; not time-separated and not inter-annotator agreement
Q087,Rheumatoid Arthritis dengan renal impairment pilihan drug terbaik,Management / Treatment Selection,Management / Treatment Selection,Comparative Treatment Choice,Dosing / Administration,,three_way_disagreement,Management / Treatment Selection,Management / Treatment Selection,1,low,initial treatment choice overrides demographic safety context unless safety is asked Three-signal status: three_way_disagreement (rule=Management / Treatment Selection; prototype=Comparative Treatment Choice; cluster=Dosing / Administration).,True,False,False,True,single model-assisted schema review; not time-separated and not inter-annotator agreement
Q089,biomarkers Community-acquired Pneumonia treatment response Rivaroxaban,Safety / Contraindication,Monitoring / Response / Risk Assessment,Efficacy / Outcomes,Comparative Treatment Choice,,three_way_disagreement,Monitoring / Response / Risk Assessment,Monitoring / Response / Risk Assessment,1,low,"monitoring action, response biomarker, or risk score is the requested output Three-signal status: three_way_disagreement (rule=Monitoring / Response / Risk Assessment; prototype=Efficacy / Outcomes; cluster=Comparative Treatment Choice). Phase 2 suggestion 'Safety / Contraindication' was not retained because the explicit request maps to 'Monitoring / Response / Risk Assessment'.",True,False,False,False,single model-assisted schema review; not time-separated and not inter-annotator agreement
Q093,penggantian Ezetimibe ke Amlodipine pada Acute Coronary Syndrome,Treatment Change / Escalation,Treatment Change / Escalation,Comparative Treatment Choice,Comparative Treatment Choice,Comparative Treatment Choice,prototype_cluster_against_rule,Treatment Change / Escalation,Treatment Change / Escalation,1,low,"failure, resistance, progression, switch, or add-on framing overrides initial selection Three-signal status: prototype_cluster_against_rule (rule=Treatment Change / Escalation; prototype=Comparative Treatment Choice; cluster=Comparative Treatment Choice).",True,False,False,True,single model-assisted schema review; not time-separated and not inter-annotator agreement
Q094,kapan start Azithromycin di Asthma evidence terbaru 2022,Guideline / Evidence Lookup,Guideline / Evidence Lookup,Management / Treatment Selection,Comparative Treatment Choice,,three_way_disagreement,Guideline / Evidence Lookup,Guideline / Evidence Lookup; Management / Treatment Selection,2,low,"explicit evidence, guideline, recency, or year constraint overrides treatment choice Three-signal status: three_way_disagreement (rule=Guideline / Evidence Lookup; prototype=Management / Treatment Selection; cluster=Comparative Treatment Choice). Multiple cues were resolved with the frozen primary-information-need hierarchy.",True,False,False,True,single model-assisted schema review; not time-separated and not inter-annotator agreement
Q095,monitoring parameters Empagliflozin in Atrial Fibrillation,Monitoring / Response / Risk Assessment,Monitoring / Response / Risk Assessment,Prophylaxis / Maintenance,Mechanism / Background Knowledge,,three_way_disagreement,Monitoring / Response / Risk Assessment,Monitoring / Response / Risk Assessment,1,low,"monitoring action, response biomarker, or risk score is the requested output Three-signal status: three_way_disagreement (rule=Monitoring / Response / Risk Assessment; prototype=Prophylaxis / Maintenance; cluster=Mechanism / Background Knowledge).",True,False,False,True,single model-assisted schema review; not time-separated and not inter-annotator agreement
Q098,ARBs terbaru untuk Hypertension 2022,Guideline / Evidence Lookup,Guideline / Evidence Lookup,Comparative Treatment Choice,Mechanism / Background Knowledge,,three_way_disagreement,Guideline / Evidence Lookup,Guideline / Evidence Lookup,1,low,"explicit evidence, guideline, recency, or year constraint overrides treatment choice Three-signal status: three_way_disagreement (rule=Guideline / Evidence Lookup; prototype=Comparative Treatment Choice; cluster=Mechanism / Background Knowledge).",True,False,False,True,single model-assisted schema review; not time-separated and not inter-annotator agreement
Q103,biomarkers Ischaemic Stroke treatment response Alteplase,Safety / Contraindication,Monitoring / Response / Risk Assessment,Efficacy / Outcomes,Comparative Treatment Choice,,three_way_disagreement,Monitoring / Response / Risk Assessment,Monitoring / Response / Risk Assessment,1,low,"monitoring action, response biomarker, or risk score is the requested output Three-signal status: three_way_disagreement (rule=Monitoring / Response / Risk Assessment; prototype=Efficacy / Outcomes; cluster=Comparative Treatment Choice). Phase 2 suggestion 'Safety / Contraindication' was not retained because the explicit request maps to 'Monitoring / Response / Risk Assessment'.",True,False,False,False,single model-assisted schema review; not time-separated and not inter-annotator agreement
Q105,tatalaksana Breast Cancer HER2-positive panduan terbaru 2025,Guideline / Evidence Lookup,Guideline / Evidence Lookup,Efficacy / Outcomes,Comparative Treatment Choice,,three_way_disagreement,Guideline / Evidence Lookup,Guideline / Evidence Lookup; Management / Treatment Selection,2,low,"explicit evidence, guideline, recency, or year constraint overrides treatment choice Three-signal status: three_way_disagreement (rule=Guideline / Evidence Lookup; prototype=Efficacy / Outcomes; cluster=Comparative Treatment Choice). Multiple cues were resolved with the frozen primary-information-need hierarchy.",True,False,False,True,single model-assisted schema review; not time-separated and not inter-annotator agreement
Q106,titration protocol Metoprolol in Heart Failure,Dosing / Administration,Dosing / Administration,Efficacy / Outcomes,Efficacy / Outcomes,Efficacy / Outcomes,prototype_cluster_against_rule,Dosing / Administration,Dosing / Administration,1,low,requested regimen or adjustment determines the primary information need Three-signal status: prototype_cluster_against_rule (rule=Dosing / Administration; prototype=Efficacy / Outcomes; cluster=Efficacy / Outcomes).,True,False,False,True,single model-assisted schema review; not time-separated and not inter-annotator agreement
Q108,Antituberculotics adverse effects monitoring in Tuberculosis,Monitoring / Response / Risk Assessment,Safety / Contraindication,Monitoring / Response / Risk Assessment,Mechanism / Background Knowledge,,three_way_disagreement,Safety / Contraindication,Safety / Contraindication; Monitoring / Response / Risk Assessment,2,low,"harm, suitability, contraindication, or pregnancy-safety wording overrides dose when safety is explicit Three-signal status: three_way_disagreement (rule=Safety / Contraindication; prototype=Monitoring / Response / Risk Assessment; cluster=Mechanism / Background Knowledge). Phase 2 suggestion 'Monitoring / Response / Risk Assessment' was not retained because the explicit request maps to 'Safety / Contraindication'. Multiple cues were resolved with the frozen primary-information-need hierarchy.",True,False,False,False,single model-assisted schema review; not time-separated and not inter-annotator agreement
Q109,kapan start Levetiracetam di Epilepsy evidence terbaru terbaru,Guideline / Evidence Lookup,Guideline / Evidence Lookup,Management / Treatment Selection,Comparative Treatment Choice,,three_way_disagreement,Guideline / Evidence Lookup,Guideline / Evidence Lookup; Management / Treatment Selection,2,low,"explicit evidence, guideline, recency, or year constraint overrides treatment choice Three-signal status: three_way_disagreement (rule=Guideline / Evidence Lookup; prototype=Management / Treatment Selection; cluster=Comparative Treatment Choice). Multiple cues were resolved with the frozen primary-information-need hierarchy.",True,False,False,True,single model-assisted schema review; not time-separated and not inter-annotator agreement
Q111,Erythropoietin contraindication in Iron Deficiency Anaemia with anaemia,Dosing / Administration,Safety / Contraindication,Comparative Treatment Choice,Safety / Contraindication,Safety / Contraindication,two_signal_including_rule,Safety / Contraindication,Safety / Contraindication,1,medium,"harm, suitability, contraindication, or pregnancy-safety wording overrides dose when safety is explicit Three-signal status: two_signal_including_rule (rule=Safety / Contraindication; prototype=Comparative Treatment Choice; cluster=Safety / Contraindication). Phase 2 suggestion 'Dosing / Administration' was not retained because the explicit request maps to 'Safety / Contraindication'.",True,False,True,False,single model-assisted schema review; not time-separated and not inter-annotator agreement
Q116,Osteoporosis dengan elderly patients pilihan drug terbaik,Management / Treatment Selection,Management / Treatment Selection,Comparative Treatment Choice,Efficacy / Outcomes,,three_way_disagreement,Management / Treatment Selection,Management / Treatment Selection,1,low,initial treatment choice overrides demographic safety context unless safety is asked Three-signal status: three_way_disagreement (rule=Management / Treatment Selection; prototype=Comparative Treatment Choice; cluster=Efficacy / Outcomes).,True,False,False,True,single model-assisted schema review; not time-separated and not inter-annotator agreement
Q119,Gout first line TNF inhibitors evidence based,Guideline / Evidence Lookup,Guideline / Evidence Lookup,Management / Treatment Selection,Mechanism / Background Knowledge,,three_way_disagreement,Guideline / Evidence Lookup,Guideline / Evidence Lookup; Management / Treatment Selection,2,low,"explicit evidence, guideline, recency, or year constraint overrides treatment choice Three-signal status: three_way_disagreement (rule=Guideline / Evidence Lookup; prototype=Management / Treatment Selection; cluster=Mechanism / Background Knowledge). Multiple cues were resolved with the frozen primary-information-need hierarchy.",True,False,False,True,single model-assisted schema review; not time-separated and not inter-annotator agreement
Q128,kapan start Alendronate di Osteoporosis evidence terbaru 2022,Guideline / Evidence Lookup,Guideline / Evidence Lookup,Management / Treatment Selection,Comparative Treatment Choice,,three_way_disagreement,Guideline / Evidence Lookup,Guideline / Evidence Lookup; Management / Treatment Selection,2,low,"explicit evidence, guideline, recency, or year constraint overrides treatment choice Three-signal status: three_way_disagreement (rule=Guideline / Evidence Lookup; prototype=Management / Treatment Selection; cluster=Comparative Treatment Choice). Multiple cues were resolved with the frozen primary-information-need hierarchy.",True,False,False,True,single model-assisted schema review; not time-separated and not inter-annotator agreement
