query_id,judged_pairs,positive_pairs,eligible_positive_metrics
Q454,42,7,True
Q456,10,2,True
Q457,10,0,False
Q459,8,2,True
Q461,11,4,True
Q463,8,8,True
Q466,16,6,True
Q467,22,6,True
Q468,10,0,False
Q470,12,2,True
Q471,10,0,False
Q472,26,7,True
Q473,77,12,True
Q474,9,2,True
Q475,10,0,False
Q477,29,6,True
Q478,7,1,True
Q479,6,0,False
Q480,10,8,True
Q481,10,0,False
Q485,9,1,True
Q486,30,6,True
Q487,8,0,False
Q488,7,1,True
Q489,19,6,True
Q490,33,7,True
Q494,7,1,True
Q495,5,0,False
Q496,6,2,True
Q497,8,0,False
Q500,7,0,False
