query_id,judged_pairs,positive_pairs,eligible_positive_metrics
Q455,8,0,False
Q456,10,2,True
Q458,18,5,True
Q460,6,1,True
Q461,11,4,True
Q465,6,0,False
Q467,22,6,True
Q469,36,6,True
Q470,12,2,True
Q472,26,7,True
Q473,77,12,True
Q474,9,2,True
Q476,7,1,True
Q477,29,6,True
Q478,7,1,True
Q479,6,0,False
Q480,10,8,True
Q484,5,0,False
Q485,9,1,True
Q486,30,6,True
Q487,8,0,False
Q488,7,1,True
Q489,19,6,True
Q490,33,7,True
Q491,8,0,False
Q494,7,1,True
Q495,5,0,False
Q496,6,2,True
Q497,8,0,False
Q499,11,1,True
Q500,7,0,False
