query_id,judged_pairs,positive_pairs,eligible_positive_metrics
Q243,17,4,True
Q244,12,2,True
Q245,15,4,True
Q249,7,1,True
Q250,9,6,True
Q251,11,1,True
Q254,12,3,True
Q256,8,0,False
Q258,19,6,True
Q260,12,2,True
Q262,25,5,True
Q263,18,4,True
Q264,34,6,True
Q265,10,1,True
Q266,11,2,True
Q268,7,1,True
Q270,21,6,True
Q274,5,0,False
Q275,6,0,False
Q276,9,0,False
Q277,10,2,True
Q278,8,1,True
Q281,41,7,True
Q282,11,1,True
Q283,8,0,False
Q285,15,4,True
Q286,10,0,False
Q287,12,1,True
Q289,26,7,True
Q290,9,9,True
Q291,10,0,False
Q292,26,4,True
Q293,9,1,True
Q294,12,1,True
Q296,7,0,False
Q297,12,1,True
Q298,29,5,True
Q299,7,0,False
Q300,10,0,False
Q301,21,6,True
Q302,8,0,False
Q303,8,0,False
Q305,6,4,True
Q306,10,2,True
Q307,11,2,True
Q308,6,2,True
Q310,10,0,False
Q311,7,2,True
Q313,9,1,True
Q314,25,3,True
Q316,12,8,True
Q317,10,0,False
Q319,23,6,True
Q321,6,6,True
Q322,9,0,False
Q323,30,4,True
Q324,9,1,True
Q325,11,2,True
Q328,6,0,False
Q329,8,1,True
Q330,10,0,False
Q332,9,0,False
Q335,12,1,True
Q336,9,0,False
Q337,20,2,True
Q338,7,1,True
Q339,8,0,False
Q340,25,3,True
Q341,22,6,True
Q342,22,5,True
Q343,6,1,True
Q347,6,0,False
Q348,7,1,True
Q350,7,0,False
Q352,7,1,True
Q355,10,2,True
Q356,8,1,True
Q357,6,2,True
Q358,10,0,False
Q359,9,4,True
Q360,6,0,False
Q361,10,0,False
Q362,9,1,True
Q363,29,5,True
Q364,10,1,True
Q365,10,1,True
Q366,12,1,True
Q367,9,0,False
Q368,5,0,False
Q369,10,9,True
Q370,8,8,True
Q371,27,6,True
Q372,8,2,True
Q374,9,0,False
Q375,17,2,True
Q376,9,1,True
Q378,9,0,False
Q379,12,1,True
Q380,8,0,False
Q381,5,0,False
Q382,12,2,True
Q383,9,1,True
Q384,9,8,True
Q387,7,0,False
Q388,11,4,True
Q390,9,9,True
Q392,6,1,True
Q393,11,3,True
Q394,7,4,True
Q395,26,5,True
Q397,27,6,True
Q399,12,4,True
Q400,8,1,True
Q401,12,2,True
Q402,9,3,True
Q403,7,2,True
Q405,10,1,True
Q406,12,2,True
Q408,10,1,True
Q409,27,3,True
Q410,5,0,False
Q411,11,2,True
Q412,10,0,False
Q414,9,0,False
Q415,7,0,False
Q416,12,9,True
Q417,12,1,True
Q419,21,2,True
Q420,26,7,True
Q421,24,3,True
Q422,6,1,True
Q423,11,1,True
Q424,10,1,True
Q426,14,5,True
Q427,24,5,True
Q428,10,0,False
Q429,19,2,True
Q430,11,1,True
Q431,11,1,True
Q432,9,2,True
Q433,17,4,True
Q434,5,0,False
Q436,10,2,True
Q437,10,1,True
Q440,36,6,True
Q441,11,1,True
Q443,8,3,True
Q444,7,7,True
Q446,9,0,False
Q447,9,1,True
Q448,9,0,False
Q449,7,4,True
Q450,27,6,True
Q453,10,2,True
Q454,36,6,True
Q455,8,0,False
Q459,8,2,True
Q463,8,8,True
Q464,10,0,False
Q466,16,6,True
Q467,11,5,True
Q468,10,0,False
Q469,17,2,True
Q470,12,2,True
Q471,10,0,False
Q472,26,7,True
Q473,59,10,True
Q474,9,2,True
Q476,7,1,True
Q477,29,6,True
Q478,7,1,True
Q479,6,0,False
Q482,12,1,True
Q483,7,0,False
Q484,5,0,False
Q488,7,1,True
Q489,10,5,True
Q490,12,5,True
Q491,8,0,False
Q492,11,1,True
Q494,7,1,True
Q495,5,0,False
Q498,10,2,True
Q500,7,0,False
