content_id,title,content_type,source_type,language,publication_year,word_count,disease_entity,icd10_code,molecule_entity,atc_code,drug_class_entity,atc_class,therapeutic_area
C014,Practical Guide: Initiating Methimazole in Hyperthyroidism,clinical_summary,hospital_protocol,EN,2021,406,Hyperthyroidism,E05,Methimazole,H03BB02,Antithyroid agents,H03BB,Endocrinology
C015,Panduan Klinis: Tatalaksana Hyperthyroidism 2021,guideline,professional_society,ID,2021,1363,Hyperthyroidism,E05,Levothyroxine,H03AA01,Thyroid hormones,H03AA,Endocrinology
C016,Dose Adjustment of Desmopressin in Renal and Hepatic Impairment,clinical_summary,clinical_practice,MIXED,2024,391,Diabetes Insipidus,E23.2,Desmopressin,H01BA02,Vasopressin analogues,H01BA,Endocrinology
C017,Type 2 Diabetes Mellitus in Special Populations: Practical Guidance,clinical_summary,hospital_protocol,EN,2023,452,Type 2 Diabetes Mellitus,E11,Insulin glargine,A10AE04,Basal insulins,A10AE,Endocrinology
C018,Laporan Kasus: Type 2 Diabetes Mellitus dengan Presentasi Atipikal,case_report,case_report,ID,2024,1024,Type 2 Diabetes Mellitus,E11,Insulin glargine,A10AE04,Basal insulins,A10AE,Endocrinology
C019,Asia-Pacific Guideline: Diabetes Insipidus in Primary Care 2021,guideline,professional_society,EN,2021,1863,Diabetes Insipidus,E23.2,Desmopressin,H01BA02,Vasopressin analogues,H01BA,Endocrinology
C020,Clinical Practice Guideline: Type 2 Diabetes Mellitus Management 2021,guideline,who,EN,2021,1582,Type 2 Diabetes Mellitus,E11,Insulin glargine,A10AE04,Basal insulins,A10AE,Endocrinology
C021,Dose Adjustment of Insulin glargine in Renal and Hepatic Impairment,clinical_summary,clinical_practice,MIXED,2022,605,Type 2 Diabetes Mellitus,E11,Insulin glargine,A10AE04,Basal insulins,A10AE,Endocrinology
C022,Quick Reference: Vasopressin analogues Dosing in Diabetes Insipidus,clinical_summary,clinical_practice,MIXED,2024,369,Diabetes Insipidus,E23.2,Desmopressin,H01BA02,Vasopressin analogues,H01BA,Endocrinology
C023,Hasil Jangka Panjang Terapi GLP-1 receptor agonists pada Obesity,article,research_paper,ID,2023,1296,Obesity,E66,Semaglutide,A10BJ06,GLP-1 receptor agonists,A10BJ,Endocrinology
C024,Laporan Kasus: Acute Coronary Syndrome dengan Presentasi Atipikal,case_report,case_report,ID,2021,866,Acute Coronary Syndrome,I24,Ezetimibe; Amlodipine,C10AX09; C08CA01,Cholesterol absorption inhibitors; Calcium channel blockers,C10AX; C08CA,Cardiology
C025,Metoprolol versus Empagliflozin in Atrial Fibrillation: Head-to-Head Comparison,article,research_paper,MIXED,2022,1575,Atrial Fibrillation,I48,Metoprolol,C07AB02,Beta blockers selective,C07AB,Cardiology
C026,Profil Keamanan Rivaroxaban pada Atrial Fibrillation,article,research_paper,ID,2021,2134,Atrial Fibrillation,I48,Rivaroxaban,B01AF01,Factor Xa inhibitors,B01AF,Cardiology
C027,National Guideline: Atrial Fibrillation Diagnosis and Treatment,guideline,ministry_of_health,MIXED,2023,1399,Atrial Fibrillation,I48,Apixaban; Dapagliflozin,B01AF02; A10BK01,Factor Xa inhibitors; SGLT2 inhibitors,B01AF; A10BK,Cardiology
C028,Practical Guide: Initiating Losartan in Hypertension,clinical_summary,clinical_practice,MIXED,2024,557,Hypertension,I10,Losartan; Amlodipine,C09CA01; C08CA01,ARBs; Calcium channel blockers,C09CA; C08CA,Cardiology
C029,Profil Obat ARBs pada Heart Failure,drug_profile,drug_database,ID,2020,755,Heart Failure,I50,Losartan; Ramipril,C09CA01; C09AA05,ARBs; ACE inhibitors,C09CA; C09AA,Cardiology
C030,Treatment Intensification in Atrial Fibrillation: When and How,article,research_paper,EN,2025,878,Atrial Fibrillation,I48,Rivaroxaban,B01AF01,Factor Xa inhibitors,B01AF,Cardiology
C031,Clinical Practice Guideline: Heart Failure Management 2021,guideline,ministry_of_health,EN,2021,2215,Heart Failure,I50,Bisoprolol,C07AB07,Beta blockers selective,C07AB,Cardiology
C032,Consensus Statement: SGLT2 inhibitors Use in Atrial Fibrillation,guideline,professional_society,EN,2024,1341,Atrial Fibrillation,I48,Empagliflozin; Apixaban,A10BK03; B01AF02,SGLT2 inhibitors; Factor Xa inhibitors,A10BK; B01AF,Cardiology
C033,"Statins: Mechanism, Indications, and Safety",drug_profile,drug_database,MIXED,2020,439,Stable Angina,I20,Atorvastatin,C10AA05,Statins,C10AA,Cardiology
C034,Spironolactone Real-World Evidence in Heart Failure: A Retrospective Study,article,research_paper,MIXED,2021,2413,Heart Failure,I50,Spironolactone,C03DA01,Aldosterone antagonists,C03DA,Cardiology
C035,Stable Angina in Special Populations: Practical Guidance,clinical_summary,hospital_protocol,EN,2022,782,Stable Angina,I20,Rosuvastatin,C10AA07,Statins,C10AA,Cardiology
C036,Dosis Platelet aggregation inhibitors pada Stable Angina: Referensi Cepat,clinical_summary,hospital_protocol,ID,2020,704,Stable Angina,I20,Clopidogrel,B01AC04,Platelet aggregation inhibitors,B01AC,Cardiology
C037,Atrial Fibrillation in Special Populations: Practical Guidance,clinical_summary,hospital_protocol,EN,2025,452,Atrial Fibrillation,I48,Dapagliflozin; Rivaroxaban,A10BK01; B01AF01,SGLT2 inhibitors; Factor Xa inhibitors,A10BK; B01AF,Cardiology
C038,Clinical Summary: Heart Failure Management Update 2024,clinical_summary,clinical_practice,EN,2024,348,Heart Failure,I50,Losartan,C09CA01,ARBs,C09CA,Cardiology
C039,Switching Therapy in Stable Angina: A Step-by-Step Guide,clinical_summary,clinical_practice,EN,2023,642,Stable Angina,I20,Aspirin; Rosuvastatin,B01AC06; C10AA07,Platelet aggregation inhibitors; Statins,B01AC; C10AA,Cardiology
C040,Dose Adjustment of Atorvastatin in Renal and Hepatic Impairment,clinical_summary,clinical_practice,EN,2025,520,Stable Angina,I20,Atorvastatin,C10AA05,Statins,C10AA,Cardiology
C041,Laporan Kasus: Heart Failure dengan immunocompromised,case_report,case_report,ID,2022,622,Heart Failure,I50,Metoprolol,C07AB02,Beta blockers selective,C07AB,Cardiology
C042,Atrial Fibrillation in Special Populations: Practical Guidance,clinical_summary,hospital_protocol,EN,2022,547,Atrial Fibrillation,I48,Dapagliflozin,A10BK01,SGLT2 inhibitors,A10BK,Cardiology
C043,Profil Obat Statins pada Acute Coronary Syndrome,drug_profile,drug_database,ID,2020,420,Acute Coronary Syndrome,I24,Rosuvastatin,C10AA07,Statins,C10AA,Cardiology
C044,Safety Profile of Furosemide in Heart Failure,article,journal,EN,2024,2345,Heart Failure,I50,Furosemide,C03CA01,Loop diuretics,C03CA,Cardiology
C045,Metoprolol pada Pasien Heart Failure: Studi Kohort,article,journal,ID,2021,1239,Heart Failure,I50,Metoprolol,C07AB02,Beta blockers selective,C07AB,Cardiology
C046,Treatment Intensification in Atrial Fibrillation: When and How,article,journal,MIXED,2023,1926,Atrial Fibrillation,I48,Amlodipine,C08CA01,Calcium channel blockers,C08CA,Cardiology
C047,Drug Interactions: Losartan in Chronic Kidney Disease Patients,clinical_summary,hospital_protocol,EN,2025,455,Chronic Kidney Disease,N18,Losartan; Empagliflozin,C09CA01; A10BK03,ARBs; SGLT2 inhibitors,C09CA; A10BK,Nephrology
C048,Panduan Klinis: Tatalaksana Chronic Kidney Disease 2022,guideline,professional_society,ID,2022,2040,Chronic Kidney Disease,N18,Empagliflozin,A10BK03,SGLT2 inhibitors,A10BK,Nephrology
C049,Safety Profile of Furosemide in Nephrotic Syndrome,article,research_paper,EN,2022,1729,Nephrotic Syndrome,N04,Furosemide; Furosemide,C03CA01; C03CA01,Loop diuretics; Loop diuretics,C03CA; C03CA,Nephrology
C050,Chronic Kidney Disease pada Populasi Khusus: Pendekatan Praktis,clinical_summary,hospital_protocol,ID,2025,392,Chronic Kidney Disease,N18,Empagliflozin,A10BK03,SGLT2 inhibitors,A10BK,Nephrology
C051,Clinical Practice Guideline: Nephrotic Syndrome Management 2022,guideline,who,EN,2022,2939,Nephrotic Syndrome,N04,Furosemide,C03CA01,Loop diuretics,C03CA,Nephrology
C052,Clinical Summary: Chronic Kidney Disease Management Update 2024,clinical_summary,hospital_protocol,EN,2024,687,Chronic Kidney Disease,N18,Dapagliflozin; Dapagliflozin,A10BK01; A10BK01,SGLT2 inhibitors; SGLT2 inhibitors,A10BK; A10BK,Nephrology
C053,Furosemide in Nephrotic Syndrome: Real-World Outcomes,article,journal,MIXED,2025,2397,Nephrotic Syndrome,N04,Furosemide,C03CA01,Loop diuretics,C03CA,Nephrology
C054,Efektivitas Loop diuretics pada Nephrotic Syndrome,article,journal,ID,2024,2321,Nephrotic Syndrome,N04,Furosemide,C03CA01,Loop diuretics,C03CA,Nephrology
C055,Nephrotic Syndrome pada Populasi Khusus: Pendekatan Praktis,clinical_summary,clinical_practice,ID,2025,598,Nephrotic Syndrome,N04,Furosemide,C03CA01,Loop diuretics,C03CA,Nephrology
C056,Biomarkers in Chronic Kidney Disease: Implications for SGLT2 inhibitors Therapy,article,research_paper,EN,2023,2367,Chronic Kidney Disease,N18,Empagliflozin; Ramipril,A10BK03; C09AA05,SGLT2 inhibitors; ACE inhibitors,A10BK; C09AA,Nephrology
C057,Switching Therapy in Chronic Kidney Disease: A Step-by-Step Guide,clinical_summary,hospital_protocol,EN,2024,344,Chronic Kidney Disease,N18,Ramipril; Losartan,C09AA05; C09CA01,ACE inhibitors; ARBs,C09AA; C09CA,Nephrology
C058,Case Series: SGLT2 inhibitors in Refractory Chronic Kidney Disease,case_report,case_report,EN,2024,695,Chronic Kidney Disease,N18,Empagliflozin,A10BK03,SGLT2 inhibitors,A10BK,Nephrology
C059,Safety Profile of Empagliflozin in Chronic Kidney Disease,article,journal,EN,2022,876,Chronic Kidney Disease,N18,Empagliflozin,A10BK03,SGLT2 inhibitors,A10BK,Nephrology
C060,Case Report: Atypical Presentation of Chronic Kidney Disease,case_report,case_report,EN,2023,825,Chronic Kidney Disease,N18,Ramipril,C09AA05,ACE inhibitors,C09AA,Nephrology
C061,Profil Keamanan Dapagliflozin pada Chronic Kidney Disease,article,journal,ID,2024,1460,Chronic Kidney Disease,N18,Dapagliflozin,A10BK01,SGLT2 inhibitors,A10BK,Nephrology
C062,Konsensus Nasional: Chronic Kidney Disease di Indonesia 2022,guideline,who,ID,2022,1542,Chronic Kidney Disease,N18,Empagliflozin,A10BK03,SGLT2 inhibitors,A10BK,Nephrology
C063,Systematic Review: Loop diuretics in Nephrotic Syndrome,review,systematic_review,MIXED,2020,3571,Nephrotic Syndrome,N04,Furosemide; Furosemide,C03CA01; C03CA01,Loop diuretics; Loop diuretics,C03CA; C03CA,Nephrology
C064,Successful Management of Severe Nephrotic Syndrome with Furosemide,case_report,case_report,MIXED,2022,856,Nephrotic Syndrome,N04,Furosemide; Furosemide,C03CA01; C03CA01,Loop diuretics; Loop diuretics,C03CA; C03CA,Nephrology
C065,Profil Keamanan Losartan pada Chronic Kidney Disease,article,journal,ID,2025,1277,Chronic Kidney Disease,N18,Losartan; Losartan,C09CA01; C09CA01,ARBs; ARBs,C09CA; C09CA,Nephrology
C066,Panduan Praktis: Memulai Furosemide pada Nephrotic Syndrome,clinical_summary,hospital_protocol,ID,2023,571,Nephrotic Syndrome,N04,Furosemide,C03CA01,Loop diuretics,C03CA,Nephrology
C067,Consensus Statement: Loop diuretics Use in Nephrotic Syndrome,guideline,who,MIXED,2024,1281,Nephrotic Syndrome,N04,Furosemide,C03CA01,Loop diuretics,C03CA,Nephrology
C068,Chronic Kidney Disease pada Populasi Khusus: Pendekatan Praktis,clinical_summary,hospital_protocol,ID,2020,701,Chronic Kidney Disease,N18,Losartan; Ramipril,C09CA01; C09AA05,ARBs; ACE inhibitors,C09CA; C09AA,Nephrology
C069,Long-term Outcomes of SGLT2 inhibitors Therapy in Chronic Kidney Disease,article,research_paper,EN,2023,926,Chronic Kidney Disease,N18,Empagliflozin,A10BK03,SGLT2 inhibitors,A10BK,Nephrology
C070,Ischaemic Stroke in Special Populations: Practical Guidance,clinical_summary,clinical_practice,EN,2020,793,Ischaemic Stroke,I63,Alteplase; Aspirin,B01AD02; B01AC06,Thrombolytics; Platelet aggregation inhibitors,B01AD; B01AC,Neurology
C071,Asia-Pacific Guideline: Epilepsy in Primary Care 2022,guideline,professional_society,MIXED,2022,2544,Epilepsy,G40,Valproate,N03AG01,Fatty acid derivatives,N03AG,Neurology
C072,National Guideline: Migraine Diagnosis and Treatment,guideline,professional_society,EN,2020,1397,Migraine,G43,Topiramate,N03AX11,Antiepileptics other,N03AX,Neurology
C073,Quick Reference: Antiepileptics other Dosing in Migraine,clinical_summary,hospital_protocol,MIXED,2021,302,Migraine,G43,Topiramate,N03AX11,Antiepileptics other,N03AX,Neurology
C074,Topiramate Real-World Evidence in Migraine: A Retrospective Study,article,journal,MIXED,2023,2186,Migraine,G43,Topiramate; Topiramate,N03AX11; N03AX11,Antiepileptics other; Antiepileptics other,N03AX; N03AX,Neurology
C075,Migraine in Pregnancy: Safety and Management Guide,clinical_summary,hospital_protocol,MIXED,2025,653,Migraine,G43,Topiramate; Topiramate,N03AX11; N03AX11,Antiepileptics other; Antiepileptics other,N03AX; N03AX,Neurology
C076,Levetiracetam Drug Profile: Efficacy in Epilepsy,drug_profile,pharmacology_reference,MIXED,2024,837,Epilepsy,G40,Levetiracetam,N03AX14,Antiepileptics other,N03AX,Neurology
C077,Hasil Jangka Panjang Terapi Fatty acid derivatives pada Epilepsy,article,research_paper,ID,2021,2111,Epilepsy,G40,Valproate; Valproate,N03AG01; N03AG01,Fatty acid derivatives; Fatty acid derivatives,N03AG; N03AG,Neurology
C078,Drug Interactions: Levodopa-carbidopa in Parkinson Disease Patients,clinical_summary,clinical_practice,EN,2022,337,Parkinson Disease,G20,Levodopa-carbidopa; Valproate,N04BA02; N03AG01,Dopaminergic agents; Fatty acid derivatives,N04BA; N03AG,Neurology
C079,Topiramate Real-World Evidence in Migraine: A Retrospective Study,article,journal,EN,2025,1409,Migraine,G43,Topiramate; Topiramate,N03AX11; N03AX11,Antiepileptics other; Antiepileptics other,N03AX; N03AX,Neurology
C080,Treatment Intensification in Epilepsy: When and How,article,research_paper,EN,2025,996,Epilepsy,G40,Valproate,N03AG01,Fatty acid derivatives,N03AG,Neurology
C081,Parkinson Disease in atrial fibrillation: Special Considerations,article,journal,EN,2020,2267,Parkinson Disease,G20,Levodopa-carbidopa,N04BA02,Dopaminergic agents,N04BA,Neurology
C082,Rare Adverse Event of Aspirin in Ischaemic Stroke,case_report,case_report,EN,2022,1123,Ischaemic Stroke,I63,Aspirin,B01AC06,Platelet aggregation inhibitors,B01AC,Neurology
C083,Laporan Kasus: Migraine dengan COPD,case_report,case_report,ID,2020,830,Migraine,G43,Topiramate,N03AX11,Antiepileptics other,N03AX,Neurology
C084,Dose Adjustment of Valproate in Renal and Hepatic Impairment,clinical_summary,hospital_protocol,MIXED,2023,331,Parkinson Disease,G20,Valproate,N03AG01,Fatty acid derivatives,N03AG,Neurology
C085,Pedoman PNPK: Ischaemic Stroke,guideline,ministry_of_health,ID,2023,1621,Ischaemic Stroke,I63,Aspirin; Alteplase,B01AC06; B01AD02,Platelet aggregation inhibitors; Thrombolytics,B01AC; B01AD,Neurology
C086,Risk Stratification in Migraine: Current Approaches,article,journal,EN,2025,1352,Migraine,G43,Topiramate; Topiramate,N03AX11; N03AX11,Antiepileptics other; Antiepileptics other,N03AX; N03AX,Neurology
C087,Switching Therapy in Ischaemic Stroke: A Step-by-Step Guide,clinical_summary,clinical_practice,EN,2021,664,Ischaemic Stroke,I63,Alteplase,B01AD02,Thrombolytics,B01AD,Neurology
C088,Perbandingan Valproate dan Valproate pada Parkinson Disease,article,research_paper,ID,2024,1883,Parkinson Disease,G20,Valproate; Valproate,N03AG01; N03AG01,Fatty acid derivatives; Fatty acid derivatives,N03AG; N03AG,Neurology
C089,Perbandingan Topiramate dan Topiramate pada Migraine,article,journal,ID,2024,2308,Migraine,G43,Topiramate,N03AX11,Antiepileptics other,N03AX,Neurology
C090,Monitoring Parameters for Fatty acid derivatives in Parkinson Disease,clinical_summary,hospital_protocol,EN,2025,536,Parkinson Disease,G20,Valproate; Levodopa-carbidopa,N03AG01; N04BA02,Fatty acid derivatives; Dopaminergic agents,N03AG; N04BA,Neurology
C091,Valproate: Farmakologi dan Penggunaan Klinis pada Parkinson Disease,drug_profile,drug_database,ID,2021,471,Parkinson Disease,G20,Valproate,N03AG01,Fatty acid derivatives,N03AG,Neurology
C092,Hasil Jangka Panjang Terapi Antiepileptics other pada Migraine,article,research_paper,ID,2025,2012,Migraine,G43,Topiramate,N03AX11,Antiepileptics other,N03AX,Neurology
C093,Practical Guide: Initiating Tenofovir+Lamivudine in Urinary Tract Infection,clinical_summary,clinical_practice,EN,2021,680,Urinary Tract Infection,N39.0,Tenofovir+Lamivudine; Tenofovir+Lamivudine,J05AF; J05AF,NRTIs combination; NRTIs combination,J05AF; J05AF,Infectious Disease
C094,"Tenofovir+Lamivudine: Pharmacology, Dosing, and Clinical Use in Urinary Tract Infection",drug_profile,drug_database,EN,2021,736,Urinary Tract Infection,N39.0,Tenofovir+Lamivudine; Tenofovir+Lamivudine,J05AF; J05AF,NRTIs combination; NRTIs combination,J05AF; J05AF,Infectious Disease
C095,Quick Reference: NRTIs combination Dosing in Urinary Tract Infection,clinical_summary,clinical_practice,EN,2020,685,Urinary Tract Infection,N39.0,Tenofovir+Lamivudine,J05AF,NRTIs combination,J05AF,Infectious Disease
C096,Drug Interactions: Artemether-lumefantrine in Typhoid Fever Patients,clinical_summary,hospital_protocol,EN,2022,546,Typhoid Fever,A01.0,Artemether-lumefantrine,P01BF01,Antimalarials,P01BF,Infectious Disease
C097,Laporan Kasus: Malaria dengan atrial fibrillation,case_report,case_report,ID,2020,1022,Malaria,B50,Tenofovir disoproxil,J05AF07,NRTIs,J05AF,Infectious Disease
C098,Hasil Jangka Panjang Terapi NRTIs combination pada Urinary Tract Infection,article,research_paper,ID,2020,1526,Urinary Tract Infection,N39.0,Tenofovir+Lamivudine,J05AF,NRTIs combination,J05AF,Infectious Disease
C099,Panduan Praktis: Memulai Dolutegravir pada Malaria,clinical_summary,clinical_practice,ID,2020,312,Malaria,B50,Dolutegravir,J05AJ03,Integrase inhibitors,J05AJ,Infectious Disease
C100,Case Report: Atypical Presentation of HIV/AIDS,case_report,case_report,EN,2025,607,HIV/AIDS,B20,Levofloxacin; Amoxicillin,J01MA12; J01CA04,Fluoroquinolones; Penicillins,J01MA; J01CA,Infectious Disease
C101,"NRTIs combination: Mechanism, Indications, and Safety",drug_profile,drug_database,EN,2025,418,Urinary Tract Infection,N39.0,Tenofovir+Lamivudine,J05AF,NRTIs combination,J05AF,Infectious Disease
C102,Biomarkers in Urinary Tract Infection: Implications for NRTIs combination Therapy,article,journal,EN,2022,1881,Urinary Tract Infection,N39.0,Tenofovir+Lamivudine; Tenofovir+Lamivudine,J05AF; J05AF,NRTIs combination; NRTIs combination,J05AF; J05AF,Infectious Disease
C103,Profil Keamanan Amoxicillin pada HIV/AIDS,article,research_paper,ID,2020,1334,HIV/AIDS,B20,Amoxicillin,J01CA04,Penicillins,J01CA,Infectious Disease
C104,"NRTIs: Mechanism, Indications, and Safety",drug_profile,pharmacology_reference,EN,2020,705,Malaria,B50,Tenofovir disoproxil; Tenofovir disoproxil,J05AF07; J05AF07,NRTIs; NRTIs,J05AF; J05AF,Infectious Disease
C105,Narrative Review: Current Evidence for Integrase inhibitors in Malaria,review,systematic_review,EN,2022,3768,Malaria,B50,Dolutegravir,J05AJ03,Integrase inhibitors,J05AJ,Infectious Disease
C106,Successful Management of Severe Typhoid Fever with Artemether-lumefantrine,case_report,case_report,EN,2021,749,Typhoid Fever,A01.0,Artemether-lumefantrine; Artemether-lumefantrine,P01BF01; P01BF01,Antimalarials; Antimalarials,P01BF; P01BF,Infectious Disease
C107,A Case of HIV/AIDS Resistant to Levofloxacin,case_report,case_report,EN,2021,910,HIV/AIDS,B20,Levofloxacin,J01MA12,Fluoroquinolones,J01MA,Infectious Disease
C108,Case Series: NRTIs combination in Refractory Urinary Tract Infection,case_report,case_report,EN,2020,1255,Urinary Tract Infection,N39.0,Tenofovir+Lamivudine,J05AF,NRTIs combination,J05AF,Infectious Disease
C109,Panduan Praktis: Memulai Tenofovir+Lamivudine pada Urinary Tract Infection,clinical_summary,hospital_protocol,ID,2022,414,Urinary Tract Infection,N39.0,Tenofovir+Lamivudine,J05AF,NRTIs combination,J05AF,Infectious Disease
C110,WHO Guideline Update: Malaria 2025,guideline,who,EN,2025,1153,Malaria,B50,Dolutegravir,J05AJ03,Integrase inhibitors,J05AJ,Infectious Disease
C111,Biomarkers in Urinary Tract Infection: Implications for NRTIs combination Therapy,article,journal,MIXED,2025,1292,Urinary Tract Infection,N39.0,Tenofovir+Lamivudine,J05AF,NRTIs combination,J05AF,Infectious Disease
C112,"Antimalarials: Mechanism, Indications, and Safety",drug_profile,pharmacology_reference,EN,2025,496,Typhoid Fever,A01.0,Artemether-lumefantrine; Artemether-lumefantrine,P01BF01; P01BF01,Antimalarials; Antimalarials,P01BF; P01BF,Infectious Disease
C113,Risk Stratification in Typhoid Fever: Current Approaches,article,research_paper,EN,2021,2380,Typhoid Fever,A01.0,Artemether-lumefantrine; Artemether-lumefantrine,P01BF01; P01BF01,Antimalarials; Antimalarials,P01BF; P01BF,Infectious Disease
C114,Profil Keamanan Levofloxacin pada HIV/AIDS,article,research_paper,ID,2022,2173,HIV/AIDS,B20,Levofloxacin; Amoxicillin,J01MA12; J01CA04,Fluoroquinolones; Penicillins,J01MA; J01CA,Infectious Disease
C115,Case Series: NRTIs combination in Refractory Urinary Tract Infection,case_report,case_report,MIXED,2024,1133,Urinary Tract Infection,N39.0,Tenofovir+Lamivudine,J05AF,NRTIs combination,J05AF,Infectious Disease
C116,Dose Adjustment of Salmeterol in Renal and Hepatic Impairment,clinical_summary,clinical_practice,EN,2022,735,COPD,J44,Salmeterol,R03AC12,Long-acting beta2-agonists,R03AC,Pulmonology
C117,Safety Profile of Bedaquiline in MDR Tuberculosis,article,journal,EN,2025,2166,MDR Tuberculosis,A15.0,Bedaquiline; Bedaquiline,J04AK05; J04AK05,Antituberculotics; Antituberculotics,J04AK; J04AK,Pulmonology
C118,COPD in Pregnancy: Safety and Management Guide,clinical_summary,clinical_practice,EN,2021,393,COPD,J44,Prednisolone,H02AB06,Corticosteroids,H02AB,Pulmonology
C119,Clinical Practice Guideline: Pulmonary Embolism Management 2025,guideline,professional_society,EN,2025,2785,Pulmonary Embolism,I26,Lansoprazole; Lansoprazole,A02BC03; A02BC03,Proton pump inhibitors; Proton pump inhibitors,A02BC; A02BC,Pulmonology
C120,Safety Profile of Bedaquiline in MDR Tuberculosis,article,research_paper,EN,2024,1716,MDR Tuberculosis,A15.0,Bedaquiline,J04AK05,Antituberculotics,J04AK,Pulmonology
C121,Asia-Pacific Guideline: Community-acquired Pneumonia in Primary Care 2025,guideline,professional_society,EN,2025,2614,Community-acquired Pneumonia,J18,Rivaroxaban,B01AF01,Factor Xa inhibitors,B01AF,Pulmonology
C122,Case Series: Factor Xa inhibitors in Refractory Community-acquired Pneumonia,case_report,case_report,MIXED,2023,1396,Community-acquired Pneumonia,J18,Rivaroxaban; Rivaroxaban,B01AF01; B01AF01,Factor Xa inhibitors; Factor Xa inhibitors,B01AF; B01AF,Pulmonology
C123,Metronidazole: Farmakologi dan Penggunaan Klinis pada Pulmonary Embolism,drug_profile,drug_database,ID,2022,590,Pulmonary Embolism,I26,Metronidazole; Lansoprazole,J01XD01; A02BC03,Nitroimidazoles; Proton pump inhibitors,J01XD; A02BC,Pulmonology
C124,Konsensus Nasional: Asthma di Indonesia 2024,guideline,ministry_of_health,ID,2024,1220,Asthma,J45,Salmeterol; Azithromycin,R03AC12; J01FA10,Long-acting beta2-agonists; Macrolides,R03AC; J01FA,Pulmonology
C125,Efficacy of Antituberculotics in MDR Tuberculosis: A Cohort Study,article,journal,MIXED,2024,1187,MDR Tuberculosis,A15.0,Bedaquiline,J04AK05,Antituberculotics,J04AK,Pulmonology
C126,Budesonide Drug Profile: Efficacy in Asthma,drug_profile,pharmacology_reference,MIXED,2020,656,Asthma,J45,Budesonide,R03BA02,Inhaled corticosteroids,R03BA,Pulmonology
C127,Risk Stratification in Asthma: Current Approaches,article,research_paper,MIXED,2023,2190,Asthma,J45,Levofloxacin; Prednisolone,J01MA12; H02AB06,Fluoroquinolones; Corticosteroids,J01MA; H02AB,Pulmonology
