query_id,content_id,session_id,impression_id,doctor_id,timestamp,last_timestamp_served,inferred_rank,impression_count,impressed,query_text,query_language,query_intent,query_intent_top_level,query_intent_subtype,query_intent_label_confidence,query_intent_label_source,query_disease,query_icd10_code,query_molecule,query_atc_code,query_drug_class,query_atc_class,query_therapeutic_area,query_age_group,query_pregnancy_status,query_year,query_recency_flag,query_dose_context_flag,query_route,query_renal_function_group,query_hepatic_impairment_flag,query_comparison_flag,query_negation_flag,query_prior_treatment_failure_flag,content_title,content_language,content_type,content_source_type,content_publication_year,content_word_count,content_disease,content_icd10_code,content_molecule,content_atc_code,content_drug_class,content_atc_class,content_therapeutic_area,behavioral_event_count,first_event_timestamp,last_event_timestamp,clicked,scroll_deep,return_visit,save_bookmark,dwell_time,max_event_dwell_seconds,has_engagement,relevance_grade,conservative_relevance_grade,event_hierarchy_relevance_grade,relevance_evidence,relevance_grade_description,observed_positive,meaningful_positive,strong_positive,relevance_label_scheme,relevance_label_source
Q448,C162,SE0796,IMP0013,D049,2025-01-01 01:34:59,2025-01-01 01:34:59,4,1,True,Pembrolizumab vs Pembrolizumab untuk pasien Non-Small Cell Lung Cancer mana lebih efektif,MIXED,Comparative Treatment Choice,Pharmacotherapy,Comparative Treatment Choice,high,model_assisted_schema_review,Non-Small Cell Lung Cancer,C34,Pembrolizumab; Pembrolizumab,L01FF02; L01FF02,PD-1 inhibitors; PD-1 inhibitors,L01FF; L01FF,Oncology,,,,False,False,,,False,True,False,False,Biomarkers in Schizophrenia: Implications for Atypical antipsychotics Therapy,MIXED,article,research_paper,2024,1874,Schizophrenia,F20,Risperidone,N05AX08,Atypical antipsychotics,N05AX,Psychiatry,0,,,False,False,False,False,0,0,False,0,0,0,exposed_no_observed_engagement,exposed without observed engagement,False,False,False,primary_median_dwell,behavioral_weak_supervision_v1
Q448,C314,SE0796,IMP0014,D049,2025-01-01 01:35:02,2025-01-01 01:35:02,5,1,True,Pembrolizumab vs Pembrolizumab untuk pasien Non-Small Cell Lung Cancer mana lebih efektif,MIXED,Comparative Treatment Choice,Pharmacotherapy,Comparative Treatment Choice,high,model_assisted_schema_review,Non-Small Cell Lung Cancer,C34,Pembrolizumab; Pembrolizumab,L01FF02; L01FF02,PD-1 inhibitors; PD-1 inhibitors,L01FF; L01FF,Oncology,,,,False,False,,,False,True,False,False,Dose Adjustment of Vancomycin in Renal and Hepatic Impairment,EN,clinical_summary,hospital_protocol,2020,781,Sepsis,A41,Vancomycin,J01XA01,Glycopeptides,J01XA,Critical Care,0,,,False,False,False,False,0,0,False,0,0,0,exposed_no_observed_engagement,exposed without observed engagement,False,False,False,primary_median_dwell,behavioral_weak_supervision_v1
Q448,C259,SE0796,IMP0015,D049,2025-01-01 01:35:04,2025-01-01 01:35:04,6,1,True,Pembrolizumab vs Pembrolizumab untuk pasien Non-Small Cell Lung Cancer mana lebih efektif,MIXED,Comparative Treatment Choice,Pharmacotherapy,Comparative Treatment Choice,high,model_assisted_schema_review,Non-Small Cell Lung Cancer,C34,Pembrolizumab; Pembrolizumab,L01FF02; L01FF02,PD-1 inhibitors; PD-1 inhibitors,L01FF; L01FF,Oncology,,,,False,False,,,False,True,False,False,Panduan Klinis: Tatalaksana Preeclampsia 2020,ID,guideline,ministry_of_health,2020,2140,Preeclampsia,O14,Magnesium sulphate; Magnesium sulphate,A12CC02; A12CC02,Magnesium; Magnesium,A12CC; A12CC,Obstetrics,0,,,False,False,False,False,0,0,False,0,0,0,exposed_no_observed_engagement,exposed without observed engagement,False,False,False,primary_median_dwell,behavioral_weak_supervision_v1
Q448,C212,SE0796,IMP0016,D049,2025-01-01 01:35:04,2025-01-01 01:35:04,7,1,True,Pembrolizumab vs Pembrolizumab untuk pasien Non-Small Cell Lung Cancer mana lebih efektif,MIXED,Comparative Treatment Choice,Pharmacotherapy,Comparative Treatment Choice,high,model_assisted_schema_review,Non-Small Cell Lung Cancer,C34,Pembrolizumab; Pembrolizumab,L01FF02; L01FF02,PD-1 inhibitors; PD-1 inhibitors,L01FF; L01FF,Oncology,,,,False,False,,,False,True,False,False,Profil Keamanan Alendronate pada Osteoporosis,ID,article,journal,2022,1976,Osteoporosis,M81,Alendronate,M05BA04,Bisphosphonates,M05BA,Rheumatology,0,,,False,False,False,False,0,0,False,0,0,0,exposed_no_observed_engagement,exposed without observed engagement,False,False,False,primary_median_dwell,behavioral_weak_supervision_v1
Q448,C337,SE0796,IMP0017,D049,2025-01-01 01:35:05,2025-01-01 01:35:05,8,1,True,Pembrolizumab vs Pembrolizumab untuk pasien Non-Small Cell Lung Cancer mana lebih efektif,MIXED,Comparative Treatment Choice,Pharmacotherapy,Comparative Treatment Choice,high,model_assisted_schema_review,Non-Small Cell Lung Cancer,C34,Pembrolizumab; Pembrolizumab,L01FF02; L01FF02,PD-1 inhibitors; PD-1 inhibitors,L01FF; L01FF,Oncology,,,,False,False,,,False,True,False,False,New Insights into Psoriasis Pathophysiology and Treatment,EN,article,journal,2022,2254,Psoriasis,L40,Tacrolimus topical; Dupilumab,D11AH01; D11AH05,Topical calcineurin inhibitors; IL-4/IL-13 inhibitors,D11AH; D11AH,Dermatology,0,,,False,False,False,False,0,0,False,0,0,0,exposed_no_observed_engagement,exposed without observed engagement,False,False,False,primary_median_dwell,behavioral_weak_supervision_v1
Q448,C220,SE0796,IMP0018,D049,2025-01-01 01:35:14,2025-01-01 01:35:14,9,1,True,Pembrolizumab vs Pembrolizumab untuk pasien Non-Small Cell Lung Cancer mana lebih efektif,MIXED,Comparative Treatment Choice,Pharmacotherapy,Comparative Treatment Choice,high,model_assisted_schema_review,Non-Small Cell Lung Cancer,C34,Pembrolizumab; Pembrolizumab,L01FF02; L01FF02,PD-1 inhibitors; PD-1 inhibitors,L01FF; L01FF,Oncology,,,,False,False,,,False,True,False,False,Hasil Jangka Panjang Terapi Proteasome inhibitors pada Rheumatoid Arthritis,ID,article,research_paper,2025,2243,Rheumatoid Arthritis,M05,Bortezomib; Prednisolone,L01XG01; H02AB06,Proteasome inhibitors; Corticosteroids,L01XG; H02AB,Rheumatology,0,,,False,False,False,False,0,0,False,0,0,0,exposed_no_observed_engagement,exposed without observed engagement,False,False,False,primary_median_dwell,behavioral_weak_supervision_v1
Q146,C240,SE0152,IMP0019,D012,2025-01-01 01:41:35,2025-01-01 01:41:35,1,1,True,Bedaquiline vs Rifampicin untuk pasien Tuberculosis mana lebih efektif,MIXED,Comparative Treatment Choice,Pharmacotherapy,Comparative Treatment Choice,high,three_signal_consensus,Tuberculosis,A15,Bedaquiline; Rifampicin,J04AK05; J04AB02,Antituberculotics; Antituberculotics,J04AK; J04AB,Pulmonology,,,,False,False,,,False,True,False,False,Quick Reference: Iron preparations Dosing in Iron Deficiency Anaemia,EN,clinical_summary,hospital_protocol,2025,388,Iron Deficiency Anaemia,D50,Ferrous sulphate; Erythropoietin,B03AA07; B03XA01,Iron preparations; Erythropoiesis stimulating agents,B03AA; B03XA,Haematology,0,,,False,False,False,False,0,0,False,0,0,0,exposed_no_observed_engagement,exposed without observed engagement,False,False,False,primary_median_dwell,behavioral_weak_supervision_v1
Q146,C252,SE0152,IMP0020,D012,2025-01-01 01:41:40,2025-01-01 01:41:40,2,1,True,Bedaquiline vs Rifampicin untuk pasien Tuberculosis mana lebih efektif,MIXED,Comparative Treatment Choice,Pharmacotherapy,Comparative Treatment Choice,high,three_signal_consensus,Tuberculosis,A15,Bedaquiline; Rifampicin,J04AK05; J04AB02,Antituberculotics; Antituberculotics,J04AK; J04AB,Pulmonology,,,,False,False,,,False,True,False,False,Rare Adverse Event of Erythropoietin in Iron Deficiency Anaemia,EN,case_report,case_report,2020,885,Iron Deficiency Anaemia,D50,Erythropoietin,B03XA01,Erythropoiesis stimulating agents,B03XA,Haematology,1,2025-01-01 01:42:12,2025-01-01 01:42:12,True,False,False,False,11,11,True,2,1,1,meaningful_dwell_click,meaningful engagement,True,True,False,primary_median_dwell,behavioral_weak_supervision_v1
Q146,C102,SE0152,IMP0021,D012,2025-01-01 01:41:44,2025-01-01 01:41:44,3,1,True,Bedaquiline vs Rifampicin untuk pasien Tuberculosis mana lebih efektif,MIXED,Comparative Treatment Choice,Pharmacotherapy,Comparative Treatment Choice,high,three_signal_consensus,Tuberculosis,A15,Bedaquiline; Rifampicin,J04AK05; J04AB02,Antituberculotics; Antituberculotics,J04AK; J04AB,Pulmonology,,,,False,False,,,False,True,False,False,Biomarkers in Urinary Tract Infection: Implications for NRTIs combination Therapy,EN,article,journal,2022,1881,Urinary Tract Infection,N39.0,Tenofovir+Lamivudine; Tenofovir+Lamivudine,J05AF; J05AF,NRTIs combination; NRTIs combination,J05AF; J05AF,Infectious Disease,0,,,False,False,False,False,0,0,False,0,0,0,exposed_no_observed_engagement,exposed without observed engagement,False,False,False,primary_median_dwell,behavioral_weak_supervision_v1
Q146,C042,SE0152,IMP0022,D012,2025-01-01 01:41:52,2025-01-01 01:41:52,4,1,True,Bedaquiline vs Rifampicin untuk pasien Tuberculosis mana lebih efektif,MIXED,Comparative Treatment Choice,Pharmacotherapy,Comparative Treatment Choice,high,three_signal_consensus,Tuberculosis,A15,Bedaquiline; Rifampicin,J04AK05; J04AB02,Antituberculotics; Antituberculotics,J04AK; J04AB,Pulmonology,,,,False,False,,,False,True,False,False,Atrial Fibrillation in Special Populations: Practical Guidance,EN,clinical_summary,hospital_protocol,2022,547,Atrial Fibrillation,I48,Dapagliflozin,A10BK01,SGLT2 inhibitors,A10BK,Cardiology,0,,,False,False,False,False,0,0,False,0,0,0,exposed_no_observed_engagement,exposed without observed engagement,False,False,False,primary_median_dwell,behavioral_weak_supervision_v1
Q146,C315,SE0152,IMP0023,D012,2025-01-01 01:41:52,2025-01-01 01:41:52,5,1,True,Bedaquiline vs Rifampicin untuk pasien Tuberculosis mana lebih efektif,MIXED,Comparative Treatment Choice,Pharmacotherapy,Comparative Treatment Choice,high,three_signal_consensus,Tuberculosis,A15,Bedaquiline; Rifampicin,J04AK05; J04AB02,Antituberculotics; Antituberculotics,J04AK; J04AB,Pulmonology,,,,False,False,,,False,True,False,False,Perbandingan Hydrocortisone dan Piperacillin-tazobactam pada Sepsis,ID,article,journal,2025,2221,Sepsis,A41,Hydrocortisone,H02AB09,Corticosteroids,H02AB,Critical Care,0,,,False,False,False,False,0,0,False,0,0,0,exposed_no_observed_engagement,exposed without observed engagement,False,False,False,primary_median_dwell,behavioral_weak_supervision_v1
Q146,C027,SE0152,IMP0024,D012,2025-01-01 01:41:53,2025-01-01 01:41:53,6,1,True,Bedaquiline vs Rifampicin untuk pasien Tuberculosis mana lebih efektif,MIXED,Comparative Treatment Choice,Pharmacotherapy,Comparative Treatment Choice,high,three_signal_consensus,Tuberculosis,A15,Bedaquiline; Rifampicin,J04AK05; J04AB02,Antituberculotics; Antituberculotics,J04AK; J04AB,Pulmonology,,,,False,False,,,False,True,False,False,National Guideline: Atrial Fibrillation Diagnosis and Treatment,MIXED,guideline,ministry_of_health,2023,1399,Atrial Fibrillation,I48,Apixaban; Dapagliflozin,B01AF02; A10BK01,Factor Xa inhibitors; SGLT2 inhibitors,B01AF; A10BK,Cardiology,0,,,False,False,False,False,0,0,False,0,0,0,exposed_no_observed_engagement,exposed without observed engagement,False,False,False,primary_median_dwell,behavioral_weak_supervision_v1
Q146,C270,SE0152,IMP0025,D012,2025-01-01 01:41:54,2025-01-01 01:41:54,7,1,True,Bedaquiline vs Rifampicin untuk pasien Tuberculosis mana lebih efektif,MIXED,Comparative Treatment Choice,Pharmacotherapy,Comparative Treatment Choice,high,three_signal_consensus,Tuberculosis,A15,Bedaquiline; Rifampicin,J04AK05; J04AB02,Antituberculotics; Antituberculotics,J04AK; J04AB,Pulmonology,,,,False,False,,,False,True,False,False,Long-term Outcomes of Beta blockers non-selective Therapy in Hypertension in Pregnancy,MIXED,article,journal,2024,1299,Hypertension in Pregnancy,O10,Labetalol,C07AG01,Beta blockers non-selective,C07AG,Obstetrics,0,,,False,False,False,False,0,0,False,0,0,0,exposed_no_observed_engagement,exposed without observed engagement,False,False,False,primary_median_dwell,behavioral_weak_supervision_v1
Q146,C215,SE0152,IMP0026,D012,2025-01-01 01:41:54,2025-01-01 01:41:54,8,1,True,Bedaquiline vs Rifampicin untuk pasien Tuberculosis mana lebih efektif,MIXED,Comparative Treatment Choice,Pharmacotherapy,Comparative Treatment Choice,high,three_signal_consensus,Tuberculosis,A15,Bedaquiline; Rifampicin,J04AK05; J04AB02,Antituberculotics; Antituberculotics,J04AK; J04AB,Pulmonology,,,,False,False,,,False,True,False,False,Narrative Review: Current Evidence for NSAIDs in Systemic Lupus Erythematosus,EN,review,meta_analysis,2025,3280,Systemic Lupus Erythematosus,M32,Ibuprofen; Ibuprofen,M01AE01; M01AE01,NSAIDs; NSAIDs,M01AE; M01AE,Rheumatology,1,2025-01-01 01:46:03,2025-01-01 01:46:03,False,True,False,False,85,85,True,2,2,2,deep_scroll,meaningful engagement,True,True,False,primary_median_dwell,behavioral_weak_supervision_v1
Q146,C212,SE0152,IMP0027,D012,2025-01-01 01:41:55,2025-01-01 01:41:55,9,1,True,Bedaquiline vs Rifampicin untuk pasien Tuberculosis mana lebih efektif,MIXED,Comparative Treatment Choice,Pharmacotherapy,Comparative Treatment Choice,high,three_signal_consensus,Tuberculosis,A15,Bedaquiline; Rifampicin,J04AK05; J04AB02,Antituberculotics; Antituberculotics,J04AK; J04AB,Pulmonology,,,,False,False,,,False,True,False,False,Profil Keamanan Alendronate pada Osteoporosis,ID,article,journal,2022,1976,Osteoporosis,M81,Alendronate,M05BA04,Bisphosphonates,M05BA,Rheumatology,1,2025-01-01 01:44:43,2025-01-01 01:44:43,True,False,False,False,15,15,True,2,1,1,meaningful_dwell_click,meaningful engagement,True,True,False,primary_median_dwell,behavioral_weak_supervision_v1
Q146,C201,SE0152,IMP0028,D012,2025-01-01 01:41:59,2025-01-01 01:41:59,10,1,True,Bedaquiline vs Rifampicin untuk pasien Tuberculosis mana lebih efektif,MIXED,Comparative Treatment Choice,Pharmacotherapy,Comparative Treatment Choice,high,three_signal_consensus,Tuberculosis,A15,Bedaquiline; Rifampicin,J04AK05; J04AB02,Antituberculotics; Antituberculotics,J04AK; J04AB,Pulmonology,,,,False,False,,,False,True,False,False,Kasus Sulit: Colorectal Cancer Refrakter terhadap Pembrolizumab,ID,case_report,case_report,2021,1142,Colorectal Cancer,C18,Pembrolizumab,L01FF02,PD-1 inhibitors,L01FF,Oncology,1,2025-01-01 01:44:12,2025-01-01 01:44:12,True,False,False,False,4,4,True,1,1,1,short_dwell_click,weak engagement,True,False,False,primary_median_dwell,behavioral_weak_supervision_v1
Q146,C184,SE0152,IMP0029,D012,2025-01-01 01:42:00,2025-01-01 01:42:00,11,1,True,Bedaquiline vs Rifampicin untuk pasien Tuberculosis mana lebih efektif,MIXED,Comparative Treatment Choice,Pharmacotherapy,Comparative Treatment Choice,high,three_signal_consensus,Tuberculosis,A15,Bedaquiline; Rifampicin,J04AK05; J04AB02,Antituberculotics; Antituberculotics,J04AK; J04AB,Pulmonology,,,,False,False,,,False,True,False,False,Sertraline Real-World Evidence in Major Depressive Disorder: A Retrospective Study,EN,article,research_paper,2021,2291,Major Depressive Disorder,F32,Sertraline,N06AB06,SSRIs,N06AB,Psychiatry,0,,,False,False,False,False,0,0,False,0,0,0,exposed_no_observed_engagement,exposed without observed engagement,False,False,False,primary_median_dwell,behavioral_weak_supervision_v1
Q146,C067,SE0152,IMP0030,D012,2025-01-01 01:42:02,2025-01-01 01:42:02,12,1,True,Bedaquiline vs Rifampicin untuk pasien Tuberculosis mana lebih efektif,MIXED,Comparative Treatment Choice,Pharmacotherapy,Comparative Treatment Choice,high,three_signal_consensus,Tuberculosis,A15,Bedaquiline; Rifampicin,J04AK05; J04AB02,Antituberculotics; Antituberculotics,J04AK; J04AB,Pulmonology,,,,False,False,,,False,True,False,False,Consensus Statement: Loop diuretics Use in Nephrotic Syndrome,MIXED,guideline,who,2024,1281,Nephrotic Syndrome,N04,Furosemide,C03CA01,Loop diuretics,C03CA,Nephrology,0,,,False,False,False,False,0,0,False,0,0,0,exposed_no_observed_engagement,exposed without observed engagement,False,False,False,primary_median_dwell,behavioral_weak_supervision_v1
Q314,C325,SE0635,IMP0031,D016,2025-01-01 01:49:54,2025-01-01 01:49:54,1,1,True,switch dari Rifampicin ke Isoniazid Tuberculosis progresif,MIXED,Treatment Change / Escalation,Management / Treatment,Treatment Change / Escalation,low,rule_with_model_disagreement,Tuberculosis,A15,Rifampicin; Isoniazid,J04AB02; J04AC01,Antituberculotics; Antituberculotics,J04AB; J04AC,Pulmonology,,,,False,False,,,False,False,False,False,A Case of Psoriasis Resistant to Cyclosporine,EN,case_report,case_report,2021,1454,Psoriasis,L40,Cyclosporine; Dupilumab,L04AD01; D11AH05,Calcineurin inhibitors; IL-4/IL-13 inhibitors,L04AD; D11AH,Dermatology,0,,,False,False,False,False,0,0,False,0,0,0,exposed_no_observed_engagement,exposed without observed engagement,False,False,False,primary_median_dwell,behavioral_weak_supervision_v1
