side,record_id,findings,evidence_excerpt,review_notes,reviewer,review_type
query,Q006,negation_scope_error;self_relation;duplicate_metadata,Metoprolol dan Metoprolol ... aman atau tidak,Safety question wrongly usable as asserted negation; drug repeated in both combination roles.,LLM-assisted review,text/metadata semantic review; not clinician adjudication
query,Q057,self_relation;duplicate_metadata,Dapagliflozin vs Dapagliflozin,"Comparison cue is extracted correctly, but both comparator roles are the same drug. A boolean cannot distinguish this artifact.",LLM-assisted review,text/metadata semantic review; not clinician adjudication
query,Q011,supported_extraction;context_from_entity_name,renal impairment penyesuaian dosis Tacrolimus topical,Renal/dosing context supported. Topical comes from the molecule formulation name; retain that provenance.,LLM-assisted review,text/metadata semantic review; not clinician adjudication
query,Q001,missing_population,with immunocompromised,Drug/disease explicit. Immunocompromised population is omitted because no such slot exists.,LLM-assisted review,text/metadata semantic review; not clinician adjudication
query,Q003,self_relation;duplicate_metadata,Nivolumab dan Nivolumab,Two interaction arguments repeat the same molecule. Interaction relation is not stored; no clinical validity conclusion is made.,LLM-assisted review,text/metadata semantic review; not clinician adjudication
query,Q002,metadata_only_molecule,SGLT2 inhibitors,"Dapagliflozin is not explicitly requested; class and disease are literal. Monitoring is an intent cue, not necessarily a new context slot.",LLM-assisted review,text/metadata semantic review; not clinician adjudication
query,Q033,negation_scope_error;missing_comorbidity,pasien hypertension aman tidak,"Hypertension is an additional population constraint missing from disease metadata (Obesity only). Tidak is interrogative safety wording, not a negated disease.",LLM-assisted review,text/metadata semantic review; not clinician adjudication
query,Q071,supported_extraction;unlinked_entities,Vancomycin vs Piperacillin-tazobactam,Two distinct named drugs and comparison cue are supported. Need role/coverage representation to require both comparators.,LLM-assisted review,text/metadata semantic review; not clinician adjudication
query,Q394,metadata_only_molecule;context_from_entity_name,Topical calcineurin inhibitors,Topical route derives from class wording. Tacrolimus topical is not explicitly named.,LLM-assisted review,text/metadata semantic review; not clinician adjudication
query,Q005,metadata_only_molecule,Penicillins in pregnancy,"Pregnancy/class/disease supported. Amoxicillin is metadata-only, not an explicit query constraint.",LLM-assisted review,text/metadata semantic review; not clinician adjudication
query,Q009,self_relation;duplicate_metadata,Tenofovir+Lamivudine ... with Tenofovir+Lamivudine,The same combination product is repeated in two interaction roles. Product ingredients and comparator roles should not be conflated.,LLM-assisted review,text/metadata semantic review; not clinician adjudication
query,Q008,metadata_only_molecule,Short-acting beta2-agonists,Class explicit; Salbutamol is supplied metadata without a literal mention.,LLM-assisted review,text/metadata semantic review; not clinician adjudication
